Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CRVL,146.19,152.69,146.19,147.15,46571
2022-11-10,CRVL,152.0,154.82,150.69,154.82,43500
2022-11-11,CRVL,153.75,155.25,147.94,151.46,50200
2022-11-14,CRVL,152.05,153.69,149.16,151.84,51953
2022-11-15,CRVL,154.525,154.525,151.66,152.5,44607
2022-11-16,CRVL,151.34,153.53,148.96,150.06,43773
2022-11-17,CRVL,148.24,151.59,145.26,150.25,53497
2022-11-18,CRVL,152.78,152.9,148.26,148.7,57307
2022-11-21,CRVL,147.45,149.75,145.99,148.71,50984
2022-11-22,CRVL,149.59,150.77,147.28,149.34,47467
2022-11-23,CRVL,150.09,151.38,146.4501,149.56,57114
2022-11-25,CRVL,150.25,153.88,148.56,151.36,32465
2022-11-28,CRVL,151.36,152.59,148.77,150.21,62540
2022-11-29,CRVL,150.05,151.49,148.35,148.71,48287
2022-11-30,CRVL,148.3,153.555,145.57,152.97,66685
2022-12-01,CRVL,154.69,154.69,148.8655,153.79,49140
2022-12-02,CRVL,152.51,154.4,151.16,152.89,43536
2022-12-05,CRVL,151.03,151.99,146.91,148.27,64866
2022-12-06,CRVL,148.41,149.81,143.55,144.93,69264
2022-12-07,CRVL,145.71,147.72,144.3259,147.59,61713
2022-12-08,CRVL,148.55,150.0,146.53,147.94,62979
2022-12-09,CRVL,146.55,148.64,146.01,147.06,57330
2022-12-12,CRVL,146.74,149.86,146.5,148.77,49033
2022-12-13,CRVL,151.58,151.8,147.35,147.72,63972
2022-12-14,CRVL,148.11,149.5,142.84,144.75,88227
2022-12-15,CRVL,143.11,143.85,139.76,140.21,104484
2022-12-16,CRVL,138.72,140.74,138.2,138.8,247578
2022-12-19,CRVL,138.27,140.92,136.22,138.44,96152
2022-12-20,CRVL,138.19,140.74,136.99,138.9,77226
2022-12-21,CRVL,139.89,142.89,139.5,141.81,60179
2022-12-22,CRVL,141.39,146.26,139.69,145.59,79265
2022-12-23,CRVL,144.88,146.86,142.8475,143.9,54136
2022-12-27,CRVL,144.69,148.3,142.87,147.65,68881
2022-12-28,CRVL,148.24,149.81,143.72,143.72,79091
2022-12-29,CRVL,145.03,147.84,143.87,145.51,72807
2022-12-30,CRVL,144.97,147.52,144.22,145.33,58799
2023-01-03,CRVL,145.53,146.77,142.75,146.03,72766
2023-01-04,CRVL,146.59,147.45,143.17,143.49,79246
2023-01-05,CRVL,142.0,142.94,140.77,141.0,81174
2023-01-06,CRVL,141.48,145.37,139.76,144.12,71694
2023-01-09,CRVL,143.93,147.56,143.25,146.62,59345
2023-01-10,CRVL,147.15,149.35,145.7,149.35,59483
2023-01-11,CRVL,149.19,152.3,147.99,151.75,50046
2023-01-12,CRVL,151.63,156.01,149.83,154.41,73784
2023-01-13,CRVL,153.93,157.8,152.32,156.43,68858
2023-01-17,CRVL,155.63,163.96,155.1,161.6,103187
2023-01-18,CRVL,162.21,163.99,158.97,159.42,86731
2023-01-19,CRVL,159.72,162.38,157.94,160.08,102176
2023-01-20,CRVL,161.34,167.52,158.92,164.68,93121
2023-01-23,CRVL,165.57,168.615,159.29,164.68,97623
2023-01-24,CRVL,164.72,166.3,163.28,163.7,50109
2023-01-25,CRVL,163.4,165.57,161.9,164.78,64668
2023-01-26,CRVL,165.75,167.995,164.85,167.97,33624
2023-01-27,CRVL,167.63,171.94,166.4,171.52,66521
2023-01-30,CRVL,169.95,175.15,168.0,172.75,91467
2023-01-31,CRVL,174.18,179.85,170.64,178.16,101488
2023-02-01,CRVL,178.09,184.67,177.0,183.29,76940
2023-02-02,CRVL,183.5,192.13,182.1,189.02,118495
2023-02-03,CRVL,187.73,190.59,184.15,185.06,84608
2023-02-06,CRVL,184.42,185.15,181.56,181.99,107485
2023-02-07,CRVL,181.22,188.05,179.6,187.39,94105
