Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,CSPI,3.835,3.985,3.78,3.843,11408
2022-11-11,CSPI,3.9902,3.9902,3.775,3.9123,9600
2022-11-14,CSPI,3.8525,3.8579,3.79,3.8,3350
2022-11-15,CSPI,3.79,3.985,3.735,3.74,3224
2022-11-16,CSPI,3.795,3.795,3.795,3.795,1098
2022-11-17,CSPI,3.705,3.705,3.5375,3.705,6854
2022-11-18,CSPI,3.805,3.845,3.62,3.83,10282
2022-11-21,CSPI,3.73,3.975,3.7199,3.9613,8574
2022-11-22,CSPI,3.79,3.985,3.77,3.855,6574
2022-11-23,CSPI,3.9275,3.9587,3.84,3.92,5648
2022-11-25,CSPI,3.9,4.13,3.86,4.065,7252
2022-11-28,CSPI,4.0723,4.085,3.9575,3.9575,5066
2022-11-29,CSPI,3.9374,4.17,3.9374,4.17,4136
2022-11-30,CSPI,4.125,4.425,4.125,4.355,20634
2022-12-01,CSPI,4.35,4.375,4.0001,4.325,14688
2022-12-02,CSPI,4.3,4.3,4.175,4.175,5302
2022-12-05,CSPI,4.225,4.225,4.185,4.185,6688
2022-12-06,CSPI,4.515,4.7325,4.2582,4.4951,51896
2022-12-07,CSPI,4.575,4.795,4.445,4.58,20904
2022-12-08,CSPI,4.5765,4.715,4.565,4.7051,13000
2022-12-09,CSPI,4.755,4.805,4.6332,4.64,5064
2022-12-12,CSPI,4.64,4.7,4.575,4.6,8892
2022-12-13,CSPI,4.65,4.65,4.6,4.6,5324
2022-12-14,CSPI,4.6374,4.77,4.55,4.55,27672
2022-12-15,CSPI,4.575,4.635,4.5,4.55,7852
2022-12-16,CSPI,4.6,4.6,4.365,4.47,12928
2022-12-19,CSPI,4.47,4.7526,4.3,4.55,6202
2022-12-20,CSPI,4.505,4.535,4.45,4.5265,5960
2022-12-21,CSPI,4.495,4.7059,4.4154,4.575,17566
2022-12-22,CSPI,4.655,4.655,4.28,4.595,19748
2022-12-23,CSPI,4.595,4.735,4.595,4.725,13962
2022-12-27,CSPI,4.7937,4.795,4.435,4.481,25580
2022-12-28,CSPI,4.435,4.485,4.335,4.4725,4474
2022-12-29,CSPI,4.58,4.6414,4.58,4.6414,5120
2022-12-30,CSPI,4.61,4.715,4.4,4.715,8718
2023-01-03,CSPI,4.74,4.74,4.535,4.725,8572
2023-01-04,CSPI,4.69,4.95,4.6584,4.7125,25856
2023-01-05,CSPI,4.81,4.86,4.705,4.825,28844
2023-01-06,CSPI,4.8,5.17,4.785,4.91,23748
2023-01-09,CSPI,5.005,5.12,4.9601,5.12,25850
2023-01-10,CSPI,4.995,5.15,4.995,5.13,15374
2023-01-11,CSPI,5.215,5.2406,5.005,5.13,4340
2023-01-12,CSPI,5.1175,5.26,5.0604,5.0604,10014
2023-01-13,CSPI,5.225,5.7225,5.16,5.25,31534
2023-01-17,CSPI,5.25,5.6351,5.185,5.43,57476
2023-01-18,CSPI,5.465,5.6084,5.3777,5.55,22882
2023-01-19,CSPI,5.6297,5.6297,5.37,5.37,15604
2023-01-20,CSPI,5.48,5.5775,5.215,5.485,11646
2023-01-23,CSPI,5.5,5.525,5.34,5.5108,16530
2023-01-24,CSPI,5.395,5.5132,5.395,5.43,10490
2023-01-25,CSPI,5.5,5.5758,5.4391,5.48,7300
2023-01-26,CSPI,5.5,5.6,5.4501,5.525,8752
2023-01-27,CSPI,5.425,5.465,5.425,5.4375,5196
2023-01-30,CSPI,5.375,5.46,5.375,5.425,5432
2023-02-01,CSPI,5.375,5.47,5.375,5.44,17330
2023-02-02,CSPI,5.475,5.575,5.47,5.51,8988
2023-02-03,CSPI,5.515,5.69,5.507,5.525,16010
2023-02-06,CSPI,5.5775,5.7,5.5775,5.6525,12274
2023-02-07,CSPI,5.665,6.03,5.65,5.805,35046
2023-02-08,CSPI,5.9873,6.23,5.375,5.6,126820
2023-02-09,CSPI,5.6,5.6352,5.385,5.4026,31742
2023-02-10,CSPI,5.555,5.5778,5.4681,5.475,12404
2023-02-13,CSPI,5.61,6.04,5.55,6.04,42196
2023-02-14,CSPI,6.0,6.15,5.6001,6.1001,32208
2023-02-15,CSPI,6.15,6.1714,5.77,6.025,39366
2023-02-16,CSPI,5.995,6.09,5.9275,5.995,8506
2023-02-17,CSPI,5.905,5.985,5.83,5.895,9038
2023-02-21,CSPI,5.835,5.925,5.63,5.63,21788
2023-02-22,CSPI,5.705,5.7501,5.545,5.625,28136
2023-02-23,CSPI,5.53,5.8243,5.53,5.6,17030
2023-02-24,CSPI,5.9084,5.9084,5.445,5.63,6302
2023-02-27,CSPI,5.475,5.67,5.475,5.665,13664
2023-02-28,CSPI,5.59,5.59,5.5308,5.5308,7298
2023-03-01,CSPI,5.5885,5.7925,5.585,5.63,7722
2023-03-02,CSPI,5.6358,5.7036,5.485,5.485,8072
2023-03-03,CSPI,5.52,5.605,5.47,5.51,8950
2023-03-06,CSPI,5.48,5.685,5.4501,5.62,21144
2023-03-07,CSPI,5.77,5.77,5.575,5.575,15670
2023-03-08,CSPI,5.745,5.9475,5.7319,5.945,10932
2023-03-09,CSPI,5.995,5.995,5.7766,5.875,28268
2023-03-10,CSPI,5.79,5.955,5.722,5.7501,10450
2023-03-13,CSPI,5.705,5.9,5.705,5.85,9616
2023-03-14,CSPI,5.885,5.985,5.835,5.88,11622
2023-03-15,CSPI,5.82,5.985,5.82,5.98,7364
2023-03-16,CSPI,5.99,6.305,5.905,6.215,64840
2023-03-17,CSPI,6.225,6.225,5.95,5.95,15054
2023-03-20,CSPI,6.035,6.0936,5.905,5.93,5560
2023-03-21,CSPI,6.03,6.2506,5.9,5.915,15878
2023-03-22,CSPI,5.915,5.915,5.85,5.875,4860
2023-03-23,CSPI,5.93,6.15,5.93,6.005,18010
2023-03-24,CSPI,6.05,6.1625,6.005,6.15,14874
2023-03-27,CSPI,6.22,6.7,6.1952,6.515,43410
2023-03-28,CSPI,6.48,6.625,6.48,6.6,20420
2023-03-29,CSPI,6.65,6.7,6.6327,6.6675,15492
2023-03-30,CSPI,6.7,6.74,6.5651,6.715,11348
2023-03-31,CSPI,6.745,6.795,6.65,6.795,15890
2023-04-03,CSPI,6.6896,6.8335,6.6896,6.8335,17098
2023-04-04,CSPI,6.845,6.995,6.845,6.95,18278
2023-04-05,CSPI,7.0,7.1871,6.7922,6.952,25926
2023-04-06,CSPI,7.05,7.12,6.8201,7.1,11808
2023-04-10,CSPI,6.915,7.1317,6.915,7.105,16118
