Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CVRX,11.86,12.18,11.62,11.92,18161.0
2022-11-10,CVRX,12.49,12.49,11.9,12.04,34509.0
2022-11-11,CVRX,11.98,12.69,11.98,12.35,72606.0
2022-11-14,CVRX,12.38,12.555,12.01,12.42,23319.0
2022-11-15,CVRX,12.5,12.93,12.1334,12.53,36797.0
2022-11-16,CVRX,12.35,12.62,11.95,12.22,36900.0
2022-11-17,CVRX,12.09,12.35,11.88,12.33,12827.0
2022-11-18,CVRX,12.48,12.48,11.9025,12.05,27361.0
2022-11-21,CVRX,12.03,12.39,11.8986,12.19,18403.0
2022-11-22,CVRX,12.28,12.34,11.94,12.33,17225.0
2022-11-23,CVRX,12.3,12.41,11.77,12.41,29142.0
2022-11-25,CVRX,12.37,12.54,12.35,12.49,10906.0
2022-11-28,CVRX,12.24,12.75,11.6,11.6,67271.0
2022-11-29,CVRX,12.0,12.49,11.98,12.41,65921.0
2022-11-30,CVRX,12.32,13.73,12.32,13.38,103190.0
2022-12-01,CVRX,13.48,14.7,13.48,14.42,111190.0
2022-12-02,CVRX,14.4,14.49,13.9,14.44,30972.0
2022-12-05,CVRX,14.18,14.61,13.1925,13.5,52698.0
2022-12-06,CVRX,13.52,14.16,12.74,13.39,35448.0
2022-12-07,CVRX,13.21,13.9175,13.21,13.5,39347.0
2022-12-08,CVRX,13.55,13.99,13.22,13.94,31880.0
2022-12-09,CVRX,14.1,14.1,13.11,13.79,51891.0
2022-12-12,CVRX,13.8,14.35,13.25,13.55,43383.0
2022-12-13,CVRX,13.81,14.94,13.35,14.61,72332.0
2022-12-14,CVRX,14.44,15.41,13.99,15.22,69000.0
2022-12-15,CVRX,15.25,15.25,14.61,14.93,46564.0
2022-12-16,CVRX,14.73,15.5,14.51,15.47,49113.0
2022-12-19,CVRX,15.5,15.5,14.72,15.04,54281.0
2022-12-20,CVRX,15.0,15.0,14.32,14.82,45516.0
2022-12-21,CVRX,15.0,16.28,15.0,15.78,56800.0
2022-12-22,CVRX,15.69,16.3,15.1,16.3,35689.0
2022-12-23,CVRX,16.08,17.0,15.9,16.71,70143.0
2022-12-27,CVRX,16.76,17.3386,16.76,17.25,55322.0
2022-12-28,CVRX,17.3,17.66,16.7,17.25,62364.0
2022-12-29,CVRX,17.1,18.838,17.1,18.09,112269.0
2022-12-30,CVRX,18.12,18.5227,17.2601,18.35,64725.0
2023-01-03,CVRX,18.63,19.94,17.25,18.73,1065643.0
