Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CYN,84.5455,88.1818,75.4636,75.4636,2233.286
2022-11-10,CYN,83.2,85.4455,70.9091,72.5182,4877.18
2022-11-11,CYN,74.5545,78.1727,64.5455,68.6818,5496.931
2022-11-14,CYN,70.0,72.7273,67.9182,72.7273,1442.628
2022-11-15,CYN,77.0909,79.0909,69.2909,72.7273,1112.441
2022-11-16,CYN,73.7364,80.0,71.1727,73.6455,6018.144
2022-11-17,CYN,75.6455,75.6455,63.6364,68.0909,3431.989
2022-11-18,CYN,68.3818,75.7818,65.6364,73.8364,1703.471
2022-11-21,CYN,73.6364,77.2727,69.1273,73.6364,302.907
2022-11-22,CYN,73.6364,78.0909,69.3273,72.0182,590.689
2022-11-23,CYN,72.0091,75.4545,70.4545,71.8182,543.84
2022-11-25,CYN,70.0,77.5455,70.0,74.5455,395.78
2022-11-28,CYN,74.5455,78.1818,72.2727,75.4182,561.022
2022-11-29,CYN,75.4545,76.3545,72.7364,74.2727,193.006
2022-11-30,CYN,72.7273,76.0,67.3636,70.9091,909.403
2022-12-01,CYN,70.9091,73.6364,68.2727,72.1909,671.737
2022-12-02,CYN,67.2727,71.8182,66.4545,71.2727,843.183
2022-12-05,CYN,70.7273,71.8091,68.2818,69.8909,345.609
2022-12-06,CYN,70.9091,71.6364,65.9727,66.8273,489.434
2022-12-07,CYN,68.1818,72.7273,65.5455,71.1,1206.766
2022-12-08,CYN,70.4545,70.9182,69.2182,69.4545,555.445
2022-12-09,CYN,69.0909,71.6272,66.5455,67.2818,551.001
2022-12-12,CYN,67.2727,70.0,66.5455,68.5182,302.885
2022-12-13,CYN,68.2,70.0,67.2727,68.1818,785.895
2022-12-14,CYN,67.5455,69.0909,64.7273,65.6455,615.615
2022-12-15,CYN,65.4545,65.9183,60.9727,62.6818,1265.22
2022-12-16,CYN,64.4545,66.9636,60.0,66.3636,1016.202
2022-12-19,CYN,65.2727,65.2727,57.9364,62.0909,2736.393
2022-12-20,CYN,60.2273,67.5636,60.2273,67.2727,888.437
2022-12-21,CYN,65.4545,67.4545,63.6364,63.6455,761.574
2022-12-22,CYN,63.6364,64.3636,61.0909,61.8273,1241.053
2022-12-23,CYN,61.8182,61.8182,59.2727,59.5909,949.179
2022-12-27,CYN,60.0,60.0,55.9182,57.2727,825.616
2022-12-28,CYN,56.3091,60.4545,52.9455,55.6364,1250.92
2022-12-29,CYN,55.6545,60.0818,53.1818,58.3727,981.618
2022-12-30,CYN,61.4727,62.4636,54.5455,61.2364,979.462
2023-01-03,CYN,62.7273,65.4273,56.3182,60.0,1591.216
2023-01-04,CYN,61.2364,65.3636,58.7,64.5273,746.889
2023-01-05,CYN,63.0909,65.4545,61.8273,62.2727,586.179
2023-01-06,CYN,64.4545,65.2273,55.9182,59.7182,2135.276
2023-01-09,CYN,59.7182,62.1091,55.6727,61.809,1020.426
2023-01-10,CYN,60.9091,60.9091,56.7091,59.2727,905.63
2023-01-11,CYN,60.0,64.5455,59.0909,63.4182,1101.98
2023-01-12,CYN,64.4545,65.8818,62.7273,64.5455,884.224
2023-01-13,CYN,64.5455,68.1727,62.6884,66.5455,1306.525
2023-01-17,CYN,71.7364,72.7091,66.8273,69.0909,1048.443
2023-01-18,CYN,74.3727,81.8182,70.0,76.6273,4667.806
2023-01-19,CYN,76.6364,76.6364,70.0,72.7273,785.785
2023-01-20,CYN,74.5455,74.5455,64.3909,70.0,1621.147
2023-01-23,CYN,68.1818,71.8091,68.0908,69.9091,748.275
2023-01-24,CYN,69.0909,71.8182,67.3273,69.0364,569.734
2023-01-25,CYN,71.0273,71.1408,67.2728,70.4727,943.877
2023-01-26,CYN,70.0,74.3309,66.4545,70.0,2539.834
2023-01-27,CYN,69.5455,75.8909,69.1818,72.8273,4688.178
2023-01-30,CYN,70.9091,80.9091,70.9091,76.7636,2798.015
2023-01-31,CYN,77.2727,89.0818,77.2727,85.1636,5622.694
2023-02-01,CYN,88.1818,103.1818,82.0091,86.0,28297.709
2023-02-02,CYN,84.5455,116.9091,77.2818,108.6364,24323.497
2023-02-03,CYN,110.0,127.2727,105.4545,112.7273,10350.505
2023-02-06,CYN,111.8182,112.7273,96.3636,100.0,5659.72
2023-02-07,CYN,108.1818,110.9091,100.0,104.5455,4864.145
2023-02-08,CYN,104.5455,108.1818,100.0,100.0,1439.999
2023-02-09,CYN,100.0,103.6273,90.0,90.8273,4277.988
2023-02-10,CYN,90.9091,100.0,90.0545,98.1818,1722.083
2023-02-13,CYN,96.3636,103.0545,94.5455,100.0,2297.537
2023-02-14,CYN,98.1818,112.7273,98.1818,106.3636,5488.637
2023-02-15,CYN,103.6364,111.8182,103.6364,105.4545,2166.736
2023-02-16,CYN,102.7273,109.0818,99.0909,100.0,2038.894
2023-02-17,CYN,98.1818,100.0,80.0091,89.0909,6247.241
2023-02-21,CYN,89.7455,89.7455,79.0909,86.3636,1633.885
2023-02-22,CYN,86.4,92.7273,86.3636,88.6364,522.753
2023-02-23,CYN,89.6364,90.9091,86.3636,87.5455,842.347
2023-02-24,CYN,89.0909,90.0,86.4091,86.9364,364.199
2023-02-27,CYN,87.2727,87.6182,83.6364,84.5455,1502.501
2023-02-28,CYN,83.6364,88.1818,83.1818,85.4545,641.608
2023-03-01,CYN,86.3091,92.7273,83.6364,90.9091,1100.957
2023-03-02,CYN,88.1818,97.9455,88.1818,91.8182,992.827
2023-03-03,CYN,90.9091,101.8182,88.5,97.9727,1391.808
2023-03-06,CYN,99.0909,100.7455,91.8182,94.5455,691.977
2023-03-07,CYN,96.3636,99.0909,90.9091,95.4545,1600.148
2023-03-08,CYN,95.4545,99.0909,91.8182,94.5455,508.156
2023-03-09,CYN,92.7273,97.2727,88.3455,90.0,954.877
2023-03-10,CYN,88.5636,90.9091,80.9091,82.0455,1167.958
2023-03-13,CYN,80.0,90.9091,77.2909,88.1727,1540.264
2023-03-14,CYN,89.0909,92.7273,84.5455,90.9091,1283.953
2023-03-15,CYN,90.8182,106.3636,88.7818,103.6364,5396.853
2023-03-16,CYN,104.5455,109.0909,96.6455,101.8182,2746.7
2023-03-17,CYN,99.0909,114.5455,97.4909,107.2727,2541.11
2023-03-20,CYN,107.2727,107.7273,100.0,106.3636,1756.48
2023-03-21,CYN,105.4545,122.7273,104.5455,114.5455,4330.183
2023-03-22,CYN,117.2727,119.0909,109.0909,110.9091,1765.445
2023-03-23,CYN,109.0909,115.9273,107.2727,113.3909,911.702
2023-03-24,CYN,114.5455,115.0,108.1818,114.5455,501.633
2023-03-27,CYN,113.6364,116.3636,110.9091,114.5455,593.527
2023-03-28,CYN,113.6364,123.2818,106.3727,108.1818,1737.692
2023-03-29,CYN,112.7273,118.1727,104.5455,110.9091,562.617
2023-03-30,CYN,106.3636,111.8182,103.6364,107.2727,978.186
2023-03-31,CYN,105.4545,116.3636,105.4545,112.7273,1717.606
2023-04-03,CYN,106.3636,110.5455,100.0,104.5455,1844.282
2023-04-04,CYN,112.7273,112.7273,103.6364,105.4545,459.877
2023-04-05,CYN,105.4545,108.6,103.6364,104.8,771.914
2023-04-06,CYN,104.5455,107.0273,100.0909,103.2455,571.791
2023-04-10,CYN,101.8182,104.5273,100.9091,101.8182,540.562
2023-04-11,CYN,102.7273,110.0,102.7273,108.1818,1098.834
2023-04-12,CYN,104.5455,108.1818,101.8182,103.6364,661.089
2023-04-13,CYN,102.7273,107.2727,102.7273,103.8909,444.499
2023-04-14,CYN,104.5455,107.2727,101.8182,102.7273,397.265
2023-04-17,CYN,105.4545,113.6364,102.9091,113.6364,2890.734
2023-04-18,CYN,120.0,130.0,119.0909,128.1818,6278.217
2023-04-19,CYN,129.0909,138.0818,110.0,112.2727,5827.844
2023-04-20,CYN,110.9091,116.3545,102.7273,105.4545,1287.891
2023-04-21,CYN,106.3636,112.5545,102.7273,106.3636,519.365
2023-04-24,CYN,109.0909,109.0909,95.4545,98.1818,1670.801
2023-04-25,CYN,96.3636,100.9091,95.4545,96.3636,627.341
2023-04-26,CYN,97.2727,101.8091,90.9091,96.3636,1170.125
2023-04-27,CYN,99.0909,99.0909,91.8182,93.6364,637.824
2023-04-28,CYN,95.4545,104.5455,94.9,101.8182,1129.337
2023-05-01,CYN,100.9091,101.8091,93.6364,95.4545,533.731
2023-05-02,CYN,92.7273,93.6364,84.7545,90.9091,1748.494
2023-05-03,CYN,89.0909,99.9909,89.0909,90.9091,1462.505
2023-05-04,CYN,90.9091,93.6364,84.5545,88.1727,736.186
2023-05-05,CYN,90.0,90.0,81.8182,86.3636,1440.879
2023-05-08,CYN,87.2727,90.4363,81.8455,86.3636,1004.74
2023-05-09,CYN,90.9091,91.8182,84.191,90.9,311.861
2023-05-10,CYN,90.0273,93.6364,85.4545,85.4545,995.104
2023-05-11,CYN,85.9545,90.0,80.3636,81.8182,866.998
2023-05-12,CYN,81.8182,86.3545,74.5909,74.6,2482.865
2023-05-15,CYN,75.4545,77.5091,70.0364,74.5545,1551.198
2023-05-16,CYN,75.4545,78.1818,72.7273,74.5455,652.652
2023-05-17,CYN,78.5364,79.0909,71.3909,77.3273,1076.867
2023-05-18,CYN,75.0364,84.0909,75.0364,84.0909,752.081
2023-05-19,CYN,84.3273,91.8182,82.7273,90.8636,960.19
2023-05-22,CYN,87.9364,92.7273,86.0727,88.2,612.315
