Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DAKT,3.46,3.53,3.45,3.5,73331.0
2022-11-10,DAKT,3.56,3.61,3.4819,3.6,106030.0
2022-11-11,DAKT,3.62,3.7108,3.62,3.66,132559.0
2022-11-14,DAKT,3.64,3.685,3.59,3.59,78088.0
2022-11-15,DAKT,3.61,3.7,3.56,3.66,114863.0
2022-11-16,DAKT,3.66,3.67,3.58,3.65,53900.0
2022-11-17,DAKT,3.61,3.66,3.495,3.64,82681.0
2022-11-18,DAKT,3.65,3.71,3.59,3.64,92843.0
2022-11-21,DAKT,3.63,3.6865,3.55,3.6,58320.0
2022-11-22,DAKT,3.64,3.64,3.39,3.47,125098.0
2022-11-23,DAKT,3.49,3.56,3.49,3.55,50929.0
2022-11-25,DAKT,3.51,3.57,3.51,3.54,19230.0
2022-11-28,DAKT,3.51,3.57,3.39,3.41,68804.0
2022-11-29,DAKT,3.39,3.415,3.26,3.33,69482.0
2022-11-30,DAKT,3.35,3.45,3.3,3.45,66587.0
2022-12-01,DAKT,3.46,3.485,3.25,3.42,97478.0
2022-12-02,DAKT,3.36,3.515,3.36,3.5,63047.0
2022-12-05,DAKT,3.46,3.51,3.31,3.32,67703.0
2022-12-06,DAKT,3.33,3.365,3.26,3.32,109854.0
2022-12-07,DAKT,2.7,2.81,1.46,2.02,4328945.0
2022-12-08,DAKT,2.11,2.1599,1.75,1.75,1408442.0
2022-12-09,DAKT,1.81,2.25,1.7,1.98,1478544.0
2022-12-12,DAKT,2.39,2.48,2.02,2.36,1374140.0
2022-12-13,DAKT,2.53,2.57,2.245,2.29,1691008.0
2022-12-14,DAKT,2.37,2.41,2.21,2.35,331317.0
2022-12-15,DAKT,2.31,2.48,2.31,2.43,346112.0
2022-12-16,DAKT,2.43,2.7,2.43,2.54,561453.0
2022-12-19,DAKT,2.65,2.83,2.53,2.74,576104.0
2022-12-20,DAKT,2.7,3.24,2.692,2.94,1320393.0
2022-12-21,DAKT,3.05,3.05,2.81,2.9,416953.0
2022-12-22,DAKT,2.91,2.93,2.805,2.81,249075.0
2022-12-23,DAKT,2.81,2.985,2.81,2.97,179262.0
2022-12-27,DAKT,2.97,3.02,2.75,2.81,450284.0
2022-12-28,DAKT,2.81,2.88,2.65,2.65,328863.0
2022-12-29,DAKT,2.64,2.73,2.64,2.66,154804.0
2022-12-30,DAKT,2.6,2.9,2.6,2.82,395579.0
2023-01-03,DAKT,2.86,3.07,2.86,2.92,211813.0
2023-01-04,DAKT,2.93,3.04,2.875,2.93,163625.0
2023-01-05,DAKT,2.93,2.93,2.76,2.76,188123.0
2023-01-06,DAKT,2.77,3.02,2.76,2.91,270568.0
2023-01-09,DAKT,2.87,3.14,2.81,2.99,275953.0
2023-01-10,DAKT,2.98,3.18,2.95,3.12,209497.0
2023-01-11,DAKT,3.12,3.245,3.105,3.13,194069.0
2023-01-12,DAKT,3.1,3.205,3.065,3.16,133941.0
2023-01-13,DAKT,3.14,3.265,3.11,3.21,211525.0
2023-01-17,DAKT,3.21,3.29,3.14,3.24,185794.0
2023-01-18,DAKT,3.26,3.33,3.17,3.21,123876.0
2023-01-19,DAKT,3.16,3.2,2.91,3.02,278640.0
