Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DAWN,19.6,19.7,18.68,18.77,534639.0
2022-11-10,DAWN,19.78,21.0,18.81,20.9,990876.0
2022-11-11,DAWN,20.96,21.43,20.44,21.29,494878.0
2022-11-14,DAWN,21.31,22.62,21.1835,22.0,359875.0
2022-11-15,DAWN,22.54,22.625,21.82,21.89,437990.0
2022-11-16,DAWN,22.15,22.15,21.06,21.21,373930.0
2022-11-17,DAWN,21.11,21.16,20.56,21.09,555999.0
2022-11-18,DAWN,21.39,21.79,20.93,21.34,237484.0
2022-11-21,DAWN,21.27,21.43,20.25,20.41,501040.0
2022-11-22,DAWN,20.63,21.74,20.3,21.68,558408.0
2022-11-23,DAWN,21.57,22.04,20.83,21.14,235213.0
2022-11-25,DAWN,21.06,21.5,20.66,21.41,84243.0
2022-11-28,DAWN,21.07,21.77,19.9,20.12,349088.0
2022-11-29,DAWN,20.22,20.81,20.12,20.35,553214.0
2022-11-30,DAWN,20.56,21.27,19.65,21.23,385085.0
2022-12-01,DAWN,22.02,22.7,21.02,21.22,436870.0
2022-12-02,DAWN,20.9,22.05,20.88,21.74,461844.0
2022-12-05,DAWN,23.0,23.1,20.99,21.45,481321.0
2022-12-06,DAWN,21.13,21.745,20.91,21.06,360834.0
2022-12-07,DAWN,21.05,22.26,20.96,22.0,454973.0
2022-12-08,DAWN,22.13,22.64,21.75,21.96,270526.0
2022-12-09,DAWN,21.85,22.19,20.47,20.5,285428.0
2022-12-12,DAWN,20.85,20.85,19.87,19.97,474171.0
2022-12-13,DAWN,20.01,20.39,18.41,20.1,925665.0
2022-12-14,DAWN,20.47,21.81,19.905,21.61,544757.0
2022-12-15,DAWN,21.95,22.04,20.89,21.42,557932.0
2022-12-16,DAWN,21.21,21.695,20.37,21.42,881284.0
2022-12-19,DAWN,21.18,21.44,19.65,19.8,528383.0
2022-12-20,DAWN,19.64,20.605,19.62,20.4,440016.0
2022-12-21,DAWN,20.5,21.18,19.84,20.59,634656.0
2022-12-22,DAWN,20.42,20.72,20.2158,20.66,206836.0
2022-12-23,DAWN,20.57,20.65,19.3,19.46,356639.0
2022-12-27,DAWN,19.42,19.76,19.14,19.34,270533.0
2022-12-28,DAWN,19.41,20.03,19.41,19.81,240938.0
2022-12-29,DAWN,19.99,21.55,19.81,21.23,425111.0
2022-12-30,DAWN,21.04,21.72,20.78,21.52,286458.0
2023-01-03,DAWN,21.29,21.89,19.85,20.25,669401.0
2023-01-04,DAWN,20.41,21.09,20.02,20.96,987042.0
2023-01-05,DAWN,20.93,21.5,20.78,21.14,541543.0
2023-01-06,DAWN,21.19,21.49,20.73,21.34,583993.0
2023-01-09,DAWN,25.61,25.77,21.22,21.89,3182371.0
2023-01-10,DAWN,21.95,23.65,21.7629,22.82,1005508.0
2023-01-11,DAWN,22.8,23.76,22.1054,22.98,434754.0
2023-01-12,DAWN,22.89,23.43,22.15,22.96,864944.0
2023-01-13,DAWN,22.68,23.71,22.16,22.83,639924.0
2023-01-17,DAWN,22.8,23.79,22.4401,23.41,476839.0
2023-01-18,DAWN,23.55,24.0,22.45,22.47,638590.0
2023-01-19,DAWN,22.71,23.015,22.335,22.62,360287.0
2023-01-20,DAWN,23.25,23.25,22.45,22.47,416036.0
2023-01-23,DAWN,22.44,22.6,21.63,21.78,569882.0
2023-01-24,DAWN,21.57,22.35,21.53,22.03,341972.0
2023-01-25,DAWN,21.6,22.26,20.96,22.1,468111.0
2023-01-26,DAWN,22.23,22.255,21.36,21.54,352953.0
2023-01-27,DAWN,21.65,22.0592,21.38,21.45,263007.0
2023-01-30,DAWN,21.33,21.61,20.89,21.33,390602.0
2023-01-31,DAWN,21.53,22.06,21.33,21.77,507908.0
2023-02-01,DAWN,21.7,21.76,20.55,21.53,455210.0
2023-02-02,DAWN,21.58,21.78,20.85,21.75,740626.0
2023-02-03,DAWN,21.3,21.9751,20.92,21.11,434254.0
2023-02-06,DAWN,20.96,21.39,20.12,21.23,436220.0
2023-02-07,DAWN,21.26,21.48,20.66,20.91,509772.0
2023-02-08,DAWN,21.42,21.51,20.14,20.23,460120.0
2023-02-09,DAWN,20.28,20.915,20.12,20.51,530579.0
2023-02-10,DAWN,20.45,20.52,19.7,19.9,721086.0
2023-02-13,DAWN,19.91,20.38,19.4118,20.23,588372.0
2023-02-14,DAWN,20.07,20.46,19.44,19.94,400993.0
2023-02-15,DAWN,19.75,19.84,19.185,19.54,579424.0
2023-02-16,DAWN,19.43,20.15,19.21,19.55,404859.0
2023-02-17,DAWN,19.54,20.09,19.455,20.05,332774.0
2023-02-21,DAWN,19.75,19.765,18.84,19.2,766412.0
2023-02-22,DAWN,19.27,19.715,19.025,19.45,373795.0
2023-02-23,DAWN,19.51,19.52,18.51,18.59,572452.0
2023-02-24,DAWN,18.31,18.88,17.77,17.99,352469.0
2023-02-27,DAWN,18.25,18.6919,18.02,18.34,576642.0
2023-02-28,DAWN,18.38,18.645,18.25,18.42,288971.0
2023-03-01,DAWN,18.55,18.88,18.38,18.58,416580.0
2023-03-02,DAWN,18.35,18.86,17.81,18.4,1049058.0
2023-03-03,DAWN,18.54,18.94,18.3,18.74,294111.0
2023-03-06,DAWN,19.51,19.51,17.95,18.36,645202.0
2023-03-07,DAWN,19.28,20.22,19.1,19.73,846475.0
2023-03-08,DAWN,19.8,20.39,19.01,19.35,584634.0
2023-03-09,DAWN,19.31,19.43,18.21,18.58,460191.0
2023-03-10,DAWN,18.58,18.58,17.59,17.95,616069.0
