Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DKL,54.08,54.485,52.84,53.79,83867.0
2022-11-10,DKL,54.5,56.54,53.86,56.16,103258.0
2022-11-11,DKL,56.44,57.16,55.4331,56.22,59794.0
2022-11-14,DKL,56.01,57.2,55.04,55.04,35993.0
2022-11-15,DKL,55.24,55.77,54.76,54.81,38761.0
2022-11-16,DKL,54.85,56.24,54.33,56.1,33950.0
2022-11-17,DKL,54.83,56.12,54.31,55.82,35855.0
2022-11-18,DKL,55.0,56.0299,53.2,54.81,35551.0
2022-11-21,DKL,54.81,54.81,53.05,54.17,41708.0
2022-11-22,DKL,53.93,55.755,53.465,54.96,53667.0
2022-11-23,DKL,54.9,55.85,53.58,53.6,61194.0
2022-11-25,DKL,53.74,54.27,52.36,52.36,26147.0
2022-11-28,DKL,52.51,53.6,52.38,52.44,51062.0
2022-11-29,DKL,52.26,52.91,51.12,51.47,59783.0
2022-11-30,DKL,51.67,51.67,50.26,51.2,158397.0
2022-12-01,DKL,51.2,51.4227,49.75,50.19,83890.0
2022-12-02,DKL,49.76,50.84,49.2,50.09,67576.0
2022-12-05,DKL,50.11,50.58,47.25,48.43,80481.0
2022-12-06,DKL,48.73,49.4374,46.39,47.07,78535.0
2022-12-07,DKL,46.8,47.26,45.46,46.02,70946.0
2022-12-08,DKL,46.21,46.81,44.86,45.46,59277.0
2022-12-09,DKL,44.94,45.7399,44.5,44.78,47975.0
2022-12-12,DKL,44.56,46.105,44.35,45.82,62685.0
2022-12-13,DKL,46.52,46.555,44.12,45.03,177157.0
2022-12-14,DKL,44.88,44.91,43.11,43.75,75466.0
2022-12-15,DKL,43.9,44.27,42.6,43.89,86275.0
2022-12-16,DKL,43.6,45.75,42.89,45.75,247867.0
2022-12-19,DKL,45.24,45.57,44.12,44.16,108490.0
2022-12-20,DKL,43.75,44.99,43.34,44.49,58994.0
2022-12-21,DKL,45.0,46.5,44.1,46.3,65099.0
2022-12-22,DKL,46.71,46.8,45.01,45.52,66846.0
2022-12-23,DKL,45.42,46.495,45.15,46.47,38468.0
2022-12-27,DKL,47.05,47.7,46.28,47.2,58196.0
2022-12-28,DKL,47.32,47.32,46.36,46.73,32376.0
2022-12-29,DKL,47.06,47.6899,46.55,46.97,49498.0
2022-12-30,DKL,47.13,47.13,45.25,45.25,56878.0
2023-01-03,DKL,45.84,47.166,44.6313,45.46,41452.0
2023-01-04,DKL,45.73,47.2302,45.73,46.94,38781.0
2023-01-05,DKL,46.57,47.3899,45.04,47.04,23381.0
2023-01-06,DKL,47.82,49.13,46.65,49.06,56933.0
2023-01-09,DKL,48.67,49.13,47.15,48.59,63746.0
2023-01-10,DKL,47.7705,48.75,47.46,47.46,30166.0
2023-01-11,DKL,47.52,49.1299,47.52,48.35,8586.0
2023-01-12,DKL,49.0,49.0,47.06,47.62,32426.0
2023-01-13,DKL,47.06,47.7663,46.93,46.98,20200.0
2023-01-17,DKL,47.53,47.67,46.7975,47.67,9791.0
2023-01-18,DKL,49.06,49.06,47.1,47.35,11631.0
2023-01-19,DKL,46.78,47.71,46.1501,47.69,9250.0
2023-01-20,DKL,47.21,47.64,46.08,46.3,18549.0
2023-01-23,DKL,46.49,48.16,46.2,48.06,26076.0
2023-01-24,DKL,48.95,50.63,48.6435,49.47,35004.0
2023-01-25,DKL,50.05,50.05,48.683,49.18,13497.0
2023-01-26,DKL,49.9,50.63,48.8485,50.52,28076.0
2023-01-27,DKL,50.92,51.19,49.4301,49.73,26228.0
2023-01-30,DKL,49.81,50.75,49.45,49.68,57131.0
2023-01-31,DKL,50.0,51.38,49.46,50.59,133299.0
2023-02-01,DKL,49.27,49.57,47.09,48.22,41177.0
2023-02-02,DKL,48.64,49.35,47.6501,48.53,47323.0
2023-02-03,DKL,49.01,49.37,47.26,47.37,50911.0
2023-02-06,DKL,47.19,47.96,46.241,46.73,34333.0
2023-02-07,DKL,47.543,49.35,46.73,48.29,35644.0
2023-02-08,DKL,48.3501,49.4,47.1438,47.78,21508.0
2023-02-09,DKL,48.38,49.69,46.38,46.78,61717.0
2023-02-10,DKL,46.91,48.44,46.9,47.08,39366.0
2023-02-13,DKL,46.82,48.2,46.54,46.78,24027.0
2023-02-14,DKL,48.46,48.46,46.73,47.16,29667.0
2023-02-15,DKL,47.33,49.18,46.8801,48.82,39821.0
2023-02-16,DKL,48.98,50.38,48.2001,49.41,48680.0
2023-02-17,DKL,48.79,50.02,48.38,48.7,55389.0
2023-02-21,DKL,48.81,49.09,46.62,46.89,30333.0
2023-02-22,DKL,47.33,47.49,46.4,46.71,27595.0
2023-02-23,DKL,46.56,47.59,45.63,46.33,26923.0
2023-02-24,DKL,46.5204,47.565,45.94,47.12,37433.0
2023-02-27,DKL,47.5,48.77,47.5,48.22,29334.0
2023-02-28,DKL,48.99,52.075,48.02,50.42,283112.0
2023-03-01,DKL,51.82,52.39,49.89,49.91,76563.0
2023-03-02,DKL,49.66,50.395,48.82,49.06,37973.0
2023-03-03,DKL,50.08,50.45,48.83,49.8,36438.0
2023-03-06,DKL,49.5,50.2588,48.975,49.65,28550.0
2023-03-07,DKL,50.24,50.725,49.0226,50.47,29006.0
2023-03-08,DKL,49.96,51.705,49.03,51.04,41426.0
2023-03-09,DKL,50.65,52.17,50.12,51.1,47983.0
2023-03-10,DKL,50.96,52.87,50.2032,51.79,53425.0
2023-03-13,DKL,51.92,53.79,50.44,52.55,57663.0
2023-03-14,DKL,52.79,54.3399,52.0701,52.73,25693.0
2023-03-15,DKL,51.73,52.86,49.72,50.55,35673.0
2023-03-16,DKL,50.77,52.42,50.77,52.42,44675.0
2023-03-17,DKL,52.37,52.37,50.12,51.8,72296.0
2023-03-20,DKL,52.34,52.34,50.5,51.22,19151.0
2023-03-21,DKL,51.41,51.47,50.59,51.35,7179.0
2023-03-22,DKL,51.3,52.0,51.0,51.0,117652.0
2023-03-23,DKL,51.06,51.9999,49.13,49.3,12146.0
2023-03-24,DKL,48.86,50.46,48.73,49.36,22046.0
2023-03-27,DKL,50.01,50.28,49.2,49.79,3833.0
2023-03-28,DKL,50.0,50.0,49.01,49.89,28645.0
2023-03-29,DKL,49.9999,49.9999,48.89,49.44,15897.0
2023-03-30,DKL,50.1,50.1,49.05,49.25,11381.0
2023-03-31,DKL,49.77,49.77,47.42,47.42,66409.0
2023-04-03,DKL,48.0,49.5299,47.8601,48.9,19039.0
2023-04-04,DKL,49.49,49.95,47.9,48.12,10530.0
2023-04-05,DKL,48.23,49.1399,48.2101,48.63,8305.0
2023-04-06,DKL,48.21,49.11,48.21,48.79,23198.0
2023-04-10,DKL,48.69,50.015,48.3001,49.03,11810.0
2023-04-11,DKL,49.03,49.9039,48.83,49.51,11029.0
2023-04-12,DKL,50.23,50.3,49.46,49.65,15681.0
2023-04-13,DKL,51.5,51.5,48.51,49.0,14605.0
2023-04-14,DKL,48.82,49.89,48.615,49.73,9749.0
2023-04-17,DKL,49.93,50.37,49.16,49.99,15061.0
2023-04-18,DKL,50.35,50.35,48.58,48.58,27301.0
2023-04-19,DKL,50.35,50.35,48.23,48.3,29482.0
2023-04-20,DKL,48.24,48.9,48.0679,48.6,11707.0
2023-04-21,DKL,48.24,48.575,47.495,47.53,9986.0
2023-04-24,DKL,47.28,48.4599,46.76,47.52,9789.0
2023-04-25,DKL,47.0018,48.1899,46.6,47.44,21047.0
2023-04-26,DKL,46.95,47.55,46.17,46.77,16728.0
2023-04-27,DKL,46.79,48.04,46.38,48.04,11979.0
2023-04-28,DKL,47.32,48.26,46.56,47.03,25144.0
2023-05-01,DKL,47.1,48.25,47.1,47.11,17973.0
2023-05-02,DKL,47.1,48.0399,46.15,46.59,23814.0
2023-05-03,DKL,46.59,46.9999,45.0,45.4,54329.0
2023-05-04,DKL,46.0,46.0,44.11,44.5,27069.0
2023-05-05,DKL,43.6,44.55,43.42,44.16,28076.0
2023-05-08,DKL,45.0,45.0,43.0701,44.05,34809.0
2023-05-09,DKL,43.6,44.41,43.5,44.0,14522.0
2023-05-10,DKL,44.1,44.2,42.98,43.66,36374.0
2023-05-11,DKL,44.43,44.43,42.77,43.35,17950.0
2023-05-12,DKL,43.6,43.6,41.8,41.95,22659.0
2023-05-15,DKL,43.78,43.78,42.488,43.25,72976.0
2023-05-16,DKL,42.99,44.37,42.0,42.32,27660.0
2023-05-17,DKL,42.12,44.05,42.1,43.57,32878.0
2023-05-18,DKL,43.31,46.97,43.31,46.95,35030.0
2023-05-19,DKL,47.05,48.97,46.72,48.83,40524.0
2023-05-22,DKL,48.74,50.5,47.61,49.9,51346.0
2023-05-23,DKL,50.06,50.98,49.5,50.31,85838.0
2023-05-24,DKL,50.5,51.0,49.1801,50.84,49017.0
2023-05-25,DKL,51.0,53.955,49.59,52.87,64170.0
2023-05-26,DKL,53.39,55.81,52.5121,55.33,84151.0
2023-05-30,DKL,54.79,56.52,53.02,55.87,67323.0
2023-05-31,DKL,55.69,55.835,52.31,53.8,152832.0
2023-06-01,DKL,54.02,55.33,52.43,52.91,20947.0
2023-06-02,DKL,52.25,53.9581,52.25,53.48,19347.0
2023-06-05,DKL,53.77,53.862,52.17,53.06,8731.0
2023-06-06,DKL,52.52,52.66,52.2,52.36,13869.0
2023-06-07,DKL,53.53,54.08,52.5,53.81,19189.0
2023-06-08,DKL,53.2,55.135,53.2,54.42,16179.0
2023-06-09,DKL,54.0,54.2,52.26,53.26,15282.0
2023-06-12,DKL,53.88,54.64,51.7,52.27,27864.0
2023-06-13,DKL,51.94,53.595,51.26,51.74,36531.0
