Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DLCAU,10.01,10.01,10.01,10.01,1500
2022-11-10,DLCAU,10.01,10.0102,10.01,10.0102,3580
2022-11-11,DLCAU,10.02,10.02,10.02,10.02,5200
2022-11-14,DLCAU,9.989,10.0,9.98,9.98,35448
2022-11-22,DLCAU,9.985,10.04,9.985,10.04,2955
2022-11-23,DLCAU,10.04,10.05,10.03,10.05,5112
2022-11-28,DLCAU,10.05,10.05,10.05,10.05,150
2022-11-29,DLCAU,10.05,10.05,10.05,10.05,1500
2022-12-01,DLCAU,10.06,10.06,10.055,10.06,2035
2022-12-02,DLCAU,10.06,10.06,10.05,10.0533,3949
2022-12-05,DLCAU,10.0501,10.0501,10.05,10.05,604
2022-12-06,DLCAU,10.065,10.065,10.065,10.065,100
2022-12-07,DLCAU,10.07,10.075,10.07,10.07,3241
2022-12-09,DLCAU,10.06,10.06,10.05,10.05,21200
2022-12-12,DLCAU,10.06,10.06,10.06,10.06,800
2022-12-14,DLCAU,10.07,10.07,10.07,10.07,600
2022-12-15,DLCAU,10.06,10.06,10.06,10.06,200
2022-12-21,DLCAU,10.08,10.08,10.08,10.08,1320
2022-12-27,DLCAU,10.07,10.07,10.07,10.07,783
2022-12-28,DLCAU,10.08,10.09,10.08,10.09,1200
2022-12-29,DLCAU,10.07,10.0701,10.07,10.0701,820
2022-12-30,DLCAU,10.07,10.07,10.07,10.07,2333
2023-01-03,DLCAU,10.07,10.08,10.07,10.08,1603
2023-01-04,DLCAU,10.09,10.1,10.09,10.1,1601
2023-01-06,DLCAU,10.1,10.11,10.1,10.11,1600
2023-01-09,DLCAU,10.12,10.12,10.12,10.12,1410
