Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DLR,98.37,98.99,96.9,97.09,1605304.0
2022-11-10,DLR,101.33,108.97,101.2,108.59,2886682.0
2022-11-11,DLR,108.47,113.26,108.39,111.58,2804366.0
2022-11-14,DLR,110.86,110.86,107.295,107.42,1723810.0
2022-11-15,DLR,109.34,112.07,109.105,111.87,2038488.0
2022-11-16,DLR,111.59,112.12,109.84,109.85,1699474.0
2022-11-17,DLR,107.92,109.81,107.84,109.29,1983226.0
2022-11-18,DLR,111.01,111.355,109.29,110.46,1245112.0
2022-11-21,DLR,109.9,110.85,108.65,110.59,1571748.0
2022-11-22,DLR,110.81,110.81,108.31,109.5,1799637.0
2022-11-23,DLR,109.22,111.07,109.19,110.99,1207284.0
2022-11-25,DLR,111.37,112.27,110.59,111.27,431762.0
2022-11-28,DLR,110.0,110.9,107.09,107.48,1818252.0
2022-11-29,DLR,107.64,109.0,107.31,108.75,1422115.0
2022-11-30,DLR,108.24,112.7,107.51,112.46,2598135.0
2022-12-01,DLR,113.23,114.86,110.93,111.7,1564379.0
2022-12-02,DLR,110.09,111.25,108.77,110.85,1610619.0
2022-12-05,DLR,110.13,110.8778,108.5475,109.16,1475029.0
2022-12-06,DLR,109.51,109.65,107.48,108.05,1199149.0
2022-12-07,DLR,107.79,109.99,107.52,108.8,1352233.0
2022-12-08,DLR,109.0,110.66,106.84,107.32,2221336.0
2022-12-09,DLR,106.74,108.85,106.13,106.96,1294016.0
2022-12-12,DLR,107.07,108.38,106.52,108.33,1953826.0
2022-12-13,DLR,112.47,113.48,109.164,111.09,2243365.0
2022-12-14,DLR,107.18,109.3,104.5,104.64,4600739.0
2022-12-15,DLR,103.16,105.03,102.8,104.28,2626898.0
2022-12-16,DLR,102.48,102.815,99.01,101.54,5083576.0
2022-12-19,DLR,101.0,101.3,98.73,99.39,2022385.0
2022-12-20,DLR,98.67,100.25,97.83,98.74,2170587.0
2022-12-21,DLR,98.78,102.03,98.7,100.45,1623523.0
2022-12-22,DLR,99.44,100.67,98.08,99.86,1957768.0
2022-12-23,DLR,99.22,101.33,98.69,100.87,833622.0
2022-12-27,DLR,100.75,101.04,98.72,100.35,1124699.0
2022-12-28,DLR,100.77,101.25,99.125,99.4,2197962.0
2022-12-29,DLR,100.19,102.135,99.4001,101.3,1149283.0
2022-12-30,DLR,100.37,101.22,98.9,100.27,1200404.0
2023-01-03,DLR,101.5,103.34,100.715,102.83,2410052.0
2023-01-04,DLR,100.6,105.77,99.72,103.65,2492544.0
2023-01-05,DLR,102.3,102.3,97.91,98.08,2218106.0
2023-01-06,DLR,98.46,102.02,97.05,101.38,2015535.0
2023-01-09,DLR,101.42,102.6139,100.54,101.14,2859054.0
2023-01-10,DLR,100.96,102.39,100.02,102.32,1448316.0
2023-01-11,DLR,103.14,105.45,102.96,105.03,1857032.0
2023-01-12,DLR,105.72,107.49,103.85,107.28,1547047.0
2023-01-13,DLR,105.78,107.05,105.125,106.0,1055978.0
2023-01-17,DLR,106.08,107.47,105.03,106.85,1801688.0
2023-01-18,DLR,106.85,107.41,104.62,105.44,1834030.0
2023-01-19,DLR,105.11,106.39,104.11,104.96,1901812.0
2023-01-20,DLR,105.06,107.29,103.4001,106.74,1636438.0
2023-01-23,DLR,106.66,108.255,106.05,107.22,1214642.0
2023-01-24,DLR,106.43,109.05,106.27,107.0,1668266.0
2023-01-25,DLR,106.33,107.38,104.34,107.19,1636032.0
2023-01-26,DLR,107.92,109.36,107.68,109.31,1365098.0
2023-01-27,DLR,109.24,111.8729,109.0,111.31,1662974.0
2023-01-30,DLR,110.07,112.2,110.01,111.03,2074233.0
2023-01-31,DLR,110.75,114.82,110.75,114.62,4887422.0
2023-02-01,DLR,114.5,116.86,112.31,116.15,2308996.0
2023-02-02,DLR,117.77,122.43,117.57,119.92,2963052.0
2023-02-03,DLR,117.16,118.42,113.84,115.21,2045236.0
2023-02-06,DLR,112.96,114.57,112.13,114.4,1145829.0
2023-02-07,DLR,113.43,114.46,112.1101,113.48,1725601.0
2023-02-08,DLR,113.1,113.67,111.77,112.61,1541817.0
2023-02-09,DLR,113.44,114.176,111.08,111.3,1013823.0
2023-02-10,DLR,110.0,111.79,109.205,111.46,1554019.0
2023-02-13,DLR,111.87,113.12,111.505,112.97,1195117.0
2023-02-14,DLR,112.35,113.52,110.75,112.83,1471034.0
2023-02-15,DLR,112.38,113.66,111.47,113.63,1425503.0
2023-02-16,DLR,111.32,113.89,110.12,112.88,1484145.0
2023-02-17,DLR,113.16,113.205,107.72,110.76,3369713.0
2023-02-21,DLR,109.99,110.39,106.68,108.41,2382791.0
2023-02-22,DLR,108.61,109.17,106.13,106.64,1781573.0
2023-02-23,DLR,107.71,108.83,107.15,108.76,1201922.0
2023-02-24,DLR,107.35,108.12,104.595,105.04,1203200.0
2023-02-27,DLR,106.56,107.25,103.92,104.88,1481873.0
2023-02-28,DLR,104.77,106.45,103.93,104.23,2178173.0
2023-03-01,DLR,103.29,103.5,100.02,100.83,2351847.0
2023-03-02,DLR,99.94,103.5,98.86,103.1,2259804.0
2023-03-03,DLR,103.84,106.745,103.68,106.0,2673846.0
2023-03-06,DLR,106.86,106.86,104.87,105.32,1447305.0
2023-03-07,DLR,105.62,106.0,102.84,102.95,1571196.0
2023-03-08,DLR,103.0,106.71,103.0,105.79,1546271.0
2023-03-09,DLR,106.0,106.525,104.065,104.38,1867582.0
2023-03-10,DLR,104.19,105.34,101.97,102.54,2405018.0
2023-03-13,DLR,102.02,108.03,101.665,105.93,2980030.0
2023-03-14,DLR,106.29,107.23,104.56,105.7,2170061.0
2023-03-15,DLR,104.16,106.9,103.67,105.26,3288622.0
2023-03-16,DLR,104.76,105.1,101.54,103.09,4055519.0
2023-03-17,DLR,100.72,101.67,98.78,100.7,5200603.0
2023-03-20,DLR,100.39,101.92,99.335,101.66,2229698.0
2023-03-21,DLR,101.65,101.848,95.57,97.83,4285910.0
2023-03-22,DLR,97.33,97.33,92.04,92.29,2592089.0
2023-03-23,DLR,92.42,95.845,91.84,93.51,2573533.0
2023-03-24,DLR,93.33,94.45,91.925,94.37,2618857.0
2023-03-27,DLR,93.39,94.775,93.03,94.0,2121524.0
2023-03-28,DLR,93.14,94.45,90.78,91.42,3015392.0
2023-03-29,DLR,92.96,93.55,90.72,92.4,4373476.0
2023-03-30,DLR,93.75,94.865,92.68,93.47,3786952.0
2023-03-31,DLR,93.89,98.47,93.885,98.31,3934997.0
2023-04-03,DLR,98.0,98.12,93.105,93.32,4271733.0
2023-04-04,DLR,93.13,93.53,91.79,92.78,3137875.0
2023-04-05,DLR,92.4,92.805,89.85,90.21,4402747.0
2023-04-06,DLR,90.0,90.97,88.405,90.93,2686105.0
2023-04-10,DLR,89.75,92.88,89.2208,92.63,3841560.0
2023-04-11,DLR,92.81,95.03,92.01,93.84,2628372.0
2023-04-12,DLR,95.08,95.64,92.54,92.8,2362391.0
2023-04-13,DLR,93.12,93.49,91.23,91.93,1939204.0
2023-04-14,DLR,92.04,92.51,88.11,89.78,2709662.0
2023-04-17,DLR,90.5,96.28,90.5,96.2,3832323.0
2023-04-18,DLR,96.08,98.11,95.2,97.57,4471081.0
2023-04-19,DLR,97.0,98.2,96.25,96.51,2401176.0
2023-04-20,DLR,95.54,95.86,93.21,94.25,2221864.0
2023-04-21,DLR,94.3,96.69,94.0434,96.64,1827305.0
2023-04-24,DLR,97.06,98.1,96.63,97.49,1981085.0
2023-04-25,DLR,97.27,98.54,96.8616,97.64,1575984.0
