Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DOCS,24.35,24.73,23.685,24.0,2626643.0
2022-11-10,DOCS,25.71,27.05,25.44,26.33,6207945.0
2022-11-11,DOCS,30.815,35.43,28.5,34.94,17317424.0
2022-11-14,DOCS,33.96,34.0,30.86,30.95,5649063.0
2022-11-15,DOCS,31.88,33.3,30.7899,32.78,3636122.0
2022-11-16,DOCS,32.53,33.02,31.67,32.21,1785151.0
2022-11-17,DOCS,31.48,31.77,29.71,31.61,2157092.0
2022-11-18,DOCS,32.4,32.41,30.25,31.7,1402891.0
2022-11-21,DOCS,31.53,32.1592,30.61,31.16,1255028.0
2022-11-22,DOCS,31.07,31.52,30.0669,31.47,916643.0
2022-11-23,DOCS,32.0,32.8,31.68,32.39,1561565.0
2022-11-25,DOCS,32.0,32.2418,31.14,31.65,528632.0
2022-11-28,DOCS,31.18,32.03,30.7,31.71,1146101.0
2022-11-29,DOCS,31.89,33.52,31.67,32.15,1928116.0
2022-11-30,DOCS,32.24,34.14,31.95,33.99,4827102.0
2022-12-01,DOCS,34.0,35.31,33.64,34.78,2134324.0
2022-12-02,DOCS,33.97,35.56,33.52,35.47,1249732.0
2022-12-05,DOCS,35.4,36.28,34.7,35.38,2590771.0
2022-12-06,DOCS,35.23,35.5,33.53,33.79,1939112.0
2022-12-07,DOCS,33.82,35.38,33.7,34.76,1581716.0
2022-12-08,DOCS,34.73,35.82,34.05,35.75,1112306.0
2022-12-09,DOCS,35.72,36.24,35.41,35.63,1330306.0
2022-12-12,DOCS,35.26,35.34,34.1,35.08,1031173.0
2022-12-13,DOCS,37.28,37.99,35.87,36.72,1690231.0
2022-12-14,DOCS,36.61,36.96,35.75,36.33,1014862.0
2022-12-15,DOCS,35.61,36.39,34.74,34.79,1682132.0
2022-12-16,DOCS,34.54,35.23,34.03,35.09,1891612.0
2022-12-19,DOCS,35.0,35.19,33.595,33.75,1235848.0
2022-12-20,DOCS,33.43,35.6,33.08,34.95,1509746.0
2022-12-21,DOCS,35.0,36.12,34.95,35.64,1076551.0
2022-12-22,DOCS,35.14,35.27,34.13,34.95,839199.0
2022-12-23,DOCS,34.87,35.07,33.94,34.19,738364.0
2022-12-27,DOCS,33.83,33.9,33.03,33.5,823753.0
2022-12-28,DOCS,33.42,33.63,32.57,32.76,778642.0
2022-12-29,DOCS,33.15,34.39,33.11,33.86,727922.0
2022-12-30,DOCS,33.02,33.705,32.388,33.56,792888.0
2023-01-03,DOCS,34.11,34.64,32.82,32.85,939941.0
2023-01-04,DOCS,33.28,34.32,32.44,33.48,853563.0
2023-01-05,DOCS,33.15,33.15,31.62,32.01,901631.0
2023-01-06,DOCS,30.39,31.07,28.175,30.5,2531412.0
2023-01-09,DOCS,30.85,31.47,30.13,30.65,1838513.0
2023-01-10,DOCS,30.4,31.6,30.4,31.58,675073.0
2023-01-11,DOCS,31.65,32.43,31.465,32.42,931037.0
2023-01-12,DOCS,32.6,33.58,31.83,32.83,1071042.0
2023-01-13,DOCS,32.41,33.2525,32.355,32.7,783570.0
2023-01-17,DOCS,32.36,32.42,31.25,32.21,1188029.0
2023-01-18,DOCS,32.62,33.11,31.74,31.83,884177.0
2023-01-19,DOCS,31.46,31.93,31.02,31.62,801390.0
2023-01-20,DOCS,31.94,32.4675,31.72,32.29,883228.0
2023-01-23,DOCS,32.29,34.02,31.915,33.64,1466234.0
2023-01-24,DOCS,33.3,33.608,32.69,32.88,1066515.0
2023-01-25,DOCS,32.2,32.97,31.33,32.97,1818196.0
2023-01-26,DOCS,33.34,33.91,32.25,33.43,1947153.0
2023-01-27,DOCS,33.3,35.7,33.205,34.95,1816202.0
2023-01-30,DOCS,34.31,35.41,34.09,34.22,1049752.0
2023-01-31,DOCS,34.22,35.55,34.22,35.27,755931.0
2023-02-01,DOCS,35.41,37.34,35.315,37.28,2464622.0
2023-02-02,DOCS,38.0,40.12,37.85,39.66,4223014.0
2023-02-03,DOCS,38.73,39.64,38.0,38.11,1656802.0
2023-02-06,DOCS,37.46,38.15,36.89,37.4,2136813.0
2023-02-07,DOCS,37.44,39.39,37.1,39.22,2005083.0
2023-02-08,DOCS,39.05,39.31,37.16,37.27,1732746.0
2023-02-09,DOCS,37.73,38.1,36.27,36.41,2691778.0
2023-02-10,DOCS,35.7,35.71,31.5,31.72,8096378.0
2023-02-13,DOCS,31.71,33.29,31.38,33.05,3209584.0
2023-02-14,DOCS,32.56,33.55,32.15,33.17,3293958.0
2023-02-15,DOCS,33.0,36.85,33.0,36.45,3628722.0
2023-02-16,DOCS,35.64,36.24,34.73,34.77,1416282.0
2023-02-17,DOCS,34.06,34.5499,33.22,33.78,1446738.0
2023-02-21,DOCS,33.18,33.82,33.04,33.56,1957593.0
2023-02-22,DOCS,33.37,34.0,32.51,33.26,2112304.0
2023-02-23,DOCS,33.19,33.63,32.18,33.57,1565235.0
2023-02-24,DOCS,32.73,33.3192,32.502,32.83,1213777.0
2023-02-27,DOCS,32.87,33.29,32.58,32.8,1277185.0
2023-02-28,DOCS,32.64,33.92,32.55,33.63,1959537.0
2023-03-01,DOCS,33.77,33.88,32.95,32.99,2151741.0
2023-03-02,DOCS,32.55,33.67,32.49,33.58,731899.0
2023-03-03,DOCS,33.92,34.94,33.65,34.44,980881.0
2023-03-06,DOCS,34.5,34.85,34.01,34.08,1605161.0
2023-03-07,DOCS,34.2,34.7225,33.48,33.53,888295.0
2023-03-08,DOCS,33.34,33.45,32.44,32.85,1339234.0
2023-03-09,DOCS,32.84,33.03,30.88,30.94,1506959.0
2023-03-10,DOCS,30.8,30.8,28.73,29.08,2604569.0
2023-03-13,DOCS,28.72,29.74,28.14,29.08,2114933.0
2023-03-14,DOCS,29.9,30.42,29.22,29.71,1491108.0
2023-03-15,DOCS,29.11,30.83,29.01,30.6,1614695.0
2023-03-16,DOCS,30.5,31.55,30.31,31.5,1350510.0
2023-03-17,DOCS,31.59,31.76,30.41,30.83,1872475.0
2023-03-20,DOCS,30.54,31.025,30.24,30.92,927740.0
2023-03-21,DOCS,31.4,32.94,31.325,32.88,1335520.0
2023-03-22,DOCS,32.94,33.94,32.43,32.56,1295359.0
2023-03-23,DOCS,33.23,34.04,32.495,32.91,1352957.0
2023-03-24,DOCS,32.95,33.045,32.22,32.51,1297654.0
2023-03-27,DOCS,32.73,33.21,32.4,32.78,857756.0
2023-03-28,DOCS,32.54,32.64,30.42,31.5,3009770.0
2023-03-29,DOCS,31.96,32.45,31.39,31.75,1089080.0
2023-03-30,DOCS,32.11,32.165,31.01,31.17,1180600.0
2023-03-31,DOCS,31.52,32.41,31.3,32.38,877137.0
2023-04-03,DOCS,31.99,32.24,31.2,31.49,1176089.0
2023-04-04,DOCS,31.74,31.85,31.09,31.65,1260748.0
2023-04-05,DOCS,31.29,31.41,30.25,30.84,995240.0
2023-04-06,DOCS,30.72,32.29,30.33,31.97,1489243.0
2023-04-10,DOCS,31.73,33.4,31.64,33.36,1285430.0
2023-04-11,DOCS,33.59,35.3773,33.23,35.2,1525297.0
2023-04-12,DOCS,33.96,35.27,33.71,34.01,2000332.0
2023-04-13,DOCS,34.61,35.27,34.4,34.56,1287084.0
2023-04-14,DOCS,34.39,34.63,33.7,34.13,609991.0
2023-04-17,DOCS,34.33,34.79,34.17,34.52,670029.0
2023-04-18,DOCS,34.99,37.1,34.5,35.72,2068333.0
2023-04-19,DOCS,35.13,36.1,34.905,35.97,921831.0
2023-04-20,DOCS,35.42,36.28,35.26,35.82,760889.0
2023-04-21,DOCS,36.05,36.635,35.95,36.45,765092.0
2023-04-24,DOCS,36.61,37.06,36.21,36.43,1676481.0
2023-04-25,DOCS,36.01,36.46,34.63,34.72,1123774.0
2023-04-26,DOCS,35.27,35.75,34.86,35.6,957753.0
2023-04-27,DOCS,35.85,36.41,35.3856,36.41,809747.0
2023-04-28,DOCS,36.15,36.92,36.08,36.75,881879.0
2023-05-01,DOCS,34.88,35.87,34.6216,35.8,1913242.0
2023-05-02,DOCS,36.03,36.72,35.15,35.21,991678.0
2023-05-03,DOCS,35.26,35.87,34.5,34.76,1357750.0
2023-05-04,DOCS,34.68,35.145,33.955,34.33,1045528.0
2023-05-05,DOCS,34.4,34.76,33.54,34.1,1456853.0
2023-05-08,DOCS,34.01,34.58,33.45,34.34,1118674.0
2023-05-09,DOCS,33.77,33.94,32.95,33.38,1108911.0
2023-05-10,DOCS,33.84,34.0005,33.19,33.7,1121740.0
2023-05-11,DOCS,33.8,33.8,32.6201,33.18,1458736.0
2023-05-12,DOCS,33.18,33.31,32.545,33.04,1295524.0
2023-05-15,DOCS,33.17,34.565,32.735,34.14,1685899.0
2023-05-16,DOCS,33.48,34.39,33.37,33.87,2451251.0
2023-05-17,DOCS,32.32,32.91,30.702,31.95,4839446.0
2023-05-18,DOCS,32.27,34.21,32.02,33.31,2094775.0
2023-05-19,DOCS,33.29,33.29,31.3246,32.04,1938986.0
2023-05-22,DOCS,31.89,32.57,31.59,31.8,1523271.0
2023-05-23,DOCS,31.64,32.24,31.025,31.34,1290333.0
2023-05-24,DOCS,30.95,31.31,30.66,31.02,1087628.0
2023-05-25,DOCS,31.01,31.36,30.46,31.2,1670481.0
2023-05-26,DOCS,31.3,31.47,30.7,30.71,1613267.0
2023-05-30,DOCS,31.07,31.59,30.53,30.61,1442823.0
2023-05-31,DOCS,30.6,31.0483,30.15,30.67,1851190.0
2023-06-01,DOCS,30.6,31.91,30.48,31.55,1555368.0
2023-06-02,DOCS,31.82,33.24,31.56,33.03,1881812.0
2023-06-05,DOCS,33.72,35.75,33.72,33.96,4229984.0
2023-06-06,DOCS,33.65,34.96,33.19,34.06,2728221.0
2023-06-07,DOCS,34.25,34.99,32.65,32.66,1606751.0
2023-06-08,DOCS,32.57,32.76,31.76,31.93,1881302.0
2023-06-09,DOCS,32.1,32.44,31.64,31.67,2255291.0
2023-06-12,DOCS,31.87,32.735,31.65,32.68,2018858.0
2023-06-13,DOCS,33.0,33.46,32.24,32.47,2887456.0
2023-06-14,DOCS,32.59,33.04,32.18,32.35,2243129.0
2023-06-15,DOCS,32.29,33.13,32.2,32.35,1650537.0
2023-06-16,DOCS,32.68,32.84,32.07,32.54,21385793.0
2023-06-20,DOCS,32.13,32.4,30.835,31.72,2977442.0
2023-06-21,DOCS,31.62,31.805,30.97,31.51,1755374.0
2023-06-22,DOCS,31.35,32.15,31.07,32.09,1404450.0
2023-06-23,DOCS,31.79,32.21,31.5,32.05,1803015.0
2023-06-26,DOCS,32.0,32.5,31.84,31.91,901593.0
2023-06-27,DOCS,32.0,32.36,31.87,32.34,1452345.0
2023-06-28,DOCS,32.2,33.55,32.14,33.52,1032508.0
2023-06-29,DOCS,33.57,34.25,33.5,33.96,1083405.0
2023-06-30,DOCS,34.36,34.57,33.92,34.02,831310.0
2023-07-03,DOCS,34.01,34.02,32.82,32.92,601292.0
2023-07-05,DOCS,32.72,33.0,32.26,32.48,1112834.0
2023-07-06,DOCS,31.92,31.92,31.31,31.58,1387566.0
2023-07-07,DOCS,31.68,32.6,31.6,32.42,945414.0
2023-07-10,DOCS,32.42,33.87,32.355,33.61,1746353.0
2023-07-11,DOCS,33.78,34.43,33.447,34.38,1413952.0
2023-07-12,DOCS,35.0,35.915,34.7001,35.41,1210036.0
2023-07-13,DOCS,34.9,35.57,34.08,35.13,2528067.0
2023-07-14,DOCS,35.06,35.49,34.755,35.35,1038728.0
2023-07-17,DOCS,35.35,35.75,35.01,35.61,974070.0
2023-07-18,DOCS,35.91,36.18,35.565,35.83,1003067.0
2023-07-19,DOCS,35.89,36.29,34.55,34.61,1140163.0
2023-07-20,DOCS,34.46,34.46,33.9,34.11,1176525.0
2023-07-21,DOCS,34.25,35.24,34.19,34.83,1474595.0
2023-07-24,DOCS,34.755,34.81,33.62,33.93,1189606.0
2023-07-25,DOCS,33.76,34.08,33.2,33.36,1061735.0
2023-07-26,DOCS,33.07,34.31,33.07,34.26,1062084.0
2023-07-27,DOCS,34.89,35.46,34.09,34.24,1305539.0
2023-07-28,DOCS,34.7,35.58,34.675,35.47,919421.0
2023-07-31,DOCS,35.24,36.03,35.24,35.73,1150962.0
2023-08-01,DOCS,35.28,35.32,34.52,34.79,821945.0
2023-08-02,DOCS,34.15,34.36,33.79,34.01,1088838.0
2023-08-03,DOCS,32.72,33.36,32.2,33.24,1511914.0
2023-08-04,DOCS,33.5,34.27,33.26,33.74,1383727.0
2023-08-07,DOCS,33.61,34.56,33.22,34.45,2421468.0
2023-08-08,DOCS,33.84,33.84,32.33,32.79,3126491.0
2023-08-09,DOCS,25.59,26.32,24.6,25.3,11151701.0
2023-08-10,DOCS,25.51,25.69,24.555,24.91,5668081.0
2023-08-11,DOCS,23.61,24.68,23.59,23.82,6236265.0
2023-08-14,DOCS,23.73,23.98,23.15,23.21,4590203.0
2023-08-15,DOCS,23.0,23.23,22.62,22.65,3453321.0
2023-08-16,DOCS,22.22,22.565,22.11,22.38,2402442.0
2023-08-17,DOCS,22.36,22.52,21.92,22.15,1932890.0
2023-08-18,DOCS,21.88,22.375,21.85,22.27,2935325.0
2023-08-21,DOCS,22.31,23.35,22.265,23.08,2299325.0
2023-08-22,DOCS,23.15,23.385,22.7,23.37,1502008.0
2023-08-23,DOCS,23.5,24.09,23.48,23.91,1952668.0
2023-08-24,DOCS,23.96,24.15,23.08,23.31,1807735.0
2023-08-25,DOCS,23.43,23.71,23.22,23.44,1370305.0
2023-08-28,DOCS,23.75,23.91,23.505,23.56,1523696.0
2023-08-29,DOCS,23.33,23.95,23.0,23.93,1745991.0
2023-08-30,DOCS,23.81,24.3,23.75,24.06,1446587.0
2023-08-31,DOCS,24.2,24.38,23.78,23.84,1846259.0
2023-09-01,DOCS,24.12,24.66,24.085,24.36,1932738.0
