Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,DOUG,3.5333,3.5619,3.3333,3.381,800728.95
2022-11-10,DOUG,3.5905,3.7905,3.5667,3.7238,993407.1
2022-11-11,DOUG,3.7429,4.1714,3.7429,4.1619,534446.85
2022-11-14,DOUG,4.1048,4.1048,3.881,3.8952,374877.3
2022-11-15,DOUG,4.0,4.1333,3.9429,3.9619,272928.6
2022-11-16,DOUG,3.9524,3.9762,3.719,3.7714,314367.9
2022-11-17,DOUG,3.6571,3.7619,3.6381,3.7238,297773.7
2022-11-18,DOUG,3.8571,3.9984,3.7535,3.8857,464570.4
2022-11-21,DOUG,3.8571,3.8762,3.6762,3.7524,356386.8
2022-11-22,DOUG,3.781,3.8268,3.6857,3.8095,331771.65
2022-11-23,DOUG,3.7524,3.8762,3.7429,3.781,347312.7
2022-11-25,DOUG,3.7619,3.9238,3.7619,3.8762,111776.7
2022-11-28,DOUG,3.781,4.0095,3.781,3.819,362749.8
2022-11-29,DOUG,3.8,3.8571,3.7143,3.7524,213217.2
2022-11-30,DOUG,3.7143,3.9238,3.5619,3.9238,845504.1
2022-12-01,DOUG,3.9333,3.9714,3.8571,3.9333,329597.1
2022-12-02,DOUG,3.9143,4.0381,3.8571,4.0,276956.4
2022-12-05,DOUG,3.9714,3.9714,3.8,3.8286,322125.3
2022-12-06,DOUG,3.8095,3.9238,3.7619,3.819,626073.0
2022-12-07,DOUG,3.7333,3.8476,3.7333,3.7905,302734.95
2022-12-08,DOUG,3.819,3.981,3.7714,3.8667,361800.6
2022-12-09,DOUG,3.7619,3.8429,3.6905,3.7524,285659.85
2022-12-12,DOUG,3.7905,3.9333,3.7714,3.8857,458722.95
2022-12-13,DOUG,3.9905,4.0667,3.781,3.8571,435022.35
2022-12-14,DOUG,3.8571,4.0333,3.8381,3.9048,1005992.4
2022-12-15,DOUG,3.8571,3.8762,3.7143,3.7524,816243.75
2022-12-16,DOUG,3.7238,3.8,3.6476,3.6762,4400867.1
2022-12-19,DOUG,3.6857,3.7619,3.5905,3.6286,811189.05
2022-12-20,DOUG,3.6095,3.6952,3.5048,3.6095,1183201.95
2022-12-21,DOUG,3.6571,3.7238,3.6,3.7143,544817.7
2022-12-22,DOUG,3.6667,3.8095,3.6095,3.7905,467433.75
2022-12-23,DOUG,3.7619,3.8524,3.7238,3.7429,403770.15
2022-12-27,DOUG,3.7143,3.7714,3.6952,3.7429,581503.65
2022-12-28,DOUG,3.7143,3.7714,3.7048,3.7429,570649.8
2022-12-29,DOUG,3.7429,3.9714,3.6962,3.8571,433284.6
2022-12-30,DOUG,3.8095,3.9048,3.8095,3.8762,374908.8
2023-01-03,DOUG,3.9048,4.0381,3.8762,4.0286,428372.7
2023-01-04,DOUG,4.0381,4.0524,3.9238,3.9333,497910.0
2023-01-05,DOUG,3.9143,3.9381,3.8095,3.8952,275741.55
2023-01-06,DOUG,3.9333,4.0952,3.8762,4.0762,413030.1
2023-01-09,DOUG,4.0476,4.1143,4.0095,4.0476,311730.3
2023-01-10,DOUG,3.9905,4.0381,3.8476,3.8952,332264.1
2023-01-11,DOUG,3.9333,4.0667,3.9143,4.0381,281593.2
2023-01-12,DOUG,4.0571,4.1429,3.9905,4.1333,242230.8
2023-01-13,DOUG,4.0952,4.2286,4.0667,4.181,286689.9
2023-01-17,DOUG,4.181,4.3667,4.1238,4.3429,426147.75
2023-01-18,DOUG,4.3619,4.4857,4.3143,4.4,491873.55
2023-01-19,DOUG,4.381,4.3857,4.2476,4.3333,236272.05
2023-01-20,DOUG,4.4,4.4095,4.2952,4.381,279857.55
2023-01-23,DOUG,4.381,4.4,4.3048,4.3714,205898.7
2023-01-24,DOUG,4.2667,4.419,4.2524,4.3238,165335.1
2023-01-25,DOUG,4.2571,4.4429,4.1714,4.419,191499.0
2023-01-26,DOUG,4.4667,4.4952,4.3905,4.4952,196374.15
2023-01-27,DOUG,4.4952,4.5238,4.419,4.419,230590.5
2023-01-30,DOUG,4.4286,4.4905,4.3476,4.419,224091.0
2023-01-31,DOUG,4.4571,4.5048,4.4,4.4381,443748.9
2023-02-01,DOUG,4.4476,4.6952,4.4095,4.6667,539466.9
2023-02-02,DOUG,4.7619,5.019,4.7154,4.9333,723101.4
