Date,Ticker,Open,High,Low,Close,Volume
2022-11-15,DUETW,0.0325,0.0325,0.0325,0.0325,25000
2022-11-16,DUETW,0.0325,0.035,0.0325,0.035,55151
2022-11-17,DUETW,0.0375,0.0402,0.0325,0.0325,79200
2022-11-18,DUETW,0.03,0.03,0.03,0.03,200
2022-11-22,DUETW,0.035,0.035,0.032188,0.032188,26259
2022-11-28,DUETW,0.0225,0.0225,0.0201,0.0201,50000
2022-12-06,DUETW,0.015,0.015,0.015,0.015,400
2022-12-08,DUETW,0.016,0.0168,0.016,0.0167,1400
2022-12-12,DUETW,0.02,0.03,0.02,0.03,1700
2022-12-15,DUETW,0.015,0.015,0.015,0.015,100
2023-01-06,DUETW,0.015,0.02,0.015,0.02,49867
2023-01-17,DUETW,0.02,0.0249,0.02,0.0249,801
2023-01-20,DUETW,0.02,0.02,0.02,0.02,2733
2023-01-23,DUETW,0.0249,0.0249,0.0249,0.0249,601
2023-02-08,DUETW,0.025,0.025,0.0249,0.0249,2000
2023-02-09,DUETW,0.02,0.02,0.02,0.02,15000
2023-02-23,DUETW,0.02,0.02,0.0196,0.0196,851
2023-02-28,DUETW,0.025,0.025,0.025,0.025,5000
2023-03-01,DUETW,0.025,0.025,0.025,0.025,861
2023-03-03,DUETW,0.025,0.025,0.025,0.025,5000
2023-03-08,DUETW,0.02,0.02,0.02,0.02,105
2023-03-14,DUETW,0.02,0.0225,0.02,0.02,400
2023-03-21,DUETW,0.025,0.025,0.025,0.025,500
2023-03-22,DUETW,0.025,0.025,0.025,0.025,500
2023-03-23,DUETW,0.025,0.025,0.025,0.025,500
2023-03-24,DUETW,0.025,0.025,0.025,0.025,500
2023-03-27,DUETW,0.025,0.025,0.025,0.025,23000
2023-03-28,DUETW,0.0275,0.0275,0.0275,0.0275,500
2023-03-29,DUETW,0.0275,0.0275,0.0275,0.0275,500
2023-03-30,DUETW,0.0275,0.0354,0.0275,0.035,6000
2023-03-31,DUETW,0.035,0.035,0.035,0.035,100
2023-04-03,DUETW,0.035,0.035,0.035,0.035,100
2023-04-05,DUETW,0.035,0.035,0.0275,0.0275,23600
2023-04-10,DUETW,0.0225,0.0227,0.02,0.02,185050
2023-04-11,DUETW,0.021,0.025,0.021,0.025,10100
2023-04-12,DUETW,0.0225,0.0225,0.021,0.021,36870
2023-04-19,DUETW,0.0211,0.021101,0.0211,0.021101,5000
2023-04-26,DUETW,0.0225,0.0225,0.0225,0.0225,600
2023-04-28,DUETW,0.0301,0.0301,0.0301,0.0301,50500
2023-05-03,DUETW,0.0325,0.0325,0.0325,0.0325,500
2023-05-10,DUETW,0.0225,0.0225,0.0225,0.0225,24400
2023-05-11,DUETW,0.0325,0.0325,0.0324,0.0324,200
2023-05-23,DUETW,0.0206,0.0206,0.0205,0.0205,400
2023-05-30,DUETW,0.0275,0.0275,0.0275,0.0275,1300
2023-05-31,DUETW,0.0275,0.0275,0.0275,0.0275,19510
2023-06-09,DUETW,0.0225,0.0225,0.0225,0.0225,320
2023-06-12,DUETW,0.0225,0.0225,0.0225,0.0225,1000
2023-06-13,DUETW,0.0275,0.0275,0.0275,0.0275,25701
2023-06-16,DUETW,0.0225,0.0225,0.0225,0.0225,100
2023-06-23,DUETW,0.0275,0.0275,0.0275,0.0275,100
2023-07-07,DUETW,0.0301,0.033,0.0301,0.0329,9900
2023-07-11,DUETW,0.0301,0.0375,0.0301,0.0375,5900
2023-07-20,DUETW,0.0375,0.0375,0.0375,0.0375,700
2023-07-27,DUETW,0.0318,0.0318,0.029,0.031099,207991
2023-07-31,DUETW,0.0313,0.0314,0.0291,0.0291,58211
2023-08-01,DUETW,0.0291,0.0307,0.0277,0.0301,119374
2023-08-03,DUETW,0.03,0.03,0.03,0.03,25300
2023-08-15,DUETW,0.0276,0.0276,0.026,0.0261,105600
2023-08-23,DUETW,0.0263,0.0263,0.0255,0.026,186300
2023-08-28,DUETW,0.026,0.026,0.026,0.026,400
2023-08-29,DUETW,0.026,0.026,0.0244,0.026,5905
2023-08-31,DUETW,0.026,0.026,0.0259,0.0259,3000
2023-09-15,DUETW,0.023,0.023,0.0225,0.0225,95328
2023-09-18,DUETW,0.025,0.025,0.025,0.025,25501
2023-09-22,DUETW,0.025,0.025,0.0226,0.025,39147
2023-09-25,DUETW,0.0353,0.0373,0.0353,0.0373,1500
2023-10-19,DUETW,0.025,0.025,0.025,0.025,100
2023-11-06,DUETW,0.0266,0.0266,0.025,0.0261,50000
2023-11-27,DUETW,0.0281,0.0281,0.0256,0.0256,16300
2023-11-29,DUETW,0.0352,0.0356,0.0352,0.0356,350
2023-12-05,DUETW,0.0232,0.025,0.0161,0.0161,42841
2023-12-06,DUETW,0.0161,0.0162,0.0161,0.01619,1200
2023-12-11,DUETW,0.03,0.0305,0.03,0.0305,400
2023-12-13,DUETW,0.02,0.02,0.015,0.015,35300
2023-12-14,DUETW,0.0242,0.0242,0.0242,0.0242,500
2023-12-18,DUETW,0.034,0.035,0.034,0.034257,1900
2023-12-19,DUETW,0.035,0.035,0.0284,0.0284,1412
2023-12-21,DUETW,0.0273,0.0273,0.0272,0.0272,300
2023-12-22,DUETW,0.0347,0.06,0.0347,0.0378,61300
2023-12-26,DUETW,0.037,0.037,0.025,0.025,17000
2023-12-27,DUETW,0.045,0.05,0.045,0.05,933
2023-12-29,DUETW,0.05,0.05,0.0475,0.0475,1012
2024-01-05,DUETW,0.035,0.0375,0.035,0.0374,1500
2024-01-08,DUETW,0.034,0.05,0.034,0.05,300
2024-01-09,DUETW,0.0451,0.049,0.03,0.049,8556
2024-01-31,DUETW,0.0339,0.0339,0.03,0.03,7086
2024-02-09,DUETW,0.0304,0.03597,0.0251,0.0251,9806
2024-02-23,DUETW,0.0251,0.0251,0.0251,0.0251,2212
2024-02-28,DUETW,0.039951,0.039951,0.0301,0.0301,5994
2024-04-24,DUETW,0.0301,0.032206,0.0301,0.032206,6000
