Date,Ticker,Open,High,Low,Close,Volume
2024-02-21,DYCQU,10.15,10.17,10.12,10.12,5428150.0
2024-02-22,DYCQU,10.13,10.13,10.12,10.125,534559.0
2024-02-23,DYCQU,10.13,10.13,10.12,10.13,337298.0
2024-02-26,DYCQU,10.13,10.14,10.13,10.14,149396.0
2024-02-27,DYCQU,10.13,10.14,10.13,10.14,14186.0
2024-02-28,DYCQU,10.14,10.1485,10.14,10.14,2185.0
2024-02-29,DYCQU,10.15,10.15,10.15,10.15,3266.0
2024-03-01,DYCQU,10.15,10.15,10.15,10.15,259.0
2024-03-04,DYCQU,10.15,10.15,10.14,10.15,163475.0
2024-03-05,DYCQU,10.15,10.16,10.15,10.16,5775.0
2024-03-06,DYCQU,10.1599,10.16,10.1599,10.16,15364.0
2024-03-08,DYCQU,10.16,10.16,10.16,10.16,2961.0
2024-03-11,DYCQU,10.15,10.16,10.14,10.16,70504.0
2024-03-12,DYCQU,10.1599,10.17,10.1599,10.16,21090.0
2024-03-13,DYCQU,10.16,10.16,10.16,10.16,65466.0
2024-03-14,DYCQU,10.11,10.24,10.11,10.17,22520.0
2024-03-15,DYCQU,10.17,10.17,10.17,10.17,2096.0
2024-03-18,DYCQU,10.17,10.17,10.16,10.16,412715.0
2024-03-19,DYCQU,10.17,10.17,10.16,10.17,9394.0
2024-03-21,DYCQU,10.17,10.17,10.16,10.16,101186.0
2024-03-22,DYCQU,10.16,10.1625,10.16,10.16,6707.0
2024-03-25,DYCQU,10.16,10.16,10.16,10.16,905.0
2024-03-26,DYCQU,10.16,10.16,10.16,10.16,1126.0
2024-03-28,DYCQU,10.16,10.16,10.15,10.16,4833.0
2024-04-01,DYCQU,10.17,10.17,10.16,10.16,10905.0
2024-04-02,DYCQU,10.17,10.17,10.17,10.17,787.0
2024-04-03,DYCQU,10.17,10.17,10.17,10.17,108.0
2024-04-04,DYCQU,10.17,10.17,10.16,10.17,13233.0
2024-04-05,DYCQU,10.17,10.17,10.17,10.17,19321.0
2024-04-08,DYCQU,10.18,10.18,10.18,10.18,19208.0
2024-04-09,DYCQU,10.18,10.18,10.18,10.18,5903.0
2024-04-10,DYCQU,10.19,10.23,10.19,10.22,61634.0
2024-04-11,DYCQU,10.23,10.23,10.23,10.23,15238.0
2024-04-12,DYCQU,10.23,10.39,10.23,10.33,49084.0
2024-04-15,DYCQU,10.4,10.4,10.25,10.25,4506.0
2024-04-16,DYCQU,10.28,10.31,10.28,10.28,1185.0
2024-04-17,DYCQU,10.28,10.28,10.28,10.28,169.0
2024-04-18,DYCQU,10.31,10.31,10.31,10.31,108.0
2024-04-19,DYCQU,10.31,10.31,10.31,10.31,111.0
2024-04-25,DYCQU,10.3,10.3,10.3,10.3,9697.0
2024-04-30,DYCQU,10.3,10.3001,10.3,10.3001,400.0
2024-05-01,DYCQU,10.33,10.33,10.33,10.33,10000.0
2024-05-02,DYCQU,10.31,10.75,10.31,10.35,1880.0
2024-05-10,DYCQU,10.53,10.53,10.53,10.53,100.0
2024-05-13,DYCQU,10.35,10.49,10.35,10.49,308.0
2024-05-14,DYCQU,10.34,10.34,10.34,10.34,113.0
2024-05-23,DYCQU,10.75,10.75,10.75,10.75,120.0
2024-06-04,DYCQU,10.48,10.48,10.48,10.48,100.0
2024-06-05,DYCQU,10.48,10.48,10.48,10.48,100.0
2024-06-06,DYCQU,10.49,10.5,10.48,10.48,782.0
2024-06-07,DYCQU,10.48,10.48,10.48,10.48,265.0
2024-06-20,DYCQU,10.5,10.55,10.49,10.49,2455.0
2024-06-25,DYCQU,10.5,10.5,10.37,10.37,2955.0
2024-06-26,DYCQU,10.37,10.37,10.37,10.37,200.0
2024-07-05,DYCQU,10.4,10.4,10.4,10.4,101.0
2024-07-08,DYCQU,10.35,10.4,10.35,10.4,300.0
2024-07-12,DYCQU,10.4,10.55,10.34,10.34,3800.0
2024-07-16,DYCQU,10.37,10.37,10.37,10.37,1550.0
2024-07-24,DYCQU,10.45,10.45,10.45,10.45,100.0
2024-07-25,DYCQU,10.45,10.45,10.45,10.45,100.0
2024-07-26,DYCQU,10.45,10.45,10.45,10.45,100.0
2024-07-29,DYCQU,10.38,10.45,10.37,10.45,5100.0
2024-08-02,DYCQU,10.38,10.38,10.37,10.37,5837.0
2024-08-13,DYCQU,10.75,10.77,10.75,10.77,2209.0
2024-08-27,DYCQU,10.46,10.46,10.46,10.46,300000.0
