Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ENJ,22.66,23.06,22.66,23.06,1384
2022-11-10,ENJ,23.06,23.06,23.06,23.06,1132
2022-11-11,ENJ,22.62,22.62,22.34,22.53,628
2022-11-14,ENJ,22.53,23.02,22.16,23.02,594
2022-11-15,ENJ,23.35,23.35,22.99,22.99,360
2022-11-16,ENJ,22.7298,22.7298,22.7298,22.7298,891
2022-11-18,ENJ,23.12,23.12,23.12,23.12,336
2022-11-22,ENJ,23.28,23.32,22.95,23.09,1591
2022-11-23,ENJ,23.23,23.23,23.23,23.23,324
2022-11-25,ENJ,22.8,22.83,22.8,22.83,400
2022-11-28,ENJ,22.56,23.1,22.56,23.07,1390
2022-11-29,ENJ,22.7986,22.7986,22.7312,22.7312,1375
2022-11-30,ENJ,22.58,22.685,22.58,22.685,1292
2022-12-01,ENJ,23.07,23.07,22.7174,22.84,2221
2022-12-02,ENJ,22.7,23.3,22.7,23.23,4104
2022-12-05,ENJ,23.17,23.17,23.17,23.17,104
2022-12-06,ENJ,23.19,23.52,22.9,23.0,1232
2022-12-07,ENJ,23.05,23.05,22.22,22.22,603
2022-12-08,ENJ,22.55,22.55,22.55,22.55,717
2022-12-12,ENJ,22.9497,23.0825,22.9497,23.0825,932
2022-12-13,ENJ,22.2894,22.5876,22.2894,22.5876,1605
2022-12-14,ENJ,22.68,22.68,22.68,22.68,102
2022-12-15,ENJ,23.38,23.5002,22.83,22.951,2237
2022-12-16,ENJ,23.17,23.17,22.9911,22.9911,750
2022-12-21,ENJ,23.1,23.1,22.55,22.94,6254
2022-12-22,ENJ,22.8,22.83,22.8,22.8,857
2022-12-27,ENJ,22.7866,22.89,22.7866,22.89,305
2022-12-28,ENJ,22.08,22.16,22.02,22.02,1158
2022-12-29,ENJ,22.0,22.03,21.75,22.03,7743
2022-12-30,ENJ,22.0601,22.0601,22.06,22.06,475
2023-01-04,ENJ,22.1,22.4425,22.1,22.21,2089
2023-01-05,ENJ,22.3101,23.4399,22.31,22.89,3569
2023-01-06,ENJ,22.79,22.89,22.68,22.76,2333
2023-01-09,ENJ,22.88,22.88,22.77,22.77,534
2023-01-11,ENJ,22.82,22.82,22.75,22.75,1083
2023-01-17,ENJ,23.3402,23.48,23.3402,23.48,643
2023-01-18,ENJ,23.48,23.6133,23.48,23.5,1330
2023-01-20,ENJ,23.93,23.98,22.9,22.9,1035
2023-01-23,ENJ,23.06,23.06,23.06,23.06,939
2023-01-26,ENJ,23.6,23.79,23.6,23.75,4967
2023-01-27,ENJ,23.485,23.75,23.485,23.75,386
2023-01-30,ENJ,23.86,23.9,23.85,23.9,1798
2023-01-31,ENJ,24.26,24.26,24.1184,24.14,8411
2023-02-01,ENJ,24.14,25.1,23.96,24.01,4671
2023-02-02,ENJ,24.19,24.77,24.19,24.4964,10688
2023-02-03,ENJ,24.44,24.45,24.165,24.165,1955
2023-02-06,ENJ,23.68,23.68,23.68,23.68,252
2023-02-07,ENJ,23.68,23.68,23.35,23.35,834
2023-02-08,ENJ,23.53,24.5899,23.48,24.24,1094
2023-02-10,ENJ,23.66,23.9043,23.66,23.9043,5445
2023-02-13,ENJ,24.0,24.0,24.0,24.0,650
2023-02-15,ENJ,24.0,24.0,24.0,24.0,593
2023-02-16,ENJ,24.4899,24.4899,24.4899,24.4899,653
2023-02-21,ENJ,24.28,24.39,23.655,24.25,8920
2023-02-22,ENJ,23.95,24.21,23.95,24.21,3174
2023-02-23,ENJ,24.37,24.37,24.11,24.11,1820
2023-02-24,ENJ,24.61,24.78,24.45,24.45,1800
2023-02-27,ENJ,24.39,24.41,23.9285,24.39,3735
2023-02-28,ENJ,24.1,24.1,24.1,24.1,100
2023-03-01,ENJ,24.4,24.4,24.1,24.1,2698
2023-03-02,ENJ,24.32,24.32,23.98,24.17,2918
2023-03-03,ENJ,24.35,24.35,24.13,24.13,898
2023-03-06,ENJ,24.1,24.1,24.1,24.1,222
2023-03-07,ENJ,23.71,24.01,23.3533,23.66,1419
2023-03-08,ENJ,23.6601,23.6601,23.6601,23.6601,627
2023-03-09,ENJ,23.75,23.75,23.4,23.5,5259
2023-03-13,ENJ,23.11,23.11,22.49,22.75,1363
2023-03-14,ENJ,23.23,23.71,23.23,23.4,1992
2023-03-17,ENJ,22.31,22.8361,22.2601,22.7736,1201
