Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EOLS,7.75,8.0,7.02,7.07,729822.0
2022-11-10,EOLS,7.34,7.7,7.315,7.5,370464.0
2022-11-11,EOLS,7.48,7.54,7.33,7.47,239393.0
2022-11-14,EOLS,7.45,7.65,7.01,7.36,507927.0
2022-11-15,EOLS,7.51,7.6,7.4,7.54,541188.0
2022-11-16,EOLS,7.45,7.9599,7.43,7.75,597013.0
2022-11-17,EOLS,7.63,7.74,7.57,7.71,205997.0
2022-11-18,EOLS,7.83,7.99,7.57,7.6,316625.0
2022-11-21,EOLS,7.51,7.83,7.47,7.78,307933.0
2022-11-22,EOLS,7.73,8.005,7.47,7.76,333492.0
2022-11-23,EOLS,7.75,7.815,7.49,7.51,226385.0
2022-11-25,EOLS,7.47,7.68,7.4,7.62,82470.0
2022-11-28,EOLS,7.53,7.655,7.025,7.09,294072.0
2022-11-29,EOLS,7.1,7.33,6.965,7.11,419048.0
2022-11-30,EOLS,7.1,7.33,7.0,7.24,375053.0
2022-12-01,EOLS,7.2,7.37,7.1,7.34,286562.0
2022-12-02,EOLS,7.2,7.4,7.18,7.33,256850.0
2022-12-05,EOLS,7.22,7.325,6.93,6.98,391572.0
2022-12-06,EOLS,7.03,7.19,6.91,7.18,422166.0
2022-12-07,EOLS,7.21,7.4,6.92,7.06,338386.0
2022-12-08,EOLS,7.13,7.83,7.04,7.6,781961.0
2022-12-09,EOLS,7.54,7.71,7.4448,7.61,302935.0
2022-12-12,EOLS,7.6,7.63,7.24,7.51,229658.0
2022-12-13,EOLS,7.75,7.84,7.33,7.38,259261.0
2022-12-14,EOLS,7.15,7.2501,6.6615,7.03,1255431.0
2022-12-15,EOLS,6.89,7.05,6.75,7.02,449306.0
2022-12-16,EOLS,6.94,7.08,6.87,7.04,678071.0
2022-12-19,EOLS,7.05,7.25,6.96,7.0,275923.0
2022-12-20,EOLS,6.92,7.1,6.84,6.97,257185.0
2022-12-21,EOLS,7.01,7.18,6.79,6.79,263071.0
2022-12-22,EOLS,6.82,6.97,6.61,6.89,241157.0
2022-12-23,EOLS,6.83,6.935,6.675,6.87,245100.0
2022-12-27,EOLS,7.01,7.08,6.51,6.52,364638.0
2022-12-28,EOLS,6.52,6.89,6.52,6.86,291611.0
2022-12-29,EOLS,6.88,7.63,6.88,7.51,398058.0
2022-12-30,EOLS,7.55,7.56,7.35,7.51,805550.0
2023-01-03,EOLS,7.58,7.875,7.52,7.83,429685.0
2023-01-04,EOLS,7.9,8.48,7.885,8.41,313515.0
2023-01-05,EOLS,8.41,8.52,8.04,8.12,359059.0
