Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EOSEW,0.26,0.269899,0.2501,0.2503,9627
2022-11-10,EOSEW,0.2554,0.32,0.25,0.3099,7737
2022-11-11,EOSEW,0.2999,0.2999,0.27,0.27,1180
2022-11-14,EOSEW,0.3299,0.3299,0.255,0.258,5400
2022-11-15,EOSEW,0.26,0.2799,0.26,0.2799,1000
2022-11-16,EOSEW,0.26,0.2611,0.25,0.2502,17900
2022-11-18,EOSEW,0.259899,0.259899,0.21,0.2101,10550
2022-11-22,EOSEW,0.215,0.215,0.21,0.2109,3879
2022-11-23,EOSEW,0.2199,0.22,0.214999,0.2165,453
2022-11-25,EOSEW,0.21,0.22,0.21,0.22,491
2022-11-28,EOSEW,0.22,0.2299,0.215,0.215,3020
2022-11-29,EOSEW,0.215,0.2299,0.215,0.2299,2000
2022-11-30,EOSEW,0.22245,0.2299,0.2,0.209899,5977
2022-12-01,EOSEW,0.21,0.21,0.21,0.21,201
2022-12-02,EOSEW,0.2199,0.26,0.2199,0.2258,10682
2022-12-05,EOSEW,0.2455,0.2455,0.2455,0.2455,902
2022-12-06,EOSEW,0.23,0.249899,0.23,0.249899,601
2022-12-07,EOSEW,0.2599,0.2599,0.247193,0.259799,2915
2022-12-08,EOSEW,0.23,0.2699,0.23,0.2699,5967
2022-12-12,EOSEW,0.23,0.2689,0.23,0.2549,1196
2022-12-13,EOSEW,0.24,0.245001,0.1083,0.1142,54118
2022-12-14,EOSEW,0.14,0.2,0.14,0.196914,19496
2022-12-15,EOSEW,0.1801,0.27,0.16,0.1957,22540
2022-12-16,EOSEW,0.1625,0.2399,0.1525,0.186301,3793
2022-12-19,EOSEW,0.1801,0.2499,0.18,0.2,2650
2022-12-20,EOSEW,0.18,0.218111,0.18,0.192151,20913
2022-12-21,EOSEW,0.2498,0.2498,0.2,0.2199,2029
2022-12-22,EOSEW,0.208146,0.2298,0.2,0.2001,2906
2022-12-23,EOSEW,0.22,0.25,0.21,0.21,1285
2022-12-27,EOSEW,0.2499,0.2499,0.165,0.165,3203
2022-12-28,EOSEW,0.19,0.2166,0.19,0.2166,632
2022-12-29,EOSEW,0.2449,0.2449,0.22,0.2358,21025
2022-12-30,EOSEW,0.1751,0.2799,0.1751,0.240496,15012
2023-01-04,EOSEW,0.2501,0.29,0.2501,0.29,4747
2023-01-09,EOSEW,0.2899,0.3,0.2899,0.2999,4325
2023-01-10,EOSEW,0.27,0.27,0.27,0.27,2566
2023-01-11,EOSEW,0.3,0.32,0.27,0.32,5899
2023-01-12,EOSEW,0.333001,0.38,0.329899,0.33,3576
2023-01-13,EOSEW,0.3599,0.5923,0.3599,0.37,20730
2023-01-17,EOSEW,0.45,0.45,0.3358,0.3358,14787
2023-01-18,EOSEW,0.3355,0.3355,0.3,0.3,367
2023-01-19,EOSEW,0.408,0.408,0.33,0.344702,5019
2023-01-20,EOSEW,0.47,0.47,0.27,0.3201,6970
2023-01-23,EOSEW,0.39,0.395,0.28,0.395,6006
2023-01-24,EOSEW,0.33,0.385,0.33,0.385,1655
2023-01-25,EOSEW,0.390101,0.41375,0.39,0.39,3234
2023-01-27,EOSEW,0.375,0.375,0.375,0.375,850
2023-01-30,EOSEW,0.320372,0.358,0.320372,0.33,6415
2023-01-31,EOSEW,0.32,0.36,0.32,0.36,9989
2023-02-01,EOSEW,0.31,0.329899,0.290101,0.290101,900
2023-02-02,EOSEW,0.345,0.345,0.291,0.308,1101
2023-02-03,EOSEW,0.3032,0.31,0.3032,0.31,600
2023-02-06,EOSEW,0.3,0.3,0.3,0.3,154
2023-02-07,EOSEW,0.29,0.2995,0.29,0.2995,212
2023-02-08,EOSEW,0.29,0.29,0.27,0.29,4000
2023-02-09,EOSEW,0.27,0.3,0.27,0.295,12300
2023-02-10,EOSEW,0.2805,0.2891,0.271001,0.271001,1806
2023-02-13,EOSEW,0.294101,0.294101,0.294,0.294021,400
2023-02-14,EOSEW,0.271,0.271,0.27,0.27,650
2023-02-15,EOSEW,0.2601,0.27,0.26,0.27,8200
2023-02-16,EOSEW,0.27,0.3699,0.27,0.367,7256
2023-02-17,EOSEW,0.376,0.4925,0.376,0.41,80767
2023-02-21,EOSEW,1.01,1.01,0.4325,0.45,93901
2023-02-22,EOSEW,0.4275,0.45,0.3575,0.365,24528
2023-02-23,EOSEW,0.3751,0.477299,0.315,0.4186,12127
2023-02-24,EOSEW,0.4201,0.55,0.382501,0.4001,27296
2023-02-27,EOSEW,0.47,0.5045,0.4225,0.4225,9652
2023-02-28,EOSEW,0.5045,0.5045,0.3925,0.4051,13213
2023-03-01,EOSEW,0.362,0.42,0.1856,0.3484,55905
2023-03-02,EOSEW,0.3949,0.3949,0.2799,0.28,6516
2023-03-03,EOSEW,0.3343,0.3878,0.3343,0.3539,5220
2023-03-06,EOSEW,0.35,0.4477,0.35,0.35,13017
2023-03-07,EOSEW,0.38,0.38,0.37,0.38,20550
2023-03-10,EOSEW,0.378662,0.378662,0.37,0.37,4700
2023-03-13,EOSEW,0.3,0.3899,0.3,0.375,17431
2023-03-14,EOSEW,0.320101,0.34,0.320101,0.34,1514
2023-03-15,EOSEW,0.363,0.363,0.363,0.363,110
2023-03-16,EOSEW,0.37,0.475,0.37,0.474899,44621
