Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EQNR,36.73,36.73,34.96,35.08,3919920.0
2022-11-10,EQNR,35.05,35.32,34.4,34.96,2321470.0
2022-11-11,EQNR,35.38,35.52,34.75,35.22,4145958.0
2022-11-14,EQNR,35.18,35.605,34.61,34.67,4800437.0
2022-11-15,EQNR,35.86,36.195,35.33,36.09,3877884.0
2022-11-16,EQNR,35.8,35.89,34.84,35.0,2371930.0
2022-11-17,EQNR,34.48,34.93,34.15,34.9,2576763.0
2022-11-18,EQNR,33.62,34.135,33.35,33.9,2789095.0
2022-11-21,EQNR,33.52,33.915,32.83,33.75,3766702.0
2022-11-22,EQNR,34.85,35.53,34.7,35.49,2844404.0
2022-11-23,EQNR,35.76,36.2,35.595,35.98,3445133.0
2022-11-25,EQNR,36.82,37.14,36.56,36.81,2226024.0
2022-11-28,EQNR,36.08,36.715,35.885,36.21,1875232.0
2022-11-29,EQNR,37.31,37.96,37.28,37.64,2494551.0
2022-11-30,EQNR,38.36,38.72,37.985,38.48,3372734.0
2022-12-01,EQNR,38.74,38.83,38.06,38.11,2667423.0
2022-12-02,EQNR,37.35,37.65,36.775,36.87,2300619.0
2022-12-05,EQNR,37.8,38.0,36.295,36.43,2872413.0
2022-12-06,EQNR,36.68,36.8399,35.83,35.96,2803634.0
2022-12-07,EQNR,35.86,36.31,35.61,35.99,3128184.0
2022-12-08,EQNR,36.86,37.0,35.89,36.01,2057459.0
2022-12-09,EQNR,35.87,36.1,35.575,35.63,1858588.0
2022-12-12,EQNR,35.9,36.275,35.81,36.19,1813095.0
2022-12-13,EQNR,37.59,37.97,37.315,37.87,3598844.0
2022-12-14,EQNR,37.83,37.88,36.945,37.09,3149887.0
2022-12-15,EQNR,37.18,37.39,36.625,36.97,1724646.0
2022-12-16,EQNR,36.13,36.39,35.725,36.09,2645316.0
2022-12-19,EQNR,36.69,36.77,36.065,36.27,1928379.0
2022-12-20,EQNR,36.32,36.745,36.23,36.46,1750303.0
2022-12-21,EQNR,37.19,37.26,36.73,37.14,2243508.0
2022-12-22,EQNR,37.5,37.58,36.26,36.71,2577481.0
2022-12-23,EQNR,36.7,37.045,36.605,37.02,1846887.0
2022-12-27,EQNR,37.16,37.34,36.89,37.13,1790168.0
2022-12-28,EQNR,37.26,37.29,36.085,36.28,2106042.0
2022-12-29,EQNR,36.24,36.49,36.07,36.18,2054013.0
2022-12-30,EQNR,35.86,36.055,35.425,35.81,1916248.0
2023-01-03,EQNR,33.98,34.05,32.305,32.6,7182832.0
2023-01-04,EQNR,31.61,31.9,31.32,31.86,5217458.0
2023-01-05,EQNR,31.27,32.3,31.27,32.29,8308802.0
2023-01-06,EQNR,31.85,32.485,31.61,31.86,5497934.0
2023-01-09,EQNR,31.52,31.92,31.09,31.3,5116884.0
2023-01-10,EQNR,31.21,31.25,30.735,31.16,2673015.0
2023-01-11,EQNR,30.77,30.87,30.32,30.84,5119614.0
2023-01-12,EQNR,31.17,31.75,30.94,31.45,3751133.0
2023-01-13,EQNR,31.16,31.585,31.05,31.42,5133662.0
2023-01-17,EQNR,31.25,31.5427,30.96,31.15,3527856.0
2023-01-18,EQNR,31.56,31.75,30.8,30.81,3708754.0
2023-01-19,EQNR,30.67,31.075,30.505,31.04,2783837.0
2023-01-20,EQNR,30.99,31.475,30.7,31.31,2982264.0
2023-01-23,EQNR,31.23,31.59,31.0,31.08,3259424.0
2023-01-24,EQNR,30.49,31.0,30.26,30.58,2818227.0
2023-01-25,EQNR,29.87,30.12,29.55,30.08,2858392.0
2023-01-26,EQNR,29.93,30.44,29.72,30.42,4673543.0
2023-01-27,EQNR,30.55,30.84,30.36,30.38,3035075.0
2023-01-30,EQNR,30.24,30.485,30.05,30.06,2565704.0
2023-01-31,EQNR,29.89,30.445,29.74,30.43,2542034.0
2023-02-01,EQNR,30.6,30.62,29.88,30.37,3303685.0
2023-02-02,EQNR,29.94,29.955,29.07,29.22,3808511.0
2023-02-03,EQNR,29.2,29.75,29.05,29.11,2756730.0
2023-02-06,EQNR,28.88,29.01,28.46,28.89,3176438.0
2023-02-07,EQNR,28.66,29.33,28.66,29.28,3635761.0
2023-02-08,EQNR,31.39,31.68,30.59,31.36,6118797.0
2023-02-09,EQNR,31.68,31.96,31.415,31.69,5459653.0
2023-02-10,EQNR,32.57,33.03,32.42,33.03,5048399.0
2023-02-13,EQNR,32.62,32.78,32.4,32.75,4740616.0
2023-02-14,EQNR,32.08,32.695,32.05,32.5,3036931.0
2023-02-15,EQNR,31.99,32.04,31.515,31.98,2526853.0
2023-02-16,EQNR,31.6,31.98,31.6,31.65,2559518.0
2023-02-17,EQNR,30.96,31.1453,30.595,30.65,3093655.0
2023-02-21,EQNR,30.68,30.92,30.61,30.66,2224969.0
2023-02-22,EQNR,30.62,30.82,30.425,30.61,2698682.0
2023-02-23,EQNR,31.14,31.385,30.82,31.19,2848397.0
2023-02-24,EQNR,31.11,31.525,30.94,31.42,2788794.0
2023-02-27,EQNR,31.18,31.26,30.96,31.11,2468936.0
2023-02-28,EQNR,31.21,31.23,30.47,30.51,2327421.0
2023-03-01,EQNR,30.49,30.89,30.39,30.86,2979393.0
2023-03-02,EQNR,30.91,31.155,30.78,31.11,1962140.0
2023-03-03,EQNR,30.26,31.265,30.24,31.22,3245155.0
2023-03-06,EQNR,30.95,31.13,30.76,30.99,2024551.0
2023-03-07,EQNR,30.61,30.67,29.95,30.1,1940720.0
2023-03-08,EQNR,30.04,30.32,29.67,29.83,3142330.0
