Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ESGRO,22.82,22.82,22.36,22.57,5285
2022-11-10,ESGRO,22.71,23.86,22.0,23.66,20042
2022-11-11,ESGRO,23.66,24.1605,23.66,24.0,5617
2022-11-14,ESGRO,23.85,23.85,23.1535,23.1535,2106
2022-11-15,ESGRO,23.3,23.6,22.99,23.295,58141
2022-11-16,ESGRO,23.31,23.4,22.94,23.15,13022
2022-11-17,ESGRO,23.2,23.2,23.09,23.09,3144
2022-11-18,ESGRO,23.15,23.1886,22.89,23.1,20193
2022-11-21,ESGRO,22.85,23.1625,22.85,23.02,2070
2022-11-22,ESGRO,23.1,23.24,22.93,23.2,13671
2022-11-23,ESGRO,23.305,23.45,23.04,23.305,8659
2022-11-25,ESGRO,23.35,23.436,23.27,23.436,2580
2022-11-28,ESGRO,23.21,23.8,23.21,23.53,7919
2022-11-29,ESGRO,23.5,23.5,22.7,22.7,19542
2022-11-30,ESGRO,22.69,23.0,22.49,22.77,23844
2022-12-01,ESGRO,23.215,23.72,23.03,23.675,17648
2022-12-02,ESGRO,23.6,23.8102,23.4008,23.75,7782
2022-12-05,ESGRO,23.65,23.65,23.13,23.26,9419
2022-12-06,ESGRO,23.51,23.51,23.12,23.2043,5929
2022-12-07,ESGRO,23.25,23.44,23.25,23.35,5833
2022-12-08,ESGRO,23.38,23.44,23.2,23.2,3154
2022-12-09,ESGRO,23.21,23.21,23.09,23.1562,1957
2022-12-12,ESGRO,23.11,23.346,23.11,23.16,22671
2022-12-13,ESGRO,23.3,23.5,23.21,23.36,7059
2022-12-14,ESGRO,23.16,23.4661,23.11,23.3,7507
2022-12-15,ESGRO,23.0,23.145,22.726,23.1,47694
2022-12-16,ESGRO,22.9,22.9,22.62,22.85,10022
2022-12-19,ESGRO,22.59,22.66,22.52,22.655,2652
2022-12-20,ESGRO,22.6,22.6,22.3,22.44,15999
2022-12-21,ESGRO,22.46,22.8157,22.44,22.6,6106
2022-12-22,ESGRO,22.56,22.57,22.16,22.3,8604
2022-12-23,ESGRO,22.27,22.335,22.17,22.3101,9573
2022-12-27,ESGRO,22.32,22.455,22.22,22.31,19321
2022-12-28,ESGRO,22.6109,22.6109,22.11,22.21,8457
2022-12-29,ESGRO,22.52,22.6244,22.21,22.32,10715
2022-12-30,ESGRO,22.19,22.315,22.18,22.22,13148
