Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ETWO,5.51,5.6,5.42,5.56,1457166.0
2022-11-10,ETWO,5.9,6.05,5.82,6.05,2137957.0
2022-11-11,ETWO,6.08,6.24,6.01,6.12,2345126.0
2022-11-14,ETWO,6.08,6.24,5.96,6.17,1166386.0
2022-11-15,ETWO,6.36,6.45,6.22,6.32,1324970.0
2022-11-16,ETWO,6.27,6.27,5.92,5.96,1217758.0
2022-11-17,ETWO,5.79,5.89,5.77,5.82,869034.0
2022-11-18,ETWO,5.95,5.95,5.42,5.54,1735833.0
2022-11-21,ETWO,5.47,5.5,5.385,5.41,929238.0
2022-11-22,ETWO,5.41,5.6,5.35,5.59,1010752.0
2022-11-23,ETWO,5.56,5.87,5.535,5.84,795841.0
2022-11-25,ETWO,5.82,5.84,5.72,5.82,203952.0
2022-11-28,ETWO,5.72,5.83,5.59,5.67,1162697.0
2022-11-29,ETWO,5.65,5.77,5.62,5.64,699122.0
2022-11-30,ETWO,5.63,5.89,5.5125,5.89,1274735.0
2022-12-01,ETWO,5.92,6.12,5.915,6.04,979747.0
2022-12-02,ETWO,5.88,6.185,5.85,6.17,1019041.0
2022-12-05,ETWO,6.1,6.15,5.65,5.72,935253.0
2022-12-06,ETWO,5.68,5.77,5.4,5.42,1276246.0
2022-12-07,ETWO,5.39,5.455,5.33,5.4,1614702.0
2022-12-08,ETWO,5.46,5.745,5.35,5.61,771237.0
2022-12-09,ETWO,5.57,5.82,5.57,5.67,742154.0
2022-12-12,ETWO,5.705,5.78,5.615,5.65,1167028.0
2022-12-13,ETWO,5.9,6.06,5.59,5.65,1442313.0
2022-12-14,ETWO,5.64,5.84,5.64,5.72,857286.0
2022-12-15,ETWO,5.59,5.765,5.59,5.67,3363131.0
2022-12-16,ETWO,5.64,5.88,5.64,5.85,2236487.0
2022-12-19,ETWO,5.86,5.86,5.545,5.61,1418130.0
2022-12-20,ETWO,5.54,5.73,5.49,5.71,960011.0
2022-12-21,ETWO,5.77,5.85,5.69,5.79,1920418.0
2022-12-22,ETWO,5.69,5.76,5.64,5.72,857246.0
2022-12-23,ETWO,5.66,5.75,5.56,5.64,622579.0
2022-12-27,ETWO,5.59,5.675,5.5146,5.6,526634.0
2022-12-28,ETWO,5.58,5.675,5.54,5.55,659368.0
2022-12-29,ETWO,5.63,5.905,5.58,5.88,889524.0
2022-12-30,ETWO,5.76,5.935,5.74,5.87,768835.0
2023-01-03,ETWO,6.02,6.18,5.87,5.93,1000474.0
2023-01-04,ETWO,6.03,6.15,5.94,6.1,1747264.0
2023-01-05,ETWO,5.99,5.99,5.68,5.71,1167789.0
2023-01-06,ETWO,5.8,5.845,5.51,5.79,1436399.0
2023-01-09,ETWO,5.87,6.07,5.8,5.89,1941005.0
2023-01-10,ETWO,5.74,5.78,5.265,5.74,2440199.0
2023-01-11,ETWO,5.76,5.9105,5.705,5.77,1675946.0
2023-01-12,ETWO,5.8,5.99,5.685,5.98,2209870.0
2023-01-13,ETWO,5.87,5.99,5.83,5.98,1282276.0
