Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EVO,8.6,8.7421,8.42,8.54,155388.0
2022-11-10,EVO,9.16,9.37,8.935,9.37,397216.0
2022-11-11,EVO,9.46,9.85,9.42,9.85,307786.0
2022-11-14,EVO,9.78,9.89,9.67,9.68,166437.0
2022-11-15,EVO,9.67,9.69,9.08,9.25,153823.0
2022-11-16,EVO,9.01,9.04,8.71,8.76,54734.0
2022-11-17,EVO,8.64,8.8,8.6,8.8,109089.0
2022-11-18,EVO,8.66,8.66,8.42,8.45,102991.0
2022-11-21,EVO,8.3,8.42,8.25,8.27,265094.0
2022-11-22,EVO,8.18,8.23,8.06,8.19,52913.0
2022-11-23,EVO,8.38,8.57,8.36,8.57,14440.0
2022-11-25,EVO,8.89,8.91,8.83,8.88,74465.0
2022-11-28,EVO,8.71,8.84,8.6,8.68,104781.0
2022-11-29,EVO,8.5,8.54,8.4,8.4,66769.0
2022-11-30,EVO,8.66,8.86,8.5952,8.74,144345.0
2022-12-01,EVO,9.33,9.4,9.13,9.19,124065.0
2022-12-02,EVO,9.14,9.23,9.0425,9.14,226336.0
2022-12-05,EVO,9.01,9.06,8.65,8.76,135315.0
2022-12-06,EVO,8.48,8.48,8.27,8.32,299718.0
2022-12-07,EVO,8.41,8.48,8.23,8.31,142060.0
2022-12-08,EVO,8.25,8.4083,8.21,8.38,127988.0
2022-12-09,EVO,8.49,8.55,8.42,8.42,53313.0
2022-12-12,EVO,8.48,8.52,8.37,8.5,15981.0
2022-12-13,EVO,8.88,8.89,8.475,8.49,112110.0
2022-12-14,EVO,8.43,8.615,8.415,8.45,77272.0
2022-12-15,EVO,8.31,8.34,8.06,8.06,53554.0
2022-12-16,EVO,8.12,8.21,8.08,8.11,60646.0
2022-12-19,EVO,8.27,8.29,8.12,8.16,26048.0
2022-12-20,EVO,8.08,8.23,8.08,8.13,11068.0
2022-12-21,EVO,8.1,8.18,8.0781,8.13,13683.0
2022-12-22,EVO,8.01,8.06,7.94,8.04,22559.0
2022-12-23,EVO,7.99,8.13,7.82,8.06,6310.0
2022-12-27,EVO,8.01,8.0109,7.88,7.88,7524.0
2022-12-28,EVO,7.89,8.01,7.8,7.8,29185.0
2022-12-29,EVO,8.13,8.33,8.1,8.33,14062.0
2022-12-30,EVO,8.12,8.17,8.0068,8.09,8816.0
2023-01-03,EVO,8.04,8.2185,8.02,8.15,20761.0
2023-01-04,EVO,8.11,8.58,8.11,8.15,28590.0
2023-01-05,EVO,8.08,8.19,8.05,8.11,14443.0
2023-01-06,EVO,8.13,8.52,7.94,8.52,28284.0
2023-01-09,EVO,8.62,8.69,8.57,8.6,10067.0
2023-01-10,EVO,8.67,8.96,8.62,8.75,14919.0
2023-01-11,EVO,9.04,9.12,8.916,9.07,24272.0
2023-01-12,EVO,9.26,9.27,9.04,9.25,22283.0
2023-01-13,EVO,9.42,9.65,9.3025,9.65,12059.0
2023-01-17,EVO,9.69,9.7833,9.615,9.7833,6817.0
2023-01-18,EVO,10.3,10.36,9.69,10.16,26078.0
2023-01-19,EVO,10.2,10.39,10.14,10.32,18341.0
2023-01-20,EVO,10.11,10.16,9.8494,9.91,35447.0
2023-01-23,EVO,9.85,9.93,9.83,9.88,10068.0
2023-01-24,EVO,9.72,9.73,9.54,9.54,17356.0
2023-01-25,EVO,9.5,9.85,9.48,9.62,20102.0
2023-01-26,EVO,10.3,10.42,10.22,10.34,36650.0
2023-01-27,EVO,10.14,10.24,10.14,10.16,9710.0
2023-01-30,EVO,10.04,10.06,9.81,9.85,6946.0
2023-01-31,EVO,9.75,9.81,9.51,9.75,18234.0
2023-02-01,EVO,9.79,9.87,9.59,9.85,7908.0
2023-02-02,EVO,10.44,10.53,10.37,10.53,21303.0
2023-02-03,EVO,10.14,10.27,10.11,10.21,19630.0
2023-02-06,EVO,10.1,10.1,9.91,9.93,15883.0
2023-02-07,EVO,9.86,10.075,9.78,9.97,13192.0
2023-02-08,EVO,10.21,10.22,10.0,10.07,14731.0
2023-02-09,EVO,10.19,10.19,9.9,9.9,3792.0
2023-02-10,EVO,9.89,9.92,9.7001,9.76,7586.0
2023-02-13,EVO,9.74,9.935,9.72,9.92,8313.0
2023-02-14,EVO,9.85,10.03,9.82,10.03,4253.0
2023-02-15,EVO,9.86,9.89,9.82,9.85,9928.0
2023-02-16,EVO,9.86,9.98,9.72,9.72,10253.0
2023-02-17,EVO,9.77,9.95,9.77,9.95,4704.0
2023-02-21,EVO,9.9,9.9,9.71,9.715,5761.0
2023-02-22,EVO,9.67,9.7,9.52,9.68,9493.0
2023-02-23,EVO,9.77,9.79,9.63,9.64,5718.0
2023-02-24,EVO,9.39,9.39,9.23,9.23,4299.0
2023-02-27,EVO,9.4,9.5,9.37,9.5,13410.0
2023-02-28,EVO,9.1,9.1,8.91,8.91,6448.0
2023-03-01,EVO,8.89,8.89,8.79,8.79,11735.0
2023-03-02,EVO,8.75,8.89,8.685,8.85,25817.0
2023-03-03,EVO,9.08,9.1481,9.06,9.09,1940.0
2023-03-06,EVO,9.23,9.395,9.23,9.37,5547.0
2023-03-07,EVO,9.56,9.56,9.26,9.28,4526.0
2023-03-08,EVO,9.19,9.23,9.17,9.205,4183.0
2023-03-09,EVO,9.07,9.13,8.97,8.98,19486.0
2023-03-10,EVO,9.09,9.13,8.9876,8.9876,1438.0
2023-03-13,EVO,9.02,9.3,8.99,9.185,4557.0
2023-03-14,EVO,9.52,9.52,9.38,9.38,1530.0
2023-03-15,EVO,8.91,9.0705,8.91,9.0705,4699.0
2023-03-16,EVO,9.31,9.71,9.31,9.68,15337.0
2023-03-17,EVO,9.54,9.63,9.48,9.63,3253.0
2023-03-20,EVO,9.5,9.5522,9.5,9.55,966.0
2023-03-21,EVO,9.65,9.87,9.57,9.58,8847.0
2023-03-22,EVO,9.46,9.69,9.46,9.69,1307.0
2023-03-23,EVO,9.78,9.84,8.9893,9.685,1161347.0
