Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EVTC,33.08,33.6,32.49,32.56,226742.0
2022-11-10,EVTC,33.8,34.58,33.8,34.43,363755.0
2022-11-11,EVTC,34.38,34.61,33.95,34.45,281588.0
2022-11-14,EVTC,34.32,34.93,34.07,34.52,295266.0
2022-11-15,EVTC,35.08,35.339,34.36,34.71,319873.0
2022-11-16,EVTC,34.65,34.65,33.51,33.79,247761.0
2022-11-17,EVTC,33.41,33.52,32.61,32.89,247392.0
2022-11-18,EVTC,33.31,33.57,32.7,32.76,281850.0
2022-11-21,EVTC,32.8,32.82,32.011,32.57,352125.0
2022-11-22,EVTC,32.74,32.96,32.3,32.84,224015.0
2022-11-23,EVTC,32.79,33.32,32.78,32.95,207481.0
2022-11-25,EVTC,33.02,33.1922,32.73,33.04,161140.0
2022-11-28,EVTC,32.88,33.075,32.04,32.39,313836.0
2022-11-29,EVTC,32.27,33.125,32.21,32.6,363821.0
2022-11-30,EVTC,32.76,33.8,32.31,33.77,524284.0
2022-12-01,EVTC,34.0,34.29,33.53,33.86,229429.0
2022-12-02,EVTC,33.45,33.66,33.01,33.2,331137.0
2022-12-05,EVTC,32.88,32.88,31.09,32.15,469555.0
2022-12-06,EVTC,32.13,32.17,31.71,31.93,328464.0
2022-12-07,EVTC,31.7,32.09,31.431,31.82,306743.0
2022-12-08,EVTC,31.9,32.37,31.51,31.91,268259.0
2022-12-09,EVTC,31.79,31.98,31.64,31.82,240169.0
2022-12-12,EVTC,31.69,32.31,31.59,32.22,360674.0
2022-12-13,EVTC,33.24,33.65,32.255,32.51,400862.0
2022-12-14,EVTC,32.44,32.57,31.73,31.78,370075.0
2022-12-15,EVTC,31.37,31.3886,30.35,30.67,501515.0
2022-12-16,EVTC,30.38,30.77,30.17,30.7,1133539.0
2022-12-19,EVTC,30.74,30.9,30.49,30.76,467165.0
2022-12-20,EVTC,30.66,31.06,30.54,30.86,209895.0
2022-12-21,EVTC,31.06,31.61,30.98,31.33,201330.0
2022-12-22,EVTC,31.06,31.18,30.74,30.97,322538.0
2022-12-23,EVTC,30.89,31.39,30.8578,31.32,243627.0
2022-12-27,EVTC,31.4,31.84,31.01,31.54,287133.0
2022-12-28,EVTC,31.28,31.715,30.97,31.12,280095.0
2022-12-29,EVTC,31.34,32.38,31.23,32.15,284852.0
2022-12-30,EVTC,31.72,32.39,31.67,32.38,290883.0
2023-01-03,EVTC,32.74,33.03,32.18,32.91,378823.0
2023-01-04,EVTC,33.22,33.31,32.871,32.93,300884.0
2023-01-05,EVTC,32.63,33.1,32.31,32.57,323512.0
2023-01-06,EVTC,32.93,33.945,32.81,33.71,224460.0
2023-01-09,EVTC,33.86,33.98,33.67,33.7,400487.0
2023-01-10,EVTC,33.78,33.78,33.35,33.54,297129.0
2023-01-11,EVTC,33.57,34.4,33.49,34.4,332619.0
2023-01-12,EVTC,34.6,34.905,34.285,34.63,396944.0
2023-01-13,EVTC,34.46,34.63,34.21,34.51,311670.0
2023-01-17,EVTC,34.59,34.985,34.28,34.8,445703.0
2023-01-18,EVTC,34.97,35.77,34.94,34.99,247697.0
2023-01-19,EVTC,34.89,35.44,34.5584,35.31,306451.0
2023-01-20,EVTC,35.56,35.97,35.38,35.94,245923.0
2023-01-23,EVTC,36.0,36.26,35.72,35.98,371029.0
2023-01-24,EVTC,35.97,36.15,35.73,35.74,198003.0
2023-01-25,EVTC,35.53,36.03,35.25,36.02,167062.0
2023-01-26,EVTC,36.29,36.36,35.85,36.25,180665.0
2023-01-27,EVTC,36.26,36.71,36.04,36.4,231347.0
2023-01-30,EVTC,36.09,36.96,36.06,36.53,309153.0
2023-01-31,EVTC,36.58,37.26,36.58,36.94,393167.0
2023-02-01,EVTC,36.85,37.66,36.78,37.37,393849.0
2023-02-02,EVTC,37.68,38.16,37.58,38.16,437544.0
2023-02-03,EVTC,37.69,38.05,36.97,37.35,595631.0
2023-02-06,EVTC,36.95,37.06,36.12,36.69,600572.0
2023-02-07,EVTC,36.44,37.25,36.361,37.07,289616.0
2023-02-08,EVTC,36.72,37.01,36.65,36.65,425299.0
2023-02-09,EVTC,37.04,37.08,36.31,36.33,176262.0
2023-02-10,EVTC,36.15,36.55,36.15,36.45,216576.0
2023-02-13,EVTC,36.44,36.55,36.01,36.28,362096.0
2023-02-14,EVTC,36.26,36.39,35.97,36.0,366124.0
2023-02-15,EVTC,35.74,36.15,35.63,36.0,220130.0
2023-02-16,EVTC,35.44,35.91,35.38,35.5,321110.0
2023-02-17,EVTC,35.55,35.56,35.08,35.48,251355.0
2023-02-21,EVTC,35.26,35.28,34.74,34.77,434277.0
2023-02-22,EVTC,34.86,35.07,34.47,34.7,429941.0
