Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EXK,3.6,3.67,3.38,3.43,2461377.0
2022-11-10,EXK,3.68,3.68,3.455,3.52,5032087.0
2022-11-11,EXK,3.52,3.57,3.402,3.53,2653409.0
2022-11-14,EXK,3.52,3.59,3.48,3.53,3077421.0
2022-11-15,EXK,3.57,3.57,3.32,3.34,2960378.0
2022-11-16,EXK,3.34,3.39,3.292,3.35,1891138.0
2022-11-17,EXK,3.27,3.3383,3.2,3.3,1741864.0
2022-11-18,EXK,3.31,3.37,3.2701,3.37,1344925.0
2022-11-21,EXK,3.31,3.34,3.22,3.32,1176772.0
2022-11-22,EXK,3.37,3.525,3.36,3.5,2333991.0
2022-11-23,EXK,3.49,3.55,3.3785,3.52,1974380.0
2022-11-25,EXK,3.49,3.51,3.42,3.44,751631.0
2022-11-28,EXK,3.38,3.4,3.11,3.11,3185044.0
2022-11-29,EXK,3.18,3.2588,3.17,3.18,1480811.0
2022-11-30,EXK,3.27,3.395,3.21,3.37,2641044.0
2022-12-01,EXK,3.46,3.58,3.4,3.51,3443539.0
2022-12-02,EXK,3.41,3.57,3.36,3.48,3409234.0
2022-12-05,EXK,3.45,3.45,3.26,3.26,1859333.0
2022-12-06,EXK,3.31,3.34,3.15,3.19,2002051.0
2022-12-07,EXK,3.25,3.45,3.22,3.41,2509528.0
2022-12-08,EXK,3.47,3.495,3.36,3.38,1255866.0
2022-12-09,EXK,3.38,3.47,3.3,3.3,1930660.0
2022-12-12,EXK,3.25,3.315,3.21,3.28,1977645.0
2022-12-13,EXK,3.47,3.52,3.31,3.36,2385518.0
2022-12-14,EXK,3.35,3.4,3.26,3.33,1748754.0
2022-12-15,EXK,3.22,3.25,3.14,3.14,1940688.0
2022-12-16,EXK,3.19,3.2,3.11,3.12,5778128.0
2022-12-19,EXK,3.13,3.17,3.03,3.06,2402489.0
2022-12-20,EXK,3.16,3.4,3.135,3.36,3410671.0
2022-12-21,EXK,3.39,3.46,3.365,3.38,1663160.0
2022-12-22,EXK,3.32,3.37,3.22,3.36,1782966.0
2022-12-23,EXK,3.35,3.38,3.23,3.35,2436751.0
2022-12-27,EXK,3.4,3.5745,3.38,3.46,2303381.0
2022-12-28,EXK,3.43,3.43,3.265,3.29,1485440.0
2022-12-29,EXK,3.35,3.38,3.27,3.28,1500003.0
2022-12-30,EXK,3.3,3.31,3.21,3.24,1273401.0
2023-01-03,EXK,3.32,3.47,3.27,3.28,2963842.0
2023-01-04,EXK,3.37,3.48,3.3,3.48,2382214.0
2023-01-05,EXK,3.38,3.39,3.3,3.37,1833970.0
2023-01-06,EXK,3.42,3.505,3.3315,3.47,2692130.0
2023-01-09,EXK,3.53,3.53,3.38,3.39,1928144.0
2023-01-10,EXK,3.42,3.55,3.3981,3.53,3155487.0
2023-01-11,EXK,3.56,3.57,3.44,3.53,2147479.0
2023-01-12,EXK,3.63,3.7,3.4728,3.57,2495056.0
2023-01-13,EXK,3.53,3.705,3.52,3.66,2318002.0
2023-01-17,EXK,3.65,3.67,3.5,3.55,1730371.0
2023-01-18,EXK,3.62,3.75,3.48,3.48,2640239.0
2023-01-19,EXK,3.52,3.58,3.4513,3.56,1646576.0
2023-01-20,EXK,3.56,3.5899,3.48,3.57,1382696.0
2023-01-23,EXK,3.51,3.52,3.43,3.5,1764631.0
2023-01-24,EXK,3.51,3.65,3.445,3.63,1817029.0
2023-01-25,EXK,3.56,3.79,3.56,3.79,2388857.0
2023-01-26,EXK,3.83,3.8897,3.67,3.72,2102740.0
2023-01-27,EXK,3.68,3.68,3.5267,3.53,2163712.0
2023-01-30,EXK,3.54,3.58,3.44,3.44,1715877.0
2023-01-31,EXK,3.41,3.52,3.38,3.47,1526617.0
2023-02-01,EXK,3.46,3.585,3.38,3.56,2524851.0
2023-02-02,EXK,3.63,3.6542,3.425,3.46,2291180.0
2023-02-03,EXK,3.35,3.395,3.25,3.27,3708886.0
2023-02-06,EXK,3.27,3.29,3.205,3.24,2061050.0
2023-02-07,EXK,3.23,3.3483,3.18,3.27,2371328.0
2023-02-08,EXK,3.31,3.34,3.26,3.26,1415649.0
2023-02-09,EXK,3.32,3.3415,3.16,3.17,2123094.0
2023-02-10,EXK,3.19,3.2,3.12,3.16,1840366.0
2023-02-13,EXK,3.13,3.18,3.1,3.12,1492685.0
2023-02-14,EXK,3.11,3.21,3.07,3.17,2172767.0
2023-02-15,EXK,3.1,3.11,3.04,3.11,1714565.0
2023-02-16,EXK,3.05,3.17,3.04,3.13,1703860.0
2023-02-17,EXK,3.07,3.15,3.03,3.13,1587520.0
2023-02-21,EXK,3.11,3.14,3.05,3.06,1536491.0
2023-02-22,EXK,3.06,3.08,3.0,3.03,1298140.0
2023-02-23,EXK,3.03,3.06,2.97,3.0,1550176.0
2023-02-24,EXK,2.95,2.96,2.85,2.91,2048885.0
2023-02-27,EXK,2.89,2.94,2.86,2.9,2013957.0
2023-02-28,EXK,2.9,2.95,2.855,2.94,2160981.0
2023-03-01,EXK,2.95,3.01,2.925,2.98,2021147.0
2023-03-02,EXK,2.94,2.95,2.8207,2.93,1436559.0
2023-03-03,EXK,2.98,3.08,2.95,3.08,1835996.0
2023-03-06,EXK,3.07,3.09,2.99,3.01,1873879.0
2023-03-07,EXK,2.96,2.985,2.85,2.87,2490414.0
2023-03-08,EXK,2.88,2.8986,2.78,2.83,1719726.0
2023-03-09,EXK,2.86,2.89,2.79,2.79,1665719.0
2023-03-10,EXK,2.87,2.95,2.805,2.83,2341416.0
2023-03-13,EXK,3.01,3.17,2.985,3.1,4471865.0
2023-03-14,EXK,3.12,3.26,3.05,3.22,2747905.0
2023-03-15,EXK,3.29,3.335,3.17,3.22,3446128.0
2023-03-16,EXK,3.22,3.23,3.16,3.2,4025807.0
2023-03-17,EXK,3.28,3.48,3.24,3.41,7020080.0
2023-03-20,EXK,3.43,3.53,3.37,3.48,2534623.0
2023-03-21,EXK,3.42,3.425,3.25,3.29,3252816.0
2023-03-22,EXK,3.3,3.45,3.26,3.37,2946868.0
2023-03-23,EXK,3.42,3.53,3.36,3.47,2522483.0
2023-03-24,EXK,3.5,3.525,3.43,3.46,1674304.0
2023-03-27,EXK,3.33,3.5275,3.3,3.52,2194619.0
2023-03-28,EXK,3.52,3.68,3.4836,3.66,2578314.0
2023-03-29,EXK,3.64,3.735,3.57,3.64,2402321.0
2023-03-30,EXK,3.71,3.83,3.655,3.83,3049842.0
2023-03-31,EXK,3.83,3.97,3.82,3.88,4114467.0
2023-04-03,EXK,3.87,4.01,3.82,3.96,3594046.0
2023-04-04,EXK,3.93,4.12,3.9,4.08,4774625.0
2023-04-05,EXK,4.1,4.14,3.9301,4.0,3288916.0
2023-04-06,EXK,3.99,4.2,3.9599,4.18,4197319.0
2023-04-10,EXK,4.15,4.2,4.06,4.19,3193467.0
2023-04-11,EXK,4.21,4.36,4.2,4.24,2730041.0
2023-04-12,EXK,4.3,4.35,4.175,4.28,4452774.0
2023-04-13,EXK,4.36,4.55,4.36,4.47,4277322.0
2023-04-14,EXK,4.4,4.44,4.21,4.31,3810346.0
2023-04-17,EXK,4.24,4.2542,4.12,4.15,3551008.0
2023-04-18,EXK,4.18,4.31,4.05,4.22,3308580.0
2023-04-19,EXK,4.09,4.185,4.055,4.09,2634460.0
2023-04-20,EXK,4.1,4.18,4.05,4.1,1650187.0
2023-04-21,EXK,4.05,4.09,3.96,4.01,2341209.0
2023-04-24,EXK,4.0,4.04,3.96,4.02,1898523.0
2023-04-25,EXK,3.99,4.04,3.905,4.04,1859902.0
2023-04-26,EXK,4.06,4.115,3.98,4.0,2210287.0
2023-04-27,EXK,4.0,4.02,3.85,3.91,3027639.0
2023-04-28,EXK,3.9,3.96,3.86,3.9,3135906.0
2023-05-01,EXK,4.03,4.0786,3.93,3.96,2725846.0
2023-05-02,EXK,3.92,4.1,3.86,4.09,2585684.0
2023-05-03,EXK,4.1,4.1683,4.06,4.11,2356753.0
2023-05-04,EXK,4.13,4.36,4.13,4.2,4089501.0
2023-05-05,EXK,4.06,4.21,4.0,4.21,2389804.0
2023-05-08,EXK,4.2,4.26,4.14,4.16,1737922.0
2023-05-09,EXK,4.12,4.21,4.11,4.2,1689047.0
2023-05-10,EXK,4.21,4.21,3.59,3.61,4911229.0
2023-05-11,EXK,3.57,3.59,3.41,3.45,2911769.0
2023-05-12,EXK,3.42,3.475,3.36,3.4,1979332.0
2023-05-15,EXK,3.41,3.465,3.36,3.38,2496977.0
2023-05-16,EXK,3.36,3.375,3.27,3.29,2232695.0
2023-05-17,EXK,3.27,3.34,3.2,3.34,2132473.0
2023-05-18,EXK,3.24,3.27,3.18,3.25,1700638.0
2023-05-19,EXK,3.26,3.32,3.21,3.24,1645486.0
2023-05-22,EXK,3.21,3.27,3.21,3.24,1147005.0
2023-05-23,EXK,3.22,3.305,3.2,3.28,1360958.0
2023-05-24,EXK,3.28,3.28,3.15,3.16,1824484.0
2023-05-25,EXK,3.16,3.17,3.08,3.1,2047326.0
2023-05-26,EXK,3.17,3.18,3.09,3.12,1485636.0
2023-05-30,EXK,3.15,3.17,3.05,3.06,2052085.0
2023-05-31,EXK,3.05,3.15,3.05,3.14,2222233.0
2023-06-01,EXK,3.16,3.31,3.14,3.29,2382285.0
2023-06-02,EXK,3.3,3.32,3.175,3.22,1892860.0
2023-06-05,EXK,3.21,3.25,3.185,3.21,1547631.0
2023-06-06,EXK,3.2,3.22,3.15,3.18,1526329.0
2023-06-07,EXK,3.2,3.32,3.16,3.17,2401764.0
2023-06-08,EXK,3.21,3.25,3.2,3.21,1655043.0
2023-06-09,EXK,3.19,3.2,3.12,3.14,1469735.0
2023-06-12,EXK,3.13,3.13,3.05,3.11,1762188.0
2023-06-13,EXK,3.13,3.16,3.04,3.05,1764066.0
2023-06-14,EXK,3.11,3.11,2.96,3.0,2119958.0
2023-06-15,EXK,2.97,2.99,2.93,2.96,1968136.0
2023-06-16,EXK,3.0,3.02,2.935,2.96,3772302.0
2023-06-20,EXK,2.95,2.96,2.8,2.81,3384752.0
2023-06-21,EXK,2.8,2.835,2.75,2.8,1855573.0
2023-06-22,EXK,2.79,2.81,2.76,2.79,1517102.0
2023-06-23,EXK,2.81,2.88,2.8,2.81,1566330.0
2023-06-26,EXK,2.82,2.89,2.81,2.86,1334370.0
2023-06-27,EXK,2.91,2.925,2.8,2.83,1778001.0
2023-06-28,EXK,2.79,2.815,2.75,2.78,2213535.0
2023-06-29,EXK,2.77,2.85,2.735,2.85,2086090.0
2023-06-30,EXK,2.85,2.9,2.82,2.89,1781376.0
2023-07-03,EXK,2.92,2.99,2.92,2.95,1233862.0
2023-07-05,EXK,2.96,2.968,2.87,2.87,1802556.0
2023-07-06,EXK,2.83,2.845,2.75,2.76,2119412.0
2023-07-07,EXK,2.78,2.84,2.77,2.78,2230029.0
2023-07-10,EXK,2.78,2.915,2.7792,2.9,1841212.0
2023-07-11,EXK,2.95,2.96,2.87,2.9,1542903.0
2023-07-12,EXK,2.99,3.25,2.97,3.22,4690668.0
2023-07-13,EXK,3.28,3.32,3.23,3.28,2984101.0
2023-07-14,EXK,3.28,3.46,3.26,3.43,3966571.0
2023-07-17,EXK,3.4,3.615,3.345,3.58,3956905.0
2023-07-18,EXK,3.63,3.8692,3.6,3.84,4676049.0
2023-07-19,EXK,3.83,3.885,3.755,3.78,3568748.0
2023-07-20,EXK,3.8,3.805,3.63,3.63,2558437.0
2023-07-21,EXK,3.62,3.665,3.52,3.56,1777242.0
2023-07-24,EXK,3.57,3.58,3.45,3.49,1768636.0
2023-07-25,EXK,3.5,3.56,3.4792,3.54,1486994.0
2023-07-26,EXK,3.54,3.63,3.53,3.62,2130849.0
2023-07-27,EXK,3.59,3.59,3.29,3.3,3152075.0
2023-07-28,EXK,3.35,3.38,3.303,3.34,1252314.0
2023-07-31,EXK,3.34,3.55,3.34,3.51,1679255.0
2023-08-01,EXK,3.44,3.44,3.33,3.34,1526926.0
2023-08-02,EXK,3.33,3.33,3.17,3.22,2003891.0
2023-08-03,EXK,3.18,3.22,3.11,3.16,1808780.0
2023-08-04,EXK,3.19,3.29,3.19,3.21,1552796.0
2023-08-07,EXK,3.19,3.19,3.0803,3.13,1407212.0
2023-08-08,EXK,3.03,3.055,2.95,3.02,2728165.0
2023-08-09,EXK,3.04,3.0485,2.97,3.01,1728772.0
2023-08-10,EXK,3.07,3.07,2.95,2.99,1773890.0
2023-08-11,EXK,2.98,3.02,2.955,2.99,1186585.0
2023-08-14,EXK,2.98,2.98,2.899,2.93,1355881.0
2023-08-15,EXK,2.92,2.95,2.85,2.86,2167228.0
2023-08-16,EXK,2.86,2.9,2.76,2.77,1796359.0
2023-08-17,EXK,2.82,2.83,2.74,2.77,1595388.0
2023-08-18,EXK,2.76,2.81,2.74,2.8,1343312.0
2023-08-21,EXK,2.83,2.85,2.77,2.83,1325929.0
2023-08-22,EXK,2.85,2.86,2.78,2.85,1299646.0
2023-08-23,EXK,2.93,3.02,2.91,2.98,3042638.0
2023-08-24,EXK,2.98,3.01,2.91,2.94,1650943.0
2023-08-25,EXK,2.93,2.9595,2.832,2.89,1445116.0
2023-08-28,EXK,2.89,3.02,2.89,2.95,1661012.0
2023-08-29,EXK,2.955,3.0,2.91,2.98,2810826.0
2023-08-30,EXK,3.01,3.06,2.955,2.97,2027501.0
2023-08-31,EXK,2.97,2.98,2.85,2.85,1841950.0
2023-09-01,EXK,2.91,2.92,2.77,2.77,1961440.0
2023-09-05,EXK,2.74,2.75,2.64,2.67,2307655.0
2023-09-06,EXK,2.66,2.6906,2.61,2.61,1494740.0
2023-09-07,EXK,2.61,2.63,2.57,2.58,1203824.0
2023-09-08,EXK,2.61,2.67,2.57,2.58,1106989.0
2023-09-11,EXK,2.62,2.67,2.57,2.59,1362873.0
2023-09-12,EXK,2.56,2.61,2.53,2.53,1810188.0
2023-09-13,EXK,2.54,2.595,2.53,2.58,1151891.0
2023-09-14,EXK,2.6,2.71,2.58,2.65,2187976.0
2023-09-15,EXK,2.74,2.78,2.69,2.7,3457089.0
2023-09-18,EXK,2.71,2.73,2.64,2.68,1243606.0
2023-09-19,EXK,2.69,2.695,2.58,2.6,1637642.0
2023-09-20,EXK,2.6,2.64,2.59,2.59,1915308.0
2023-09-21,EXK,2.55,2.56,2.48,2.5,2683570.0
2023-09-22,EXK,2.56,2.605,2.48,2.49,2284481.0
2023-09-25,EXK,2.47,2.4985,2.42,2.49,2277638.0
2023-09-26,EXK,2.46,2.47,2.35,2.35,1509259.0
2023-09-27,EXK,2.35,2.36,2.3,2.35,2612236.0
2023-09-28,EXK,2.36,2.42,2.34,2.41,1931717.0
2023-09-29,EXK,2.5,2.52,2.35,2.43,2439501.0
2023-10-02,EXK,2.37,2.37,2.26,2.29,2713231.0
2023-10-03,EXK,2.27,2.395,2.2638,2.36,1919008.0
2023-10-04,EXK,2.36,2.36,2.3,2.32,1607572.0
2023-10-05,EXK,2.31,2.36,2.3,2.34,827652.0
2023-10-06,EXK,2.36,2.445,2.33,2.42,1931259.0
2023-10-09,EXK,2.46,2.48,2.43,2.46,990476.0
2023-10-10,EXK,2.47,2.48,2.4,2.43,1296305.0
2023-10-11,EXK,2.47,2.47,2.35,2.42,2157716.0
2023-10-12,EXK,2.4,2.41,2.26,2.28,1943264.0
2023-10-13,EXK,2.35,2.5,2.33,2.45,5179399.0
2023-10-16,EXK,2.43,2.505,2.43,2.47,1712272.0
2023-10-17,EXK,2.5,2.555,2.475,2.53,3012353.0
2023-10-18,EXK,2.62,2.64,2.48,2.48,4085752.0
2023-10-19,EXK,2.47,2.475,2.415,2.47,2443531.0
2023-10-20,EXK,2.47,2.55,2.44,2.45,4034040.0
2023-10-23,EXK,2.41,2.42,2.315,2.37,1803466.0
2023-10-24,EXK,2.35,2.39,2.33,2.35,1873076.0
2023-10-25,EXK,2.35,2.39,2.28,2.28,1828919.0
2023-10-26,EXK,2.28,2.3,2.1715,2.23,2564132.0
2023-10-27,EXK,2.21,2.27,2.17,2.26,2474466.0
2023-10-30,EXK,2.31,2.31,2.23,2.24,2143936.0
2023-10-31,EXK,2.23,2.26,2.115,2.14,3206311.0
2023-11-01,EXK,2.16,2.1795,2.06,2.1,2994025.0
2023-11-02,EXK,2.14,2.15,2.04,2.06,2810322.0
2023-11-03,EXK,2.13,2.3,2.1,2.26,5056357.0
2023-11-06,EXK,2.28,2.29,2.14,2.16,2850438.0
2023-11-07,EXK,2.07,2.09,1.83,2.05,5223149.0
2023-11-08,EXK,2.0,2.05,1.92,1.94,3027832.0
2023-11-09,EXK,1.96,2.09,1.92,1.94,6477903.0
2023-11-10,EXK,1.95,1.96,1.9,1.93,2618177.0
2023-11-13,EXK,1.93,1.99,1.91,1.94,2037627.0
2023-11-14,EXK,2.03,2.13,2.01,2.1,3996393.0
2023-11-15,EXK,2.08,2.14,2.06,2.09,2701579.0
2023-11-16,EXK,2.14,2.25,2.12,2.17,4382130.0
2023-11-17,EXK,2.2,2.21,2.11,2.13,2855856.0
2023-11-20,EXK,2.1,2.15,2.07,2.11,1414940.0
2023-11-21,EXK,2.17,2.255,2.15,2.21,3993048.0
2023-11-22,EXK,2.22,2.23,2.13,2.14,1881232.0
2023-11-24,EXK,2.15,2.26,2.15,2.2,2709295.0
2023-11-27,EXK,2.27,2.305,2.21,2.23,4577982.0
2023-11-28,EXK,2.26,2.29,2.22,2.26,5718813.0
2023-11-29,EXK,2.27,2.27,2.15,2.16,5354253.0
2023-11-30,EXK,2.15,2.19,2.12,2.18,3909855.0
2023-12-01,EXK,2.18,2.26,2.13,2.26,5062830.0
2023-12-04,EXK,2.22,2.23,2.08,2.1,5402704.0
2023-12-05,EXK,2.08,2.1,1.96,1.97,5127573.0
2023-12-06,EXK,2.0,2.02,1.94,1.95,4511256.0
2023-12-07,EXK,1.95,2.01,1.925,1.97,3110650.0
2023-12-08,EXK,1.93,2.02,1.92,1.98,4934309.0
2023-12-11,EXK,1.95,2.05,1.91,2.03,6122150.0
2023-12-12,EXK,2.04,2.04,1.9,1.91,5339012.0
2023-12-13,EXK,1.92,2.09,1.9,2.08,6133355.0
2023-12-14,EXK,2.15,2.15,2.05,2.1,9936433.0
2023-12-15,EXK,2.08,2.12,2.03,2.06,19469435.0
2023-12-18,EXK,2.09,2.11,2.04,2.06,3277466.0
2023-12-19,EXK,1.97,2.1695,1.97,2.07,5501246.0
