Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EZFL,12.7984,12.7984,10.6,11.6,4842.7
2022-11-10,EZFL,12.6,12.6,11.4,11.4504,1641.95
2022-11-11,EZFL,10.872,12.18,10.8,11.0,1750.7
2022-11-14,EZFL,10.8936,11.996,9.4,10.6984,2340.0
2022-11-15,EZFL,9.8,10.696,9.8,10.2488,1406.4
2022-11-16,EZFL,10.2024,10.712,9.212,9.472,1490.65
2022-11-17,EZFL,9.6,9.6424,7.9976,8.4104,4275.85
2022-11-18,EZFL,8.8304,9.6424,8.4384,9.292,1129.5
2022-11-21,EZFL,8.6,9.6384,8.008,8.768,1171.45
2022-11-22,EZFL,8.704,9.1984,8.2024,8.4,1319.2
2022-11-23,EZFL,8.6,9.0,8.008,8.6,883.25
2022-11-25,EZFL,8.332,8.3464,7.9,7.92,890.6
2022-11-28,EZFL,7.9384,8.0784,7.2,7.4344,3419.0
2022-11-29,EZFL,7.8024,8.0544,7.3464,7.56,1555.2
2022-11-30,EZFL,8.0,8.2,7.4992,8.1944,2103.65
2022-12-01,EZFL,8.1992,8.8,8.1992,8.6984,387.3
2022-12-02,EZFL,8.7856,9.6,8.4824,9.4912,684.1
2022-12-05,EZFL,9.592,9.592,8.9984,9.22,229.25
2022-12-06,EZFL,9.3976,9.3984,8.5536,9.376,555.75
2022-12-07,EZFL,9.0,9.0904,8.6,8.824,744.35
2022-12-08,EZFL,8.2024,8.8,7.648,8.1264,2649.55
2022-12-09,EZFL,8.1264,8.1264,7.6,7.7344,1175.35
2022-12-12,EZFL,9.6424,9.6424,7.8464,8.1544,1835.65
2022-12-13,EZFL,7.4,8.6008,7.4,7.98,1168.6
2022-12-14,EZFL,7.8128,8.9944,7.8128,8.288,255.0
2022-12-15,EZFL,7.5024,9.1776,7.5024,9.0304,249.15
2022-12-16,EZFL,7.804,9.0984,7.804,9.0,358.3
2022-12-19,EZFL,8.5504,9.036,7.5,8.0,941.95
2022-12-20,EZFL,7.8,8.688,7.24,8.192,523.9
2022-12-21,EZFL,8.4,8.4,7.4064,7.988,532.0
2022-12-22,EZFL,8.4,8.4,7.6,8.0,572.15
2022-12-23,EZFL,8.0,8.0,6.8,6.8,3459.7
2022-12-27,EZFL,6.0,6.6384,5.2024,5.996,3590.3
2022-12-28,EZFL,6.096,6.6,5.008,5.112,2140.15
2022-12-29,EZFL,5.28,6.3304,5.28,5.944,1808.9
2022-12-30,EZFL,6.2424,6.332,5.2,5.628,4618.5
2023-01-03,EZFL,5.62,6.416,5.62,5.6864,673.65
2023-01-04,EZFL,6.24,6.42,6.24,6.4,1545.75
2023-01-05,EZFL,6.5,9.232,6.5,8.368,4250.2
2023-01-06,EZFL,7.768,8.6,7.644,7.644,2475.8
2023-01-09,EZFL,8.34,8.6,7.644,8.356,2631.55
2023-01-10,EZFL,7.26,8.3464,7.26,8.1704,979.65
2023-01-11,EZFL,8.1544,8.508,8.0024,8.3976,561.8
2023-01-12,EZFL,8.752,8.752,8.0024,8.512,766.05
2023-01-13,EZFL,8.0,9.2104,7.98,8.104,1891.0
2023-01-17,EZFL,9.196,9.196,7.7904,7.8024,2307.95
2023-01-18,EZFL,8.0,9.8,8.0,9.7264,6760.3
2023-01-19,EZFL,9.7264,9.7264,8.6296,9.272,2866.8
2023-01-20,EZFL,8.804,9.76,8.0024,9.3984,2501.3
2023-01-23,EZFL,9.3504,9.3504,8.4584,9.184,1055.4
2023-01-24,EZFL,8.888,8.9016,8.5,8.9,327.65
2023-01-25,EZFL,8.8,9.0,8.4,8.52,1064.15
2023-01-26,EZFL,8.9464,9.74,8.2,8.4,953.45
2023-01-27,EZFL,9.1104,9.6,8.404,9.5976,1179.25
2023-01-30,EZFL,9.6,12.2944,8.928,9.7984,18518.0
2023-01-31,EZFL,9.8312,10.5272,8.8,9.8,3684.75
2023-02-01,EZFL,9.204,10.028,9.0,9.6,2860.2
2023-02-02,EZFL,9.4024,9.8,9.2,9.6,1119.5
2023-02-03,EZFL,9.8,9.8,9.2,9.2,2395.95
2023-02-06,EZFL,10.0,10.0,9.0024,9.5384,1365.65
2023-02-07,EZFL,9.9224,9.9224,8.6,9.0384,921.05
2023-02-08,EZFL,9.4,9.4,7.6,8.48,2307.3
2023-02-09,EZFL,8.172,8.4,7.6456,8.0304,1681.4
2023-02-10,EZFL,9.6424,11.1,8.8,9.6,34817.25
2023-02-13,EZFL,10.1104,10.1104,8.42,9.0,3675.4
2023-02-14,EZFL,8.5184,9.104,8.5,9.104,1131.45
2023-02-15,EZFL,9.124,9.196,8.6,9.0,3295.05
2023-02-16,EZFL,8.9016,9.0,8.6,9.0,601.95
2023-02-17,EZFL,8.8984,9.2,8.7304,8.9016,622.1
2023-02-21,EZFL,8.9,9.7984,8.4,8.6,1682.3
2023-02-22,EZFL,8.84,9.1904,8.2,8.236,1063.1
2023-02-23,EZFL,8.4,8.8,8.236,8.5,860.5
2023-02-24,EZFL,8.2024,8.5,8.0,8.02,2156.15
2023-02-27,EZFL,8.4016,8.4984,7.8024,7.8024,1123.65
2023-02-28,EZFL,7.996,8.0,7.916,7.9224,678.45
2023-03-01,EZFL,7.92,8.0,7.7,7.7,1514.65
2023-03-02,EZFL,7.64,7.7984,7.6,7.6,1664.7
2023-03-03,EZFL,7.6,7.9976,7.6,7.86,2953.85
2023-03-06,EZFL,8.252,8.252,7.6,7.984,1216.7
2023-03-07,EZFL,7.6024,8.0,7.6024,7.7224,729.7
2023-03-08,EZFL,7.8,8.3,7.6952,7.984,875.3
2023-03-09,EZFL,8.0,8.076,7.62,7.7,877.65
2023-03-10,EZFL,7.6024,8.1,6.4104,7.1424,2180.3
2023-03-13,EZFL,7.412,7.412,6.4024,7.2,868.2
2023-03-14,EZFL,6.4024,7.4,6.4024,6.788,477.0
2023-03-15,EZFL,7.4,7.4,6.424,6.5024,1097.25
2023-03-16,EZFL,7.2,7.4,6.8,7.4,1634.85
2023-03-17,EZFL,6.8064,7.396,6.676,7.0,685.9
2023-03-20,EZFL,6.344,7.0,6.2184,6.692,773.65
2023-03-21,EZFL,6.6024,6.692,6.2,6.5,956.9
2023-03-22,EZFL,6.5,6.9,6.5,6.5024,587.35
2023-03-23,EZFL,6.5024,7.0,6.232,6.2504,623.95
2023-03-24,EZFL,6.868,6.868,6.0504,6.1704,613.0
2023-03-27,EZFL,6.108,6.16,5.9984,6.016,1613.85
2023-03-28,EZFL,5.8416,6.0,5.7,5.8,1807.85
2023-03-29,EZFL,6.052,6.0904,5.8,5.8,740.3
2023-03-30,EZFL,6.0,6.4,6.0,6.3984,1012.55
2023-03-31,EZFL,6.2,6.236,5.8,5.8,1214.9
2023-04-03,EZFL,6.2,6.5984,6.0904,6.252,1818.55
2023-04-04,EZFL,6.0664,6.3984,6.0,6.1992,1166.4
2023-04-05,EZFL,6.3984,6.628,6.396,6.628,768.95
2023-04-06,EZFL,6.5984,6.6,5.84,6.2,627.4
2023-04-10,EZFL,5.2056,6.6344,5.2056,6.44,1007.0
2023-04-11,EZFL,6.5584,6.636,5.836,6.1184,893.3
2023-04-12,EZFL,5.88,6.12,5.872,6.064,549.05
2023-04-13,EZFL,5.516,6.0,5.4144,5.8,3707.2
2023-04-14,EZFL,6.0864,6.0864,5.4224,5.6,2728.15
2023-04-17,EZFL,5.42,6.108,5.2,5.6,5864.2
2023-04-18,EZFL,5.096,9.324,4.8,7.34,63793.3
2023-04-19,EZFL,7.5144,7.5144,6.02,6.4,5726.5
2023-04-20,EZFL,6.2,6.9984,6.02,6.4,2356.15
2023-04-21,EZFL,6.72,6.72,6.02,6.1016,4811.1
2023-04-24,EZFL,6.0864,6.692,5.636,6.58,979.4
2023-04-25,EZFL,6.2808,6.5544,5.544,5.8,1429.35
2023-04-26,EZFL,6.176,6.5,5.4,5.4008,14204.9
2023-04-27,EZFL,4.8,5.0597,4.3503,4.4925,23380.8
2023-04-28,EZFL,4.5,4.9,4.425,4.775,19358.8
2023-05-01,EZFL,5.05,5.125,4.325,4.375,19638.4
2023-05-02,EZFL,4.3,5.575,3.65,5.3503,178222.0
2023-05-03,EZFL,5.15,7.8,4.325,7.125,170127.2
2023-05-04,EZFL,6.575,6.625,4.75,4.975,35443.2
2023-05-05,EZFL,5.075,6.175,5.05,5.6,13735.2
2023-05-08,EZFL,9.15,9.925,6.075,6.725,3683790.0
2023-05-09,EZFL,6.7,7.55,6.2,7.275,108973.2
2023-05-10,EZFL,7.1,7.225,6.1,7.1,62092.0
2023-05-11,EZFL,6.675,6.95,6.325,6.4,22274.8
2023-05-12,EZFL,6.425,6.8735,5.575,5.696,23112.4
2023-05-15,EZFL,5.625,6.625,5.5503,6.425,28413.6
2023-05-16,EZFL,5.9388,6.425,5.7503,5.95,6510.4
2023-05-17,EZFL,6.125,6.5248,5.95,6.225,9324.0
2023-05-18,EZFL,6.35,6.5,5.55,5.775,10105.2
2023-05-19,EZFL,6.225,6.5,5.975,6.425,11564.8
2023-05-22,EZFL,6.6,6.6,6.0,6.15,12963.6
2023-05-23,EZFL,5.975,6.45,5.925,6.05,6450.0
