Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,EZGO,15.6,16.0,15.6,16.0,379.175
2022-11-10,EZGO,15.244,16.0,15.244,15.432,234.625
2022-11-11,EZGO,16.4,16.4,15.4791,15.988,237.7
2022-11-14,EZGO,16.784,16.784,15.244,15.6,488.875
2022-11-15,EZGO,15.6,16.4,15.244,15.244,1289.5
2022-11-16,EZGO,15.208,16.4,15.2,15.6,333.4
2022-11-17,EZGO,15.52,16.4,15.52,16.0,458.875
2022-11-18,EZGO,15.6,16.22,15.6,16.22,147.225
2022-11-21,EZGO,15.6,16.22,15.6,16.22,379.25
2022-11-22,EZGO,16.22,16.4,15.804,16.4,253.725
2022-11-23,EZGO,15.604,16.4,15.6,15.88,336.225
2022-11-25,EZGO,16.4,16.4,16.4,16.4,19.5
2022-11-28,EZGO,16.4,16.4,15.52,15.64,286.15
2022-11-29,EZGO,15.64,16.0,15.204,15.204,366.475
2022-11-30,EZGO,15.2,16.0,15.2,15.8,222.1
2022-12-01,EZGO,16.0,16.0,14.8,15.58,1270.4
2022-12-02,EZGO,14.86,16.0,14.86,15.888,121.675
2022-12-05,EZGO,16.0,18.0,15.8,17.876,1133.225
2022-12-06,EZGO,18.0,18.0,16.2,17.24,262.45
2022-12-07,EZGO,17.2,17.2665,16.928,16.928,161.725
2022-12-08,EZGO,16.8,16.8,16.404,16.404,361.25
2022-12-09,EZGO,16.4,16.8,15.604,16.796,620.525
2022-12-12,EZGO,16.4,17.2,15.68,16.444,579.675
2022-12-13,EZGO,17.256,23.0,17.092,18.668,6246.2
2022-12-14,EZGO,19.2,21.88,18.8,19.802,1220.6
2022-12-15,EZGO,20.108,20.108,18.8,18.808,680.875
2022-12-16,EZGO,18.8,19.8,18.8,19.72,1232.825
2022-12-19,EZGO,15.8,19.56,15.8,17.6,499.525
2022-12-20,EZGO,16.8,17.2,16.2,16.244,557.15
2022-12-21,EZGO,17.196,17.972,16.72,17.972,523.0
2022-12-22,EZGO,16.952,18.8,16.952,18.04,1037.75
2022-12-23,EZGO,18.796,18.796,16.456,16.804,474.4
2022-12-27,EZGO,16.0,19.8,16.0,19.2,3668.375
2022-12-28,EZGO,19.356,21.144,18.4913,19.964,1816.825
2022-12-29,EZGO,20.744,20.8,18.4,18.6,756.0
2022-12-30,EZGO,18.8,35.2,18.8,26.668,14082.45
2023-01-03,EZGO,26.0,33.852,26.0,31.24,5312.425
2023-01-04,EZGO,33.28,37.996,27.2,33.56,9354.65
2023-01-05,EZGO,33.6,35.6,30.4,31.2,1419.625
2023-01-06,EZGO,30.8,47.6,30.52,41.2,35711.6
2023-01-09,EZGO,44.4,46.8,40.8,44.8,4947.2
2023-01-10,EZGO,45.2,46.0,40.804,45.6,2913.675
2023-01-11,EZGO,46.0,46.4,41.2,44.0,1625.425
2023-01-12,EZGO,43.2,44.0,40.8,42.0,1749.575
2023-01-13,EZGO,42.0,44.0,41.416,44.0,1748.675
2023-01-17,EZGO,42.4,44.0,41.6,42.0,898.975
2023-01-18,EZGO,44.0,50.8,43.2,46.8,4564.575
2023-01-19,EZGO,47.2,51.0,46.2,50.0,2196.225
2023-01-20,EZGO,44.0,47.996,40.4,44.0,2828.5
2023-01-23,EZGO,48.8,48.8,43.6,44.8,576.15
2023-01-24,EZGO,46.8,47.2,44.0,44.0,669.5
2023-01-25,EZGO,46.4,48.0,42.404,47.6,1364.15
2023-01-26,EZGO,47.2,60.0,46.4,59.6,15332.175
2023-01-27,EZGO,60.0,61.2,50.6,56.0,3455.45
2023-01-30,EZGO,58.0,58.0,52.8,54.0,802.975
2023-01-31,EZGO,52.8,53.4,47.2,48.4,2005.225
2023-02-01,EZGO,47.2,53.648,47.2,51.6,1276.05
2023-02-02,EZGO,51.2,53.6,47.6,52.4,1267.025
2023-02-03,EZGO,50.0,52.4,50.0,51.2,562.95
2023-02-06,EZGO,51.2,52.8,51.2,51.6,507.7
2023-02-07,EZGO,51.2,52.4,48.4,49.748,974.6
2023-02-08,EZGO,49.2,49.2,45.6,47.2,901.05
2023-02-09,EZGO,47.4,49.6,46.8,48.4,432.525
2023-02-10,EZGO,44.004,47.6,44.004,47.2,767.275
2023-02-13,EZGO,48.0,48.0,45.2,46.0,742.85
2023-02-14,EZGO,46.8,47.6,43.6,45.6,1026.425
2023-02-15,EZGO,44.0,46.0,44.0,45.2,315.075
2023-02-16,EZGO,48.4,50.0,43.204,46.0,726.875
2023-02-17,EZGO,46.0,49.6,44.8,49.6,368.025
2023-02-21,EZGO,48.0,50.796,45.204,47.6,1992.375
2023-02-22,EZGO,46.4,51.112,46.4,48.0,773.8
2023-02-23,EZGO,48.4,54.0,48.4,53.6,2957.425
2023-02-24,EZGO,50.0,52.8,50.0,50.4,959.8
2023-02-27,EZGO,50.8,53.6,48.8,51.2,849.55
2023-02-28,EZGO,50.0,52.76,49.6,49.6,791.45
2023-03-01,EZGO,50.052,52.0,50.052,51.532,762.85
2023-03-02,EZGO,51.272,52.8,50.444,51.6,699.125
2023-03-03,EZGO,51.388,56.8,51.2,53.8,1710.775
2023-03-06,EZGO,56.4,57.2,52.0,52.8,1065.525
2023-03-07,EZGO,56.0,56.0,52.0,52.8,1205.6
2023-03-08,EZGO,52.4,53.6,48.4,50.4,1286.9
2023-03-09,EZGO,49.6,54.6,49.6,50.0,4829.3
2023-03-10,EZGO,50.396,53.6,50.0,50.6,1865.875
2023-03-13,EZGO,50.0,51.2,48.8,49.2,1495.7
2023-03-14,EZGO,50.0,51.64,49.2,49.2,255.775
2023-03-15,EZGO,48.8,50.0,48.0,48.0,710.6
2023-03-16,EZGO,47.2,49.2,47.2,49.2,570.525
2023-03-17,EZGO,48.4,50.0,47.2,49.6,365.5
2023-03-20,EZGO,49.2,49.2,39.992,40.4,5783.5
2023-03-21,EZGO,37.6,61.6,37.6,42.2,62168.9
2023-03-22,EZGO,44.4,59.6,43.6,56.4,11598.6
2023-03-23,EZGO,57.2,60.72,49.0,51.6,10599.525
2023-03-24,EZGO,48.4,53.4,48.4,52.8,1394.55
2023-03-27,EZGO,54.4,55.2,51.6,54.0,1080.55
2023-03-28,EZGO,54.4,55.996,51.26,55.6,967.55
2023-03-29,EZGO,54.0,59.2,52.404,58.2,1837.95
2023-03-30,EZGO,60.4,69.2,55.972,67.6,2921.325
2023-03-31,EZGO,64.4,78.4,64.4,71.6,5375.825
2023-04-03,EZGO,69.6,78.4,68.0,70.0,2437.4
2023-04-04,EZGO,68.8,68.8,59.96,60.4,3922.75
2023-04-05,EZGO,66.0,66.0,59.208,60.0,937.125
2023-04-06,EZGO,59.6,60.4,56.4,56.4,1217.425
2023-04-10,EZGO,54.8,62.4,54.4,59.2,2835.8
2023-04-11,EZGO,60.2,65.6,59.6,65.6,4900.45
2023-04-12,EZGO,62.0,67.6,62.0,67.2,3265.825
2023-04-13,EZGO,66.4,78.4,66.4,70.4,2966.4
2023-04-14,EZGO,68.8,73.2,62.8,64.0,2333.65
2023-04-17,EZGO,66.8,71.6,64.4,66.0,1100.0
2023-04-18,EZGO,64.2,67.2,64.0,65.2,732.0
2023-04-19,EZGO,67.2,71.2,65.6,68.0,594.3
2023-04-20,EZGO,70.8,70.8,62.0,62.4,861.625
2023-04-21,EZGO,62.8,64.8,56.0,56.8,906.9
2023-04-24,EZGO,56.4,65.2,54.76,63.2,2216.625
2023-04-25,EZGO,64.0,64.0,59.876,59.876,312.75
