Date,Ticker,Open,High,Low,Close,Volume
2024-01-31,FBLG,30.0,55.0,22.0,29.1,68728.0
2024-02-01,FBLG,33.05,46.0,16.28,17.5,293123.0
2024-02-02,FBLG,13.73,15.9,12.2191,15.0,146294.0
2024-02-05,FBLG,15.25,19.6,13.3101,14.4,102988.0
2024-02-06,FBLG,14.49,14.49,10.01,10.33,86153.0
2024-02-07,FBLG,10.25,10.4937,8.075,8.68,67140.0
2024-02-08,FBLG,8.94,10.0,7.82,7.82,57823.0
2024-02-09,FBLG,8.0,8.0,6.6802,6.89,58374.0
2024-02-12,FBLG,6.53,7.48,6.53,7.4,20317.0
2024-02-13,FBLG,7.7,15.47,6.9,13.94,1108923.0
2024-02-14,FBLG,14.69,17.75,12.27,15.25,352331.0
2024-02-15,FBLG,13.4,14.9,12.01,12.84,122709.0
2024-02-16,FBLG,13.0,15.5,11.55,13.5,114659.0
2024-02-20,FBLG,14.49,14.49,12.31,12.35,68952.0
2024-02-21,FBLG,12.24,13.0,11.01,12.4,46602.0
2024-02-22,FBLG,12.3,12.8078,12.01,12.1,17989.0
2024-02-23,FBLG,12.49,12.49,11.5,12.12,18406.0
2024-02-26,FBLG,12.64,13.75,12.0,12.8,44862.0
2024-02-27,FBLG,13.19,13.85,11.8401,12.21,71068.0
2024-02-28,FBLG,12.6,13.47,12.3653,13.01,39209.0
2024-02-29,FBLG,13.44,14.7,12.8512,13.06,176101.0
2024-03-01,FBLG,13.86,13.92,12.2798,13.0,145281.0
2024-03-04,FBLG,12.78,12.78,9.0,9.09,107332.0
2024-03-05,FBLG,11.6,11.6,9.75,10.4,67098.0
2024-03-06,FBLG,10.96,10.96,9.53,9.95,43026.0
2024-03-07,FBLG,10.25,10.3,9.4063,9.88,31460.0
2024-03-08,FBLG,10.0,10.64,9.1213,10.64,40782.0
2024-03-11,FBLG,10.33,10.5376,9.59,10.24,33893.0
2024-03-12,FBLG,10.38,12.62,10.01,12.53,151361.0
2024-03-13,FBLG,12.75,12.75,11.8,11.8,67668.0
2024-03-14,FBLG,11.72,11.72,10.505,10.6,61837.0
2024-03-15,FBLG,10.62,10.9031,9.5,10.04,78264.0
2024-03-18,FBLG,9.92,10.39,8.99,8.99,57030.0
2024-03-19,FBLG,9.0,12.42,9.0,10.91,164889.0
2024-03-20,FBLG,10.85,12.48,10.62,12.47,150302.0
2024-03-21,FBLG,12.02,12.6161,10.6436,12.1,69281.0
2024-03-22,FBLG,12.0444,12.1,11.0513,11.99,54809.0
2024-03-25,FBLG,11.96,12.04,11.33,12.0,50252.0
2024-03-26,FBLG,11.48,11.64,10.79,10.93,46511.0
2024-03-27,FBLG,10.93,11.9627,10.64,11.75,65574.0
2024-03-28,FBLG,11.53,11.53,10.689,10.81,39855.0
2024-04-01,FBLG,10.83,11.88,10.81,11.41,97513.0
2024-04-02,FBLG,11.02,11.35,10.69,10.8,39255.0
2024-04-03,FBLG,10.89,11.585,10.27,11.19,44859.0
2024-04-04,FBLG,11.095,11.4,10.8316,11.4,36826.0
2024-04-05,FBLG,11.28,11.375,10.56,11.02,37159.0
2024-04-08,FBLG,10.76,11.25,10.7501,11.07,66707.0
2024-04-09,FBLG,11.15,11.3,10.76,10.94,62199.0
2024-04-10,FBLG,10.75,11.57,10.61,11.57,61682.0
2024-04-11,FBLG,11.55,11.55,10.99,11.32,54354.0
