Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FBP,15.04,15.3,14.955,15.02,978578.0
2022-11-10,FBP,15.52,15.91,15.46,15.83,1312800.0
2022-11-11,FBP,15.78,15.99,15.445,15.49,1780548.0
2022-11-14,FBP,15.42,15.54,15.17,15.24,1251286.0
2022-11-15,FBP,15.33,15.59,15.23,15.36,1544318.0
2022-11-16,FBP,15.43,15.45,15.09,15.18,865012.0
2022-11-17,FBP,15.07,15.07,14.775,14.97,899164.0
2022-11-18,FBP,15.27,15.27,14.85,14.94,884884.0
2022-11-21,FBP,14.96,15.13,14.87,15.11,984195.0
2022-11-22,FBP,15.33,15.34,15.12,15.29,1097317.0
2022-11-23,FBP,15.15,15.3,15.075,15.22,805063.0
2022-11-25,FBP,15.32,15.445,15.26,15.41,291757.0
2022-11-28,FBP,15.21,15.3,15.0257,15.17,870460.0
2022-11-29,FBP,15.17,15.35,15.1141,15.26,935214.0
2022-11-30,FBP,15.2,15.39,14.8,15.38,1377971.0
2022-12-01,FBP,15.45,15.45,15.1,15.1,737092.0
2022-12-02,FBP,14.94,15.07,14.94,15.03,1020400.0
2022-12-05,FBP,14.89,14.89,13.915,14.07,1674075.0
2022-12-06,FBP,14.07,14.09,13.675,13.84,1428746.0
2022-12-07,FBP,13.79,13.94,13.61,13.81,1298054.0
2022-12-08,FBP,13.92,13.925,13.61,13.69,1404967.0
2022-12-09,FBP,13.65,13.96,13.54,13.89,1192689.0
2022-12-12,FBP,13.9,14.215,13.75,14.08,1258926.0
2022-12-13,FBP,14.32,14.49,13.815,13.91,2052996.0
2022-12-14,FBP,13.97,14.03,13.56,13.58,1667314.0
2022-12-15,FBP,13.22,13.25,12.575,12.68,2675535.0
2022-12-16,FBP,12.56,12.69,12.34,12.42,5793753.0
2022-12-19,FBP,12.52,12.69,12.31,12.67,1995689.0
2022-12-20,FBP,12.71,12.89,12.665,12.69,1470853.0
2022-12-21,FBP,12.8,12.94,12.69,12.74,1377116.0
2022-12-22,FBP,12.63,12.68,12.4,12.64,1164967.0
2022-12-23,FBP,12.64,12.895,12.64,12.82,815028.0
2022-12-27,FBP,12.85,12.93,12.75,12.85,834109.0
2022-12-28,FBP,12.92,12.93,12.605,12.66,746311.0
2022-12-29,FBP,12.77,12.84,12.63,12.82,1251283.0
2022-12-30,FBP,12.7,12.785,12.63,12.72,1084338.0
