Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FDP,28.04,28.33,27.79,27.99,204381.0
2022-11-10,FDP,28.67,29.015,28.31,28.43,185696.0
2022-11-11,FDP,28.3,28.5,27.87,28.03,163158.0
2022-11-14,FDP,27.97,28.85,27.88,27.93,117580.0
2022-11-15,FDP,28.11,28.325,27.76,27.86,142649.0
2022-11-16,FDP,27.98,28.05,27.58,27.72,120727.0
2022-11-17,FDP,27.35,27.58,27.03,27.26,107645.0
2022-11-18,FDP,27.68,27.68,26.97,27.37,269261.0
2022-11-21,FDP,27.4,27.76,27.25,27.39,312063.0
2022-11-22,FDP,27.95,27.95,27.265,27.47,470646.0
2022-11-23,FDP,27.58,27.64,27.19,27.38,287738.0
2022-11-25,FDP,27.4,27.8,27.26,27.42,274856.0
2022-11-28,FDP,27.42,27.66,27.21,27.23,301033.0
2022-11-29,FDP,27.39,27.47,26.66,26.78,924391.0
2022-11-30,FDP,26.76,27.68,26.45,27.68,348103.0
2022-12-01,FDP,27.62,27.76,27.15,27.33,134558.0
2022-12-02,FDP,27.15,27.52,26.99,27.21,117759.0
2022-12-05,FDP,26.97,27.22,26.77,27.12,139947.0
2022-12-06,FDP,27.19,27.55,26.96,27.1,165465.0
2022-12-07,FDP,27.18,27.48,26.91,27.05,142420.0
2022-12-08,FDP,26.99,27.25,26.79,26.94,153387.0
2022-12-09,FDP,26.84,27.205,26.74,26.79,151873.0
2022-12-12,FDP,26.8,26.92,26.33,26.71,164823.0
2022-12-13,FDP,27.06,27.15,26.12,26.39,235221.0
2022-12-14,FDP,26.39,26.65,26.18,26.54,259947.0
2022-12-15,FDP,26.4,26.4,25.42,25.52,212273.0
2022-12-16,FDP,25.24,25.26,24.87,25.17,994686.0
2022-12-19,FDP,25.28,26.12,25.28,26.07,187030.0
2022-12-20,FDP,26.13,26.26,25.82,26.21,168928.0
2022-12-21,FDP,26.4,26.45,26.14,26.36,128927.0
2022-12-22,FDP,26.28,26.32,25.87,26.07,132570.0
2022-12-23,FDP,26.12,26.34,26.09,26.13,86733.0
2022-12-27,FDP,26.08,26.49,26.08,26.45,88273.0
2022-12-28,FDP,26.51,26.75,25.99,25.99,108334.0
2022-12-29,FDP,26.11,26.39,25.885,26.38,119956.0
2022-12-30,FDP,26.35,26.47,26.0902,26.19,167063.0
2023-01-03,FDP,26.2,26.59,26.2,26.45,181808.0
2023-01-04,FDP,26.63,27.32,26.63,26.69,173116.0
2023-01-05,FDP,26.73,26.79,26.19,26.57,110704.0
2023-01-06,FDP,26.73,27.24,26.73,26.89,94461.0
2023-01-09,FDP,26.98,27.0505,26.51,26.67,133561.0
2023-01-10,FDP,26.68,27.12,26.6,26.81,181855.0
2023-01-11,FDP,26.8,27.17,26.734,27.07,168624.0
2023-01-12,FDP,27.19,27.63,26.9825,27.58,150214.0
2023-01-13,FDP,27.37,28.055,27.37,27.99,105260.0
2023-01-17,FDP,27.99,28.09,27.725,28.06,122960.0
2023-01-18,FDP,28.04,28.05,27.1,27.11,132456.0
2023-01-19,FDP,27.0,27.39,27.0,27.19,98782.0
2023-01-20,FDP,27.41,27.41,27.02,27.25,126773.0
2023-01-23,FDP,27.15,27.5,27.02,27.04,108917.0
2023-01-24,FDP,26.96,27.31,26.96,27.17,80380.0
2023-01-25,FDP,27.15,27.5,27.017,27.49,69428.0
2023-01-26,FDP,27.54,27.585,27.21,27.31,106576.0
2023-01-27,FDP,27.34,27.59,27.2,27.29,81045.0
2023-01-30,FDP,27.13,27.68,27.13,27.66,78885.0
2023-01-31,FDP,27.79,28.64,27.7116,28.6,159063.0
2023-02-01,FDP,28.5,28.74,28.44,28.52,142149.0
2023-02-02,FDP,28.76,29.15,28.35,28.7,164099.0
2023-02-03,FDP,28.57,29.1,28.41,28.88,213817.0
2023-02-06,FDP,28.82,28.99,28.445,28.85,194395.0
2023-02-07,FDP,28.62,29.01,28.34,28.75,167062.0
2023-02-08,FDP,28.53,28.53,28.1,28.21,102654.0
2023-02-09,FDP,28.41,28.54,28.06,28.41,110322.0
2023-02-10,FDP,28.29,28.62,28.29,28.49,124598.0
2023-02-13,FDP,28.57,28.76,28.3,28.62,124190.0
2023-02-14,FDP,28.38,28.59,28.18,28.24,217622.0
2023-02-15,FDP,28.11,28.58,27.78,28.57,208176.0
2023-02-16,FDP,28.31,28.375,27.94,28.2,178940.0
2023-02-17,FDP,28.49,28.95,28.18,28.84,416530.0
2023-02-21,FDP,28.77,28.87,28.47,28.63,179240.0
2023-02-22,FDP,30.18,31.72,29.72,31.5,456624.0
2023-02-23,FDP,31.59,31.79,30.4488,30.83,277367.0
2023-02-24,FDP,30.55,31.21,30.33,31.04,208422.0
