Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FENC,8.45,8.47,8.16,8.28,50107.0
2022-11-10,FENC,8.19,8.37,7.69,8.18,88686.0
2022-11-11,FENC,8.0,8.36,8.0,8.22,75489.0
2022-11-14,FENC,8.18,8.3,7.7,7.91,103261.0
2022-11-15,FENC,7.93,8.12,7.93,8.03,50118.0
2022-11-16,FENC,7.95,8.11,7.88,7.99,48437.0
2022-11-17,FENC,7.99,8.26,7.9162,8.19,102748.0
2022-11-18,FENC,8.28,8.63,8.245,8.58,134370.0
2022-11-21,FENC,8.58,8.805,8.49,8.71,81286.0
2022-11-22,FENC,9.0,9.6277,8.76,9.53,335778.0
2022-11-23,FENC,9.54,9.87,9.4575,9.51,177059.0
2022-11-25,FENC,9.38,9.54,9.1898,9.51,42498.0
2022-11-28,FENC,9.55,9.89,9.12,9.61,70619.0
2022-11-29,FENC,9.52,9.955,9.52,9.75,85325.0
2022-11-30,FENC,9.71,10.06,9.63,9.76,177620.0
2022-12-01,FENC,9.71,9.9699,9.65,9.86,71990.0
2022-12-02,FENC,9.75,9.82,9.56,9.62,66326.0
2022-12-05,FENC,9.52,9.65,9.5,9.57,62453.0
2022-12-06,FENC,9.6,9.7168,9.32,9.54,68447.0
2022-12-07,FENC,9.53,9.89,8.83,9.69,108897.0
2022-12-08,FENC,9.81,9.92,9.58,9.88,77669.0
2022-12-09,FENC,9.88,10.04,9.48,9.51,80955.0
2022-12-12,FENC,9.65,9.94,9.29,9.85,109432.0
2022-12-13,FENC,10.0,10.29,9.77,10.02,146293.0
2022-12-14,FENC,10.07,10.375,9.62,9.85,156742.0
2022-12-15,FENC,9.83,9.92,9.45,9.73,64270.0
2022-12-16,FENC,9.78,9.93,9.425,9.91,67797.0
2022-12-19,FENC,9.91,10.0,9.705,9.935,45712.0
2022-12-20,FENC,9.85,10.0,9.7,9.79,100905.0
2022-12-21,FENC,9.7,10.35,9.7,10.22,106609.0
2022-12-22,FENC,10.2,10.2,9.37,9.93,109955.0
2022-12-23,FENC,9.96,9.97,9.521,9.78,55016.0
2022-12-27,FENC,9.99,9.99,9.6087,9.83,67986.0
2022-12-28,FENC,9.72,9.8,9.53,9.53,95045.0
2022-12-29,FENC,9.52,9.78,9.37,9.68,57090.0
2022-12-30,FENC,9.65,9.73,9.51,9.6,62220.0
2023-01-03,FENC,9.75,10.13,9.44,10.03,139718.0
2023-01-04,FENC,10.14,10.45,10.0,10.25,104343.0
2023-01-05,FENC,10.2,10.31,10.0,10.17,59059.0
2023-01-06,FENC,10.11,10.19,9.86,9.94,62388.0
2023-01-09,FENC,9.94,10.0,9.8,9.94,167439.0
2023-01-10,FENC,10.01,10.38,9.9992,10.19,53074.0
2023-01-11,FENC,10.28,10.28,10.07,10.21,60376.0
2023-01-12,FENC,10.25,10.27,9.98,10.04,46281.0
2023-01-13,FENC,10.01,10.85,10.0,10.35,324073.0
2023-01-17,FENC,10.24,10.5,9.93,10.09,152199.0
2023-01-18,FENC,10.03,10.1297,9.87,10.11,69951.0
2023-01-19,FENC,10.01,10.07,9.86,9.93,126742.0
2023-01-20,FENC,9.91,10.09,9.85,9.9,46483.0
2023-01-23,FENC,9.81,9.81,9.54,9.69,68816.0
2023-01-24,FENC,9.65,9.705,9.1,9.19,180224.0
2023-01-25,FENC,9.35,10.06,9.35,9.95,271808.0
2023-01-26,FENC,9.9,9.915,9.7,9.83,73813.0
2023-01-27,FENC,9.84,9.84,9.34,9.46,94747.0
2023-01-30,FENC,9.35,9.58,9.22,9.42,37349.0
2023-01-31,FENC,9.4,10.18,9.35,10.01,247682.0
2023-02-01,FENC,10.01,10.29,9.84,10.21,97295.0
2023-02-02,FENC,10.32,10.5,9.92,10.15,148381.0
