Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FERG,110.02,112.15,110.02,111.27,1080093.0
2022-11-10,FERG,116.52,124.06,116.35,123.4,1684054.0
2022-11-11,FERG,117.83,122.48,117.06,120.97,2806861.0
2022-11-14,FERG,121.42,122.13,120.17,120.91,1069708.0
2022-11-15,FERG,122.61,122.76,119.8,120.44,1081905.0
2022-11-16,FERG,118.44,118.82,116.09,116.54,829575.0
2022-11-17,FERG,114.91,115.84,113.935,115.37,839652.0
2022-11-18,FERG,116.95,118.01,115.62,116.87,845438.0
2022-11-21,FERG,115.84,118.12,115.3,117.9,1006760.0
2022-11-22,FERG,118.64,123.31,118.22,120.51,2486218.0
2022-11-23,FERG,120.36,120.78,119.61,120.25,1572305.0
2022-11-25,FERG,119.38,120.52,118.71,120.46,868761.0
2022-11-28,FERG,118.88,118.91,115.99,116.96,1687198.0
2022-11-29,FERG,114.51,115.34,113.21,114.62,2974968.0
2022-11-30,FERG,113.36,117.8,111.85,117.23,22950314.0
2022-12-01,FERG,118.2,120.495,117.52,118.31,3218104.0
2022-12-02,FERG,115.54,117.03,114.7511,116.64,3294926.0
2022-12-05,FERG,117.6,117.76,114.1,115.65,4825220.0
2022-12-06,FERG,117.38,122.09,117.12,122.08,9789089.0
2022-12-07,FERG,120.72,124.81,120.0,123.51,8090637.0
2022-12-08,FERG,124.99,126.21,123.9,126.08,3982575.0
2022-12-09,FERG,125.95,128.63,125.95,127.12,3028751.0
2022-12-12,FERG,126.83,129.3,126.5,128.7,3231607.0
2022-12-13,FERG,132.11,132.79,129.35,130.75,3781490.0
2022-12-14,FERG,131.4,132.67,130.17,131.57,6886247.0
2022-12-15,FERG,129.31,129.5,124.98,126.64,7972185.0
2022-12-16,FERG,124.3,125.8,122.55,124.33,20326743.0
2022-12-19,FERG,124.12,126.04,123.63,125.39,6308994.0
2022-12-20,FERG,124.99,124.99,123.22,124.97,5867154.0
2022-12-21,FERG,124.48,126.15,123.79,126.09,2119191.0
2022-12-22,FERG,124.88,125.03,122.13,124.85,1154545.0
2022-12-23,FERG,124.78,125.02,123.88,124.86,1712527.0
2022-12-27,FERG,125.43,126.68,125.005,126.51,858671.0
2022-12-28,FERG,127.0,127.465,124.61,124.71,1199804.0
2022-12-29,FERG,125.9,127.82,125.58,127.51,879128.0
2022-12-30,FERG,126.74,127.35,125.92,126.97,1054836.0
2023-01-03,FERG,127.95,129.05,127.13,128.61,1499487.0
2023-01-04,FERG,130.86,132.6995,130.53,132.0,1843340.0
