Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FET,28.18,29.105,27.98,28.2,32960.0
2022-11-10,FET,28.24,29.25,28.23,28.85,14577.0
2022-11-11,FET,29.1,30.11,29.05,29.85,11932.0
2022-11-14,FET,29.8,29.8,28.12,28.6,31914.0
2022-11-15,FET,28.98,29.18,28.06,28.75,7058.0
2022-11-16,FET,28.5478,28.86,28.2,28.86,3628.0
2022-11-17,FET,28.86,29.3,28.3,28.77,15604.0
2022-11-18,FET,28.53,29.255,27.81,28.71,18310.0
2022-11-21,FET,28.36,28.51,27.3,28.5,17305.0
2022-11-22,FET,29.04,29.24,28.725,28.82,17588.0
2022-11-23,FET,28.64,29.71,27.79,29.66,22608.0
2022-11-25,FET,29.41,30.43,29.07,29.52,9258.0
2022-11-28,FET,29.17,29.17,27.22,27.98,22962.0
2022-11-29,FET,28.425,28.57,27.86,28.34,15996.0
2022-11-30,FET,28.35,30.63,28.185,29.06,35478.0
2022-12-01,FET,29.42,30.51,29.3,30.22,24935.0
2022-12-02,FET,29.3466,30.2695,29.12,30.17,39176.0
2022-12-05,FET,30.0,30.5,28.87,29.16,21445.0
2022-12-06,FET,28.94,29.92,28.4,28.71,16198.0
2022-12-07,FET,28.61,30.1,28.61,29.45,19667.0
2022-12-08,FET,29.9,29.9,29.04,29.47,17255.0
2022-12-09,FET,29.52,30.23,28.3,28.74,47011.0
2022-12-12,FET,28.78,29.0,27.91,28.41,37618.0
2022-12-13,FET,29.73,29.73,28.88,29.54,19980.0
2022-12-14,FET,29.69,31.305,29.69,30.35,37617.0
2022-12-15,FET,30.35,30.91,30.14,30.91,25815.0
2022-12-16,FET,30.64,31.48,29.9356,31.04,19247.0
2022-12-19,FET,31.5,31.881,29.31,29.5,54107.0
2022-12-20,FET,29.87,32.0,29.87,31.36,57597.0
2022-12-21,FET,31.62,31.85,30.875,31.07,78661.0
2022-12-22,FET,31.25,31.64,30.51,30.81,37966.0
2022-12-23,FET,31.12,31.335,30.28,31.19,87912.0
2022-12-27,FET,31.74,31.835,30.6,31.25,93951.0
2022-12-28,FET,31.07,31.83,29.8,30.36,47773.0
2022-12-29,FET,31.41,31.41,29.11,29.5,64879.0
2022-12-30,FET,29.4,30.0,29.25,29.5,77355.0
2023-01-03,FET,29.49,30.0,27.89,28.0,63273.0
2023-01-04,FET,28.0,28.12,27.11,27.36,70123.0
2023-01-05,FET,27.37,28.47,27.37,28.15,18945.0
2023-01-06,FET,28.0,28.8546,27.222,28.26,69282.0
2023-01-09,FET,28.69,30.9,28.69,29.12,321883.0
2023-01-10,FET,29.12,29.8,28.9,29.38,111701.0
2023-01-11,FET,29.5,29.6,28.54,28.85,106719.0
2023-01-12,FET,28.74,29.43,28.74,29.11,79534.0
2023-01-13,FET,29.18,29.19,28.56,29.08,106492.0
2023-01-17,FET,29.07,29.95,29.07,29.95,140999.0
2023-01-18,FET,30.25,32.85,30.05,30.41,197952.0
2023-01-19,FET,30.41,31.135,30.095,30.41,74507.0
2023-01-20,FET,30.25,31.605,30.06,31.55,69647.0
2023-01-23,FET,31.56,32.6,31.45,31.69,132665.0
2023-01-24,FET,31.69,33.52,31.41,31.74,85222.0
2023-01-25,FET,31.44,33.51,31.2,33.21,91550.0
2023-01-26,FET,33.09,33.2546,31.81,32.56,84057.0
2023-01-27,FET,32.75,32.9614,31.73,32.0,60061.0
2023-01-30,FET,31.71,32.01,31.01,31.89,76834.0
2023-01-31,FET,31.95,33.38,31.75,33.0,54150.0
2023-02-01,FET,32.94,32.94,31.81,32.82,83174.0
2023-02-02,FET,32.93,32.98,30.73,31.58,103788.0
2023-02-03,FET,31.42,32.885,31.42,31.98,76510.0
2023-02-06,FET,32.0,32.69,31.6225,32.69,73157.0
2023-02-07,FET,32.66,32.69,32.1,32.37,105420.0
2023-02-08,FET,32.65,32.66,31.55,32.17,66740.0
2023-02-09,FET,32.07,32.1,31.13,31.9,125510.0
2023-02-10,FET,32.03,33.84,31.675,33.07,80543.0
2023-02-13,FET,33.0,33.0,32.31,32.4,35682.0
2023-02-14,FET,32.22,32.735,31.69,32.05,50318.0
2023-02-15,FET,32.04,32.18,31.4,32.18,67262.0
2023-02-16,FET,31.82,32.314,31.69,31.96,98896.0
2023-02-17,FET,32.0,32.0,31.2,31.7,133548.0
2023-02-21,FET,31.05,32.235,31.05,31.78,92817.0
2023-02-22,FET,31.53,31.77,29.1,29.35,117804.0
2023-02-23,FET,29.68,30.175,29.18,29.57,83888.0
2023-02-24,FET,29.3,29.95,28.956,29.85,65191.0
2023-02-27,FET,29.84,30.31,29.706,30.13,42449.0
2023-02-28,FET,30.47,30.66,29.28,29.28,49729.0
2023-03-01,FET,29.28,29.71,28.57,29.35,89189.0
2023-03-02,FET,29.04,30.12,29.04,30.09,55545.0
2023-03-03,FET,29.8,31.03,29.8,30.88,58527.0
2023-03-06,FET,31.02,31.02,30.2,30.79,66528.0
2023-03-07,FET,30.81,30.81,29.89,30.02,45414.0
2023-03-08,FET,29.92,30.47,29.345,29.94,106812.0
2023-03-09,FET,29.99,30.28,29.035,29.11,153138.0
2023-03-10,FET,29.39,29.4988,28.31,28.46,121020.0
2023-03-13,FET,27.66,28.605,27.35,28.23,225387.0
2023-03-14,FET,28.36,29.12,28.0,28.17,178134.0
2023-03-15,FET,27.43,27.43,25.5897,26.0,326291.0
2023-03-16,FET,25.54,25.54,22.8401,24.55,396152.0
2023-03-17,FET,24.31,24.54,22.99,23.05,166669.0
2023-03-20,FET,22.98,24.06,22.98,23.65,156429.0
2023-03-21,FET,24.34,25.495,24.33,25.03,153985.0
2023-03-22,FET,25.06,25.06,24.05,24.12,52795.0
2023-03-23,FET,24.5,24.73,22.45,23.0,313250.0
2023-03-24,FET,22.58,23.3,22.46,22.94,67133.0
2023-03-27,FET,23.09,24.17,23.0,23.95,61453.0
2023-03-28,FET,24.11,25.21,23.91,25.09,57403.0
2023-03-29,FET,25.36,25.37,24.84,24.92,51015.0
2023-03-30,FET,25.07,25.12,24.23,24.77,27143.0
2023-03-31,FET,24.63,25.505,24.32,25.43,66691.0
2023-04-03,FET,26.38,26.92,26.14,26.44,83459.0
2023-04-04,FET,26.58,26.58,24.87,25.32,76225.0
2023-04-05,FET,25.08,25.08,24.36,24.42,38195.0
2023-04-06,FET,24.3,24.48,23.6898,23.74,27954.0
2023-04-10,FET,23.66,24.6299,23.66,24.3,24873.0
2023-04-11,FET,24.36,24.9,24.12,24.68,49176.0
2023-04-12,FET,24.69,24.85,24.1522,24.68,45087.0
2023-04-13,FET,24.59,25.0,24.33,24.39,18253.0
2023-04-14,FET,24.39,24.555,24.0,24.45,46470.0
2023-04-17,FET,24.39,24.59,23.92,23.97,36562.0
2023-04-18,FET,24.52,24.52,23.16,23.35,61177.0
2023-04-19,FET,23.32,23.68,22.8,23.58,40541.0
2023-04-20,FET,23.26,23.26,22.51,22.79,38817.0
2023-04-21,FET,22.86,23.52,21.94,22.3,32007.0
2023-04-24,FET,22.1,22.905,22.1,22.56,40871.0
2023-04-25,FET,22.53,22.6,21.52,21.96,62358.0
2023-04-26,FET,22.22,22.42,21.64,21.75,58665.0
2023-04-27,FET,21.75,21.9371,21.22,21.56,54563.0
2023-04-28,FET,21.53,22.5,21.3261,22.16,42199.0
2023-05-01,FET,22.04,22.54,21.7977,21.94,33307.0
2023-05-02,FET,21.61,21.98,20.62,20.75,50612.0
2023-05-03,FET,20.5,21.03,20.41,20.62,39531.0
2023-05-04,FET,20.66,21.09,20.3,20.75,48608.0
2023-05-05,FET,21.0,22.0,20.77,21.69,46286.0
2023-05-08,FET,21.89,22.17,21.45,21.48,43837.0
2023-05-09,FET,21.68,22.18,21.35,22.05,43039.0
2023-05-10,FET,22.04,22.09,21.56,22.04,28721.0
2023-05-11,FET,21.82,21.95,21.2,21.59,51393.0
2023-05-12,FET,21.65,21.97,21.1,21.52,55195.0
2023-05-15,FET,21.93,22.69,21.93,22.62,42259.0
2023-05-16,FET,22.62,23.305,22.525,23.02,46466.0
2023-05-17,FET,23.1,23.55,22.66,23.34,51890.0
2023-05-18,FET,23.34,24.03,22.95,24.01,47059.0
2023-05-19,FET,24.165,24.43,23.37,23.71,38768.0
2023-05-22,FET,23.71,25.17,23.71,24.87,71400.0
2023-05-23,FET,25.15,25.79,25.13,25.75,50718.0
2023-05-24,FET,25.74,25.91,25.13,25.56,41780.0
2023-05-25,FET,25.22,25.22,24.45,24.52,22378.0
2023-05-26,FET,24.56,24.68,23.71,24.2,39738.0
2023-05-30,FET,23.83,23.915,22.73,22.73,40229.0
2023-05-31,FET,22.31,22.62,21.23,21.33,81790.0
2023-06-01,FET,21.44,22.815,20.775,22.68,79538.0
2023-06-02,FET,23.0,24.105,22.8376,23.99,44699.0
2023-06-05,FET,24.3,24.75,23.55,24.25,48576.0
2023-06-06,FET,23.35,25.4,23.35,25.22,70073.0
2023-06-07,FET,25.34,26.41,25.27,26.02,88206.0
2023-06-08,FET,26.2251,26.54,25.68,25.78,41329.0
2023-06-09,FET,25.6601,26.57,25.4501,25.7,34336.0
2023-06-12,FET,25.39,26.24,25.005,25.2,59840.0
2023-06-13,FET,25.44,26.495,25.035,25.11,98417.0
2023-06-14,FET,25.19,25.35,24.82,24.97,42403.0
2023-06-15,FET,25.11,26.43,24.91,25.19,60679.0
2023-06-16,FET,25.34,25.46,24.32,25.38,400588.0
2023-06-20,FET,25.21,25.57,24.47,25.5,69329.0
2023-06-21,FET,25.28,26.715,25.28,26.41,76557.0
2023-06-22,FET,26.15,26.15,24.86,24.86,90154.0
2023-06-23,FET,24.49,24.5,22.58,22.59,1330956.0
2023-06-26,FET,22.54,24.21,22.54,23.66,89614.0
2023-06-27,FET,23.58,24.38,23.56,24.21,47954.0
2023-06-28,FET,24.14,24.14,23.62,23.65,41969.0
2023-06-29,FET,24.2023,24.98,24.13,24.77,37799.0
2023-06-30,FET,25.0,25.8305,24.6,25.59,94089.0
2023-07-03,FET,25.59,26.2599,25.59,25.87,33021.0
2023-07-05,FET,25.77,25.77,24.66,24.71,50700.0
2023-07-06,FET,24.44,24.51,23.3125,24.02,51549.0
2023-07-07,FET,24.14,26.23,24.14,25.97,188640.0
2023-07-10,FET,25.98,26.16,25.33,25.83,48878.0
