Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FINV,4.53,4.54,4.39,4.42,415849.0
2022-11-10,FINV,4.56,4.72,4.53,4.55,509863.0
2022-11-11,FINV,4.75,4.855,4.71,4.79,866947.0
2022-11-14,FINV,4.96,5.11,4.85,4.94,1645261.0
2022-11-15,FINV,5.1,5.39,4.83,5.24,1196355.0
2022-11-16,FINV,5.17,5.1951,4.795,5.09,728262.0
2022-11-17,FINV,4.9,4.9,4.6,4.83,1243793.0
2022-11-18,FINV,4.8,4.8,4.3416,4.66,1124779.0
2022-11-21,FINV,4.58,4.58,4.41,4.48,654071.0
2022-11-22,FINV,4.41,4.53,4.35,4.42,841233.0
2022-11-23,FINV,4.45,4.5499,4.37,4.45,843576.0
2022-11-25,FINV,4.45,4.51,4.33,4.34,381298.0
2022-11-28,FINV,4.3,4.33,4.23,4.29,855331.0
2022-11-29,FINV,4.4,4.6,4.32,4.52,1709454.0
2022-11-30,FINV,4.54,4.7,4.42,4.67,1487894.0
2022-12-01,FINV,4.67,4.77,4.6,4.7,844201.0
2022-12-02,FINV,4.63,4.9,4.56,4.85,1601799.0
2022-12-05,FINV,4.9,4.9,4.75,4.79,2164188.0
2022-12-06,FINV,4.82,4.85,4.78,4.85,1207228.0
2022-12-07,FINV,4.79,4.8975,4.71,4.88,1113043.0
2022-12-08,FINV,4.89,4.9,4.8,4.87,1829831.0
2022-12-09,FINV,4.87,4.98,4.77,4.96,1381815.0
2022-12-12,FINV,4.95,4.95,4.78,4.87,839017.0
2022-12-13,FINV,4.95,4.95,4.77,4.81,666243.0
2022-12-14,FINV,4.81,4.88,4.74,4.78,654256.0
2022-12-15,FINV,4.76,4.89,4.7,4.85,1062946.0
2022-12-16,FINV,4.85,4.89,4.71,4.76,1069539.0
2022-12-19,FINV,4.75,4.78,4.61,4.76,454792.0
2022-12-20,FINV,4.65,4.83,4.64,4.8,821716.0
2022-12-21,FINV,4.81,4.915,4.755,4.9,625000.0
2022-12-22,FINV,4.93,5.155,4.9101,5.1,1544463.0
2022-12-23,FINV,5.09,5.13,5.04,5.09,863443.0
2022-12-27,FINV,5.0,5.22,4.99,5.15,1437611.0
2022-12-28,FINV,5.17,5.17,4.92,4.95,1125561.0
2022-12-29,FINV,5.04,5.095,5.01,5.03,585966.0
2022-12-30,FINV,4.93,4.9901,4.84,4.96,768292.0
2023-01-03,FINV,5.09,5.155,5.02,5.04,549575.0
2023-01-04,FINV,5.2,5.395,5.1,5.34,2093220.0
2023-01-05,FINV,5.32,5.56,5.23,5.44,1699273.0
2023-01-06,FINV,5.46,5.535,5.305,5.32,634675.0
2023-01-09,FINV,5.44,5.58,5.395,5.41,832539.0
2023-01-10,FINV,5.45,5.56,5.36,5.48,1120496.0
2023-01-11,FINV,5.55,5.63,5.51,5.58,704156.0
2023-01-12,FINV,5.62,5.64,5.1,5.27,1186207.0
2023-01-13,FINV,5.325,5.53,5.32,5.5,1023099.0
2023-01-17,FINV,5.51,5.535,5.4404,5.48,459649.0
2023-01-18,FINV,5.5,5.555,5.32,5.35,476498.0
2023-01-19,FINV,5.39,5.44,5.28,5.42,704401.0
2023-01-20,FINV,5.51,5.55,5.34,5.35,597409.0
2023-01-23,FINV,5.41,5.48,5.36,5.4,463458.0
2023-01-24,FINV,5.43,5.465,5.37,5.4,385351.0
2023-01-25,FINV,5.37,5.45,5.315,5.42,349644.0
2023-01-26,FINV,5.53,5.63,5.47,5.58,823401.0
2023-01-27,FINV,5.61,5.7,5.51,5.52,606427.0
2023-01-30,FINV,5.43,5.44,5.32,5.4,701632.0
2023-01-31,FINV,5.39,5.5,5.35,5.49,532075.0
2023-02-01,FINV,5.61,5.845,5.51,5.77,1613671.0
2023-02-02,FINV,5.9,5.918,5.58,5.71,1089548.0
2023-02-03,FINV,5.74,5.81,5.64,5.66,1035340.0
2023-02-06,FINV,5.62,5.68,5.51,5.61,887423.0
2023-02-07,FINV,5.65,5.65,5.485,5.57,862797.0
2023-02-08,FINV,5.52,5.7,5.505,5.64,719523.0
2023-02-09,FINV,5.75,5.87,5.7,5.74,1140490.0
2023-02-10,FINV,5.7,5.7,5.53,5.61,685266.0
2023-02-13,FINV,5.63,5.635,5.54,5.61,407637.0
2023-02-14,FINV,5.61,5.65,5.54,5.65,656205.0
2023-02-15,FINV,5.65,5.8,5.59,5.74,960255.0
2023-02-16,FINV,5.77,5.77,5.565,5.59,1105145.0
2023-02-17,FINV,5.52,5.59,5.41,5.51,944558.0
2023-02-21,FINV,5.4,5.43,5.26,5.38,755971.0
2023-02-22,FINV,5.36,5.42,5.32,5.36,485124.0
2023-02-23,FINV,5.42,5.46,5.33,5.38,466887.0
2023-02-24,FINV,5.31,5.33,5.175,5.27,1233608.0
2023-02-27,FINV,5.31,5.31,5.08,5.15,641604.0
2023-02-28,FINV,5.14,5.1436,5.04,5.07,667714.0
2023-03-01,FINV,5.17,5.23,5.11,5.15,633366.0
2023-03-02,FINV,5.11,5.14,5.05,5.12,396195.0
2023-03-03,FINV,5.12,5.17,5.09,5.13,268689.0
2023-03-06,FINV,5.11,5.13,5.0418,5.1,508896.0
2023-03-07,FINV,5.06,5.07,4.82,4.92,900009.0
2023-03-08,FINV,4.88,4.97,4.78,4.94,868089.0
2023-03-09,FINV,4.88,4.94,4.56,4.65,1126971.0
2023-03-10,FINV,4.62,4.665,4.525,4.56,999818.0
2023-03-13,FINV,4.59,4.59,4.4301,4.51,984131.0
2023-03-14,FINV,4.58,4.66,4.415,4.49,1076535.0
2023-03-15,FINV,4.36,4.36,3.565,3.83,3120092.0
2023-03-16,FINV,3.82,3.87,3.55,3.8,1871257.0
2023-03-17,FINV,3.79,4.01,3.74,3.74,2105650.0
2023-03-20,FINV,3.74,4.005,3.73,3.94,1203104.0
2023-03-21,FINV,4.01,4.15,3.985,4.02,1174058.0
2023-03-22,FINV,4.05,4.11,3.94,3.94,811640.0
2023-03-23,FINV,4.05,4.095,3.95,3.97,1260207.0
2023-03-24,FINV,3.94,4.01,3.92,3.99,722660.0
2023-03-27,FINV,3.99,4.16,3.99,4.1,832274.0
2023-03-28,FINV,4.14,4.14,4.02,4.06,659753.0
2023-03-29,FINV,4.09,4.13,4.05,4.09,381039.0
2023-03-30,FINV,4.14,4.26,4.12,4.2,546073.0
2023-03-31,FINV,4.23,4.3,4.13,4.17,848705.0
2023-04-03,FINV,4.21,4.34,4.13,4.18,759980.0
2023-04-04,FINV,4.26,4.285,4.02,4.06,547499.0
2023-04-05,FINV,4.08,4.09,3.855,3.93,1244214.0
2023-04-06,FINV,3.93,4.01,3.91,3.96,1186546.0
2023-04-10,FINV,4.0,4.03,3.93,3.97,1000132.0
2023-04-11,FINV,3.97,4.085,3.97,4.01,1246208.0
2023-04-12,FINV,3.87,3.9,3.76,3.78,1198179.0
2023-04-13,FINV,3.84,3.885,3.79,3.8,690705.0
2023-04-14,FINV,3.83,3.9,3.74,3.78,774543.0
2023-04-17,FINV,3.81,3.965,3.8,3.91,844356.0
2023-04-18,FINV,3.91,3.959,3.78,3.81,1298956.0
2023-04-19,FINV,3.74,3.88,3.74,3.83,493528.0
2023-04-20,FINV,3.83,3.875,3.78,3.84,506759.0
2023-04-21,FINV,3.83,3.83,3.73,3.75,668632.0
2023-04-24,FINV,3.75,3.79,3.68,3.7,758527.0
2023-04-25,FINV,3.7,3.72,3.63,3.67,520616.0
2023-04-26,FINV,3.72,3.84,3.71,3.78,730802.0
2023-04-27,FINV,3.81,3.97,3.785,3.91,415304.0
2023-04-28,FINV,3.9,4.045,3.9,3.98,502141.0
2023-05-01,FINV,3.99,4.04,3.97,4.03,396818.0
2023-05-02,FINV,4.01,4.05,3.82,3.86,728696.0
2023-05-03,FINV,3.87,3.94,3.84,3.88,312035.0
2023-05-04,FINV,3.93,4.0,3.85,3.85,384823.0
2023-05-05,FINV,3.91,4.06,3.87,4.01,345459.0
2023-05-08,FINV,4.03,4.12,3.99,4.08,565586.0
2023-05-09,FINV,3.98,4.03,3.93,4.03,641307.0
2023-05-10,FINV,4.03,4.06,3.98,4.03,615353.0
2023-05-11,FINV,4.02,4.165,3.995,4.1,766842.0
2023-05-12,FINV,4.12,4.18,4.07,4.09,546542.0
2023-05-15,FINV,4.08,4.15,4.03,4.14,1317420.0
2023-05-16,FINV,4.15,4.23,4.09,4.1,750573.0
2023-05-17,FINV,4.11,4.115,3.935,3.96,750871.0
2023-05-18,FINV,4.09,4.1,3.88,3.94,541294.0
2023-05-19,FINV,3.93,3.93,3.785,3.9,568790.0
2023-05-22,FINV,3.9,4.06,3.89,3.97,760057.0
2023-05-23,FINV,3.9,4.07,3.9,4.04,544936.0
2023-05-24,FINV,4.02,4.095,3.975,4.0,542139.0
2023-05-25,FINV,4.0,4.08,3.9617,4.03,554457.0
2023-05-26,FINV,4.02,4.175,4.02,4.07,585016.0
2023-05-30,FINV,4.02,4.16,3.85,3.98,764879.0
