Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,FIVE,148.64,149.915,142.13,142.46,623430.0
2022-11-10,FIVE,149.54,157.185,149.54,156.25,845911.0
2022-11-11,FIVE,157.47,158.05,151.275,154.71,973824.0
2022-11-14,FIVE,152.25,155.01,150.74,151.36,738147.0
2022-11-15,FIVE,156.24,160.99,154.6,158.38,699136.0
2022-11-16,FIVE,150.4,150.995,144.76,149.77,969027.0
2022-11-17,FIVE,149.13,153.58,145.8,153.09,897377.0
2022-11-18,FIVE,158.55,159.45,154.24,154.82,1112629.0
2022-11-21,FIVE,154.89,156.01,152.33,154.57,708119.0
2022-11-22,FIVE,156.07,160.63,156.06,159.77,702018.0
2022-11-23,FIVE,160.0,163.26,159.31,161.27,550577.0
2022-11-25,FIVE,160.77,162.82,159.59,161.63,362339.0
2022-11-28,FIVE,162.41,164.47,160.52,160.83,1115819.0
2022-11-29,FIVE,161.95,161.95,156.255,157.0,1109763.0
2022-11-30,FIVE,159.12,161.25,155.68,160.86,2179013.0
2022-12-01,FIVE,175.8,188.6734,175.4,187.48,4377412.0
2022-12-02,FIVE,185.51,187.4573,179.93,184.16,1746430.0
2022-12-05,FIVE,182.75,186.89,180.89,183.36,1116088.0
2022-12-06,FIVE,183.85,184.56,177.6,180.59,850067.0
2022-12-07,FIVE,180.08,183.95,177.93,178.56,733663.0
2022-12-08,FIVE,179.02,182.6,176.18,182.1,931247.0
2022-12-09,FIVE,181.33,181.65,176.38,176.76,702575.0
2022-12-12,FIVE,177.09,178.78,175.755,177.23,816018.0
2022-12-13,FIVE,184.57,184.99,178.53,179.82,696523.0
2022-12-14,FIVE,179.15,181.655,176.36,179.16,659153.0
2022-12-15,FIVE,176.465,177.88,172.995,175.54,771450.0
2022-12-16,FIVE,174.88,177.99,174.14,175.42,1157368.0
2022-12-19,FIVE,174.81,175.24,166.3,167.835,1244038.0
2022-12-20,FIVE,165.76,170.72,165.02,169.46,1366065.0
2022-12-21,FIVE,172.18,175.23,171.32,172.46,609964.0
2022-12-22,FIVE,170.39,170.975,167.06,170.35,688328.0
2022-12-23,FIVE,170.35,175.67,168.98,174.76,656665.0
2022-12-27,FIVE,175.86,179.35,172.86,178.17,1266265.0
2022-12-28,FIVE,178.52,180.54,175.67,176.62,795547.0
2022-12-29,FIVE,178.63,179.13,174.21,177.42,949446.0
2022-12-30,FIVE,175.5,178.19,174.49,176.87,640879.0
2023-01-03,FIVE,176.9,178.165,169.35,171.88,1252012.0
2023-01-04,FIVE,174.41,175.25,169.71,173.57,1764912.0
2023-01-05,FIVE,173.36,177.66,169.71,177.08,801560.0
2023-01-06,FIVE,178.2,180.555,176.04,177.08,1016201.0
2023-01-09,FIVE,183.54,187.5,177.64,186.83,1776936.0
2023-01-10,FIVE,187.41,190.93,185.61,190.55,1040999.0
2023-01-11,FIVE,192.17,193.53,189.65,191.21,947544.0
