Date,Ticker,Open,High,Low,Close,Volume
2024-09-27,FOXX,10.99,11.02,9.88,10.9,12100
2024-09-30,FOXX,9.7,12.8,8.45,11.35,220025
2024-10-01,FOXX,10.1,11.9,10.04,11.12,15762
2024-10-02,FOXX,10.75,11.04,8.7,9.52,44994
2024-10-03,FOXX,9.54,12.22,9.43,10.31,123786
2024-10-04,FOXX,9.61,10.04,9.512,9.512,9621
2024-10-07,FOXX,9.69,10.67,9.0,10.0,53552
2024-10-08,FOXX,9.85,10.89,8.8,9.78,58105
2024-10-09,FOXX,9.4,11.24,9.13,9.99,62455
2024-10-10,FOXX,10.19,10.35,9.26,9.34,20169
2024-10-11,FOXX,9.3,10.2,9.21,9.27,16317
2024-10-14,FOXX,9.23,10.0,8.89,8.9501,82555
2024-10-15,FOXX,9.2,9.33,9.1,9.1,6066
2024-10-16,FOXX,8.6375,9.24,8.6375,8.95,30288
2024-10-17,FOXX,8.85,10.58,8.3,9.21,84101
2024-10-18,FOXX,9.2,10.29,8.61,9.58,71157
2024-10-21,FOXX,9.23,9.85,8.702,9.09,29218
2024-10-22,FOXX,9.11,9.11,8.9,9.0,22250
2024-10-23,FOXX,8.81,9.4,8.5,8.6,49933
2024-10-24,FOXX,8.4,9.74,8.4,8.75,37288
2024-10-25,FOXX,8.6,9.09,8.3,8.33,44628
2024-10-28,FOXX,8.3,8.34,8.28,8.28,10447
2024-10-29,FOXX,8.0,8.0,7.47,7.47,11687
2024-10-30,FOXX,7.26,9.2,7.21,7.7,44093
2024-10-31,FOXX,8.68,9.8,7.85,8.1,66687
2024-11-01,FOXX,8.25,8.25,7.72,7.72,30566
2024-11-04,FOXX,7.76,9.04,7.31,7.31,22227
2024-11-05,FOXX,7.475,7.7,7.3,7.3,16294
2024-11-06,FOXX,7.45,7.8,7.35,7.7,96103
2024-11-07,FOXX,7.9,8.25,7.51,7.82,25695
