Date,Ticker,Open,High,Low,Close,Volume
2024-08-15,FSHP,10.02,10.02,9.99,9.99,232942
2024-08-16,FSHP,10.0,10.0,10.0,10.0,15120
2024-08-19,FSHP,10.0,10.0,10.0,10.0,6057
2024-08-20,FSHP,10.0,10.0,9.99,10.0,51481
2024-08-21,FSHP,10.0,10.0,10.0,10.0,8505
2024-08-22,FSHP,10.0,10.0,10.0,10.0,6300
2024-08-23,FSHP,10.0,10.0,10.0,10.0,5011
2024-08-26,FSHP,10.01,10.01,9.99,10.0,21188
2024-08-27,FSHP,9.99,9.99,9.985,9.99,376639
2024-08-28,FSHP,10.0,10.0,9.99,9.99,7783
2024-08-29,FSHP,9.99,9.99,9.99,9.99,3904
2024-09-03,FSHP,9.99,10.0,9.99,10.0,1149
2024-09-05,FSHP,9.99,9.995,9.99,9.995,5007
2024-09-06,FSHP,9.995,9.995,9.995,9.995,1102
2024-09-09,FSHP,10.01,10.03,10.0,10.01,274241
2024-09-10,FSHP,10.01,10.01,10.0026,10.0026,4306
2024-09-11,FSHP,10.01,10.02,10.01,10.01,681185
2024-09-12,FSHP,10.015,10.02,10.0,10.01,598362
2024-09-13,FSHP,10.01,10.01,10.01,10.01,7604
2024-09-16,FSHP,10.01,10.01,10.01,10.01,73998
2024-09-17,FSHP,10.0,10.02,10.0,10.02,438863
2024-09-18,FSHP,10.02,10.02,10.01,10.015,107668
2024-09-20,FSHP,10.02,10.02,10.02,10.02,187
2024-09-24,FSHP,10.029,10.029,10.02,10.02,11500
2024-10-01,FSHP,10.02,10.029,10.02,10.02,2312
2024-10-02,FSHP,10.03,10.035,10.01,10.03,61879
2024-10-03,FSHP,10.03,10.03,10.03,10.03,102
2024-10-07,FSHP,10.02,10.02,10.02,10.02,102
2024-10-09,FSHP,10.035,10.04,10.03,10.03,42119
2024-10-10,FSHP,10.03,10.04,10.03,10.04,812
2024-10-15,FSHP,10.035,10.035,10.035,10.035,287
2024-10-16,FSHP,10.04,10.045,10.04,10.04,203249
2024-10-17,FSHP,10.045,10.075,10.045,10.0484,196156
2024-10-18,FSHP,10.05,10.055,10.0499,10.055,20874
2024-10-21,FSHP,10.05,10.05,10.05,10.05,30500
2024-10-22,FSHP,10.05,10.05,10.05,10.05,1173
2024-10-23,FSHP,10.04,10.04,10.04,10.04,500
2024-10-24,FSHP,10.0426,10.05,10.0426,10.05,6075
2024-10-30,FSHP,10.06,10.06,10.06,10.06,1001
2024-11-05,FSHP,10.09,10.0917,10.085,10.0917,30112
2024-11-06,FSHP,10.09,10.095,10.09,10.095,700
2024-11-07,FSHP,10.09,10.09,10.09,10.09,531
