Date,Ticker,Open,High,Low,Close,Volume
2024-06-18,FSHPU,10.05,10.05,10.0,10.0,4108719.0
2024-06-20,FSHPU,10.02,10.02,10.0,10.02,446117.0
2024-06-21,FSHPU,10.0,10.0299,10.0,10.02,49650.0
2024-06-24,FSHPU,10.01,10.03,10.005,10.01,324073.0
2024-06-25,FSHPU,10.01,10.02,10.0,10.02,90829.0
2024-06-26,FSHPU,10.0,10.02,10.0,10.02,71013.0
2024-06-27,FSHPU,10.01,10.03,10.0,10.015,156307.0
2024-06-28,FSHPU,10.02,10.02,10.0,10.01,64797.0
2024-07-01,FSHPU,10.0,10.02,10.0,10.02,7949.0
2024-07-08,FSHPU,10.02,10.02,10.01,10.01,82955.0
2024-07-09,FSHPU,10.02,10.0301,10.02,10.03,241279.0
2024-07-10,FSHPU,10.04,10.05,10.03,10.05,136680.0
2024-07-11,FSHPU,10.06,10.06,10.05,10.06,105361.0
2024-07-12,FSHPU,10.07,10.07,10.07,10.07,220.0
2024-07-15,FSHPU,10.06,10.06,10.06,10.06,10520.0
2024-07-16,FSHPU,10.07,10.07,10.0609,10.07,12497.0
2024-07-17,FSHPU,10.08,10.09,10.075,10.08,55300.0
2024-07-18,FSHPU,10.08,10.09,10.08,10.085,58704.0
2024-07-19,FSHPU,10.09,10.09,10.09,10.09,22610.0
2024-07-22,FSHPU,10.09,10.1,10.09,10.1,86639.0
2024-07-23,FSHPU,10.1,10.11,10.1,10.105,423905.0
2024-07-24,FSHPU,10.1,10.12,10.1,10.11,137731.0
2024-07-25,FSHPU,10.11,10.11,10.1026,10.11,26220.0
2024-07-26,FSHPU,10.11,10.12,10.11,10.12,58252.0
2024-07-29,FSHPU,10.11,10.12,10.11,10.12,107835.0
2024-07-30,FSHPU,10.1111,10.1111,10.095,10.095,1598.0
2024-07-31,FSHPU,10.11,10.11,10.09,10.1,7267.0
2024-08-01,FSHPU,10.11,10.11,10.1,10.1,8979.0
2024-08-02,FSHPU,10.11,10.11,10.11,10.11,2576.0
2024-08-05,FSHPU,10.1,10.1,10.08,10.085,6092.0
2024-08-06,FSHPU,10.09,10.09,10.09,10.09,586.0
2024-08-08,FSHPU,10.08,10.09,10.08,10.09,2486.0
2024-08-09,FSHPU,10.08,10.09,10.07,10.09,1757.0
2024-08-12,FSHPU,10.09,10.1,10.09,10.09,11681.0
2024-08-13,FSHPU,10.11,10.11,10.1,10.1,183574.0
2024-08-14,FSHPU,10.11,10.11,10.11,10.11,36763.0
2024-08-15,FSHPU,10.13,10.2,10.1,10.1,130343.0
2024-08-16,FSHPU,10.0,10.09,10.0,10.09,482.0
2024-08-19,FSHPU,10.08,10.08,10.08,10.08,801.0
2024-08-20,FSHPU,10.109,10.15,10.1001,10.15,1211.0
2024-08-21,FSHPU,10.15,10.15,10.11,10.11,339.0
2024-08-22,FSHPU,10.1,10.1,10.1,10.1,131.0
2024-08-26,FSHPU,10.49,10.49,10.15,10.15,2232.0
2024-08-27,FSHPU,10.11,10.11,10.11,10.11,387016.0
2024-08-28,FSHPU,10.2,10.74,10.1,10.2,2730.0
2024-08-30,FSHPU,10.2,10.49,10.1,10.1,3109.0
2024-09-03,FSHPU,10.12,10.12,10.12,10.12,287.0
2024-09-04,FSHPU,10.12,10.12,10.12,10.12,206.0
2024-09-11,FSHPU,10.15,10.15,10.11,10.11,589.0
2024-09-19,FSHPU,10.1,10.1,10.1,10.1,235.0
2024-10-07,FSHPU,10.12,10.12,10.12,10.12,125.0
2024-10-10,FSHPU,10.12,10.12,10.12,10.12,3153.0
2024-10-11,FSHPU,10.13,10.13,10.02,10.02,4294.0
2024-10-14,FSHPU,10.14,10.14,10.13,10.13,1476.0
2024-10-22,FSHPU,10.1994,10.1994,10.14,10.14,835.0
2024-10-23,FSHPU,10.2,10.47,10.2,10.47,3020.0
2024-10-24,FSHPU,10.48,10.48,10.48,10.48,1634.0
2024-10-28,FSHPU,10.5,10.5,10.5,10.5,437.0
2024-11-05,FSHPU,10.18,10.42,10.18,10.42,403.0
2024-11-07,FSHPU,10.42,10.42,10.42,10.42,704.0
