Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,FSS,48.53,49.17,48.38,49.04,250993.0
2022-11-11,FSS,48.91,49.38,48.08,48.61,236177.0
2022-11-14,FSS,48.61,49.55,48.14,48.52,283042.0
2022-11-15,FSS,48.92,50.02,48.8,49.7,256289.0
2022-11-16,FSS,49.37,49.73,49.05,49.3,197496.0
2022-11-17,FSS,48.77,49.36,48.63,49.34,226419.0
2022-11-18,FSS,49.92,50.56,49.88,50.14,208342.0
2022-11-21,FSS,48.81,50.11,48.64,49.21,230384.0
2022-11-22,FSS,49.25,49.3,48.185,49.0,400350.0
2022-11-23,FSS,49.19,49.9,49.0129,49.29,242413.0
2022-11-25,FSS,49.09,49.5099,48.92,49.31,108395.0
2022-11-28,FSS,49.18,49.285,47.48,47.59,278650.0
2022-11-29,FSS,47.68,47.85,47.33,47.41,156621.0
2022-11-30,FSS,47.34,48.59,46.96,48.59,456373.0
2022-12-01,FSS,48.61,49.09,48.435,48.95,204670.0
2022-12-02,FSS,48.46,49.625,48.3,49.41,252118.0
2022-12-05,FSS,48.83,49.14,47.11,47.32,285882.0
2022-12-06,FSS,47.48,47.75,46.64,46.78,291509.0
2022-12-07,FSS,46.79,47.315,46.44,46.63,266374.0
2022-12-08,FSS,46.88,47.53,46.71,46.93,205237.0
2022-12-09,FSS,46.77,47.1,45.61,45.68,279128.0
2022-12-12,FSS,46.06,46.68,45.655,46.66,351773.0
2022-12-13,FSS,47.85,48.13,45.79,45.88,568609.0
2022-12-14,FSS,46.22,46.8,45.37,45.51,751993.0
2022-12-15,FSS,45.12,45.35,44.51,44.99,625812.0
2022-12-16,FSS,44.46,44.62,43.44,43.99,1243012.0
2022-12-19,FSS,44.09,45.18,44.09,45.03,546274.0
2022-12-20,FSS,45.1,45.71,44.98,45.52,554777.0
2022-12-21,FSS,45.7,46.16,45.49,45.93,227424.0
2022-12-22,FSS,45.58,45.875,44.99,45.81,213974.0
2022-12-23,FSS,46.03,46.26,45.87,46.14,110922.0
2022-12-27,FSS,46.04,46.25,45.83,46.15,126908.0
