Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,FTK,6.96,7.2,6.72,6.9,52541.8333
2022-11-11,FTK,6.96,7.26,6.84,7.02,34947.8333
2022-11-14,FTK,6.96,7.14,6.78,6.84,17753.1667
2022-11-15,FTK,6.84,7.02,6.48,6.54,25479.5
2022-11-16,FTK,6.6,6.6,6.12,6.36,82476.5
2022-11-17,FTK,6.12,6.42,6.12,6.3,11109.3333
2022-11-18,FTK,6.3,6.42,6.12,6.42,21333.5
2022-11-21,FTK,6.54,6.654,6.36,6.42,28812.5
2022-11-22,FTK,6.42,6.48,6.12,6.3,36855.6667
2022-11-23,FTK,6.42,6.72,6.18,6.42,42023.6667
2022-11-25,FTK,6.48,6.66,6.48,6.66,29837.0
2022-11-28,FTK,6.78,6.84,6.48,6.84,59134.8333
2022-11-29,FTK,6.84,7.08,6.72,6.96,39697.5
2022-11-30,FTK,7.02,7.4064,6.8436,7.26,57235.3333
2022-12-01,FTK,7.14,7.74,7.086,7.68,49125.6667
2022-12-02,FTK,7.5,7.92,7.38,7.8,29458.0
2022-12-05,FTK,7.8,7.8,6.72,7.56,117746.0
2022-12-06,FTK,7.62,7.62,7.2,7.38,23161.1667
2022-12-07,FTK,6.96,7.68,6.96,7.5,26021.5
2022-12-08,FTK,7.44,7.8,7.44,7.56,16220.3333
2022-12-09,FTK,7.62,7.62,7.3512,7.56,14857.8333
2022-12-12,FTK,7.56,7.56,7.44,7.56,11949.3333
2022-12-13,FTK,7.8,7.8,7.56,7.56,27393.3333
2022-12-14,FTK,7.56,7.6794,7.26,7.38,23833.0
2022-12-15,FTK,7.2,7.2,6.96,7.08,21192.8333
2022-12-16,FTK,6.96,7.5,6.78,7.26,40100.5
2022-12-19,FTK,7.08,7.2,6.48,6.48,60604.5
2022-12-20,FTK,6.54,6.96,6.54,6.9,29928.0
2022-12-21,FTK,6.96,7.08,6.96,7.02,20518.8333
2022-12-22,FTK,6.9,7.08,6.72,6.72,23089.3333
2022-12-23,FTK,6.84,6.84,6.66,6.78,19003.8333
2022-12-27,FTK,6.78,7.02,6.72,6.78,23705.5
2022-12-28,FTK,6.66,6.84,6.66,6.84,19466.6667
2022-12-29,FTK,6.78,7.2,6.72,6.96,94709.8333
2022-12-30,FTK,6.78,7.02,6.66,6.72,27499.3333
2023-01-03,FTK,6.66,6.96,6.42,6.48,20899.3333
2023-01-04,FTK,6.66,6.66,6.12,6.24,34805.6667
2023-01-05,FTK,6.24,6.6,6.153,6.42,15472.3333
2023-01-06,FTK,6.54,6.6,6.3,6.54,14239.6667
2023-01-09,FTK,6.54,6.9,6.3,6.36,62607.1667
2023-01-10,FTK,6.36,6.66,6.18,6.6,76158.1667
2023-01-11,FTK,6.78,7.356,6.66,7.14,78657.5
2023-01-12,FTK,7.26,7.5,7.14,7.2,50346.3333
2023-01-13,FTK,7.14,7.584,7.14,7.44,57112.5
2023-01-17,FTK,7.32,7.5,7.14,7.2,42776.8333
2023-01-18,FTK,7.08,8.28,7.08,8.28,145244.8333
2023-01-19,FTK,8.16,8.7,7.92,8.22,162677.1667
2023-01-20,FTK,8.1,9.24,8.04,8.46,193558.1667
2023-01-23,FTK,8.82,9.24,8.16,8.28,139654.1667
2023-01-24,FTK,8.28,8.28,7.5,7.74,90398.5
2023-01-25,FTK,7.86,7.95,7.38,7.5,90005.5
2023-01-26,FTK,7.5,7.86,7.5,7.8,59219.8333
2023-01-27,FTK,7.8,7.98,7.2,7.56,100480.5
2023-01-30,FTK,7.5,7.6158,7.38,7.5,27514.0
2023-01-31,FTK,7.5,7.5,7.2,7.26,90926.5
2023-02-01,FTK,7.14,7.314,7.05,7.2,50570.3333
2023-02-02,FTK,7.2,7.2,7.08,7.14,43245.8333
2023-02-03,FTK,7.08,7.14,7.08,7.08,37325.3333
2023-02-06,FTK,7.8,7.8,7.26,7.74,178345.8333
2023-02-07,FTK,7.8,7.86,7.32,7.5,91966.0
2023-02-08,FTK,7.62,7.77,7.26,7.44,50022.1667
2023-02-09,FTK,7.44,7.6194,6.96,6.96,48023.3333
2023-02-10,FTK,6.9,7.32,6.84,7.02,112715.3333
2023-02-13,FTK,6.96,7.02,6.78,6.96,23060.6667
2023-02-14,FTK,6.96,7.02,6.81,6.84,30388.8333
2023-02-15,FTK,6.78,7.26,6.78,7.14,30693.6667
2023-02-16,FTK,7.02,7.32,6.9,6.9,37359.3333
2023-02-17,FTK,7.02,7.0266,6.9,7.02,16310.1667
2023-02-21,FTK,7.02,7.38,7.02,7.14,30839.3333
2023-02-22,FTK,7.08,7.2,6.96,6.96,18226.8333
2023-02-23,FTK,6.96,7.0206,6.84,6.84,48573.5
2023-02-24,FTK,6.84,6.9006,6.48,6.6,58957.5
2023-02-27,FTK,6.6,6.78,6.6,6.72,29416.3333
2023-02-28,FTK,6.84,6.84,6.72,6.84,13231.8333
2023-03-01,FTK,6.78,6.96,6.6,6.6,40587.8333
2023-03-02,FTK,6.66,6.9,6.6,6.72,45898.1667
2023-03-03,FTK,6.84,7.2,6.72,7.2,36763.0
2023-03-06,FTK,7.14,7.26,6.78,6.96,38898.3333
2023-03-07,FTK,6.9,7.1376,6.6,6.66,38216.8333
2023-03-08,FTK,6.54,6.78,6.36,6.42,74326.6667
2023-03-09,FTK,6.48,6.6,6.18,6.18,47299.8333
2023-03-10,FTK,6.36,6.48,6.06,6.36,53334.3333
2023-03-13,FTK,6.18,6.2994,6.0,6.06,46718.8333
2023-03-14,FTK,6.06,6.3,6.06,6.06,53444.1667
2023-03-15,FTK,6.0,6.06,5.007,5.64,112358.0
2023-03-16,FTK,5.76,5.9118,5.5116,5.7156,23239.1667
2023-03-17,FTK,5.6982,5.8278,5.4666,5.7582,34586.5
2023-03-20,FTK,5.76,5.88,5.5578,5.88,27663.5
2023-03-21,FTK,5.4,5.88,4.932,5.04,183527.3333
2023-03-22,FTK,4.854,5.0268,4.59,4.7124,123192.1667
2023-03-23,FTK,4.6884,4.8168,3.936,4.26,206126.5
2023-03-24,FTK,4.1796,4.2156,3.954,4.2156,228494.8333
2023-03-27,FTK,4.26,4.32,4.02,4.2,84954.1667
2023-03-28,FTK,4.14,4.26,4.14,4.1952,17928.5
2023-03-29,FTK,4.2,4.38,4.14,4.1694,58614.6667
2023-03-30,FTK,4.17,4.35,4.17,4.2834,28862.5
2023-03-31,FTK,4.2,4.2834,3.9774,4.14,131555.8333
2023-04-03,FTK,4.2294,4.3422,4.0566,4.1766,51238.1667
2023-04-04,FTK,4.2,4.254,4.08,4.167,39587.0
2023-04-05,FTK,4.08,4.1844,4.08,4.1406,25438.6667
2023-04-06,FTK,4.08,4.2,4.08,4.0806,19679.3333
2023-04-10,FTK,4.08,4.2,4.08,4.2,25895.0
2023-04-11,FTK,4.2,4.32,4.1544,4.2234,12175.0
2023-04-12,FTK,4.308,4.308,4.14,4.1736,11474.1667
2023-04-13,FTK,4.098,4.2,3.99,4.2,55312.0
2023-04-14,FTK,4.26,4.26,4.02,4.0506,90650.5
2023-04-17,FTK,3.96,4.2,3.7938,4.0962,124825.6667
2023-04-18,FTK,3.9,4.68,3.9,4.458,38137.0
2023-04-19,FTK,4.32,4.44,4.0218,4.116,24734.5
2023-04-20,FTK,4.116,4.296,4.116,4.1436,21212.3333
2023-04-21,FTK,4.08,4.14,3.87,4.0092,49101.3333
2023-04-24,FTK,3.9324,4.2,3.8826,3.9792,27381.6667
2023-04-25,FTK,3.906,3.9948,3.9,3.9672,9512.6667
2023-04-26,FTK,3.939,4.128,3.939,4.0212,7511.8333
2023-04-27,FTK,4.1274,4.14,3.9396,4.11,23346.8333
2023-04-28,FTK,4.05,4.14,3.81,3.948,20390.6667
2023-05-01,FTK,3.894,3.8994,3.72,3.7356,29180.6667
2023-05-02,FTK,3.9,3.9,3.54,3.6,49338.6667
2023-05-03,FTK,3.48,3.7788,3.48,3.48,32372.6667
2023-05-04,FTK,3.48,3.66,3.4344,3.648,30769.3333
2023-05-05,FTK,3.81,3.8394,3.6,3.78,10216.3333
2023-05-08,FTK,3.63,3.888,3.6,3.69,29447.0
2023-05-09,FTK,4.26,4.26,3.84,3.882,55863.3333
2023-05-10,FTK,3.84,4.0476,3.603,3.93,99607.6667
2023-05-11,FTK,4.08,4.08,3.78,3.8376,12590.1667
2023-05-12,FTK,3.8808,4.0788,3.762,3.8898,41650.6667
2023-05-15,FTK,3.894,3.894,3.753,3.756,11468.8333
2023-05-16,FTK,3.6,3.7206,3.6,3.6036,33639.0
2023-05-17,FTK,3.6,3.864,3.42,3.864,199627.0
2023-05-18,FTK,3.84,3.864,3.6684,3.7332,13275.0
2023-05-19,FTK,3.78,3.984,3.78,3.984,38456.1667
2023-05-22,FTK,4.02,4.1634,3.9846,4.0806,13622.1667
2023-05-23,FTK,3.909,4.152,3.909,4.14,7498.0
2023-05-24,FTK,4.1304,4.2,4.08,4.131,8027.5
