Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,FTLF,16.0,16.0,14.5,16.0,14717
2022-11-11,FTLF,15.5,16.0,15.5,16.0,200
2022-11-18,FTLF,16.0,16.0,16.0,16.0,391
2022-11-21,FTLF,15.5,15.5,15.5,15.5,200
2022-11-22,FTLF,15.0,15.0,15.0,15.0,3680
2022-12-01,FTLF,14.9,15.0,14.2,15.0,9685
2022-12-02,FTLF,14.6,14.6,14.6,14.6,100
2022-12-08,FTLF,16.2,17.325,16.2,17.0,3986
2022-12-09,FTLF,17.0,17.15,17.0,17.0,742
2022-12-12,FTLF,16.95,16.95,16.85,16.85,3020
2022-12-14,FTLF,16.54,16.65,16.3,16.65,2200
2022-12-15,FTLF,16.47,16.5,16.25,16.5,1200
2022-12-16,FTLF,16.25,16.65,16.25,16.65,1200
2022-12-20,FTLF,16.05,16.45,16.0,16.45,3499
2022-12-21,FTLF,16.0,16.5,16.0,16.5,400
2022-12-22,FTLF,16.25,16.5,16.25,16.5,3205
2022-12-27,FTLF,16.03,16.5,16.03,16.5,1512
2022-12-28,FTLF,16.0,16.0,16.0,16.0,100
2022-12-29,FTLF,16.0,16.0,15.8,15.8,375
2022-12-30,FTLF,15.8,15.95,15.8,15.95,500
2023-01-03,FTLF,15.975,15.975,15.975,15.975,100
2023-01-06,FTLF,15.9,16.0,15.05,15.5,1650
2023-01-09,FTLF,16.0,16.0,16.0,16.0,300
2023-01-11,FTLF,15.9,16.0,15.9,16.0,600
2023-01-13,FTLF,16.0,16.0,16.0,16.0,100
2023-01-17,FTLF,16.0,16.5,16.0,16.5,900
2023-01-19,FTLF,16.0,16.2307,16.0,16.0,2402
2023-01-20,FTLF,16.0,16.9,16.0,16.9,1800
2023-01-24,FTLF,16.9,16.9,16.0,16.0,2120
2023-01-25,FTLF,16.0,16.0,16.0,16.0,1869
2023-01-26,FTLF,15.98,16.2,15.98,16.2,1510
2023-01-27,FTLF,16.2,16.21,16.2,16.21,205
2023-01-30,FTLF,16.0,17.0,16.0,16.5,5686
2023-01-31,FTLF,16.5,17.0,16.5,17.0,738
2023-02-01,FTLF,17.0,17.25,17.0,17.1,4700
2023-02-02,FTLF,16.1,17.0,16.1,17.0,11639
2023-02-03,FTLF,16.05,17.0,16.05,17.0,1803
2023-02-06,FTLF,17.0,17.0,17.0,17.0,1300
2023-02-07,FTLF,17.0,17.0,17.0,17.0,1046
2023-02-08,FTLF,17.12,17.13,17.12,17.12,1900
2023-02-09,FTLF,17.25,17.25,17.25,17.25,1260
2023-02-10,FTLF,17.25,17.25,17.25,17.25,435
2023-02-13,FTLF,17.25,17.5,17.25,17.5,2153
2023-02-14,FTLF,17.25,17.5,17.25,17.5,2683
2023-02-15,FTLF,17.5,17.5,17.25,17.25,2146
2023-02-16,FTLF,17.2,17.25,17.0,17.25,2006
2023-02-17,FTLF,17.25,17.5,17.25,17.25,6927
