Date,Ticker,Open,High,Low,Close,Volume
2024-03-01,FUFU,7.0,9.9426,6.1,6.38,207366.0
2024-03-04,FUFU,12.29,18.32,11.9,13.13,7585689.0
2024-03-05,FUFU,11.39,11.4,8.0,10.04,599334.0
2024-03-06,FUFU,9.6,10.3,8.19,8.5,145142.0
2024-03-07,FUFU,8.11,8.6699,6.38,6.6105,401220.0
2024-03-08,FUFU,6.56,6.647,5.65,6.0,197019.0
2024-03-11,FUFU,6.02,6.4,5.5501,5.72,122215.0
2024-03-12,FUFU,5.85,5.88,4.6,4.77,116023.0
2024-03-13,FUFU,4.9,5.1998,4.3211,4.78,168462.0
2024-03-14,FUFU,4.48,4.6899,4.26,4.42,40418.0
2024-03-15,FUFU,4.3,4.4,4.04,4.3999,147876.0
2024-03-18,FUFU,4.19,4.5,3.8056,4.08,196396.0
2024-03-19,FUFU,4.35,5.45,4.02,5.4,617694.0
2024-03-20,FUFU,5.6,5.6,4.4,4.89,260367.0
2024-03-21,FUFU,4.75,5.25,4.6001,5.05,175434.0
2024-03-22,FUFU,5.06,5.0806,4.6501,4.72,122327.0
2024-03-25,FUFU,4.76,5.55,4.76,5.4,177403.0
2024-03-26,FUFU,5.4,5.5,4.9,4.99,103372.0
2024-03-27,FUFU,5.1,5.2,4.9,4.97,61859.0
2024-03-28,FUFU,5.05,5.12,4.85,4.9431,78037.0
2024-04-01,FUFU,4.8,4.9099,4.1,4.34,101393.0
2024-04-02,FUFU,4.21,4.51,4.1,4.31,97637.0
2024-04-03,FUFU,4.3,4.4999,4.22,4.3,17042.0
2024-04-04,FUFU,4.31,4.43,4.1297,4.17,65079.0
2024-04-05,FUFU,4.15,4.39,4.0,4.13,49232.0
2024-04-08,FUFU,4.18,4.37,4.1,4.15,41160.0
2024-04-09,FUFU,4.15,4.3,3.965,3.99,171104.0
2024-04-10,FUFU,4.05,4.3999,4.0,4.35,121426.0
2024-04-11,FUFU,4.5,4.52,3.9,4.29,427820.0
2024-04-12,FUFU,4.1,4.27,3.87,3.87,165190.0
2024-04-15,FUFU,4.0,4.1045,3.39,3.41,129997.0
2024-04-16,FUFU,3.58,3.6,2.32,2.82,228566.0
2024-04-17,FUFU,2.95,2.9941,2.5758,2.84,27323.0
2024-04-18,FUFU,2.81,3.21,2.81,3.0,76265.0
2024-04-19,FUFU,3.07,3.55,2.71,3.01,162227.0
2024-04-22,FUFU,3.17,3.29,2.86,2.87,47751.0
2024-04-23,FUFU,2.9,3.0399,2.52,2.74,261771.0
2024-04-24,FUFU,2.84,3.0499,2.75,2.97,45739.0
2024-04-25,FUFU,2.98,3.2799,2.8,3.02,215339.0
2024-04-26,FUFU,3.16,3.3299,2.96,3.09,188601.0
2024-04-29,FUFU,3.05,3.35,3.05,3.09,68213.0
2024-04-30,FUFU,3.265,3.3,2.6943,2.8299,96130.0
2024-05-01,FUFU,2.76,3.18,2.73,2.8,249090.0
2024-05-02,FUFU,2.84,2.9426,2.65,2.87,163773.0
2024-05-03,FUFU,2.97,3.0999,2.8,2.81,82361.0
2024-05-06,FUFU,2.82,3.0183,2.555,2.63,205305.0
2024-05-07,FUFU,2.6006,2.7999,2.5,2.65,198945.0
2024-05-08,FUFU,2.76,3.05,2.6701,2.86,118485.0
2024-05-09,FUFU,2.88,3.3,2.87,3.15,188592.0
2024-05-10,FUFU,3.27,3.3997,2.8,2.96,116062.0
2024-05-13,FUFU,2.88,3.06,2.88,2.96,55726.0
2024-05-14,FUFU,2.92,3.02,2.8,2.87,54177.0
2024-05-15,FUFU,2.98,3.46,2.89,3.45,198450.0
2024-05-16,FUFU,3.21,3.7,3.1901,3.47,162531.0
2024-05-17,FUFU,3.37,3.63,3.3,3.53,97364.0
2024-05-20,FUFU,3.63,3.655,3.3,3.4,101270.0
2024-05-21,FUFU,3.54,4.0,3.41,3.7,281213.0
2024-05-22,FUFU,3.73,3.83,3.42,3.51,122451.0
2024-05-23,FUFU,3.41,3.525,3.2257,3.36,67017.0
2024-05-24,FUFU,3.27,3.5399,3.27,3.38,32976.0
2024-05-28,FUFU,3.45,3.7,3.31,3.52,61929.0
2024-05-29,FUFU,3.5,3.6466,3.43,3.5,87479.0
2024-05-30,FUFU,3.51,3.5827,3.36,3.48,65382.0
2024-05-31,FUFU,3.41,3.5799,3.275,3.31,59321.0
2024-06-03,FUFU,3.4,3.5492,3.37,3.42,30894.0
2024-06-04,FUFU,3.4485,4.0,3.42,3.87,158372.0
2024-06-05,FUFU,3.95,4.03,3.59,3.69,80410.0
2024-06-06,FUFU,3.59,3.865,3.57,3.65,62317.0
2024-06-07,FUFU,4.0,4.0,3.5401,3.72,208456.0
2024-06-10,FUFU,3.98,3.98,3.45,3.57,112615.0
2024-06-11,FUFU,3.56,3.56,3.0,3.17,140680.0
2024-06-12,FUFU,3.22,3.75,3.2,3.66,223544.0
2024-06-13,FUFU,3.57,3.9605,3.57,3.89,119587.0
2024-06-14,FUFU,3.77,4.0,3.6,3.84,82367.0
2024-06-17,FUFU,3.95,3.95,3.64,3.69,30952.0
2024-06-18,FUFU,3.7,3.76,3.5,3.5,30844.0
2024-06-20,FUFU,3.54,3.9,3.54,3.9,78894.0
2024-06-21,FUFU,3.89,6.4366,3.7499,6.2,2503377.0
2024-06-24,FUFU,5.05,5.69,4.5001,5.2,723009.0
2024-06-25,FUFU,5.21,7.0,4.95,6.705,794474.0
2024-06-26,FUFU,6.75,7.39,5.5,6.1,792033.0
2024-06-27,FUFU,5.9,6.2996,4.61,5.265,306926.0
2024-06-28,FUFU,5.41,5.5262,4.63,4.7,151607.0
2024-07-01,FUFU,4.77,5.1862,4.4,4.48,178153.0
2024-07-02,FUFU,4.47,4.8663,4.2,4.29,140292.0
2024-07-03,FUFU,4.22,4.78,4.22,4.38,68144.0
2024-07-05,FUFU,4.14,4.62,3.84,4.34,216124.0
2024-07-08,FUFU,4.45,4.9999,4.35,4.7,114822.0
2024-07-09,FUFU,4.79,5.5,4.51,5.19,239629.0
2024-07-10,FUFU,5.09,5.44,4.5001,4.57,234639.0
2024-07-11,FUFU,4.74,4.79,4.06,4.18,204471.0
2024-07-12,FUFU,4.15,4.43,4.11,4.29,107656.0
2024-07-15,FUFU,4.65,5.4004,4.51,4.75,260838.0
2024-07-16,FUFU,4.82,5.26,4.52,4.97,276530.0
2024-07-17,FUFU,4.9,4.9653,4.6,4.78,200195.0
2024-07-18,FUFU,4.77,5.08,4.58,4.87,191074.0
2024-07-19,FUFU,4.82,5.85,4.82,5.75,514875.0
2024-07-22,FUFU,5.85,6.2,5.19,5.74,412831.0
2024-07-23,FUFU,5.7,6.33,5.11,5.34,554197.0
2024-07-24,FUFU,5.56,5.56,4.74,5.14,305249.0
2024-07-25,FUFU,5.0,5.3099,4.78,5.015,207720.0
2024-07-26,FUFU,5.17,5.35,4.6,4.75,138363.0
2024-07-29,FUFU,4.89,4.965,4.3,4.3,219317.0
2024-07-30,FUFU,4.38,4.88,3.9101,3.93,269271.0
2024-07-31,FUFU,3.99,4.65,3.99,4.51,154507.0
2024-08-01,FUFU,4.48,4.48,4.09,4.11,93901.0
2024-08-02,FUFU,3.96,4.15,3.79,4.07,145529.0
2024-08-05,FUFU,3.21,4.0794,3.2,3.82,145816.0
2024-08-06,FUFU,3.88,4.1799,3.82,4.0,58689.0
2024-08-07,FUFU,4.1,4.14,3.61,3.81,101575.0
2024-08-08,FUFU,3.89,4.72,3.8,4.56,103025.0
2024-08-09,FUFU,4.5,4.7499,4.32,4.48,55631.0
2024-08-12,FUFU,4.48,4.78,4.44,4.76,47394.0
2024-08-13,FUFU,4.9,5.03,4.8,5.01,98491.0
2024-08-14,FUFU,5.0,5.01,4.68,5.0,48362.0
2024-08-15,FUFU,5.08,5.08,4.77,4.88,76200.0
2024-08-16,FUFU,4.88,5.1799,4.7,4.92,46458.0
2024-08-19,FUFU,4.85,4.96,4.6,4.84,57962.0
2024-08-20,FUFU,4.66,5.03,4.225,4.3,248980.0
2024-08-21,FUFU,4.45,4.49,4.26,4.27,131322.0
2024-08-22,FUFU,4.33,4.58,4.28,4.54,130963.0
2024-08-23,FUFU,4.4195,4.64,4.32,4.35,121814.0
2024-08-26,FUFU,4.43,4.43,4.08,4.25,55435.0
2024-08-27,FUFU,4.2,4.3584,4.18,4.3,23240.0
2024-08-28,FUFU,4.3,4.4,4.1186,4.3,52920.0
2024-08-29,FUFU,4.3,4.78,4.3,4.78,53288.0
2024-08-30,FUFU,4.86,4.86,4.51,4.51,76939.0
2024-09-03,FUFU,4.45,4.62,4.1,4.32,78547.0
2024-09-04,FUFU,4.27,4.36,4.1,4.16,43362.0
2024-09-05,FUFU,4.24,4.49,4.15,4.43,46471.0
2024-09-06,FUFU,4.55,4.55,4.04,4.37,52156.0
2024-09-09,FUFU,4.45,4.563,4.37,4.45,32868.0
2024-09-10,FUFU,4.45,4.45,4.1608,4.44,20639.0
2024-09-11,FUFU,4.3999,4.6,4.32,4.6,40455.0
2024-09-12,FUFU,4.6,5.04,4.49,4.92,75157.0
2024-09-13,FUFU,4.95,5.05,4.88,5.05,91348.0
2024-09-16,FUFU,5.05,5.05,4.76,4.85,11960.0
2024-09-17,FUFU,4.9,4.95,4.76,4.88,19066.0
2024-09-18,FUFU,5.0,5.0,4.6,4.77,45775.0
2024-09-19,FUFU,4.95,4.95,3.81,4.13,187000.0
2024-09-20,FUFU,4.2,4.4137,3.44,3.44,448896.0
2024-09-23,FUFU,3.52,4.19,3.52,3.85,149494.0
2024-09-24,FUFU,3.92,4.0899,3.8,3.93,33247.0
2024-09-25,FUFU,4.0,4.3252,3.9406,4.17,66770.0
2024-09-26,FUFU,4.36,4.39,4.0001,4.25,75273.0
2024-09-27,FUFU,4.29,4.67,4.2384,4.35,92996.0
2024-09-30,FUFU,4.22,4.22,3.85,4.04,51173.0
