Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,FUN,40.46,41.3,39.845,41.18,438662.0
2022-11-11,FUN,41.07,42.16,39.84,40.19,426712.0
2022-11-14,FUN,39.88,41.23,39.805,40.21,292474.0
2022-11-15,FUN,40.82,41.875,39.96,40.2,347355.0
2022-11-16,FUN,39.98,40.97,39.95,40.66,705418.0
2022-11-17,FUN,40.13,41.21,39.87,40.99,276733.0
2022-11-18,FUN,41.5,41.54,40.79,40.94,264902.0
2022-11-21,FUN,41.04,41.2,40.55,40.94,225863.0
2022-11-22,FUN,41.0,41.5,40.74,41.27,213886.0
2022-11-23,FUN,41.47,41.81,41.305,41.53,187973.0
2022-11-25,FUN,41.31,41.99,41.31,41.44,143368.0
2022-11-28,FUN,41.11,41.95,41.06,41.36,160082.0
2022-11-29,FUN,41.21,41.7,41.13,41.57,258584.0
2022-11-30,FUN,40.96,41.74,40.96,41.66,343525.0
2022-12-01,FUN,41.6,42.03,40.95,41.43,211769.0
2022-12-02,FUN,40.84,41.63,40.79,41.04,143345.0
2022-12-05,FUN,41.03,41.03,39.94,40.0,259309.0
2022-12-06,FUN,39.94,40.74,39.78,39.83,196029.0
2022-12-07,FUN,39.56,40.34,39.52,39.63,161854.0
2022-12-08,FUN,39.51,40.11,39.51,39.68,275259.0
2022-12-09,FUN,39.73,40.39,39.73,40.19,162173.0
2022-12-12,FUN,40.18,40.45,39.81,40.45,184883.0
2022-12-13,FUN,41.13,41.277,40.185,40.32,225889.0
2022-12-14,FUN,40.01,40.58,39.36,40.04,367994.0
2022-12-15,FUN,39.95,40.185,39.33,39.72,319544.0
2022-12-16,FUN,39.26,39.81,38.93,39.1,339949.0
2022-12-19,FUN,38.97,39.43,38.05,38.19,365220.0
2022-12-20,FUN,37.73,39.0,37.58,38.48,234324.0
2022-12-21,FUN,38.74,39.865,38.61,38.72,275397.0
2022-12-22,FUN,38.39,38.99,38.05,38.56,222214.0
2022-12-23,FUN,38.36,39.98,38.1,39.92,181480.0
2022-12-27,FUN,39.8,40.13,39.35,39.74,255849.0
2022-12-28,FUN,39.7,40.1,39.6001,39.99,154433.0
2022-12-29,FUN,39.51,40.51,39.24,40.49,285305.0
2022-12-30,FUN,39.95,41.53,39.95,41.34,147323.0
2023-01-03,FUN,41.36,41.78,40.98,41.33,270522.0
2023-01-04,FUN,41.5,42.37,41.5,41.94,172598.0
2023-01-05,FUN,41.58,42.52,41.58,42.18,151693.0
2023-01-06,FUN,43.0,43.2,42.23,42.92,190160.0
2023-01-09,FUN,43.61,43.645,43.11,43.11,149720.0
2023-01-10,FUN,42.83,43.4,42.48,42.48,128260.0
2023-01-11,FUN,42.57,42.9525,42.0,42.44,160347.0
2023-01-12,FUN,42.61,43.05,42.14,42.16,113366.0
2023-01-13,FUN,42.15,42.66,41.75,41.91,128850.0
2023-01-17,FUN,41.76,42.3668,41.65,42.07,95001.0
2023-01-18,FUN,41.9,42.52,41.81,42.09,199225.0
2023-01-19,FUN,41.86,42.1,41.79,41.87,137700.0
2023-01-20,FUN,41.76,42.25,41.72,41.79,249392.0
2023-01-23,FUN,41.78,42.1499,41.1,41.26,212356.0
2023-01-24,FUN,41.1,41.54,41.01,41.41,102376.0
2023-01-25,FUN,41.24,41.83,41.17,41.52,110892.0
2023-01-26,FUN,41.49,42.09,41.07,41.98,97378.0
