Date,Ticker,Open,High,Low,Close,Volume
2023-08-17,GECCZ,24.61,24.75,24.45,24.6,76865
2023-08-18,GECCZ,24.6,24.65,24.5,24.55,25051
2023-08-21,GECCZ,24.67,24.67,24.5,24.5,13234
2023-08-22,GECCZ,24.51,24.5663,24.48,24.5663,22070
2023-08-23,GECCZ,24.5,24.6,24.5,24.55,16854
2023-08-24,GECCZ,24.59,24.72,24.55,24.7,15744
2023-08-25,GECCZ,24.6,24.6777,24.6,24.65,11104
2023-08-28,GECCZ,24.7,24.75,24.65,24.75,9231
2023-08-29,GECCZ,24.7,24.8,24.65,24.8,8365
2023-08-30,GECCZ,24.85,24.85,24.7,24.8,7994
2023-08-31,GECCZ,24.85,24.85,24.74,24.78,7704
2023-09-01,GECCZ,24.79,24.85,24.79,24.8,19181
2023-09-05,GECCZ,24.8499,24.9,24.79,24.79,7963
2023-09-06,GECCZ,24.9,24.9499,24.75,24.9499,3982
2023-09-07,GECCZ,24.92,24.9495,24.84,24.89,2970
2023-09-08,GECCZ,24.95,24.95,24.9,24.95,6645
2023-09-11,GECCZ,25.0,25.0,24.92,24.945,8224
2023-09-12,GECCZ,24.93,25.0,24.9001,24.9903,1745
2023-09-13,GECCZ,24.91,24.98,24.91,24.98,3900
2023-09-14,GECCZ,24.75,24.75,24.63,24.65,9374
2023-09-15,GECCZ,24.699,24.7,24.62,24.7,2189
2023-09-18,GECCZ,24.7,24.7,24.65,24.6555,4961
2023-09-19,GECCZ,24.68,24.76,24.68,24.76,14003
2023-09-20,GECCZ,24.71,24.7999,24.71,24.7999,3333
2023-09-21,GECCZ,24.6,24.7047,24.6,24.6001,2948
2023-09-22,GECCZ,24.7,24.72,24.6,24.6,2715
2023-09-25,GECCZ,24.66,24.71,24.66,24.67,9647
2023-09-26,GECCZ,24.7,24.7,24.7,24.7,470
2023-09-27,GECCZ,24.65,24.7,24.65,24.65,5706
2023-09-28,GECCZ,24.67,24.67,24.62,24.67,869
2023-09-29,GECCZ,24.66,24.7,24.62,24.65,4561
2023-10-02,GECCZ,24.6964,24.6964,24.69,24.69,382
2023-10-03,GECCZ,24.6898,24.69,24.65,24.69,3173
2023-10-04,GECCZ,24.62,24.62,24.51,24.6,4669
2023-10-05,GECCZ,24.62,24.62,24.62,24.62,300
2023-10-06,GECCZ,24.5501,24.72,24.51,24.72,1484
2023-10-09,GECCZ,24.71,24.72,24.71,24.71,936
2023-10-10,GECCZ,24.73,24.73,24.564,24.564,1881
2023-10-11,GECCZ,24.64,24.75,24.64,24.69,4018
2023-10-12,GECCZ,24.6427,24.8,24.6299,24.8,1257
2023-10-13,GECCZ,24.7809,24.7809,24.7147,24.7147,201
2023-10-16,GECCZ,24.61,24.8,24.55,24.8,3301
2023-10-17,GECCZ,24.73,24.75,24.55,24.6239,879
2023-10-18,GECCZ,24.58,24.7,24.51,24.7,2126
2023-10-19,GECCZ,24.64,24.64,24.64,24.64,246
2023-10-20,GECCZ,24.7474,24.78,24.52,24.592,701
2023-10-23,GECCZ,24.65,24.65,24.65,24.65,200
2023-10-25,GECCZ,24.53,24.74,24.53,24.74,1000
2023-10-26,GECCZ,24.53,24.74,24.45,24.74,2148
2023-10-27,GECCZ,24.4,24.82,24.4,24.82,1419
2023-10-30,GECCZ,24.82,24.8842,24.82,24.8842,1469
2023-10-31,GECCZ,24.82,24.83,24.66,24.83,1043
2023-11-01,GECCZ,24.8,25.0226,24.55,24.8,1960
2023-11-02,GECCZ,24.83,26.0,24.6503,25.0,1807
2023-11-03,GECCZ,24.99,25.75,24.7,25.0,3315
2023-11-06,GECCZ,24.8285,25.0,24.6801,24.78,4671
2023-11-07,GECCZ,24.97,25.01,24.58,24.82,4018
2023-11-08,GECCZ,24.99,24.99,24.58,24.95,4526
2023-11-09,GECCZ,24.85,24.85,24.85,24.85,803
2023-11-10,GECCZ,24.92,24.95,24.65,24.8001,1321
2023-11-13,GECCZ,24.8,24.8,24.64,24.79,1438
2023-11-14,GECCZ,24.9,24.9,24.56,24.62,2826
2023-11-15,GECCZ,24.72,24.94,24.67,24.8001,2801
2023-11-16,GECCZ,24.93,24.93,24.8,24.8,565
2023-11-17,GECCZ,24.8,24.8734,24.71,24.7101,901
2023-11-20,GECCZ,24.75,24.8,24.75,24.7999,2336
2023-11-21,GECCZ,24.77,24.8,24.7,24.8,801
2023-11-22,GECCZ,24.7499,24.95,24.7002,24.95,1801
2023-11-27,GECCZ,25.0,25.0,25.0,25.0,163
2023-11-28,GECCZ,24.99,25.0,24.53,24.99,3124
2023-11-29,GECCZ,24.9,24.9,24.79,24.79,1132
2023-11-30,GECCZ,24.85,25.0,24.85,24.95,2419
2023-12-01,GECCZ,24.975,25.04,24.8,24.8,4898
2023-12-04,GECCZ,25.0,25.05,24.9325,25.0,2703
2023-12-05,GECCZ,25.0,25.03,25.0,25.015,2026
2023-12-06,GECCZ,25.02,25.02,25.0,25.0,4837
2023-12-07,GECCZ,25.0,25.13,25.0,25.0,5886
2023-12-08,GECCZ,25.14,25.2024,25.0,25.0,3225
2023-12-11,GECCZ,25.06,25.15,25.06,25.08,2006
2023-12-12,GECCZ,25.156,25.2,25.15,25.19,3397
2023-12-13,GECCZ,25.1,25.26,25.1,25.26,1862
2023-12-14,GECCZ,24.85,25.001,24.5,24.98,12593
2023-12-15,GECCZ,24.98,24.98,24.84,24.84,1125
2023-12-18,GECCZ,24.94,25.05,24.94,25.05,4001
2023-12-19,GECCZ,25.0,25.0,24.98,24.98,1664
2023-12-20,GECCZ,24.98,25.02,24.98,25.01,2737
2023-12-21,GECCZ,25.06,25.06,24.91,25.02,9142
2023-12-22,GECCZ,25.02,25.02,24.85,25.0181,3492
2023-12-26,GECCZ,25.1,25.1,25.038,25.04,800
2023-12-27,GECCZ,25.1,25.1,25.1,25.1,100
2023-12-28,GECCZ,25.1,25.1,24.99,25.0299,1870
2023-12-29,GECCZ,25.1,25.2,25.0997,25.14,3402
2024-01-02,GECCZ,25.1,25.1,25.1,25.1,211
2024-01-03,GECCZ,25.05,25.0501,24.99,24.99,3010
2024-01-04,GECCZ,25.2,25.2,25.0,25.2,840
2024-01-05,GECCZ,25.1,25.3,24.99,25.3,9675
2024-01-08,GECCZ,25.3,25.3,25.16,25.2,1480
2024-01-09,GECCZ,25.3,25.3,25.2,25.2,6042
2024-01-10,GECCZ,25.2,25.25,25.11,25.2,12655
