Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GIGM,1.18,1.22,1.18,1.201,23529.0
2022-11-11,GIGM,1.2,1.23,1.2,1.21,8986.0
2022-11-14,GIGM,1.23,1.25,1.21,1.22,12992.0
2022-11-15,GIGM,1.25,1.25,1.22,1.23,12559.0
2022-11-16,GIGM,1.2,1.24,1.2,1.23,5642.0
2022-11-17,GIGM,1.22,1.26,1.22,1.26,3241.0
2022-11-18,GIGM,1.2787,1.29,1.2787,1.2797,19986.0
2022-11-21,GIGM,1.265,1.265,1.2519,1.2519,1124.0
2022-11-22,GIGM,1.2558,1.27,1.23,1.26,3310.0
2022-11-23,GIGM,1.23,1.27,1.223,1.24,6387.0
2022-11-25,GIGM,1.24,1.2601,1.2399,1.24,4579.0
2022-11-28,GIGM,1.25,1.26,1.24,1.24,7167.0
2022-11-29,GIGM,1.28,1.28,1.24,1.25,7610.0
2022-11-30,GIGM,1.24,1.2563,1.21,1.25,10202.0
2022-12-01,GIGM,1.22,1.25,1.22,1.23,4037.0
2022-12-02,GIGM,1.23,1.24,1.22,1.22,3759.0
2022-12-05,GIGM,1.22,1.24,1.2009,1.22,13684.0
2022-12-06,GIGM,1.21,1.2399,1.21,1.22,3650.0
2022-12-07,GIGM,1.22,1.2245,1.2,1.205,14088.0
2022-12-08,GIGM,1.21,1.225,1.18,1.2,12168.0
2022-12-09,GIGM,1.2,1.22,1.18,1.2199,15484.0
2022-12-12,GIGM,1.19,1.2005,1.19,1.19,5221.0
2022-12-13,GIGM,1.19,1.195,1.18,1.19,14654.0
2022-12-14,GIGM,1.1914,1.2001,1.16,1.17,11657.0
2022-12-15,GIGM,1.1686,1.19,1.1673,1.18,15333.0
2022-12-16,GIGM,1.19,1.21,1.17,1.19,18052.0
2022-12-19,GIGM,1.17,1.2005,1.17,1.18,19446.0
2022-12-20,GIGM,1.18,1.21,1.18,1.19,5206.0
2022-12-21,GIGM,1.205,1.2111,1.17,1.2,12674.0
2022-12-22,GIGM,1.2,1.2,1.18,1.18,2048.0
2022-12-23,GIGM,1.18,1.22,1.179,1.21,21853.0
2022-12-27,GIGM,1.19,1.1901,1.15,1.17,16099.0
2022-12-28,GIGM,1.16,1.18,1.1538,1.18,57138.0
2022-12-29,GIGM,1.17,1.23,1.17,1.2001,23946.0
2022-12-30,GIGM,1.17,1.2202,1.17,1.21,10164.0
2023-01-03,GIGM,1.21,1.24,1.21,1.23,14773.0
2023-01-04,GIGM,1.26,1.26,1.2,1.213,11253.0
2023-01-05,GIGM,1.21,1.26,1.21,1.22,3566.0
2023-01-06,GIGM,1.22,1.2272,1.2,1.2,2540.0
2023-01-09,GIGM,1.21,1.3027,1.18,1.25,28857.0
2023-01-10,GIGM,1.2627,1.2627,1.23,1.25,29712.0
2023-01-11,GIGM,1.2427,1.2627,1.2427,1.2627,2805.0
2023-01-12,GIGM,1.27,1.38,1.27,1.36,48595.0
2023-01-13,GIGM,1.35,1.38,1.3,1.3201,35602.0
2023-01-17,GIGM,1.34,1.37,1.31,1.34,27445.0
2023-01-18,GIGM,1.36,1.48,1.31,1.4138,86840.0
2023-01-19,GIGM,1.41,1.45,1.34,1.37,56044.0
2023-01-20,GIGM,1.41,1.41,1.37,1.38,19681.0
2023-01-23,GIGM,1.38,1.42,1.3601,1.41,19661.0
2023-01-24,GIGM,1.43,1.43,1.38,1.4,19192.0
2023-01-25,GIGM,1.39,1.42,1.39,1.39,2478.0
2023-01-26,GIGM,1.4,1.41,1.39,1.4001,14784.0
2023-01-27,GIGM,1.4,1.42,1.4,1.41,29895.0
2023-01-30,GIGM,1.41,1.42,1.4048,1.41,24164.0
2023-01-31,GIGM,1.41,1.54,1.4,1.45,211784.0
2023-02-01,GIGM,1.53,1.53,1.48,1.5,59121.0
2023-02-02,GIGM,1.53,1.53,1.4201,1.45,33985.0
2023-02-03,GIGM,1.4603,1.4603,1.45,1.45,14539.0
2023-02-06,GIGM,1.48,1.6,1.4712,1.49,359578.0
2023-02-07,GIGM,1.54,1.89,1.5,1.57,1044263.0
2023-02-08,GIGM,1.57,1.62,1.5101,1.54,74979.0
2023-02-09,GIGM,1.55,1.56,1.52,1.52,35278.0
2023-02-10,GIGM,1.52,1.54,1.47,1.49,43734.0
2023-02-13,GIGM,1.5,1.5,1.47,1.48,25637.0
2023-02-14,GIGM,1.4737,1.4799,1.46,1.46,14424.0
2023-02-15,GIGM,1.46,1.49,1.43,1.44,19604.0
2023-02-16,GIGM,1.44,1.44,1.41,1.43,36612.0
2023-02-17,GIGM,1.4399,1.44,1.42,1.43,9964.0
2023-02-21,GIGM,1.43,1.45,1.42,1.42,32313.0
2023-02-22,GIGM,1.4217,1.425,1.42,1.42,6388.0
2023-02-23,GIGM,1.4,1.41,1.4,1.4,14501.0
2023-02-24,GIGM,1.3908,1.4,1.3901,1.4,1256.0
2023-02-27,GIGM,1.38,1.39,1.38,1.3821,5928.0
2023-02-28,GIGM,1.38,1.39,1.37,1.38,17410.0
2023-03-01,GIGM,1.37,1.37,1.35,1.355,29137.0
2023-03-02,GIGM,1.3786,1.3786,1.3617,1.37,2960.0
2023-03-03,GIGM,1.38,1.42,1.37,1.37,35325.0
2023-03-06,GIGM,1.37,1.38,1.36,1.36,3897.0
2023-03-07,GIGM,1.38,1.39,1.37,1.37,13502.0
2023-03-08,GIGM,1.37,1.3801,1.37,1.37,6846.0
2023-03-09,GIGM,1.37,1.38,1.37,1.37,1729.0
2023-03-10,GIGM,1.38,1.38,1.37,1.37,7360.0
2023-03-13,GIGM,1.37,1.39,1.37,1.38,5020.0
2023-03-14,GIGM,1.37,1.392,1.37,1.38,14866.0
2023-03-15,GIGM,1.38,1.4,1.38,1.3929,4435.0
2023-03-16,GIGM,1.4,1.44,1.39,1.3988,35342.0
2023-03-17,GIGM,1.42,1.44,1.4,1.41,4764.0
2023-03-20,GIGM,1.41,1.4302,1.41,1.42,37051.0
2023-03-21,GIGM,1.42,1.44,1.42,1.42,5340.0
2023-03-22,GIGM,1.43,1.43,1.42,1.42,6152.0
2023-03-23,GIGM,1.42,1.4201,1.41,1.42,2122.0
2023-03-24,GIGM,1.42,1.43,1.41,1.41,3210.0
2023-03-27,GIGM,1.41,1.41,1.41,1.41,2597.0
2023-03-28,GIGM,1.42,1.42,1.41,1.41,6011.0
2023-03-29,GIGM,1.43,1.43,1.42,1.43,7225.0
2023-03-30,GIGM,1.42,1.43,1.41,1.41,10986.0
2023-03-31,GIGM,1.41,1.43,1.41,1.42,24321.0
2023-04-03,GIGM,1.42,1.4201,1.41,1.415,8331.0
2023-04-04,GIGM,1.42,1.425,1.41,1.42,10380.0
2023-04-05,GIGM,1.4129,1.42,1.41,1.41,5493.0
2023-04-06,GIGM,1.41,1.42,1.41,1.41,1100.0
2023-04-10,GIGM,1.41,1.41,1.4,1.41,7760.0
2023-04-11,GIGM,1.4,1.41,1.4,1.41,2442.0
2023-04-12,GIGM,1.4,1.4159,1.4,1.4,1028.0
2023-04-13,GIGM,1.4,1.4,1.4,1.4,10205.0
2023-04-14,GIGM,1.41,1.41,1.4,1.4,3801.0
2023-04-17,GIGM,1.4031,1.42,1.4,1.4,2588.0
2023-04-18,GIGM,1.41,1.42,1.4,1.4,9129.0
2023-04-19,GIGM,1.4,1.4001,1.38,1.38,7658.0
2023-04-20,GIGM,1.38,1.41,1.38,1.41,3614.0
2023-04-21,GIGM,1.38,1.41,1.38,1.4,2316.0
2023-04-24,GIGM,1.3977,1.3977,1.39,1.39,776.0
2023-04-25,GIGM,1.3899,1.39,1.38,1.38,21486.0
2023-04-26,GIGM,1.38,1.38,1.38,1.38,2194.0
2023-04-27,GIGM,1.3898,1.4896,1.385,1.4487,56031.0
2023-04-28,GIGM,1.44,1.5,1.44,1.48,17302.0
2023-05-01,GIGM,1.47,1.5856,1.47,1.5482,102304.0
2023-05-02,GIGM,1.52,1.57,1.515,1.53,31632.0
2023-05-03,GIGM,1.53,1.62,1.4883,1.55,76662.0
2023-05-04,GIGM,1.5373,1.59,1.48,1.525,37894.0
2023-05-05,GIGM,1.5,1.57,1.43,1.5,15292.0
2023-05-08,GIGM,1.46,1.54,1.46,1.48,7744.0
2023-05-09,GIGM,1.5,1.5,1.38,1.43,61728.0
2023-05-10,GIGM,1.41,1.54,1.41,1.44,4326.0
2023-05-11,GIGM,1.38,1.47,1.38,1.44,9424.0
2023-05-12,GIGM,1.45,1.47,1.4001,1.45,3131.0
2023-05-15,GIGM,1.4426,1.45,1.38,1.42,9777.0
2023-05-16,GIGM,1.46,1.46,1.38,1.42,2440.0
2023-05-17,GIGM,1.3901,1.46,1.3901,1.46,1214.0
2023-05-18,GIGM,1.45,1.45,1.41,1.45,12253.0
2023-05-19,GIGM,1.42,1.4647,1.4,1.43,13175.0
2023-05-22,GIGM,1.41,1.41,1.39,1.4,6587.0
2023-05-23,GIGM,1.41,1.41,1.4,1.41,5401.0
2023-05-24,GIGM,1.4,1.4271,1.4,1.4271,2966.0
2023-05-25,GIGM,1.42,1.49,1.42,1.49,42340.0
2023-05-26,GIGM,1.48,1.495,1.4224,1.4412,22381.0
2023-05-30,GIGM,1.48,1.48,1.48,1.48,1875.0
2023-05-31,GIGM,1.42,1.457,1.4,1.41,7425.0
2023-06-01,GIGM,1.41,1.43,1.41,1.41,6747.0
2023-06-02,GIGM,1.41,1.45,1.39,1.4498,29342.0
2023-06-06,GIGM,1.45,1.45,1.42,1.42,2517.0
2023-06-07,GIGM,1.45,1.49,1.44,1.47,39816.0
2023-06-08,GIGM,1.46,1.48,1.46,1.4715,5785.0
2023-06-09,GIGM,1.48,1.48,1.41,1.43,21253.0
2023-06-12,GIGM,1.48,1.48,1.45,1.46,920.0
2023-06-13,GIGM,1.46,1.48,1.41,1.44,3707.0
2023-06-14,GIGM,1.43,1.4301,1.41,1.41,3311.0
2023-06-15,GIGM,1.46,1.46,1.42,1.42,2341.0
2023-06-16,GIGM,1.4,1.455,1.4,1.41,6586.0
2023-06-20,GIGM,1.42,1.42,1.38,1.3901,26384.0
2023-06-21,GIGM,1.42,1.42,1.38,1.4,12742.0
2023-06-22,GIGM,1.45,1.4504,1.38,1.4206,4273.0
2023-06-23,GIGM,1.4,1.4,1.38,1.38,2527.0
2023-06-26,GIGM,1.3959,1.3959,1.38,1.395,5283.0
2023-06-27,GIGM,1.38,1.395,1.37,1.37,28588.0
2023-06-28,GIGM,1.389,1.4,1.38,1.38,2167.0
2023-06-29,GIGM,1.3973,1.405,1.396,1.4,5945.0
2023-06-30,GIGM,1.38,1.42,1.38,1.39,1302.0
2023-07-03,GIGM,1.38,1.41,1.38,1.405,2056.0
2023-07-05,GIGM,1.395,1.4,1.39,1.39,3552.0
2023-07-06,GIGM,1.41,1.41,1.39,1.4,3366.0
2023-07-07,GIGM,1.42,1.42,1.3901,1.3901,845.0
2023-07-10,GIGM,1.39,1.42,1.39,1.41,959.0
2023-07-11,GIGM,1.4,1.41,1.4,1.41,5114.0
2023-07-12,GIGM,1.4,1.4062,1.38,1.39,6941.0
2023-07-13,GIGM,1.39,1.42,1.39,1.39,11635.0
2023-07-14,GIGM,1.4,1.42,1.4,1.4,10746.0
2023-07-17,GIGM,1.4,1.41,1.38,1.39,2461.0
2023-07-18,GIGM,1.382,1.4,1.38,1.39,4606.0
2023-07-19,GIGM,1.382,1.43,1.38,1.43,21140.0
2023-07-20,GIGM,1.42,1.475,1.39,1.47,23380.0
2023-07-21,GIGM,1.47,1.5,1.4499,1.49,14528.0
2023-07-24,GIGM,1.47,1.4727,1.46,1.46,4617.0
2023-07-25,GIGM,1.45,1.53,1.45,1.4901,12020.0
2023-07-26,GIGM,1.56,1.56,1.48,1.48,2928.0
2023-07-27,GIGM,1.49,1.54,1.49,1.49,11385.0
2023-07-28,GIGM,1.51,1.53,1.51,1.5142,2535.0
2023-07-31,GIGM,1.53,1.53,1.47,1.47,3913.0
2023-08-01,GIGM,1.47,1.53,1.47,1.53,4893.0
2023-08-02,GIGM,1.53,1.53,1.47,1.52,8597.0
2023-08-03,GIGM,1.4847,1.53,1.4847,1.53,533.0
2023-08-07,GIGM,1.48,1.48,1.48,1.48,169.0
2023-08-08,GIGM,1.48,1.48,1.47,1.47,8566.0
2023-08-09,GIGM,1.47,1.4932,1.46,1.4671,5396.0
2023-08-10,GIGM,1.46,1.4949,1.45,1.4568,12615.0
2023-08-11,GIGM,1.45,1.455,1.45,1.45,19331.0
2023-08-14,GIGM,1.45,1.45,1.43,1.44,12494.0
2023-08-15,GIGM,1.46,1.5,1.43,1.48,5746.0
2023-08-16,GIGM,1.43,1.43,1.43,1.43,722.0
2023-08-17,GIGM,1.44,1.45,1.44,1.45,1498.0
2023-08-18,GIGM,1.43,1.45,1.43,1.45,3773.0
2023-08-21,GIGM,1.43,1.455,1.43,1.455,3675.0
2023-08-22,GIGM,1.43,1.455,1.43,1.43,1237.0
2023-08-23,GIGM,1.43,1.48,1.43,1.455,8732.0
2023-08-24,GIGM,1.455,1.455,1.43,1.43,1540.0
2023-08-25,GIGM,1.4302,1.4302,1.43,1.43,6199.0
2023-08-28,GIGM,1.39,1.401,1.39,1.401,675.0
2023-08-30,GIGM,1.39,1.4073,1.39,1.405,6690.0
2023-08-31,GIGM,1.3902,1.3911,1.3742,1.3742,2436.0
2023-09-01,GIGM,1.3929,1.3929,1.37,1.37,1094.0
2023-09-05,GIGM,1.36,1.36,1.36,1.36,283.0
2023-09-06,GIGM,1.37,1.395,1.37,1.37,1216.0
2023-09-07,GIGM,1.42,1.47,1.38,1.4376,10607.0
2023-09-08,GIGM,1.39,1.4111,1.38,1.4111,678.0
2023-09-11,GIGM,1.38,1.42,1.37,1.3768,10519.0
2023-09-13,GIGM,1.37,1.37,1.37,1.37,159.0
2023-09-14,GIGM,1.38,1.38,1.38,1.38,526.0
2023-09-15,GIGM,1.4,1.4,1.36,1.37,9003.0
2023-09-18,GIGM,1.37,1.43,1.3682,1.4095,2327.0
2023-09-19,GIGM,1.395,1.395,1.36,1.38,8224.0
2023-09-20,GIGM,1.36,1.36,1.36,1.36,177.0
2023-09-21,GIGM,1.37,1.37,1.37,1.37,174.0
2023-09-22,GIGM,1.3601,1.38,1.36,1.38,1452.0
2023-09-25,GIGM,1.38,1.38,1.36,1.38,2300.0
2023-09-26,GIGM,1.36,1.3601,1.36,1.36,763.0
2023-09-27,GIGM,1.36,1.3714,1.36,1.36,6074.0
2023-09-28,GIGM,1.35,1.352,1.35,1.35,1747.0
2023-09-29,GIGM,1.35,1.35,1.35,1.35,319.0
2023-10-02,GIGM,1.39,1.39,1.35,1.35,2117.0
2023-10-03,GIGM,1.35,1.36,1.35,1.35,9617.0
2023-10-04,GIGM,1.35,1.37,1.35,1.35,1473.0
2023-10-05,GIGM,1.35,1.3501,1.34,1.3501,7677.0
2023-10-06,GIGM,1.35,1.37,1.345,1.37,15700.0
2023-10-09,GIGM,1.34,1.37,1.34,1.37,9724.0
2023-10-10,GIGM,1.3401,1.37,1.34,1.37,9452.0
2023-10-11,GIGM,1.34,1.345,1.34,1.34,8322.0
2023-10-12,GIGM,1.35,1.39,1.35,1.39,1074.0
2023-10-13,GIGM,1.365,1.39,1.34,1.39,1390.0
2023-10-16,GIGM,1.365,1.38,1.365,1.38,554.0
2023-10-17,GIGM,1.35,1.39,1.35,1.39,1113.0
2023-10-18,GIGM,1.36,1.38,1.36,1.38,1068.0
2023-10-19,GIGM,1.3693,1.39,1.36,1.39,1139.0
2023-10-20,GIGM,1.36,1.36,1.36,1.36,295.0
2023-10-23,GIGM,1.36,1.36,1.34,1.355,8027.0
2023-10-24,GIGM,1.34,1.3761,1.34,1.3761,1264.0
2023-10-25,GIGM,1.34,1.35,1.34,1.3401,667.0
2023-10-26,GIGM,1.35,1.35,1.34,1.35,5806.0
2023-10-27,GIGM,1.35,1.38,1.35,1.35,701.0
2023-10-30,GIGM,1.3799,1.38,1.34,1.38,8972.0
2023-10-31,GIGM,1.35,1.39,1.34,1.3801,19895.0
2023-11-01,GIGM,1.35,1.37,1.35,1.36,6635.0
2023-11-02,GIGM,1.36,1.36,1.35,1.36,3467.0
2023-11-03,GIGM,1.35,1.36,1.34,1.355,5517.0
2023-11-06,GIGM,1.36,1.36,1.35,1.355,7302.0
2023-11-07,GIGM,1.36,1.36,1.35,1.355,8714.0
2023-11-08,GIGM,1.35,1.35,1.35,1.35,270.0
2023-11-09,GIGM,1.36,1.3739,1.36,1.37,7304.0
2023-11-10,GIGM,1.35,1.3699,1.35,1.3699,5965.0
2023-11-13,GIGM,1.3519,1.3519,1.35,1.35,1553.0
2023-11-14,GIGM,1.35,1.37,1.35,1.37,8734.0
2023-11-15,GIGM,1.36,1.38,1.36,1.38,7137.0
2023-11-16,GIGM,1.36,1.4,1.35,1.3999,19597.0
2023-11-17,GIGM,1.36,1.375,1.36,1.375,2264.0
2023-11-20,GIGM,1.3701,1.42,1.3701,1.4,26119.0
2023-11-21,GIGM,1.38,1.4,1.38,1.4,8062.0
2023-11-22,GIGM,1.3825,1.4,1.38,1.39,4028.0
2023-11-24,GIGM,1.39,1.4,1.39,1.4,7223.0
2023-11-27,GIGM,1.43,1.43,1.395,1.43,20465.0
2023-11-28,GIGM,1.4,1.449,1.4,1.44,3414.0
2023-11-29,GIGM,1.4,1.42,1.4,1.42,3231.0
2023-11-30,GIGM,1.41,1.4457,1.41,1.41,6615.0
2023-12-01,GIGM,1.41,1.4483,1.41,1.4483,3042.0
2023-12-04,GIGM,1.42,1.42,1.41,1.41,2156.0
2023-12-05,GIGM,1.41,1.41,1.4,1.41,9308.0
2023-12-06,GIGM,1.4,1.465,1.4,1.45,14650.0
2023-12-07,GIGM,1.4179,1.4466,1.41,1.4466,700.0
2023-12-08,GIGM,1.4168,1.43,1.41,1.43,2835.0
2023-12-11,GIGM,1.4232,1.43,1.4232,1.43,509.0
2023-12-12,GIGM,1.41,1.425,1.4,1.425,30671.0
2023-12-13,GIGM,1.4,1.45,1.4,1.45,6407.0
2023-12-14,GIGM,1.4,1.45,1.4,1.45,3306.0
2023-12-15,GIGM,1.4084,1.425,1.405,1.42,6823.0
2023-12-18,GIGM,1.4,1.42,1.4,1.4,8524.0
2023-12-19,GIGM,1.4,1.4121,1.4,1.4,26326.0
2023-12-20,GIGM,1.4,1.42,1.4,1.4,21682.0
2023-12-21,GIGM,1.42,1.42,1.4036,1.416,4745.0
2023-12-22,GIGM,1.41,1.4124,1.4001,1.4003,1372.0
2023-12-26,GIGM,1.41,1.41,1.4,1.4,9355.0
2023-12-27,GIGM,1.4,1.4194,1.4,1.4,11045.0
2023-12-28,GIGM,1.4,1.42,1.4,1.41,16318.0
2023-12-29,GIGM,1.41,1.41,1.39,1.3901,26767.0
2024-01-02,GIGM,1.39,1.4,1.39,1.4,5517.0
2024-01-03,GIGM,1.4,1.4,1.39,1.39,287.0
2024-01-04,GIGM,1.39,1.39,1.39,1.39,1157.0
2024-01-05,GIGM,1.42,1.42,1.39,1.39,1778.0
2024-01-08,GIGM,1.39,1.42,1.38,1.39,8312.0
2024-01-09,GIGM,1.3888,1.4056,1.3888,1.39,422.0
2024-01-10,GIGM,1.38,1.3922,1.38,1.3922,1169.0
2024-01-11,GIGM,1.41,1.41,1.39,1.39,8890.0
2024-01-12,GIGM,1.39,1.4,1.39,1.3901,792.0
2024-01-16,GIGM,1.39,1.4,1.39,1.4,644.0
2024-01-17,GIGM,1.415,1.42,1.41,1.41,6840.0
2024-01-18,GIGM,1.42,1.4475,1.415,1.43,30092.0
2024-01-19,GIGM,1.42,1.4405,1.41,1.41,16477.0
2024-01-22,GIGM,1.44,1.44,1.41,1.42,10630.0
2024-01-23,GIGM,1.42,1.42,1.41,1.41,1023.0
2024-01-24,GIGM,1.45,1.5,1.4101,1.422,17272.0
2024-01-25,GIGM,1.445,1.445,1.41,1.44,1140.0
2024-01-26,GIGM,1.41,1.42,1.41,1.42,986.0
2024-01-29,GIGM,1.41,1.41,1.4,1.41,32180.0
2024-01-30,GIGM,1.4123,1.415,1.4,1.415,7565.0
2024-01-31,GIGM,1.41,1.41,1.4,1.4,8822.0
2024-02-01,GIGM,1.4,1.42,1.39,1.42,4031.0
2024-02-02,GIGM,1.39,1.4,1.39,1.395,5159.0
2024-02-05,GIGM,1.39,1.4,1.3899,1.4,14171.0
2024-02-06,GIGM,1.447,1.447,1.38,1.38,22430.0
2024-02-07,GIGM,1.38,1.4139,1.3799,1.39,19490.0
2024-02-08,GIGM,1.38,1.3991,1.36,1.3601,48105.0
2024-02-09,GIGM,1.36,1.39,1.35,1.35,13787.0
2024-02-12,GIGM,1.35,1.4,1.35,1.39,1994.0
2024-02-13,GIGM,1.38,1.38,1.36,1.37,331.0
2024-02-14,GIGM,1.36,1.36,1.34,1.34,16658.0
2024-02-15,GIGM,1.37,1.37,1.34,1.35,6420.0
2024-02-16,GIGM,1.3509,1.36,1.35,1.35,1518.0
2024-02-20,GIGM,1.35,1.35,1.34,1.35,5106.0
2024-02-21,GIGM,1.33,1.33,1.32,1.3213,25575.0
2024-02-22,GIGM,1.32,1.35,1.3,1.32,40292.0
2024-02-23,GIGM,1.3,1.3059,1.28,1.3059,9633.0
2024-02-26,GIGM,1.2996,1.3,1.28,1.29,10786.0
2024-02-27,GIGM,1.28,1.31,1.26,1.31,21816.0
2024-02-28,GIGM,1.3,1.3,1.275,1.29,3945.0
2024-02-29,GIGM,1.275,1.29,1.27,1.29,4895.0
2024-03-01,GIGM,1.288,1.3,1.27,1.3,20889.0
2024-03-04,GIGM,1.2708,1.3,1.26,1.3,20690.0
2024-03-05,GIGM,1.26,1.3,1.26,1.3,7194.0
2024-03-06,GIGM,1.2641,1.2999,1.2641,1.28,4053.0
2024-03-07,GIGM,1.28,1.28,1.26,1.28,2083.0
2024-03-08,GIGM,1.265,1.28,1.26,1.28,11343.0
2024-03-11,GIGM,1.27,1.27,1.25,1.255,7804.0
2024-03-12,GIGM,1.25,1.27,1.24,1.24,33176.0
2024-03-13,GIGM,1.24,1.25,1.23,1.235,9001.0
2024-03-14,GIGM,1.24,1.27,1.23,1.27,18562.0
2024-03-15,GIGM,1.24,1.34,1.24,1.34,16738.0
2024-03-18,GIGM,1.3309,1.3341,1.28,1.29,10817.0
2024-03-19,GIGM,1.305,1.305,1.28,1.28,1679.0
2024-03-20,GIGM,1.3,1.3,1.23,1.3,11737.0
2024-03-21,GIGM,1.265,1.29,1.26,1.28,3575.0
2024-03-22,GIGM,1.25,1.34,1.25,1.34,5994.0
2024-03-25,GIGM,1.3,1.3,1.27,1.3,5032.0
2024-03-26,GIGM,1.25,1.285,1.25,1.285,3086.0
2024-03-27,GIGM,1.28,1.29,1.27,1.29,2730.0
2024-03-28,GIGM,1.27,1.28,1.27,1.28,2669.0
2024-04-01,GIGM,1.29,1.29,1.2501,1.29,4203.0
2024-04-02,GIGM,1.29,1.29,1.2543,1.27,2805.0
2024-04-03,GIGM,1.285,1.3199,1.285,1.295,8397.0
2024-04-04,GIGM,1.3,1.355,1.3,1.34,23827.0
2024-04-05,GIGM,1.32,1.34,1.28,1.325,3271.0
2024-04-08,GIGM,1.28,1.31,1.28,1.2981,2627.0
2024-04-09,GIGM,1.3,1.3324,1.27,1.325,1264.0
2024-04-10,GIGM,1.28,1.32,1.28,1.32,1665.0
2024-04-11,GIGM,1.29,1.31,1.26,1.2955,12008.0
2024-04-12,GIGM,1.285,1.3099,1.26,1.3092,37101.0
2024-04-15,GIGM,1.3,1.3,1.27,1.27,4466.0
2024-04-16,GIGM,1.31,1.31,1.295,1.295,620.0
2024-04-17,GIGM,1.2701,1.3,1.27,1.29,3725.0
2024-04-18,GIGM,1.272,1.31,1.272,1.305,6013.0
2024-04-19,GIGM,1.305,1.305,1.305,1.305,651.0
2024-04-22,GIGM,1.3,1.31,1.3,1.31,11441.0
2024-04-23,GIGM,1.31,1.38,1.31,1.37,57428.0
2024-04-24,GIGM,1.31,1.37,1.31,1.37,4595.0
2024-04-25,GIGM,1.3101,1.35,1.31,1.35,14325.0
2024-04-26,GIGM,1.31,1.3485,1.31,1.3485,2114.0
2024-04-29,GIGM,1.345,1.345,1.31,1.32,4496.0
2024-04-30,GIGM,1.315,1.37,1.28,1.3491,36793.0
2024-05-01,GIGM,1.37,1.37,1.34,1.37,4030.0
2024-05-02,GIGM,1.37,1.4,1.3607,1.3981,12863.0
2024-05-03,GIGM,1.39,1.4,1.39,1.4,2883.0
2024-05-06,GIGM,1.41,1.41,1.31,1.37,11177.0
2024-05-07,GIGM,1.4,1.4,1.34,1.365,3000.0
2024-05-08,GIGM,1.3379,1.3887,1.3177,1.3887,1913.0
2024-05-09,GIGM,1.335,1.335,1.3101,1.3101,823.0
