Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GJO,23.6,23.75,23.42,23.75,2750
2022-11-15,GJO,23.89,23.89,23.89,23.89,501
2022-11-17,GJO,23.94,23.94,23.76,23.76,1334
2022-11-21,GJO,23.57,23.57,23.57,23.57,100
2022-11-22,GJO,23.89,23.89,23.89,23.89,590
2022-11-23,GJO,23.74,23.74,23.6033,23.65,4807
2022-11-25,GJO,23.75,23.778,23.61,23.61,1898
2022-11-28,GJO,23.86,23.87,23.7,23.87,1350
2022-11-30,GJO,23.87,23.87,23.87,23.87,1493
2022-12-01,GJO,23.52,23.52,23.52,23.52,1041
2022-12-02,GJO,23.67,23.67,23.67,23.67,173
2022-12-06,GJO,23.55,23.82,23.52,23.82,1106
2022-12-07,GJO,23.82,23.82,23.8199,23.8199,752
2022-12-09,GJO,23.82,23.82,23.82,23.82,415
2022-12-12,GJO,23.55,23.69,23.53,23.69,1000
2022-12-14,GJO,23.8251,23.87,23.8251,23.87,943
2022-12-15,GJO,23.87,23.87,23.87,23.87,101
2022-12-21,GJO,23.8,23.8,23.8,23.8,200
2022-12-28,GJO,23.655,23.8,23.655,23.8,1100
2022-12-29,GJO,23.8,23.8,23.8,23.8,217
2023-01-03,GJO,23.77,23.77,23.77,23.77,231
2023-01-04,GJO,23.76,23.77,23.76,23.76,1101
2023-01-05,GJO,23.59,23.76,23.59,23.73,1150
2023-01-11,GJO,23.76,23.88,23.76,23.88,1704
2023-01-12,GJO,23.87,23.87,23.87,23.87,598
2023-01-13,GJO,23.82,23.82,23.82,23.82,2620
2023-01-17,GJO,23.54,23.55,23.52,23.55,1026
2023-01-19,GJO,23.86,23.86,23.85,23.86,781
2023-01-20,GJO,23.87,23.87,23.8699,23.8699,419
2023-01-23,GJO,23.87,23.87,23.87,23.87,567
2023-01-24,GJO,23.87,23.88,23.87,23.88,1092
2023-01-27,GJO,23.88,23.88,23.88,23.88,755
2023-01-30,GJO,23.88,23.88,23.695,23.695,312
2023-01-31,GJO,23.88,23.88,23.88,23.88,595
2023-02-01,GJO,23.97,23.97,23.9699,23.9699,1180
2023-02-02,GJO,23.97,23.97,23.97,23.97,1900
2023-02-03,GJO,23.97,24.0,23.745,24.0,1203
2023-02-06,GJO,23.98,23.98,23.98,23.98,115
2023-02-08,GJO,23.98,23.98,23.98,23.98,660
2023-02-09,GJO,23.98,24.0,23.98,24.0,1389
2023-02-10,GJO,23.8465,23.8465,23.8465,23.8465,142
2023-02-13,GJO,23.82,23.82,23.82,23.82,334
2023-02-14,GJO,23.62,24.0,23.6001,24.0,2299
2023-02-15,GJO,23.96,24.0,23.96,23.992,536
2023-02-17,GJO,23.6,23.6,23.6,23.6,521
2023-02-21,GJO,23.8,24.05,23.8,24.0,1140
2023-02-22,GJO,24.1,24.1,24.1,24.1,278
2023-02-23,GJO,24.1,24.24,24.1,24.24,920
2023-02-24,GJO,24.24,24.3,24.24,24.3,900
2023-02-27,GJO,24.22,24.43,24.22,24.43,4163
2023-02-28,GJO,25.25,25.25,24.272,24.56,3675
2023-03-01,GJO,24.6,24.7,24.55,24.55,1300
2023-03-02,GJO,24.6,24.6,24.35,24.35,2973
2023-03-03,GJO,24.35,24.35,24.31,24.34,1322
2023-03-06,GJO,24.2001,24.3,24.16,24.16,2301
2023-03-07,GJO,24.0907,24.16,24.0907,24.16,400
2023-03-08,GJO,24.16,24.16,24.022,24.16,1737
2023-03-09,GJO,24.16,24.34,24.16,24.34,1150
2023-03-13,GJO,24.34,24.34,24.02,24.315,2332
2023-03-14,GJO,24.34,24.34,24.15,24.15,956
2023-03-15,GJO,24.15,24.15,24.15,24.15,1601
2023-03-16,GJO,24.15,24.15,24.15,24.15,701
2023-03-17,GJO,23.7,24.15,23.7,24.15,2105
2023-03-20,GJO,23.7001,23.7001,23.7001,23.7001,384
2023-03-21,GJO,24.15,24.15,24.15,24.15,300
2023-03-22,GJO,24.34,24.35,24.15,24.32,1841
2023-03-23,GJO,24.61,24.61,24.31,24.61,1897
2023-03-24,GJO,24.61,24.61,24.2127,24.51,3609
2023-03-27,GJO,24.61,24.61,24.6,24.6,2130
2023-03-28,GJO,24.6,24.6,24.4501,24.59,1411
2023-03-30,GJO,24.475,24.5,24.25,24.5,1200
2023-03-31,GJO,24.45,24.5,24.45,24.5,463
2023-04-04,GJO,24.4475,24.49,24.4475,24.49,838
2023-04-05,GJO,24.49,24.61,24.48,24.61,941
2023-04-06,GJO,24.43,24.57,24.37,24.57,1252
2023-04-10,GJO,24.33,24.58,24.3,24.58,1882
2023-04-11,GJO,24.535,24.59,24.44,24.46,2754
2023-04-12,GJO,24.46,24.46,24.46,24.46,1000
2023-04-13,GJO,24.25,24.5699,24.1,24.5699,1242
2023-04-14,GJO,24.55,24.55,24.55,24.55,915
2023-04-17,GJO,24.56,24.61,24.5,24.61,2803
2023-04-18,GJO,24.6,24.6,24.45,24.59,3633
2023-04-19,GJO,24.6,24.6,24.6,24.6,1194
2023-04-20,GJO,24.55,24.55,24.5,24.52,1500
2023-04-21,GJO,24.6,24.6,24.6,24.6,1643
2023-04-24,GJO,24.6,24.6,24.6,24.6,1121
2023-04-25,GJO,24.52,24.52,24.42,24.52,870
2023-04-26,GJO,24.5,24.5,24.5,24.5,1015
2023-04-27,GJO,24.6,24.6,24.53,24.53,977
2023-04-28,GJO,24.53,24.53,24.48,24.48,1219
2023-05-01,GJO,24.48,24.48,24.48,24.48,1399
2023-05-02,GJO,24.48,24.555,24.4799,24.555,1458
2023-05-03,GJO,24.5,24.5,23.855,24.4,1020
2023-05-10,GJO,24.6,24.6,24.6,24.6,2200
