Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GL,115.18,115.53,113.44,113.85,691273.0
2022-11-11,GL,114.63,114.825,109.62,109.71,697790.0
2022-11-14,GL,109.69,111.645,109.47,110.64,621672.0
2022-11-15,GL,111.62,113.54,111.02,112.64,663743.0
2022-11-16,GL,112.98,114.075,111.98,112.66,495838.0
2022-11-17,GL,111.72,112.93,111.4,112.88,469475.0
2022-11-18,GL,114.35,115.455,113.14,113.72,1761999.0
2022-11-21,GL,113.72,115.99,113.685,115.09,541804.0
2022-11-22,GL,115.89,117.3125,115.48,116.28,601236.0
2022-11-23,GL,115.71,117.039,115.4255,116.77,346154.0
2022-11-25,GL,117.0,117.91,117.0,117.3,170751.0
2022-11-28,GL,116.56,117.325,115.795,116.13,474430.0
2022-11-29,GL,115.92,117.57,115.92,117.3,484031.0
2022-11-30,GL,116.83,120.45,116.13,119.96,1114248.0
2022-12-01,GL,120.61,120.955,119.23,120.41,671175.0
2022-12-02,GL,119.61,122.12,119.61,121.14,604058.0
2022-12-05,GL,120.09,120.33,118.38,118.79,435550.0
2022-12-06,GL,118.76,119.74,117.93,119.21,472271.0
2022-12-07,GL,118.96,120.18,118.77,119.13,409911.0
2022-12-08,GL,120.01,120.1,116.96,117.61,439152.0
2022-12-09,GL,117.16,118.04,116.04,116.52,363985.0
2022-12-12,GL,116.5,117.42,115.745,117.39,409122.0
2022-12-13,GL,118.73,118.73,115.83,116.79,957251.0
2022-12-14,GL,117.1,119.65,117.1,118.08,964834.0
2022-12-15,GL,116.92,117.66,115.9398,116.25,686959.0
2022-12-16,GL,114.84,116.97,114.79,116.5,2200983.0
2022-12-19,GL,116.79,119.18,116.79,117.86,874042.0
2022-12-20,GL,118.52,119.53,117.595,118.19,471171.0
2022-12-21,GL,118.3,120.85,118.3,120.49,483652.0
2022-12-22,GL,120.02,120.1775,117.56,118.41,410238.0
2022-12-23,GL,118.57,120.17,118.57,120.14,206647.0
2022-12-27,GL,120.14,121.09,120.14,120.7,275052.0
2022-12-28,GL,121.05,121.21,119.79,119.84,275006.0
2022-12-29,GL,120.17,121.16,119.74,120.7,345061.0
2022-12-30,GL,120.45,121.25,120.13,120.55,476601.0
2023-01-03,GL,120.26,120.97,118.92,119.59,717435.0
2023-01-04,GL,120.08,120.9,119.33,120.01,744061.0
2023-01-05,GL,119.09,120.855,119.09,120.19,615463.0
2023-01-06,GL,121.63,123.69,121.52,123.37,541426.0
2023-01-09,GL,122.51,123.15,119.99,120.28,627398.0
2023-01-10,GL,120.3,122.42,120.04,121.53,410991.0
2023-01-11,GL,121.39,122.675,121.1501,121.94,425353.0
2023-01-12,GL,121.92,123.85,121.35,121.38,502411.0
2023-01-13,GL,120.54,121.89,119.73,121.28,642472.0
2023-01-17,GL,121.46,121.67,120.1,120.56,431827.0
2023-01-18,GL,120.47,120.7771,118.57,118.63,463687.0
2023-01-19,GL,118.27,118.69,116.68,117.32,618778.0
2023-01-20,GL,117.75,118.03,116.59,117.42,559681.0
2023-01-23,GL,117.27,118.7,116.675,117.65,486433.0
2023-01-24,GL,117.78,119.49,116.66,119.43,425596.0
2023-01-25,GL,118.88,120.83,118.88,120.74,390880.0
2023-01-26,GL,120.88,121.36,120.05,121.32,252600.0
2023-01-27,GL,121.22,121.22,119.64,119.65,276533.0
2023-01-30,GL,119.41,121.02,119.24,119.86,421748.0
2023-01-31,GL,119.87,120.85,118.5529,120.85,629721.0
2023-02-01,GL,120.12,121.85,119.79,120.2,1056083.0
2023-02-02,GL,123.01,123.41,116.51,116.75,1120071.0
2023-02-03,GL,116.64,120.18,116.64,120.16,826162.0
