Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GNFT,3.92,4.3,3.83,3.95,23373.0
2022-11-11,GNFT,4.03,4.12,3.92,4.12,13316.0
2022-11-14,GNFT,4.04,4.2,3.8915,3.97,13163.0
2022-11-15,GNFT,3.99,4.1,3.94,3.995,24806.0
2022-11-16,GNFT,4.02,4.08,3.92,3.9701,8529.0
2022-11-17,GNFT,3.95,4.02,3.8301,3.949,8491.0
2022-11-18,GNFT,3.88,3.95,3.8445,3.94,13959.0
2022-11-21,GNFT,3.87,3.951,3.8,3.88,11191.0
2022-11-22,GNFT,3.75,3.83,3.65,3.79,11624.0
2022-11-23,GNFT,3.76,3.91,3.73,3.85,10919.0
2022-11-25,GNFT,3.8,3.87,3.73,3.8,14560.0
2022-11-28,GNFT,3.78,3.85,3.72,3.72,18827.0
2022-11-29,GNFT,3.57,3.75,3.57,3.69,17457.0
2022-11-30,GNFT,3.58,3.81,3.58,3.76,16984.0
2022-12-01,GNFT,3.67,3.79,3.65,3.7002,4398.0
2022-12-02,GNFT,3.65,3.7925,3.56,3.78,15595.0
2022-12-05,GNFT,3.6445,3.8,3.6,3.67,11186.0
2022-12-06,GNFT,3.61,3.66,3.53,3.53,20746.0
2022-12-07,GNFT,3.53,3.65,3.5,3.55,12980.0
2022-12-08,GNFT,3.57,3.63,3.5,3.63,17005.0
2022-12-09,GNFT,3.625,3.67,3.57,3.65,7027.0
2022-12-12,GNFT,3.535,3.67,3.535,3.62,18381.0
2022-12-13,GNFT,3.62,3.67,3.29,3.65,10473.0
2022-12-14,GNFT,3.61,3.68,3.4525,3.64,7786.0
2022-12-15,GNFT,3.62,3.64,3.55,3.62,7820.0
2022-12-16,GNFT,3.6,3.62,3.57,3.57,4881.0
2022-12-19,GNFT,3.59,3.63,3.4,3.605,15406.0
2022-12-20,GNFT,3.58,3.65,3.3005,3.59,28150.0
2022-12-21,GNFT,3.64,3.74,3.59,3.6501,9902.0
2022-12-22,GNFT,3.76,3.79,3.62,3.72,11358.0
2022-12-23,GNFT,3.77,4.0,3.77,3.95,59147.0
2022-12-27,GNFT,3.86,4.06,3.86,4.01,28526.0
2022-12-28,GNFT,4.0,4.15,4.0,4.1,12664.0
2022-12-29,GNFT,4.15,4.35,4.15,4.3,8445.0
2022-12-30,GNFT,4.3,4.39,4.23,4.389,10928.0
2023-01-03,GNFT,4.26,4.36,4.15,4.2501,13234.0
2023-01-04,GNFT,4.18,4.27,4.11,4.26,17421.0
2023-01-05,GNFT,4.11,4.25,4.04,4.19,14935.0
2023-01-06,GNFT,4.15,4.45,4.11,4.32,7670.0
2023-01-09,GNFT,4.22,4.27,4.18,4.18,10719.0
2023-01-10,GNFT,4.13,4.35,4.07,4.17,23426.0
2023-01-11,GNFT,4.14,4.22,4.09,4.22,6736.0
2023-01-12,GNFT,4.14,4.37,4.052,4.1017,12698.0
2023-01-13,GNFT,4.05,4.23,4.05,4.13,42717.0
2023-01-17,GNFT,4.19,4.19,4.03,4.11,6278.0
2023-01-18,GNFT,4.18,4.1901,4.1,4.1588,2839.0
2023-01-19,GNFT,4.19,4.25,4.19,4.2499,5015.0
2023-01-20,GNFT,4.1501,4.3099,4.15,4.3099,4382.0
