Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GNTX,27.69,28.485,27.5975,28.48,1153232.0
2022-11-11,GNTX,28.56,29.63,28.54,29.28,1162569.0
2022-11-14,GNTX,28.97,29.24,28.81,28.82,837233.0
2022-11-15,GNTX,29.17,29.45,28.65,29.01,913181.0
2022-11-16,GNTX,28.91,29.1,28.49,28.56,744912.0
2022-11-17,GNTX,28.16,28.51,27.79,28.51,760355.0
2022-11-18,GNTX,28.92,28.92,28.39,28.73,1173147.0
2022-11-21,GNTX,28.5,28.795,28.36,28.56,602136.0
2022-11-22,GNTX,28.58,28.91,28.515,28.88,847652.0
2022-11-23,GNTX,28.66,29.03,28.56,28.63,688217.0
2022-11-25,GNTX,28.73,28.87,28.57,28.76,201596.0
2022-11-28,GNTX,28.44,28.575,28.31,28.53,722703.0
2022-11-29,GNTX,28.69,28.72,28.29,28.37,788665.0
2022-11-30,GNTX,28.55,28.905,28.15,28.9,1100331.0
2022-12-01,GNTX,28.93,29.259,28.93,29.08,687449.0
2022-12-02,GNTX,28.81,28.9297,28.34,28.48,1534198.0
2022-12-05,GNTX,28.27,28.41,27.715,27.99,890830.0
2022-12-06,GNTX,28.17,28.22,27.091,27.46,725001.0
2022-12-07,GNTX,27.19,27.39,27.06,27.29,762819.0
2022-12-08,GNTX,27.36,27.61,27.01,27.5,879411.0
2022-12-09,GNTX,27.29,27.59,27.21,27.26,539703.0
2022-12-12,GNTX,27.17,27.53,27.075,27.49,615809.0
2022-12-13,GNTX,28.31,28.31,27.26,27.43,889262.0
2022-12-14,GNTX,27.59,28.03,27.43,27.61,896783.0
2022-12-15,GNTX,27.3,27.3994,26.9,26.92,942498.0
2022-12-16,GNTX,26.79,27.03,26.5,26.67,2163180.0
2022-12-19,GNTX,26.89,27.31,26.29,26.64,1229552.0
2022-12-20,GNTX,26.73,27.13,26.7,26.82,897679.0
2022-12-21,GNTX,27.11,27.475,27.11,27.35,1050270.0
2022-12-22,GNTX,27.17,27.17,26.29,26.74,1033846.0
2022-12-23,GNTX,26.85,27.17,26.55,26.99,730529.0
2022-12-27,GNTX,26.89,27.218,26.815,27.12,513525.0
2022-12-28,GNTX,27.34,27.74,26.76,26.8,589744.0
2022-12-29,GNTX,27.13,27.53,26.84,27.38,1011372.0
2022-12-30,GNTX,27.18,27.38,27.1,27.27,705565.0
2023-01-03,GNTX,27.47,27.77,27.35,27.69,994337.0
2023-01-04,GNTX,27.96,28.235,27.795,28.21,1369017.0
2023-01-05,GNTX,27.96,28.33,27.75,28.17,917935.0
2023-01-06,GNTX,28.3,29.1,28.27,28.76,1219230.0
2023-01-09,GNTX,28.82,28.83,28.17,28.36,1231217.0
2023-01-10,GNTX,28.42,28.55,27.85,28.09,1935929.0
2023-01-11,GNTX,28.33,28.43,28.13,28.28,1202831.0
2023-01-12,GNTX,28.29,28.73,28.24,28.43,835208.0
2023-01-13,GNTX,28.0,28.83,27.93,28.78,698488.0
2023-01-17,GNTX,28.72,28.9,28.3813,28.41,851246.0
2023-01-18,GNTX,28.71,28.905,28.475,28.53,931097.0
2023-01-19,GNTX,28.48,28.605,28.185,28.36,1186090.0
2023-01-20,GNTX,28.51,28.77,28.23,28.77,771699.0
2023-01-23,GNTX,29.0,29.32,28.83,29.27,1073976.0
