Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GNTY,35.69,37.19,35.1852,36.7,20326
2022-11-11,GNTY,37.13,37.13,34.56,35.09,29149
2022-11-14,GNTY,35.305,35.775,34.85,35.44,10904
2022-11-15,GNTY,35.94,36.32,35.43,35.71,12443
2022-11-16,GNTY,35.905,35.905,35.45,35.51,5476
2022-11-17,GNTY,35.485,35.74,35.0,35.4,8859
2022-11-18,GNTY,35.92,36.08,35.68,35.8,6842
2022-11-21,GNTY,35.67,35.84,35.605,35.7,4035
2022-11-22,GNTY,35.665,35.9,35.21,35.39,15287
2022-11-23,GNTY,35.36,35.36,34.93,35.23,6081
2022-11-25,GNTY,35.25,35.58,35.11,35.11,6269
2022-11-28,GNTY,35.03,35.73,34.66,34.89,18200
2022-11-29,GNTY,34.8457,35.0,34.61,34.61,7384
2022-11-30,GNTY,34.62,35.6,34.5,35.6,16196
2022-12-01,GNTY,35.68,35.68,35.21,35.38,5165
2022-12-02,GNTY,35.37,35.37,34.8572,34.92,7589
2022-12-05,GNTY,34.91,34.98,34.2,34.65,39346
2022-12-06,GNTY,34.5,34.69,34.47,34.65,15195
2022-12-07,GNTY,34.64,34.8,34.44,34.44,14352
2022-12-08,GNTY,34.71,34.74,34.45,34.74,7653
2022-12-09,GNTY,34.6,34.68,34.45,34.45,8253
2022-12-12,GNTY,34.44,34.62,34.36,34.46,15091
2022-12-13,GNTY,35.0,35.45,34.35,35.45,35710
2022-12-14,GNTY,35.07,35.1,34.66,34.66,15293
2022-12-15,GNTY,34.59,34.86,34.441,34.56,26033
2022-12-16,GNTY,34.45,35.56,34.45,35.52,65460
2022-12-19,GNTY,35.26,35.69,35.2,35.55,13821
2022-12-20,GNTY,35.375,35.99,35.04,35.18,9177
2022-12-21,GNTY,35.2,35.7679,35.19,35.2,14194
2022-12-22,GNTY,35.145,35.1559,34.72,34.9,7903
2022-12-23,GNTY,35.01,35.4592,34.83,34.95,9316
2022-12-27,GNTY,34.99,35.25,34.99,35.02,4915
2022-12-28,GNTY,34.7885,35.08,34.71,34.83,5893
2022-12-29,GNTY,34.88,34.89,34.68,34.85,12081
2022-12-30,GNTY,34.73,35.2,34.615,34.64,6138
2023-01-03,GNTY,34.7,34.85,34.5,34.61,7852
2023-01-04,GNTY,34.65,35.0372,34.43,34.55,15061
2023-01-05,GNTY,34.5,34.73,34.42,34.69,8354
2023-01-06,GNTY,34.7001,35.15,34.63,35.15,12090
2023-01-09,GNTY,35.0,35.0,34.61,34.66,3712
2023-01-10,GNTY,34.75,35.46,34.75,35.2,10001
2023-01-11,GNTY,35.12,35.55,35.12,35.21,5867
2023-01-12,GNTY,35.32,35.7,35.14,35.6,12444
2023-01-13,GNTY,35.38,35.65,35.33,35.54,9126
2023-01-17,GNTY,35.28,35.52,34.64,34.64,11949
2023-01-18,GNTY,34.64,34.9,34.3524,34.51,28218
2023-01-19,GNTY,34.51,34.72,34.43,34.5,15144
2023-01-20,GNTY,34.69,34.69,34.21,34.36,29974
2023-01-23,GNTY,34.47,34.47,33.81,34.05,28183
2023-01-24,GNTY,33.82,33.82,33.29,33.29,10689
2023-01-25,GNTY,33.05,33.26,32.66,33.01,8410
2023-01-26,GNTY,33.16,33.16,32.49,33.0,12128
2023-01-27,GNTY,32.82,32.87,32.51,32.72,6514
2023-01-30,GNTY,32.78,33.0,32.53,32.56,8697
2023-01-31,GNTY,32.72,33.12,31.43,32.98,29226
2023-02-01,GNTY,32.79,33.66,32.6811,33.19,16914
2023-02-02,GNTY,33.33,33.63,32.62,33.37,11900
2023-02-03,GNTY,33.13,34.34,33.13,34.1,12928
2023-02-06,GNTY,34.12,34.12,33.4144,33.72,11374
