Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,GS,370.0,380.43,369.744,378.31,3790378.0
2022-11-11,GS,380.0,387.0,378.75,385.17,3409056.0
2022-11-14,GS,384.0,387.3,380.5,382.36,2609338.0
2022-11-15,GS,385.98,389.5781,380.65,382.88,3192390.0
2022-11-16,GS,383.21,385.395,380.01,382.33,2303685.0
2022-11-17,GS,377.15,381.72,375.01,379.78,2299419.0
2022-11-18,GS,381.28,382.83,377.39,379.2,2384735.0
2022-11-21,GS,378.9,380.77,375.42,380.21,1877529.0
2022-11-22,GS,381.4,385.825,381.4,383.87,2019816.0
2022-11-23,GS,383.9,388.2,383.41,386.25,1865756.0
2022-11-25,GS,385.76,389.44,385.18,388.86,1129250.0
2022-11-28,GS,385.43,388.39,380.89,382.36,2232764.0
2022-11-29,GS,381.13,384.93,379.26,383.71,1735442.0
2022-11-30,GS,382.5,386.15,375.1,386.15,2964127.0
2022-12-01,GS,386.5,386.5,380.45,383.81,1656386.0
2022-12-02,GS,381.52,382.52,378.4,380.58,1932530.0
2022-12-05,GS,378.55,378.87,369.31,371.54,2329570.0
2022-12-06,GS,369.48,370.37,360.33,362.91,3081920.0
2022-12-07,GS,362.49,365.3,358.15,359.92,2128204.0
2022-12-08,GS,362.03,362.59,356.055,358.08,1964366.0
2022-12-09,GS,356.71,361.64,356.2138,359.14,1588812.0
2022-12-12,GS,358.57,364.01,356.34,363.18,1750370.0
2022-12-13,GS,374.63,378.56,365.51,368.69,3051618.0
2022-12-14,GS,367.01,368.825,359.45,360.38,2519710.0
2022-12-15,GS,354.48,356.105,347.94,349.83,3164047.0
2022-12-16,GS,345.08,347.78,343.4056,346.35,5008921.0
2022-12-19,GS,346.27,348.3983,342.63,344.61,1646653.0
2022-12-20,GS,345.99,347.42,343.49,344.49,1622994.0
2022-12-21,GS,348.26,350.88,346.89,350.16,1921868.0
2022-12-22,GS,347.16,348.05,339.88,345.58,1529264.0
2022-12-23,GS,344.84,347.76,343.11,345.51,1062061.0
2022-12-27,GS,346.51,347.75,341.79,341.97,1035110.0
2022-12-28,GS,340.5,342.847,339.3,340.87,1117275.0
