Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HBANP,17.94,18.475,17.76,18.45,64223
2022-11-11,HBANP,18.59,18.8482,18.1494,18.65,35228
2022-11-14,HBANP,18.7,18.7451,18.17,18.3,75637
2022-11-15,HBANP,18.48,18.81,18.39,18.7,45510
2022-11-16,HBANP,18.77,18.92,18.5415,18.88,39104
2022-11-17,HBANP,18.8,18.86,18.6001,18.82,53176
2022-11-18,HBANP,18.91,18.91,18.63,18.69,34700
2022-11-21,HBANP,18.78,18.88,18.6601,18.69,57508
2022-11-22,HBANP,18.91,18.91,18.63,18.66,62947
2022-11-23,HBANP,18.71,18.79,18.54,18.66,47589
2022-11-25,HBANP,18.69,18.94,18.3924,18.85,22155
2022-11-28,HBANP,18.84,18.9,18.635,18.8,61712
2022-11-29,HBANP,18.75,18.75,18.28,18.28,61218
2022-11-30,HBANP,18.45,18.65,18.24,18.62,263705
2022-12-01,HBANP,18.75,18.91,18.56,18.86,103245
2022-12-02,HBANP,18.74,18.91,18.5617,18.88,35217
2022-12-05,HBANP,18.84,18.9,18.6,18.62,77407
2022-12-06,HBANP,18.78,18.78,18.3201,18.6,38339
2022-12-07,HBANP,18.62,18.64,18.3,18.57,91122
2022-12-08,HBANP,18.63,18.63,18.4,18.41,44767
2022-12-09,HBANP,18.48,18.48,18.03,18.1,76685
2022-12-12,HBANP,18.2,18.25,17.83,18.06,119376
2022-12-13,HBANP,18.39,18.45,18.2,18.24,183433
2022-12-14,HBANP,18.24,18.24,18.0716,18.2,113619
2022-12-15,HBANP,18.2,18.2,17.94,18.15,93213
2022-12-16,HBANP,18.06,18.53,17.9501,18.53,151366
2022-12-19,HBANP,18.46,18.49,18.2,18.39,333000
2022-12-20,HBANP,18.3,18.3,17.97,18.02,263106
2022-12-21,HBANP,18.08,18.14,17.91,17.96,227651
2022-12-22,HBANP,18.04,18.04,17.8635,18.01,99027
2022-12-23,HBANP,18.01,18.04,17.8866,18.03,100745
2022-12-27,HBANP,18.0,18.07,17.72,17.85,79738
2022-12-28,HBANP,17.8,17.8,17.2,17.32,177566
2022-12-29,HBANP,17.14,17.39,16.86,17.07,207775
2022-12-30,HBANP,17.02,17.3689,16.89,16.96,136150
2023-01-03,HBANP,17.16,17.5479,17.14,17.36,146555
2023-01-04,HBANP,17.41,17.8,17.41,17.79,33257
2023-01-05,HBANP,17.72,18.15,17.6001,18.14,59618
2023-01-06,HBANP,18.2,18.54,18.2,18.47,39951
2023-01-09,HBANP,18.53,18.79,18.4128,18.67,112390
2023-01-10,HBANP,18.65,18.68,18.4516,18.68,39624
2023-01-11,HBANP,18.61,18.61,18.49,18.49,65646
2023-01-12,HBANP,18.63,18.91,18.5559,18.8,65097
2023-01-13,HBANP,18.79,19.0499,18.7001,18.94,35709
2023-01-17,HBANP,19.04,19.24,18.85,19.23,58143
2023-01-18,HBANP,19.42,19.64,19.2,19.2,56664
2023-01-19,HBANP,19.39,19.53,19.15,19.47,50777
2023-01-20,HBANP,19.47,19.67,19.33,19.67,51988
2023-01-23,HBANP,19.71,20.15,19.6,20.15,65778
2023-01-24,HBANP,20.18,20.1967,19.92,20.08,33234
2023-01-25,HBANP,19.98,20.17,19.8872,20.15,41797
2023-01-26,HBANP,20.16,20.29,20.07,20.28,58447
2023-01-27,HBANP,20.29,20.4795,20.24,20.38,86344
2023-01-30,HBANP,20.35,20.6,20.29,20.5,99153
2023-01-31,HBANP,20.46,20.59,20.4324,20.48,76443
2023-02-01,HBANP,20.58,20.64,20.3301,20.55,44142
2023-02-02,HBANP,20.64,20.65,20.5,20.57,70855
2023-02-03,HBANP,20.41,20.57,20.25,20.25,75766
2023-02-06,HBANP,20.2,20.2,19.93,20.06,30439
2023-02-07,HBANP,20.0,20.1369,19.83,19.94,39088
2023-02-08,HBANP,20.0,20.2,19.95,20.07,61097
2023-02-09,HBANP,20.26,20.26,19.9,19.95,33990
2023-02-10,HBANP,19.92,19.92,19.7,19.83,35484
2023-02-13,HBANP,19.84,20.02,19.75,20.02,24681
2023-02-14,HBANP,20.02,20.16,19.93,20.16,34836
2023-02-15,HBANP,20.12,20.16,19.96,20.05,70811
2023-02-16,HBANP,19.94,19.9509,19.79,19.86,24493
2023-02-17,HBANP,19.85,19.85,19.61,19.73,30278
2023-02-21,HBANP,19.63,19.6444,19.19,19.29,60241
2023-02-22,HBANP,19.29,19.73,19.23,19.59,57945
