Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HD,297.74,314.74,297.08,311.7,7793983.0
2022-11-11,HD,312.0,317.68,310.24,314.94,4945385.0
2022-11-14,HD,314.36,315.98,306.34,306.92,6394785.0
2022-11-15,HD,304.06,316.63,303.25,311.93,9290361.0
2022-11-16,HD,305.86,316.41,304.51,314.91,5249549.0
2022-11-17,HD,312.0,313.68,306.15,311.44,3643182.0
2022-11-18,HD,314.14,316.0,310.26,313.18,3559301.0
2022-11-21,HD,316.96,318.84,314.2,316.78,4068957.0
2022-11-22,HD,320.0,326.82,319.38,324.88,6054740.0
2022-11-23,HD,326.76,327.82,320.44,321.51,4243427.0
2022-11-25,HD,322.89,329.075,321.9,326.38,3393533.0
2022-11-28,HD,325.06,328.8,317.846,318.92,4735507.0
2022-11-29,HD,316.0,320.0,315.62,315.96,3505644.0
2022-11-30,HD,312.93,324.19,311.495,323.99,15106515.0
2022-12-01,HD,326.31,329.67,324.44,327.07,3830118.0
2022-12-02,HD,321.08,328.48,320.33,327.99,3644116.0
2022-12-05,HD,325.15,325.52,319.54,320.08,5057347.0
2022-12-06,HD,319.64,321.65,314.54,317.45,3341458.0
2022-12-07,HD,315.96,322.877,314.44,320.15,4038175.0
2022-12-08,HD,318.55,324.525,318.55,324.09,3483561.0
2022-12-09,HD,321.48,324.44,319.93,320.48,3738832.0
2022-12-12,HD,323.0,328.34,321.29,327.98,4900164.0
2022-12-13,HD,344.35,347.25,329.96,332.89,5787668.0
2022-12-14,HD,330.53,339.055,329.0075,333.43,4546024.0
2022-12-15,HD,329.44,330.02,323.3705,327.6,5057631.0
2022-12-16,HD,323.43,327.94,319.2422,323.34,9614983.0
2022-12-19,HD,319.5,321.91,316.02,317.33,3000613.0
2022-12-20,HD,313.32,316.887,310.83,314.84,2632300.0
2022-12-21,HD,318.05,319.59,314.74,319.36,2610365.0
2022-12-22,HD,316.4,316.4,310.725,316.12,3064779.0
2022-12-23,HD,314.15,319.1,313.06,318.73,2064872.0
2022-12-27,HD,318.41,321.547,317.51,319.55,1610418.0
2022-12-28,HD,320.55,321.4328,315.5,315.73,1568353.0
2022-12-29,HD,318.65,321.83,317.59,320.41,1559184.0
2022-12-30,HD,317.49,318.17,313.0218,315.86,2581645.0
2023-01-03,HD,317.42,319.22,311.78,315.91,2822390.0
2023-01-04,HD,321.07,322.51,316.3753,319.73,3560934.0
2023-01-05,HD,317.83,318.075,313.23,315.47,2935083.0
2023-01-06,HD,316.29,318.85,309.0,317.53,4022511.0
2023-01-09,HD,320.0,322.5499,317.06,317.81,3466267.0
2023-01-10,HD,316.3,320.73,313.96,320.63,2111276.0
2023-01-11,HD,322.55,329.04,322.12,329.0,2864834.0
2023-01-12,HD,332.21,332.21,326.71,329.87,2481803.0
2023-01-13,HD,326.49,332.3899,326.0,331.21,2798591.0
2023-01-17,HD,330.33,335.1631,327.1,327.53,3988949.0
2023-01-18,HD,330.0,334.52,322.93,323.69,2952202.0
2023-01-19,HD,320.34,321.3399,310.63,310.88,5359280.0
2023-01-20,HD,310.01,315.24,307.3901,315.0,3725066.0
2023-01-23,HD,313.54,317.53,311.09,315.48,3237915.0
2023-01-24,HD,314.49,318.0999,312.63,317.69,2127866.0
2023-01-25,HD,315.33,318.12,311.55,317.26,2060388.0
2023-01-26,HD,314.15,319.26,312.53,313.81,3555265.0
2023-01-27,HD,312.02,318.24,311.33,316.69,2761169.0
2023-01-30,HD,315.83,318.14,313.69,314.24,2643141.0
2023-01-31,HD,315.99,324.35,315.095,324.17,3526837.0
2023-02-01,HD,322.39,330.545,317.6382,328.09,3076471.0
2023-02-02,HD,333.45,341.4691,332.69,339.79,4776634.0
2023-02-03,HD,332.53,334.7099,330.33,331.5,3389884.0
2023-02-06,HD,328.99,331.01,327.46,329.27,2229679.0
2023-02-07,HD,324.0,327.0,320.72,325.2,3865481.0
2023-02-08,HD,322.94,323.99,319.5667,320.79,2777196.0
2023-02-09,HD,323.1,323.89,314.83,315.55,3063322.0
2023-02-10,HD,313.85,317.2,312.7501,316.54,2768995.0
2023-02-13,HD,317.34,323.69,315.61,323.53,2432487.0
2023-02-14,HD,320.61,322.962,315.67,318.43,3380793.0
2023-02-15,HD,315.88,321.5309,315.79,320.69,2585889.0
2023-02-16,HD,315.0,323.74,314.93,321.24,3169211.0
2023-02-17,HD,318.68,320.6,312.95,317.95,4980143.0
2023-02-21,HD,305.55,308.01,295.026,295.5,10891773.0
2023-02-22,HD,297.55,300.4,295.09,296.3,5922119.0
2023-02-23,HD,296.79,299.88,294.62,299.31,4354477.0
2023-02-24,HD,292.4,298.3282,292.001,296.66,3713328.0
2023-02-27,HD,299.36,300.49,295.04,296.01,3238332.0
2023-02-28,HD,295.0,298.6999,294.3135,296.54,3949457.0
2023-03-01,HD,291.92,293.72,288.66,290.79,5905093.0
2023-03-02,HD,288.46,294.11,287.27,293.02,4103817.0
2023-03-03,HD,294.64,298.605,293.76,298.45,4036700.0
2023-03-06,HD,298.0,300.11,296.98,298.21,3763206.0
2023-03-07,HD,299.06,299.06,290.42,290.7,4512372.0
2023-03-08,HD,289.44,292.46,288.27,291.49,4680277.0
2023-03-09,HD,293.05,294.37,287.75,288.0,3247953.0
2023-03-10,HD,288.56,293.16,284.1,286.31,4730932.0
2023-03-13,HD,283.99,292.34,282.6,286.52,3892100.0
2023-03-14,HD,289.3,289.8,281.39,285.57,5115963.0
2023-03-15,HD,283.95,289.1599,282.67,287.97,4835545.0
2023-03-16,HD,287.0,288.03,285.0,286.73,4400647.0
2023-03-17,HD,287.82,291.95,286.2623,288.39,8323392.0
2023-03-20,HD,287.43,289.825,286.61,289.26,3678030.0
2023-03-21,HD,291.43,292.89,287.6,289.43,4788155.0
2023-03-22,HD,290.09,291.205,282.45,282.61,3723368.0
