Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HHGC,10.63,10.63,10.42,10.4501,3326.0
2022-11-11,HHGC,10.475,10.5199,10.475,10.5199,963.0
2022-11-14,HHGC,10.48,10.58,10.2,10.2,87289.0
2022-11-15,HHGC,10.1734,10.1734,10.06,10.0809,47990.0
2022-11-16,HHGC,10.05,10.05,10.05,10.05,206.0
2022-11-17,HHGC,10.05,10.1,10.02,10.1,9962.0
2022-11-18,HHGC,10.1258,10.15,10.11,10.14,6776.0
2022-11-21,HHGC,10.12,10.14,10.12,10.12,1751.0
2022-11-22,HHGC,10.12,10.12,10.11,10.111,2621.0
2022-11-23,HHGC,10.1001,10.1001,10.1001,10.1001,331.0
2022-11-29,HHGC,10.1,10.1,10.1,10.1,258.0
2022-11-30,HHGC,10.1,10.1001,10.1,10.1001,982.0
2022-12-01,HHGC,10.1,10.11,10.1,10.11,546.0
2022-12-02,HHGC,10.12,10.14,10.12,10.13,3505.0
2022-12-05,HHGC,10.1399,10.15,10.135,10.15,6259.0
2022-12-06,HHGC,10.14,10.14,10.14,10.14,1889.0
2022-12-07,HHGC,10.14,10.14,10.14,10.14,7494.0
2022-12-08,HHGC,10.14,10.1401,10.14,10.1401,2263.0
2022-12-09,HHGC,10.14,10.1499,10.11,10.135,46023.0
2022-12-13,HHGC,10.125,10.125,10.1,10.1,2835.0
2022-12-15,HHGC,10.1,10.1001,10.09,10.1001,9056.0
2022-12-16,HHGC,10.1001,10.1001,10.1001,10.1001,363.0
2022-12-20,HHGC,10.1,10.1,10.1,10.1,435.0
2022-12-22,HHGC,10.0001,10.1,10.0,10.09,14007.0
2022-12-27,HHGC,10.07,10.115,10.06,10.072,1332.0
2022-12-28,HHGC,10.0601,10.0601,10.0601,10.0601,2032.0
2022-12-29,HHGC,10.1,10.1001,10.1,10.1,497.0
2023-01-03,HHGC,10.1,10.12,10.1,10.11,4294.0
2023-01-04,HHGC,10.11,10.11,10.11,10.11,677.0
2023-01-05,HHGC,10.16,10.16,10.16,10.16,298.0
2023-01-09,HHGC,10.2,10.245,10.2,10.245,1174.0
2023-01-10,HHGC,10.29,10.29,10.265,10.265,493.0
2023-01-11,HHGC,10.26,10.29,10.26,10.26,3780.0
2023-01-13,HHGC,10.26,10.26,10.26,10.26,2120.0
2023-01-17,HHGC,10.26,10.26,10.26,10.26,100.0
2023-01-18,HHGC,10.26,10.26,10.26,10.26,208.0
2023-01-19,HHGC,10.28,10.3,10.28,10.3,14471.0
2023-01-20,HHGC,10.335,10.335,10.3,10.3,7489.0
2023-01-25,HHGC,10.31,10.33,10.31,10.33,3560.0
2023-01-26,HHGC,10.3,10.3001,10.3,10.3001,417.0
2023-01-30,HHGC,10.31,10.3104,10.31,10.31,2663.0
2023-02-06,HHGC,10.34,10.34,10.34,10.34,206.0
2023-02-07,HHGC,10.36,10.365,10.35,10.36,16047.0
2023-02-08,HHGC,10.38,10.38,10.37,10.38,5166.0
2023-02-13,HHGC,10.415,10.415,10.38,10.41,1358.0
2023-02-14,HHGC,10.41,10.41,10.41,10.41,1093.0
2023-02-15,HHGC,10.4197,10.4197,10.4197,10.4197,191.0
2023-02-16,HHGC,10.41,10.41,10.41,10.41,265.0
2023-02-17,HHGC,10.42,10.42,10.42,10.42,100.0
2023-02-22,HHGC,10.42,10.42,10.42,10.42,104.0
2023-02-23,HHGC,10.42,10.42,10.42,10.42,696.0
2023-02-24,HHGC,10.44,10.44,10.43,10.4301,19877.0
2023-03-02,HHGC,10.44,10.44,10.44,10.44,2040.0
2023-03-03,HHGC,10.58,10.58,10.44,10.45,2298.0
2023-03-06,HHGC,10.4501,10.4501,10.4501,10.4501,321.0
2023-03-07,HHGC,10.45,10.4501,10.45,10.4501,401.0
2023-03-08,HHGC,10.575,10.575,10.57,10.57,690.0
2023-03-09,HHGC,10.535,10.535,10.53,10.53,8810.0
2023-03-10,HHGC,10.53,10.5301,10.53,10.5301,1021.0
2023-03-13,HHGC,10.53,10.53,10.53,10.53,102.0
2023-03-14,HHGC,10.53,10.5302,10.49,10.49,1538.0
2023-03-22,HHGC,10.67,10.67,10.45,10.45,200.0
2023-03-30,HHGC,10.49,10.49,10.49,10.49,100.0
2023-03-31,HHGC,10.46,10.46,10.46,10.46,100.0
2023-04-03,HHGC,10.47,10.47,10.47,10.47,101.0
2023-04-06,HHGC,10.47,10.47,10.47,10.47,100.0
2023-04-10,HHGC,10.48,10.49,10.48,10.49,1500.0
2023-04-11,HHGC,10.49,10.49,10.49,10.49,100.0
2023-04-13,HHGC,10.49,10.49,10.49,10.49,1400.0
2023-04-19,HHGC,10.65,10.65,10.649,10.65,1303.0
2023-04-20,HHGC,10.56,10.56,10.46,10.46,1989.0
2023-04-21,HHGC,10.46,10.52,10.46,10.52,4044.0
2023-04-24,HHGC,10.54,10.54,10.52,10.52,3707.0
2023-04-25,HHGC,10.52,10.55,10.51,10.52,2525.0
2023-04-27,HHGC,10.5,10.5,10.5,10.5,1254.0
2023-04-28,HHGC,10.48,10.48,10.45,10.45,815.0
2023-05-02,HHGC,10.455,10.455,10.455,10.455,280.0
2023-05-09,HHGC,10.46,10.47,10.45,10.47,2700.0
2023-05-16,HHGC,10.5,10.5,10.5,10.5,307.0
2023-05-17,HHGC,10.5,10.5,10.5,10.5,5291.0
2023-05-18,HHGC,10.49,10.5,10.49,10.5,5712.0
2023-05-22,HHGC,10.5,10.57,10.5,10.57,15400.0
2023-05-25,HHGC,10.5,10.5,10.5,10.5,3605.0
2023-05-31,HHGC,10.5,10.5,10.5,10.5,110.0
2023-06-01,HHGC,10.5,10.5,10.5,10.5,6200.0
2023-06-05,HHGC,10.5,10.5,10.47,10.47,1405.0
2023-06-06,HHGC,10.49,10.51,10.47,10.51,9405.0
2023-06-07,HHGC,10.51,10.6,10.51,10.6,14019.0
2023-06-14,HHGC,10.555,10.555,10.51,10.5113,5613.0
2023-06-21,HHGC,10.53,10.53,10.52,10.52,5000.0
2023-06-23,HHGC,10.61,10.61,10.61,10.61,100.0
2023-06-29,HHGC,10.55,10.56,10.55,10.56,1115.0
2023-07-07,HHGC,10.54,10.54,10.52,10.52,10376.0
