Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HHGCU,11.14,11.29,10.8,10.8,601
2022-11-11,HHGCU,11.7,11.85,10.62,10.76,6600
2022-11-14,HHGCU,10.79,11.76,10.5,10.52,13880
2022-11-15,HHGCU,11.03,11.031,10.18,10.18,7017
2022-11-16,HHGCU,10.2,10.22,10.2,10.22,220
2022-11-17,HHGCU,10.25,10.3,10.25,10.25,412
2022-11-18,HHGCU,10.27,10.35,10.27,10.35,1339
2022-11-21,HHGCU,10.67,10.67,10.21,10.5,985
2022-11-23,HHGCU,10.69,11.19,10.28,10.29,2603
2022-11-28,HHGCU,11.16,11.31,10.28,10.3,3095
2022-11-29,HHGCU,10.37,10.37,10.28,10.28,6109
2022-12-01,HHGCU,10.45,11.2501,10.2,10.29,3245
2022-12-02,HHGCU,10.48,11.1014,10.23,10.33,7701
2022-12-05,HHGCU,10.8,11.3,10.25,10.275,3034
2022-12-06,HHGCU,10.28,10.28,10.28,10.28,200
2022-12-07,HHGCU,10.35,10.35,10.25,10.25,1700
2022-12-08,HHGCU,10.26,10.26,10.25,10.25,758
2022-12-09,HHGCU,10.25,10.28,10.25,10.25,1206
2022-12-12,HHGCU,10.25,10.26,10.25,10.26,513
2022-12-14,HHGCU,10.25,10.25,10.25,10.25,358
2022-12-15,HHGCU,10.25,10.25,10.25,10.25,996
2022-12-22,HHGCU,10.25,10.25,10.25,10.25,399
2023-01-03,HHGCU,10.215,10.215,10.215,10.215,120
2023-01-05,HHGCU,10.21,10.2113,10.21,10.2113,315
2023-01-06,HHGCU,10.2799,10.35,10.015,10.35,12837
2023-01-17,HHGCU,10.38,10.38,10.38,10.38,100
2023-01-18,HHGCU,10.39,10.39,10.39,10.39,100
2023-01-30,HHGCU,10.39,10.95,10.39,10.42,5366
2023-02-21,HHGCU,10.6,10.6,10.6,10.6,969
2023-02-24,HHGCU,10.55,10.55,10.55,10.55,100
2023-03-03,HHGCU,10.57,10.696,10.55,10.55,1700
2023-03-13,HHGCU,10.62,10.62,10.62,10.62,100
2023-03-14,HHGCU,10.58,10.58,10.58,10.58,100
2023-03-16,HHGCU,10.7,10.7,10.67,10.67,600
2023-04-13,HHGCU,11.2,11.2,10.96,10.96,201
2023-04-14,HHGCU,10.29,10.83,10.17,10.83,1900
2023-04-17,HHGCU,11.89,11.89,10.72,11.1,4000
2023-04-18,HHGCU,11.64,12.01,11.47,12.01,400
2023-04-19,HHGCU,12.0,12.0,10.86,11.09,4104
2023-04-20,HHGCU,11.85,12.0,10.62,10.62,5856
2023-04-21,HHGCU,10.63,11.63,10.63,11.09,1700
2023-04-24,HHGCU,12.06,12.06,10.99,10.99,1000
2023-04-25,HHGCU,11.88,11.88,10.77,10.92,5853
2023-04-26,HHGCU,11.9,11.9,10.8,10.88,2250
2023-04-27,HHGCU,10.22,10.31,10.19,10.19,880
2023-04-28,HHGCU,10.57,10.63,10.56,10.63,2250
2023-05-01,HHGCU,10.86,10.86,10.53,10.53,600
2023-05-02,HHGCU,11.85,11.85,10.67,10.8201,1451
2023-05-03,HHGCU,11.37,11.9,10.74,10.85,3400
2023-05-05,HHGCU,10.9,11.93,10.88,10.88,1750
2023-05-09,HHGCU,10.63,10.65,10.63,10.65,450
2023-05-10,HHGCU,11.55,11.55,10.8,10.8,501
2023-05-15,HHGCU,11.87,11.87,10.84,10.87,1403
2023-05-16,HHGCU,10.8,10.8,10.61,10.61,300
2023-05-19,HHGCU,11.66,11.66,10.6,10.62,407
2023-05-23,HHGCU,10.76,10.7601,10.76,10.7601,200
2023-05-25,HHGCU,10.81,10.81,10.51,10.66,6905
2023-05-31,HHGCU,11.14,11.14,11.14,11.14,100
2023-07-14,HHGCU,10.71,10.71,10.71,10.71,130
2023-07-19,HHGCU,10.99,11.5,10.99,11.49,1620
2023-07-25,HHGCU,11.2,14.46,11.2,13.8,9667
2023-07-26,HHGCU,11.06,11.06,11.06,11.06,329
2023-07-27,HHGCU,11.23,11.23,11.04,11.04,222
2023-07-28,HHGCU,12.17,12.8,11.61,11.61,2441
2023-07-31,HHGCU,11.33,11.33,11.33,11.33,132
2023-08-02,HHGCU,11.01,11.01,11.01,11.01,132
2023-09-26,HHGCU,12.5,12.5,12.49,12.5,474
2023-10-25,HHGCU,11.39,11.5,11.24,11.45,30300
2023-10-27,HHGCU,11.4,11.5,11.4,11.5,50054
2023-10-30,HHGCU,11.45,11.45,11.45,11.45,9259
2023-11-03,HHGCU,11.44,11.45,11.44,11.45,20603
2023-12-07,HHGCU,11.2,11.3,11.2,11.3,89800
2024-03-20,HHGCU,11.3,11.4,11.3,11.4,429
2024-05-20,HHGCU,12.12,13.49,12.12,12.25,3969
2024-05-23,HHGCU,11.35,11.35,11.35,11.35,524
2024-05-31,HHGCU,12.47,12.47,12.47,12.47,143
2024-06-10,HHGCU,12.66,15.66,12.12,13.0,9107
2024-06-12,HHGCU,13.12,14.4,12.14,12.14,2182
2024-06-13,HHGCU,13.78,14.45,12.99,12.99,1534
2024-06-14,HHGCU,13.8,13.8,12.98,12.98,1736
2024-06-17,HHGCU,11.9,11.9,11.63,11.63,529
2024-06-26,HHGCU,12.5,12.5,11.5,11.5,231
2024-07-03,HHGCU,11.5,11.5,11.5,11.5,197
2024-07-08,HHGCU,11.5,11.5,11.5,11.5,295
2024-07-15,HHGCU,11.5,11.5,11.5,11.5,412
2024-07-25,HHGCU,11.33,11.33,11.33,11.33,200
2024-07-29,HHGCU,11.65,11.65,11.65,11.65,199
2024-08-02,HHGCU,11.75,11.75,11.75,11.75,100
2024-08-19,HHGCU,11.5,11.5,11.5,11.5,695
