Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HLNE,69.02,73.13,68.78,72.7,235879.0
2022-11-11,HLNE,72.95,76.99,72.9085,76.12,265584.0
2022-11-14,HLNE,74.75,75.3119,72.54,72.57,252999.0
2022-11-15,HLNE,74.19,75.57,73.7,73.9,191774.0
2022-11-16,HLNE,73.25,74.59,72.8,74.32,206988.0
2022-11-17,HLNE,72.91,73.9,72.33,73.02,158302.0
2022-11-18,HLNE,74.52,76.03,71.99,73.65,170793.0
2022-11-21,HLNE,73.3,75.67,72.38,73.69,199643.0
2022-11-22,HLNE,73.95,75.28,73.53,74.77,263310.0
2022-11-23,HLNE,74.53,75.39,73.855,74.31,100786.0
2022-11-25,HLNE,73.86,75.36,73.86,74.42,99810.0
2022-11-28,HLNE,73.67,74.525,72.9496,73.25,136096.0
2022-11-29,HLNE,73.41,74.055,72.5745,72.71,110283.0
2022-11-30,HLNE,73.13,74.13,70.59,73.88,435089.0
2022-12-01,HLNE,74.38,74.8325,72.57,72.87,239291.0
2022-12-02,HLNE,72.06,74.07,71.4201,72.83,160173.0
2022-12-05,HLNE,72.35,72.35,70.51,70.63,146062.0
2022-12-06,HLNE,70.4,70.55,69.07,69.37,160339.0
2022-12-07,HLNE,69.27,72.01,68.64,68.95,178056.0
2022-12-08,HLNE,69.51,70.29,68.67,70.06,159060.0
2022-12-09,HLNE,69.55,70.455,68.8129,69.9,142241.0
2022-12-12,HLNE,70.15,71.65,69.795,71.26,171496.0
2022-12-13,HLNE,73.98,74.855,71.57,72.82,215599.0
2022-12-14,HLNE,72.01,73.76,71.51,71.8,207879.0
2022-12-15,HLNE,70.53,73.11,69.46,69.83,216483.0
2022-12-16,HLNE,68.69,69.785,66.02,67.31,427778.0
2022-12-19,HLNE,67.17,67.883,65.61,65.66,177950.0
2022-12-20,HLNE,65.57,67.32,64.51,66.64,150512.0
2022-12-21,HLNE,67.2,68.03,66.055,67.59,181127.0
2022-12-22,HLNE,66.89,66.89,65.23,65.77,125345.0
2022-12-23,HLNE,65.72,66.04,62.77,65.54,155974.0
2022-12-27,HLNE,65.92,67.1,64.27,64.95,121067.0
2022-12-28,HLNE,65.0,65.76,63.31,63.62,155578.0
2022-12-29,HLNE,64.26,64.915,62.96,64.32,206108.0
2022-12-30,HLNE,63.84,64.005,62.55,63.88,182421.0
2023-01-03,HLNE,64.7,65.62,63.56,64.94,227725.0
2023-01-04,HLNE,65.65,66.53,63.96,65.68,236396.0
2023-01-05,HLNE,65.18,66.21,64.11,64.25,117849.0
2023-01-06,HLNE,65.16,65.9332,64.38,65.6,111588.0
2023-01-09,HLNE,66.01,68.2089,65.29,66.89,174759.0
2023-01-10,HLNE,66.86,68.52,66.84,68.52,117782.0
2023-01-11,HLNE,69.3,70.76,68.9,70.69,149003.0
2023-01-12,HLNE,71.32,72.49,69.725,72.38,172823.0
2023-01-13,HLNE,71.49,73.94,71.17,73.36,138900.0
2023-01-17,HLNE,72.91,73.63,71.815,73.13,174893.0
2023-01-18,HLNE,73.4,74.64,72.33,72.42,117207.0
2023-01-19,HLNE,71.72,72.07,70.625,71.79,149563.0
2023-01-20,HLNE,72.59,74.82,71.81,73.58,205752.0
2023-01-23,HLNE,73.78,75.59,73.26,75.0,188387.0
2023-01-24,HLNE,74.78,75.932,74.3,75.07,140547.0
2023-01-25,HLNE,74.28,75.0979,73.406,74.86,166786.0
2023-01-26,HLNE,75.51,75.975,74.44,75.95,220633.0
2023-01-27,HLNE,75.76,77.8,75.76,77.19,154284.0
2023-01-30,HLNE,76.45,77.8498,76.34,76.9,123019.0
2023-01-31,HLNE,77.08,78.42,76.98,77.86,178671.0
2023-02-01,HLNE,77.49,79.65,76.8,78.62,145997.0
2023-02-02,HLNE,79.37,80.885,78.93,79.55,145249.0
2023-02-03,HLNE,78.24,79.94,78.24,79.87,157063.0
2023-02-06,HLNE,79.02,80.43,78.45,78.61,333456.0
2023-02-07,HLNE,72.73,78.49,72.73,77.46,407025.0
2023-02-08,HLNE,77.41,78.47,76.7,78.12,231429.0
2023-02-09,HLNE,78.76,79.04,75.66,75.91,173709.0
2023-02-10,HLNE,75.62,77.51,75.165,77.21,190639.0
2023-02-13,HLNE,77.69,79.57,77.27,79.17,156661.0
2023-02-14,HLNE,78.69,80.02,78.38,79.78,136085.0
2023-02-15,HLNE,79.29,80.97,78.7496,80.75,121081.0
2023-02-16,HLNE,79.88,81.23,78.105,80.52,150584.0
2023-02-17,HLNE,80.61,81.14,79.742,80.95,128739.0
2023-02-21,HLNE,79.72,80.775,78.245,78.95,293007.0
2023-02-22,HLNE,79.06,79.57,77.03,77.59,180432.0
2023-02-23,HLNE,78.13,78.62,77.15,78.14,92923.0
2023-02-24,HLNE,77.1,77.89,76.515,77.49,85775.0
2023-02-27,HLNE,78.2,79.23,77.77,78.0,104762.0
2023-02-28,HLNE,77.9,78.895,77.325,77.8,160935.0
2023-03-01,HLNE,77.76,78.57,77.39,77.64,130092.0
2023-03-02,HLNE,77.06,77.47,76.43,77.29,82129.0
2023-03-03,HLNE,77.9,78.3,77.49,77.54,107556.0
2023-03-06,HLNE,77.48,78.93,76.885,77.94,143838.0
2023-03-07,HLNE,76.95,76.95,75.42,75.96,356275.0
2023-03-08,HLNE,76.14,77.88,76.04,77.5,220691.0
2023-03-09,HLNE,77.37,77.53,73.1869,73.29,188428.0
2023-03-10,HLNE,72.91,72.91,65.21,65.44,875248.0
2023-03-13,HLNE,64.25,67.11,62.47,64.76,550278.0
2023-03-14,HLNE,67.26,67.95,64.88,65.63,556273.0
2023-03-15,HLNE,66.12,67.21,64.89,66.75,408071.0
2023-03-16,HLNE,65.91,69.45,65.71,68.81,281015.0
2023-03-17,HLNE,67.98,69.5,67.23,68.86,531435.0
2023-03-20,HLNE,69.38,70.7,68.3,69.13,212439.0
2023-03-21,HLNE,70.15,71.91,69.105,71.27,121396.0
2023-03-22,HLNE,71.17,71.8,69.58,69.87,198554.0
2023-03-23,HLNE,70.14,71.72,70.015,71.17,219318.0
2023-03-24,HLNE,70.43,71.38,69.45,71.14,147199.0
2023-03-27,HLNE,72.1,72.59,71.24,71.79,110505.0
2023-03-28,HLNE,71.51,71.91,70.85,71.69,88674.0
2023-03-29,HLNE,72.36,72.93,70.96,71.53,97870.0
2023-03-30,HLNE,72.23,72.69,71.15,71.35,149885.0
2023-03-31,HLNE,72.03,74.27,71.675,73.98,221242.0
2023-04-03,HLNE,73.59,74.64,71.67,72.28,237175.0
2023-04-04,HLNE,72.25,72.7675,70.4,70.65,184002.0
2023-04-05,HLNE,70.25,70.876,69.72,70.73,212722.0
2023-04-06,HLNE,70.75,71.535,70.0,70.87,139696.0
2023-04-10,HLNE,70.46,71.5099,70.29,70.58,261973.0
2023-04-11,HLNE,71.05,72.47,70.46,71.66,171329.0
2023-04-12,HLNE,72.29,73.17,71.61,71.76,129117.0
2023-04-13,HLNE,72.2,73.0,71.885,72.49,153127.0
2023-04-14,HLNE,72.68,73.28,71.32,71.95,133129.0
2023-04-17,HLNE,71.66,72.45,71.31,72.18,132951.0
2023-04-18,HLNE,72.35,73.93,72.32,73.93,270642.0
2023-04-19,HLNE,73.7,75.41,73.475,74.44,189285.0
2023-04-20,HLNE,73.99,73.99,72.325,73.12,200436.0
2023-04-21,HLNE,72.97,74.18,72.31,73.85,202362.0
2023-04-24,HLNE,73.74,74.51,73.26,73.83,102702.0
2023-04-25,HLNE,73.39,73.52,72.595,73.08,176834.0
2023-04-26,HLNE,72.53,73.41,71.17,71.92,161672.0
2023-04-27,HLNE,72.33,72.77,71.35,72.77,161345.0
2023-04-28,HLNE,72.65,73.95,72.3,73.68,194345.0
2023-05-01,HLNE,73.65,74.775,72.2,72.5,122938.0
2023-05-02,HLNE,72.15,72.15,69.71,71.18,121434.0
2023-05-03,HLNE,71.23,72.09,69.74,70.02,123890.0
2023-05-04,HLNE,69.43,69.43,66.16,66.5,260715.0
2023-05-05,HLNE,67.62,67.88,66.57,67.3,206252.0
2023-05-08,HLNE,67.31,67.51,65.75,66.6,186416.0
2023-05-09,HLNE,66.4,67.085,65.58,66.71,67577.0
2023-05-10,HLNE,67.71,67.86,66.03,66.4,113600.0
2023-05-11,HLNE,65.99,65.99,64.55,64.6,142659.0
2023-05-12,HLNE,64.98,65.58,63.8,64.19,105851.0
2023-05-15,HLNE,64.35,66.32,64.35,65.81,190744.0
2023-05-16,HLNE,65.4,65.4,63.98,64.48,140114.0
2023-05-17,HLNE,64.99,66.75,63.94,66.41,298661.0
2023-05-18,HLNE,66.26,67.835,65.62,67.42,297544.0
2023-05-19,HLNE,68.3,68.4,66.98,67.31,185217.0
2023-05-22,HLNE,67.39,69.35,67.13,68.97,270211.0
2023-05-23,HLNE,68.75,69.34,67.3,67.85,245938.0
2023-05-24,HLNE,67.4,67.5,65.9,66.61,249481.0
2023-05-25,HLNE,66.0,67.67,62.86,65.87,306931.0
2023-05-26,HLNE,67.4,67.4,64.9,66.15,204961.0
2023-05-30,HLNE,66.55,67.46,66.24,67.09,185195.0
2023-05-31,HLNE,67.08,68.05,66.44,67.91,424127.0
2023-06-01,HLNE,68.05,70.23,66.185,69.9,296965.0
2023-06-02,HLNE,70.67,72.55,70.67,71.76,245654.0
2023-06-05,HLNE,71.24,71.42,70.08,71.15,146164.0
2023-06-06,HLNE,71.4,74.69,70.77,74.51,236671.0
2023-06-07,HLNE,74.57,76.5,74.03,76.31,321487.0
2023-06-08,HLNE,75.86,76.81,75.11,76.45,286282.0
2023-06-09,HLNE,76.34,76.94,75.23,75.45,160690.0
2023-06-12,HLNE,75.37,76.129,74.49,75.36,237369.0
2023-06-13,HLNE,75.57,77.18,75.23,76.36,268419.0
2023-06-14,HLNE,76.04,77.9075,75.87,76.85,273375.0
2023-06-15,HLNE,76.31,78.92,76.09,78.77,180570.0
2023-06-16,HLNE,79.58,79.58,77.51,77.87,248297.0
2023-06-20,HLNE,77.23,78.6,76.65,77.53,133234.0
2023-06-21,HLNE,77.03,78.38,76.77,77.79,218705.0
2023-06-22,HLNE,77.46,77.46,75.865,77.2,249395.0
2023-06-23,HLNE,76.42,77.27,75.31,75.61,726475.0
2023-06-26,HLNE,75.3,76.9,75.3,76.07,163581.0
2023-06-27,HLNE,76.51,77.85,75.54,77.5,198130.0
2023-06-28,HLNE,77.78,78.15,76.94,77.75,165321.0
2023-06-29,HLNE,77.88,79.98,77.55,79.67,170721.0
2023-06-30,HLNE,80.11,80.78,79.64,79.98,126631.0
2023-07-03,HLNE,80.05,80.37,79.37,79.81,78672.0
2023-07-05,HLNE,79.6,79.65,78.57,78.83,110822.0
2023-07-06,HLNE,77.85,78.11,76.47,78.05,114372.0
2023-07-07,HLNE,78.19,79.0399,78.07,78.22,157630.0
2023-07-10,HLNE,78.16,79.56,78.16,78.56,101807.0
2023-07-11,HLNE,79.16,81.05,78.62,80.85,167500.0
2023-07-12,HLNE,82.35,83.075,81.95,82.3,126875.0
2023-07-13,HLNE,82.59,84.83,82.54,84.69,101142.0
2023-07-14,HLNE,84.48,84.6376,83.08,84.15,109093.0
2023-07-17,HLNE,83.71,86.28,83.71,85.94,196144.0
2023-07-18,HLNE,86.22,87.07,85.23,86.11,368309.0
2023-07-19,HLNE,86.15,88.26,86.15,87.02,211950.0
2023-07-20,HLNE,85.92,87.255,85.92,86.95,120713.0
2023-07-21,HLNE,87.6,88.24,86.36,86.44,118228.0
