Date,Ticker,Open,High,Low,Close,Volume
2024-03-18,HPH,9.12,9.49,7.0,8.86,6276.0
2024-03-19,HPH,8.52,9.0,8.5,8.79,3231.0
2024-03-20,HPH,8.5,8.7,8.5,8.7,1459.0
2024-03-21,HPH,8.5,8.5,8.33,8.49,4043.0
2024-03-22,HPH,8.35,8.64,8.35,8.64,1232.0
2024-03-25,HPH,8.65,8.87,8.5,8.87,1173.0
2024-03-26,HPH,8.795,8.795,8.62,8.68,1590.0
2024-03-28,HPH,8.67,10.06,8.62,9.235,11022.0
2024-04-01,HPH,9.42,9.42,7.55,9.02,12996.0
2024-04-02,HPH,8.27,9.5,8.27,9.225,4694.0
2024-04-04,HPH,9.5,9.5,8.5,8.81,4910.0
2024-04-08,HPH,8.85,8.85,8.81,8.81,370.0
2024-04-10,HPH,8.81,8.81,8.81,8.81,101.0
2024-04-12,HPH,9.26,9.26,9.26,9.26,226.0
2024-04-15,HPH,9.26,9.26,8.88,9.0,3441.0
2024-04-16,HPH,9.19,9.28,9.19,9.28,4421.0
2024-04-17,HPH,9.49,9.49,9.0,9.0547,1924.0
2024-04-18,HPH,8.51,8.56,8.025,8.56,1216.0
2024-04-19,HPH,8.9699,8.9699,8.58,8.765,1756.0
2024-04-22,HPH,9.0,9.19,9.0,9.18,637.0
2024-04-23,HPH,9.18,9.18,9.04,9.179,1275.0
2024-04-24,HPH,9.06,9.06,8.5,8.92,6908.0
2024-04-25,HPH,8.7,8.9999,8.7,8.9999,472.0
2024-04-26,HPH,9.0,9.0,8.03,8.8,11086.0
2024-04-29,HPH,8.9,8.9,8.5,8.8,1204.0
2024-04-30,HPH,8.11,8.82,7.55,8.82,5381.0
2024-05-01,HPH,8.79,8.92,8.79,8.8501,3293.0
2024-05-02,HPH,8.86,8.86,8.86,8.86,392.0
2024-05-03,HPH,8.7,8.7,8.7,8.7,272.0
2024-05-06,HPH,8.9797,8.99,8.965,8.965,1712.0
2024-05-07,HPH,8.4,9.2,8.39,9.0,8314.0
2024-05-08,HPH,9.0,9.3,8.95,9.1,4266.0
2024-05-09,HPH,9.125,9.125,8.9499,8.9499,1224.0
2024-05-10,HPH,8.95,9.2,8.9,9.04,3611.0
2024-05-13,HPH,9.198,9.25,8.832,8.94,10331.0
2024-05-14,HPH,9.0,9.0,8.899,8.9,2209.0
2024-05-15,HPH,8.949,8.95,8.15,8.85,1838.0
2024-05-16,HPH,8.325,9.0,8.15,9.0,4285.0
2024-05-17,HPH,8.8,9.0,8.32,9.0,2403.0
2024-05-20,HPH,9.0,9.05,8.55,9.05,3674.0
2024-05-21,HPH,8.99,9.05,8.99,9.0,3845.0
2024-05-22,HPH,9.061,9.061,9.03,9.05,661.0
2024-05-23,HPH,9.0,9.05,9.0,9.05,912.0
2024-05-24,HPH,9.0,9.3,9.0,9.3,1892.0
2024-05-28,HPH,8.82,9.29,8.82,9.29,943.0
2024-05-29,HPH,9.25,9.3,8.81,9.28,3053.0
2024-05-30,HPH,9.27,9.27,9.27,9.27,251.0
2024-05-31,HPH,8.685,9.28,8.36,8.63,12119.0
2024-06-03,HPH,8.99,9.1,8.54,8.73,10500.0
2024-06-04,HPH,8.73,8.785,8.445,8.69,8130.0
2024-06-05,HPH,9.275,9.275,8.7,8.82,14908.0
2024-06-06,HPH,9.1735,9.1735,8.6,8.85,10918.0
2024-06-07,HPH,8.0,8.9,8.0,8.89,6746.0
2024-06-10,HPH,8.61,9.1,8.59,8.79,6652.0
2024-06-11,HPH,8.51,8.755,8.51,8.55,2125.0
2024-06-12,HPH,8.5,8.855,8.3,8.33,7663.0
2024-06-13,HPH,8.555,8.99,8.0,8.95,28090.0
2024-06-14,HPH,8.94,8.94,8.44,8.71,7082.0
2024-06-17,HPH,8.52,8.6,7.965,8.178,46827.0
2024-06-18,HPH,8.0,8.7899,7.39,7.75,15203.0
2024-06-20,HPH,7.5,7.5,6.9,7.44,27079.0
2024-06-21,HPH,7.99,8.22,7.12,8.199,27070.0
2024-06-24,HPH,8.38,8.89,7.6,7.92,13074.0
2024-06-25,HPH,7.9,7.9,7.02,7.02,19005.0
2024-06-26,HPH,7.3,7.5,6.06,6.99,24476.0
2024-06-27,HPH,7.25,7.7991,6.63,6.75,10494.0
2024-06-28,HPH,6.7,7.2633,6.02,6.6788,36701.0
2024-07-01,HPH,6.89,7.1,6.4,6.65,22587.0
2024-07-02,HPH,6.555,7.0,6.1,6.55,26609.0
2024-07-03,HPH,6.85,6.85,6.2,6.35,22253.0
2024-07-05,HPH,6.5,7.1872,6.125,6.4,43557.0
2024-07-08,HPH,6.35,6.475,6.0,6.15,21704.0
2024-07-09,HPH,6.13,6.18,5.83,5.85,4984.0
2024-07-10,HPH,6.05,6.49,5.9,5.9,34939.0
2024-07-11,HPH,5.93,6.41,5.89,5.9,28500.0
2024-07-12,HPH,5.9,6.34,5.78,5.78,16920.0
2024-07-15,HPH,5.72,6.29,5.62,6.0,47275.0
2024-07-16,HPH,5.84,6.1,5.805,5.91,20490.0
2024-07-17,HPH,6.16,6.16,5.75,5.75,20639.0
2024-07-18,HPH,5.73,5.97,5.67,5.71,22516.0
2024-07-19,HPH,5.61,5.86,5.61,5.84,9234.0
2024-07-22,HPH,5.77,5.85,5.59,5.75,19333.0
2024-07-23,HPH,5.65,5.83,5.52,5.52,14759.0
2024-07-24,HPH,5.66,5.82,5.07,5.07,28493.0
2024-07-25,HPH,5.22,5.88,5.08,5.2,34646.0
2024-07-26,HPH,5.07,5.38,5.02,5.2,35655.0
2024-07-29,HPH,5.31,5.31,5.06,5.18,24109.0
2024-07-30,HPH,5.15,5.28,4.6,4.8,37732.0
2024-07-31,HPH,4.66,4.7,4.31,4.3477,18258.0
2024-08-01,HPH,4.18,4.24,3.85,4.0,20805.0
2024-08-02,HPH,3.8,3.8,3.425,3.55,31740.0
2024-08-05,HPH,3.4,3.538,3.035,3.06,21819.0
2024-08-06,HPH,3.1,3.1,2.92,2.92,28599.0
2024-08-07,HPH,2.9,3.1,2.7321,2.74,22130.0
2024-08-08,HPH,2.7,2.85,2.47,2.5,16921.0
2024-08-09,HPH,2.41,2.5,2.17,2.1985,18949.0
2024-08-12,HPH,2.15,2.16,1.89,1.9,17055.0
2024-08-13,HPH,2.06,2.3681,1.9,1.95,8586.0
2024-08-14,HPH,1.95,1.9999,1.7,1.7,17224.0
2024-08-15,HPH,1.79,2.09,1.79,1.94,19289.0
2024-08-16,HPH,2.065,2.15,1.76,2.05,22377.0
2024-08-19,HPH,2.16,3.45,2.0599,2.46,273214.0
2024-08-20,HPH,2.43,2.9,2.4,2.49,48109.0
2024-08-21,HPH,2.52,2.52,2.1,2.1389,115830.0
2024-08-22,HPH,2.2,2.2,1.84,1.98,28032.0
2024-08-23,HPH,2.07,2.07,1.9597,2.03,15609.0
2024-08-26,HPH,2.0492,2.0492,1.9118,1.9599,6297.0
2024-08-27,HPH,1.95,1.97,1.81,1.9,12031.0
2024-08-28,HPH,1.92,1.92,1.7615,1.81,6512.0
2024-08-29,HPH,1.94,1.99,1.82,1.82,9796.0
2024-08-30,HPH,1.94,1.9638,1.84,1.8772,7647.0
2024-09-03,HPH,1.87,2.0,1.85,1.98,24671.0
2024-09-04,HPH,2.04,2.0499,1.25,1.56,99387.0
2024-09-05,HPH,1.61,1.67,1.54,1.57,5088.0
2024-09-06,HPH,1.5441,1.565,1.4,1.49,17508.0
2024-09-09,HPH,1.48,1.49,1.35,1.43,12551.0
2024-09-10,HPH,1.48,1.55,1.25,1.25,13873.0
