Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HQY,75.85,75.85,65.34,65.87,1899392.0
2022-11-11,HQY,65.88,66.045,62.89,64.15,1641427.0
2022-11-14,HQY,64.41,65.14,63.08,63.45,685904.0
2022-11-15,HQY,63.66,63.66,60.77,61.12,1623219.0
2022-11-16,HQY,61.23,61.62,57.54,57.65,1177800.0
2022-11-17,HQY,57.69,61.32,57.38,60.7,1188674.0
2022-11-18,HQY,61.46,63.31,60.6,61.63,733436.0
2022-11-21,HQY,61.12,63.245,61.02,62.91,662032.0
2022-11-22,HQY,62.88,65.27,62.6,63.82,856929.0
2022-11-23,HQY,63.87,64.64,61.58,61.72,621563.0
2022-11-25,HQY,61.8,63.0,61.5,62.51,201568.0
2022-11-28,HQY,62.52,63.32,61.8,62.41,905787.0
2022-11-29,HQY,62.49,63.26,61.98,62.74,440679.0
2022-11-30,HQY,63.11,64.69,62.87,63.48,1149844.0
2022-12-01,HQY,63.31,63.815,62.21,63.27,962444.0
2022-12-02,HQY,63.0,65.945,63.0,65.52,811224.0
2022-12-05,HQY,66.16,68.02,65.0,67.73,1339658.0
2022-12-06,HQY,67.11,67.11,64.48,65.67,1538509.0
2022-12-07,HQY,64.8,69.99,64.8,66.14,1278360.0
2022-12-08,HQY,66.24,66.88,64.2,64.65,925581.0
2022-12-09,HQY,64.87,64.87,62.13,62.52,825609.0
2022-12-12,HQY,63.28,63.845,60.92,63.0,875852.0
2022-12-13,HQY,62.0,62.0,59.05,60.49,1763844.0
2022-12-14,HQY,60.53,64.23,60.53,63.04,1344268.0
2022-12-15,HQY,63.04,63.15,60.32,61.87,1231302.0
2022-12-16,HQY,61.67,62.23,59.805,60.67,1709256.0
2022-12-19,HQY,60.23,62.855,60.23,61.89,654455.0
2022-12-20,HQY,61.89,63.22,61.4,62.16,546471.0
2022-12-21,HQY,62.83,63.08,61.39,61.77,647738.0
2022-12-22,HQY,62.37,62.92,59.97,60.83,525978.0
2022-12-23,HQY,60.8,61.97,60.49,61.62,502157.0
2022-12-27,HQY,61.73,62.52,61.01,61.66,366774.0
2022-12-28,HQY,61.5,61.97,60.55,61.45,403344.0
2022-12-29,HQY,61.73,62.1465,60.92,61.01,301666.0
2022-12-30,HQY,60.91,61.695,60.42,61.64,370588.0
2023-01-03,HQY,61.45,61.78,59.31,60.7,615298.0
2023-01-04,HQY,60.66,61.14,60.035,60.37,448870.0
2023-01-05,HQY,60.17,61.35,59.81,61.07,657550.0
2023-01-06,HQY,61.28,61.34,60.08,60.51,455190.0
2023-01-09,HQY,60.93,61.7,57.81,57.93,1014747.0
2023-01-10,HQY,58.08,58.755,56.84,57.48,612782.0
2023-01-11,HQY,57.43,57.98,56.2,56.71,984366.0
2023-01-12,HQY,56.54,58.44,55.6,58.42,934848.0
2023-01-13,HQY,58.5,60.585,58.28,59.87,734431.0
2023-01-17,HQY,59.57,60.8,59.25,60.55,608470.0
2023-01-18,HQY,60.38,60.94,58.62,58.66,642693.0
2023-01-19,HQY,58.79,59.22,58.02,58.04,365638.0
2023-01-20,HQY,58.26,59.0,57.0367,57.41,678089.0
2023-01-23,HQY,57.58,58.07,56.12,56.64,914895.0
2023-01-24,HQY,57.4,57.6,56.04,57.13,1057876.0
2023-01-25,HQY,57.21,59.073,57.16,58.93,662406.0
2023-01-26,HQY,59.07,60.1399,58.945,59.21,651072.0
2023-01-27,HQY,59.29,60.32,58.88,60.31,534893.0
2023-01-30,HQY,60.46,61.43,59.19,59.26,360338.0
2023-01-31,HQY,59.43,61.16,59.43,60.85,595108.0
2023-02-01,HQY,60.72,61.5,58.875,58.99,1148834.0
2023-02-02,HQY,58.27,59.09,55.52,58.9,2124946.0
2023-02-03,HQY,59.33,60.34,58.24,60.04,873002.0
2023-02-06,HQY,60.04,62.62,59.42,60.75,1143419.0
2023-02-07,HQY,60.85,62.45,60.675,62.42,884233.0
2023-02-08,HQY,62.59,63.56,62.17,62.19,611416.0
2023-02-09,HQY,61.82,61.82,60.3,60.33,532259.0
2023-02-10,HQY,60.81,63.08,60.5,62.95,716948.0
2023-02-13,HQY,62.71,63.16,61.75,63.13,629521.0
2023-02-14,HQY,63.04,65.25,62.56,63.6,832759.0
2023-02-15,HQY,62.81,65.9275,62.61,65.69,640490.0
2023-02-16,HQY,65.86,67.36,65.48,66.1,784398.0
2023-02-17,HQY,66.23,66.8,65.175,66.07,489640.0
2023-02-21,HQY,66.2,66.445,65.12,65.65,750887.0
2023-02-22,HQY,66.79,67.356,65.26,65.3,523317.0
2023-02-23,HQY,65.24,65.925,64.46,65.27,503722.0
2023-02-24,HQY,65.03,65.995,64.27,64.67,643413.0
2023-02-27,HQY,64.61,65.42,64.02,65.2,513746.0
2023-02-28,HQY,65.4,66.196,65.13,65.17,388835.0
2023-03-01,HQY,64.91,66.13,64.89,65.39,542166.0
2023-03-02,HQY,65.16,66.32,64.81,66.16,340909.0
2023-03-03,HQY,65.98,66.225,65.34,65.96,478921.0
2023-03-06,HQY,65.81,66.59,65.43,66.0,420581.0
2023-03-07,HQY,66.04,67.86,66.04,67.41,870717.0
2023-03-08,HQY,67.35,68.83,66.3101,66.96,999580.0
2023-03-09,HQY,66.96,68.05,66.14,66.49,790954.0
2023-03-10,HQY,65.91,65.94,60.26,61.68,1473743.0
2023-03-13,HQY,58.6,59.74,52.27,52.44,2766612.0
2023-03-14,HQY,54.82,57.87,54.365,57.7,2354131.0
2023-03-15,HQY,56.67,56.77,53.66,55.76,1042177.0
2023-03-16,HQY,54.35,59.21,54.15,59.0,1141865.0
2023-03-17,HQY,58.93,58.93,55.462,55.83,1357039.0
2023-03-20,HQY,55.9,57.63,55.9,56.67,603756.0
2023-03-21,HQY,57.59,59.04,57.43,58.26,859319.0
2023-03-22,HQY,59.76,59.92,57.1,57.14,1342384.0
2023-03-23,HQY,57.26,58.91,56.79,57.68,776604.0
2023-03-24,HQY,56.91,56.98,54.04,56.02,799586.0
2023-03-27,HQY,57.14,58.495,57.04,57.69,455926.0
2023-03-28,HQY,57.27,58.18,57.07,57.47,772335.0
2023-03-29,HQY,58.1,58.92,57.5425,58.31,594129.0
