Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HSTM,25.85,26.44,25.85,26.17,147122
2022-11-11,HSTM,26.41,26.62,24.69,25.02,680860
2022-11-14,HSTM,25.1,25.63,24.745,25.33,134235
2022-11-15,HSTM,25.56,25.96,25.145,25.34,141743
2022-11-16,HSTM,25.49,25.6421,25.015,25.23,118153
2022-11-17,HSTM,25.22,25.285,24.795,24.96,113145
2022-11-18,HSTM,25.16,25.32,24.925,24.98,125589
2022-11-21,HSTM,25.1,25.13,24.84,24.99,75793
2022-11-22,HSTM,25.0,25.36,24.82,25.19,77640
2022-11-23,HSTM,25.28,25.3867,24.88,25.06,106441
2022-11-25,HSTM,24.97,25.2812,24.97,25.1,48712
2022-11-28,HSTM,25.0,25.14,24.64,24.71,57812
2022-11-29,HSTM,24.65,24.8899,24.62,24.7,85527
2022-11-30,HSTM,24.77,25.465,24.63,25.4,175497
2022-12-01,HSTM,25.4,25.82,25.31,25.63,111578
2022-12-02,HSTM,25.44,25.965,25.11,25.57,79203
2022-12-05,HSTM,25.45,25.59,24.79,25.1,86769
2022-12-06,HSTM,25.05,25.455,24.765,25.02,128414
2022-12-07,HSTM,25.0,25.37,24.74,25.02,67814
2022-12-08,HSTM,25.01,25.34,24.81,25.1,78185
2022-12-09,HSTM,24.98,25.25,24.71,24.79,49478
2022-12-12,HSTM,24.84,25.15,24.5,24.83,90356
2022-12-13,HSTM,25.38,26.285,25.0,25.21,104510
2022-12-14,HSTM,25.28,25.345,24.9699,25.17,95128
2022-12-15,HSTM,25.03,25.03,24.39,24.52,76374
2022-12-16,HSTM,24.25,24.66,24.15,24.58,265125
2022-12-19,HSTM,24.51,24.78,24.41,24.53,67900
2022-12-20,HSTM,24.46,24.7669,24.11,24.41,63769
2022-12-21,HSTM,24.55,24.96,24.47,24.63,67515
2022-12-22,HSTM,24.55,24.75,24.26,24.64,86620
2022-12-23,HSTM,24.63,24.655,24.5,24.6,51700
2022-12-27,HSTM,24.51,24.86,24.38,24.79,62819
2022-12-28,HSTM,24.77,25.175,24.59,24.61,59602
2022-12-29,HSTM,24.76,25.06,24.76,24.9,53473
2022-12-30,HSTM,24.75,24.97,24.62,24.84,65929
2023-01-03,HSTM,24.81,25.1,24.4088,24.67,120212
2023-01-04,HSTM,24.45,24.92,23.92,24.15,139102
2023-01-05,HSTM,23.96,23.96,23.64,23.75,127944
2023-01-06,HSTM,23.91,24.26,23.75,24.07,95041
2023-01-09,HSTM,24.07,24.12,23.54,23.59,76982
2023-01-10,HSTM,23.49,23.88,23.42,23.76,73307
2023-01-11,HSTM,23.7,23.93,23.695,23.91,58550
2023-01-12,HSTM,23.97,24.36,23.65,24.19,75258
2023-01-13,HSTM,24.02,24.4,24.02,24.37,56132
2023-01-17,HSTM,24.33,24.33,23.87,23.98,70495
2023-01-18,HSTM,24.16,24.29,23.87,23.96,61825
2023-01-19,HSTM,23.94,24.35,23.84,23.99,54765
2023-01-20,HSTM,24.16,24.16,23.86,24.02,79633
2023-01-23,HSTM,23.94,24.16,23.79,24.07,104746
2023-01-24,HSTM,23.97,24.14,23.72,23.86,91604
2023-01-25,HSTM,23.77,23.875,23.56,23.77,83013
2023-01-26,HSTM,23.88,23.88,23.58,23.71,69975
2023-01-27,HSTM,23.72,23.73,23.37,23.45,73747
2023-01-30,HSTM,23.38,24.09,23.35,23.83,99238
2023-01-31,HSTM,23.81,24.24,23.81,24.18,106579
2023-02-01,HSTM,24.24,24.41,23.81,23.86,147597
2023-02-02,HSTM,23.9,24.36,23.82,24.36,185475
2023-02-03,HSTM,24.21,24.95,24.205,24.9,142789
2023-02-06,HSTM,24.89,24.89,24.32,24.42,86708
2023-02-07,HSTM,24.23,24.78,23.89,24.76,106091
2023-02-08,HSTM,24.66,24.68,24.215,24.32,70674
2023-02-09,HSTM,24.37,24.56,23.98,24.03,118115
2023-02-10,HSTM,23.95,24.275,23.91,24.19,93393
2023-02-13,HSTM,24.3,24.595,24.14,24.4,74064
2023-02-14,HSTM,24.44,24.56,24.245,24.32,128078
2023-02-15,HSTM,24.16,24.7,24.04,24.52,97132
2023-02-16,HSTM,24.33,24.955,24.18,24.63,115249
2023-02-17,HSTM,24.78,24.82,24.385,24.53,416955
2023-02-21,HSTM,24.6,26.5,24.6,25.72,282317
2023-02-22,HSTM,25.7,26.06,25.27,25.72,148889
2023-02-23,HSTM,25.78,26.095,25.52,25.67,188961
2023-02-24,HSTM,25.41,25.5,25.06,25.3,94211
2023-02-27,HSTM,25.3,25.51,25.155,25.37,457468
2023-02-28,HSTM,25.43,25.8,25.245,25.65,479862
2023-03-01,HSTM,25.54,25.76,25.17,25.44,170152
2023-03-02,HSTM,25.27,25.79,25.27,25.37,78269
2023-03-03,HSTM,25.48,25.95,25.25,25.88,82285
2023-03-06,HSTM,25.92,25.92,25.11,25.29,97273
2023-03-07,HSTM,25.35,25.93,25.28,25.78,96957
2023-03-08,HSTM,25.68,25.68,25.35,25.59,77517
2023-03-09,HSTM,25.65,25.8,25.3,25.34,67706
2023-03-10,HSTM,25.19,25.29,24.7713,25.04,99309
2023-03-13,HSTM,24.8,25.025,24.56,24.61,97268
2023-03-14,HSTM,25.0,25.5,25.0,25.47,89037
2023-03-15,HSTM,25.14,25.51,24.95,25.48,101726
2023-03-16,HSTM,25.24,26.31,25.06,26.3,145157
2023-03-17,HSTM,26.26,26.46,25.73,26.02,328679
2023-03-20,HSTM,26.09,26.65,26.0299,26.37,109846
2023-03-21,HSTM,26.56,26.84,26.33,26.6,129118
2023-03-22,HSTM,26.6,26.78,26.25,26.25,85979
2023-03-23,HSTM,26.34,26.45,25.98,26.1,100200
2023-03-24,HSTM,26.03,26.575,25.96,26.49,75596
2023-03-27,HSTM,26.73,26.96,26.7,26.84,53427
2023-03-28,HSTM,26.85,26.85,26.285,26.56,61746
2023-03-29,HSTM,26.63,26.63,26.03,26.17,59332
2023-03-30,HSTM,26.24,26.36,25.76,26.19,84657
2023-03-31,HSTM,26.35,27.27,26.3385,27.1,201026
2023-04-03,HSTM,27.03,27.03,26.51,26.8,319109
2023-04-04,HSTM,26.9,26.9,26.48,26.54,231551
2023-04-05,HSTM,26.6,26.735,26.24,26.58,131542
2023-04-06,HSTM,26.63,26.89,26.6,26.75,242434
2023-04-10,HSTM,26.85,27.16,26.6,27.1,68374
2023-04-11,HSTM,27.1,27.35,27.02,27.18,75222
2023-04-12,HSTM,27.28,27.34,27.05,27.22,60373
2023-04-13,HSTM,27.2,27.48,27.07,27.47,72819
2023-04-14,HSTM,27.42,27.58,27.36,27.43,78910
2023-04-17,HSTM,27.45,27.69,27.07,27.32,102039
2023-04-18,HSTM,27.34,27.35,26.915,27.01,57262
2023-04-19,HSTM,27.0,27.265,26.92,27.03,47629
2023-04-20,HSTM,27.03,27.28,26.84,27.18,84614
2023-04-21,HSTM,27.22,27.4581,27.11,27.22,67671
2023-04-24,HSTM,27.22,27.56,27.03,27.32,99772
2023-04-25,HSTM,27.08,27.62,24.58,25.33,247286
2023-04-26,HSTM,25.04,25.35,24.68,25.25,197956
2023-04-27,HSTM,25.15,25.285,24.4733,24.7,177423
2023-04-28,HSTM,24.8,25.02,24.58,24.64,204136
2023-05-01,HSTM,24.56,24.895,24.49,24.68,113776
2023-05-02,HSTM,24.64,24.73,24.39,24.45,151077
2023-05-03,HSTM,24.47,24.705,24.24,24.26,141893
2023-05-04,HSTM,24.1,24.24,23.69,23.93,107970
2023-05-05,HSTM,24.24,24.24,23.621,23.77,71114
2023-05-08,HSTM,23.85,23.85,23.33,23.71,75296
2023-05-09,HSTM,23.62,23.77,23.555,23.69,72708
2023-05-10,HSTM,23.89,23.97,23.66,23.84,91185
2023-05-11,HSTM,23.69,23.845,23.52,23.82,71266
