Date,Ticker,Open,High,Low,Close,Volume
2024-09-30,HTCO,0.45,0.49,0.45,0.4899,4944.0
2024-10-01,HTCO,0.471,0.4975,0.471,0.471,4218.0
2024-10-02,HTCO,0.4762,0.4824,0.4762,0.4824,984.0
2024-10-03,HTCO,0.45,0.45,0.45,0.45,688.0
2024-10-04,HTCO,0.4499,0.48,0.43,0.465,18744.0
2024-10-07,HTCO,0.45,0.4999,0.45,0.4999,21807.0
2024-10-08,HTCO,0.4711,0.59,0.46,0.5,61676.0
2024-10-09,HTCO,0.50695,0.57,0.475068,0.55,29382.0
2024-10-10,HTCO,0.566,0.566,0.5,0.55,11397.0
2024-10-11,HTCO,0.481001,0.55,0.481001,0.549,4868.0
2024-10-14,HTCO,0.5244,0.5797,0.5244,0.5578,89581.0
2024-10-15,HTCO,0.5331,0.5798,0.533,0.533,89769.0
2024-10-16,HTCO,0.5597,0.58,0.5549,0.5786,82568.0
2024-10-17,HTCO,0.54,0.934,0.54,0.8499,357280.0
2024-10-18,HTCO,0.865,1.1,0.817201,1.01,287909.0
2024-10-21,HTCO,1.09,1.63,1.01,1.45,1798621.0
2024-10-22,HTCO,1.45,1.59,1.08,1.16,370078.0
2024-10-23,HTCO,1.17,1.32,1.1,1.1242,109007.0
2024-10-24,HTCO,1.205,1.28,1.01,1.06,259666.0
2024-10-25,HTCO,1.09,1.1799,1.01,1.09,484252.0
2024-10-28,HTCO,1.05,1.09,1.0,1.015,191603.0
2024-10-29,HTCO,1.02,1.18,0.8506,1.02,1616427.0
2024-10-30,HTCO,1.02,1.08,0.924,1.03,61149.0
2024-10-31,HTCO,1.04,1.07,0.9603,1.05,95087.0
2024-11-01,HTCO,1.02,1.06,1.01,1.03,290350.0
2024-11-04,HTCO,0.9991,1.17,0.98,1.17,119086.0
2024-11-05,HTCO,1.08,1.1996,1.08,1.18,36493.0
2024-11-06,HTCO,1.07,1.1798,1.07,1.1,31948.0
2024-11-07,HTCO,1.2,1.21,1.1101,1.18,64472.0
2024-11-08,HTCO,1.18,1.237,1.05,1.19,228217.0
