Date,Ticker,Open,High,Low,Close,Volume
2024-10-01,HTLM,4.51,4.7,3.88,4.02,295929
2024-10-02,HTLM,4.1,4.1,4.02,4.02,26989
2024-10-03,HTLM,3.89,4.05,3.89,4.05,21083
2024-10-04,HTLM,4.03,4.1,4.02,4.03,14496
2024-10-07,HTLM,4.05,4.05,3.9701,4.0,23618
2024-10-08,HTLM,3.97,4.6999,3.9271,4.25,206457
2024-10-09,HTLM,4.5,4.5,4.1,4.29,52330
2024-10-10,HTLM,4.3,4.3,4.02,4.28,16127
2024-10-11,HTLM,4.1047,4.23,4.1,4.16,1410
2024-10-14,HTLM,4.1,4.21,4.0,4.09,6457
2024-10-15,HTLM,4.1,4.3,4.0,4.15,44492
2024-10-16,HTLM,4.2068,4.24,4.03,4.06,3400
2024-10-17,HTLM,4.06,4.37,4.03,4.21,61936
2024-10-18,HTLM,4.3165,4.34,4.11,4.1569,6957
2024-10-21,HTLM,4.3,4.66,4.29,4.48,45598
2024-10-22,HTLM,4.48,4.48,4.45,4.45,5523
2024-10-23,HTLM,4.4,4.48,4.168,4.44,82346
2024-10-24,HTLM,4.3645,4.43,4.24,4.25,81612
2024-10-25,HTLM,4.25,4.44,4.21,4.25,47302
2024-10-28,HTLM,4.2996,4.32,4.0,4.01,78835
2024-10-29,HTLM,4.02,4.28,4.02,4.11,96605
2024-10-30,HTLM,4.12,4.18,4.1,4.15,7994
2024-10-31,HTLM,4.2,4.305,4.18,4.21,35211
2024-11-01,HTLM,4.25,4.3,4.12,4.12,30774
2024-11-04,HTLM,4.19,4.44,4.01,4.03,38285
2024-11-05,HTLM,4.1601,4.39,4.0475,4.05,59404
2024-11-06,HTLM,4.15,4.27,4.05,4.11,17762
2024-11-07,HTLM,4.14,4.16,4.13,4.15,4293
2024-11-08,HTLM,4.14,4.21,4.08,4.16,11223
