Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HUMA,3.14,3.4,3.13,3.26,300821.0
2022-11-11,HUMA,3.23,3.36,3.17,3.21,288874.0
2022-11-14,HUMA,3.21,3.27,3.12,3.15,204214.0
2022-11-15,HUMA,3.16,3.23,2.95,2.97,468314.0
2022-11-16,HUMA,3.0,3.0,2.83,2.87,391903.0
2022-11-17,HUMA,2.84,3.12,2.78,2.9,379069.0
2022-11-18,HUMA,2.97,3.119,2.895,2.93,158805.0
2022-11-21,HUMA,2.97,3.38,2.96,3.2,689391.0
2022-11-22,HUMA,3.24,3.27,3.09,3.27,399724.0
2022-11-23,HUMA,3.27,3.35,3.2,3.24,252653.0
2022-11-25,HUMA,3.22,3.29,3.15,3.17,157837.0
2022-11-28,HUMA,3.15,3.3,3.06,3.09,168014.0
2022-11-29,HUMA,3.08,3.11,2.925,3.07,220701.0
2022-11-30,HUMA,3.06,3.14,2.97,3.12,204645.0
2022-12-01,HUMA,3.09,3.21,3.03,3.14,140323.0
2022-12-02,HUMA,3.07,3.24,3.04,3.15,232133.0
2022-12-05,HUMA,3.14,3.3,3.11,3.24,365903.0
2022-12-06,HUMA,3.25,3.25,2.96,3.02,298921.0
2022-12-07,HUMA,3.0,3.01,2.815,2.97,361388.0
2022-12-08,HUMA,2.97,3.095,2.93,3.07,207002.0
2022-12-09,HUMA,3.03,3.11,2.99,3.0,164655.0
2022-12-12,HUMA,3.01,3.12,2.95,3.09,255129.0
2022-12-13,HUMA,3.16,3.24,2.77,2.82,815939.0
2022-12-14,HUMA,2.82,2.88,2.72,2.76,578725.0
2022-12-15,HUMA,2.78,2.81,2.48,2.6,539912.0
2022-12-16,HUMA,2.6,2.67,2.47,2.49,3857314.0
2022-12-19,HUMA,2.49,2.49,2.1801,2.21,556295.0
2022-12-20,HUMA,2.25,2.325,2.19,2.195,376427.0
2022-12-21,HUMA,2.19,2.19,2.01,2.11,623875.0
2022-12-22,HUMA,2.08,2.39,2.07,2.38,427224.0
2022-12-23,HUMA,2.37,2.4,2.2809,2.3,275962.0
2022-12-27,HUMA,2.3,2.3,2.05,2.06,247339.0
2022-12-28,HUMA,2.07,2.1373,2.01,2.02,308342.0
2022-12-29,HUMA,2.02,2.13,2.015,2.08,293259.0
2022-12-30,HUMA,2.05,2.11,1.96,2.11,378701.0
2023-01-03,HUMA,2.16,2.187,2.0627,2.11,232545.0
2023-01-04,HUMA,2.11,2.26,2.065,2.14,241924.0
2023-01-05,HUMA,2.15,2.265,2.09,2.18,344413.0
2023-01-06,HUMA,2.19,2.32,2.13,2.25,255154.0
2023-01-09,HUMA,2.34,2.36,2.24,2.3,214824.0
2023-01-10,HUMA,2.31,2.51,2.31,2.49,335321.0
2023-01-11,HUMA,2.47,2.52,2.42,2.5,165657.0
2023-01-12,HUMA,2.52,2.52,2.3,2.49,218684.0
2023-01-13,HUMA,2.48,2.56,2.46,2.5,191215.0
2023-01-17,HUMA,2.51,2.6,2.49,2.59,192895.0
2023-01-18,HUMA,2.59,2.707,2.54,2.56,202501.0
2023-01-19,HUMA,2.52,2.5914,2.48,2.49,93647.0
2023-01-20,HUMA,2.58,2.59,2.46,2.51,231383.0
2023-01-23,HUMA,2.52,2.7,2.48,2.63,300226.0
2023-01-24,HUMA,2.63,2.7,2.57,2.58,102531.0
2023-01-25,HUMA,2.58,2.58,2.47,2.51,129190.0
2023-01-26,HUMA,2.51,2.67,2.5,2.6,147683.0
2023-01-27,HUMA,2.61,2.81,2.61,2.78,210105.0
2023-01-30,HUMA,2.77,2.82,2.7,2.74,133159.0
2023-01-31,HUMA,2.77,2.895,2.56,2.63,350588.0
2023-02-01,HUMA,2.66,2.93,2.61,2.89,300337.0
2023-02-02,HUMA,2.96,3.29,2.95,3.08,525793.0
2023-02-03,HUMA,3.04,3.32,3.01,3.23,189062.0
2023-02-06,HUMA,3.21,3.2335,3.07,3.13,137075.0
2023-02-07,HUMA,3.08,3.2,3.045,3.19,132162.0
2023-02-08,HUMA,3.18,3.29,3.1,3.2,297986.0
2023-02-09,HUMA,3.26,3.2986,2.87,2.91,278061.0
2023-02-10,HUMA,3.0,3.0,2.76,2.88,239550.0
2023-02-13,HUMA,2.93,3.01,2.84,3.01,139340.0
2023-02-14,HUMA,3.04,3.12,2.93,3.07,120987.0
2023-02-15,HUMA,3.07,3.2,2.98,3.19,123587.0
2023-02-16,HUMA,3.12,3.19,3.06,3.07,128834.0
2023-02-17,HUMA,3.11,3.1617,3.04,3.13,147146.0
2023-02-21,HUMA,3.06,3.155,2.9,3.04,271159.0
2023-02-22,HUMA,3.07,3.14,2.96,3.09,134409.0
2023-02-23,HUMA,3.13,3.23,2.99,3.04,306145.0
2023-02-24,HUMA,2.96,3.11,2.87,2.91,463712.0
