Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,HXL,59.0,60.06,58.99,60.01,524330.0
2022-11-11,HXL,60.13,61.115,59.11,59.31,824639.0
2022-11-14,HXL,59.1,60.41,58.75,59.15,592365.0
2022-11-15,HXL,60.01,60.49,58.98,59.43,653774.0
2022-11-16,HXL,59.28,59.28,58.05,58.46,401325.0
2022-11-17,HXL,57.28,57.695,56.73,57.51,334424.0
2022-11-18,HXL,58.33,59.325,57.625,58.71,659332.0
2022-11-21,HXL,58.38,59.3,58.08,59.22,432228.0
2022-11-22,HXL,59.61,60.76,59.165,60.68,480638.0
2022-11-23,HXL,60.68,61.0061,60.056,60.6,336516.0
2022-11-25,HXL,60.65,61.05,60.485,60.74,109730.0
2022-11-28,HXL,60.27,60.27,58.45,58.67,522919.0
2022-11-29,HXL,58.63,59.71,58.63,58.98,306451.0
2022-11-30,HXL,58.92,59.96,57.69,59.95,510930.0
2022-12-01,HXL,60.09,61.36,59.9,61.27,517041.0
2022-12-02,HXL,60.35,62.275,60.17,62.05,495767.0
2022-12-05,HXL,61.61,62.18,60.92,61.05,542319.0
2022-12-06,HXL,61.0,61.49,58.0,58.61,701541.0
2022-12-07,HXL,58.18,59.12,57.83,57.84,413114.0
2022-12-08,HXL,58.54,59.825,57.785,58.03,320003.0
2022-12-09,HXL,57.69,58.775,57.48,58.48,349640.0
2022-12-12,HXL,58.85,59.44,57.905,59.42,500826.0
2022-12-13,HXL,60.92,61.29,59.51,59.87,572650.0
2022-12-14,HXL,59.85,60.19,58.531,59.03,421233.0
2022-12-15,HXL,58.37,58.47,57.0,57.3,364693.0
2022-12-16,HXL,56.71,57.55,55.8,56.95,979339.0
2022-12-19,HXL,56.98,57.625,55.59,56.02,465961.0
2022-12-20,HXL,56.18,57.065,55.6,56.86,339127.0
2022-12-21,HXL,57.77,59.21,57.395,58.95,501055.0
2022-12-22,HXL,58.43,58.43,56.67,57.64,314251.0
2022-12-23,HXL,57.71,58.07,57.12,58.04,231948.0
2022-12-27,HXL,58.32,58.6127,57.63,58.36,236035.0
2022-12-28,HXL,58.27,58.82,57.38,57.51,299252.0
2022-12-29,HXL,57.81,58.92,57.53,58.66,315379.0
2022-12-30,HXL,58.43,59.08,57.96,58.85,288291.0
2023-01-03,HXL,59.27,60.26,58.89,58.91,568320.0
2023-01-04,HXL,58.82,60.74,58.82,60.69,569823.0
2023-01-05,HXL,60.1,60.91,59.9989,60.48,557768.0
2023-01-06,HXL,60.98,62.66,60.98,61.93,343771.0
2023-01-09,HXL,62.1,62.855,61.17,61.32,356165.0
