Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,IAC,46.15,49.33,46.1478,47.18,2332026.0
2022-11-11,IAC,47.705,50.66,46.51,50.51,2000361.0
2022-11-14,IAC,50.49,51.22,49.825,49.87,1718338.0
2022-11-15,IAC,52.04,52.5,50.345,50.97,1589589.0
2022-11-16,IAC,50.18,50.41,48.57,49.45,1305871.0
2022-11-17,IAC,48.12,48.48,46.915,47.29,1041022.0
2022-11-18,IAC,48.29,49.19,46.5,47.11,1503650.0
2022-11-21,IAC,46.55,47.1,45.67,45.74,896672.0
2022-11-22,IAC,46.02,47.08,44.75,47.0,901163.0
2022-11-23,IAC,47.1,48.35,46.585,47.98,618161.0
2022-11-25,IAC,47.37,48.23,47.08,47.91,322294.0
2022-11-28,IAC,48.72,49.96,47.84,48.03,1475109.0
2022-11-29,IAC,48.15,49.4995,47.71,48.59,986148.0
2022-11-30,IAC,48.95,52.03,48.12,51.89,4618745.0
2022-12-01,IAC,52.49,52.88,51.24,52.47,927082.0
2022-12-02,IAC,51.3,53.09,50.1,52.92,891314.0
2022-12-05,IAC,53.21,53.505,50.7,51.02,1128853.0
2022-12-06,IAC,51.02,51.02,48.0109,48.53,1445750.0
2022-12-07,IAC,48.02,48.25,46.66,47.48,1629747.0
2022-12-08,IAC,47.88,49.43,46.84,46.96,947362.0
2022-12-09,IAC,46.59,47.08,45.89,46.12,917484.0
2022-12-12,IAC,46.5,47.0,45.47,46.91,1254930.0
2022-12-13,IAC,50.11,50.6944,47.95,48.94,1425123.0
2022-12-14,IAC,48.8,49.45,47.33,47.97,1024114.0
2022-12-15,IAC,46.74,47.13,45.275,45.88,1905320.0
2022-12-16,IAC,45.77,46.53,44.92,45.29,1465007.0
2022-12-19,IAC,45.15,45.555,43.12,43.2,1729946.0
2022-12-20,IAC,42.73,44.174,42.51,43.09,1352095.0
2022-12-21,IAC,43.15,43.77,42.64,43.57,1071016.0
2022-12-22,IAC,42.82,43.01,41.57,42.85,939839.0
2022-12-23,IAC,42.38,43.05,42.32,42.72,802757.0
2022-12-27,IAC,42.38,43.09,41.52,42.39,935210.0
2022-12-28,IAC,42.19,43.16,41.96,41.96,1001690.0
2022-12-29,IAC,42.68,44.6,42.11,44.38,1224088.0
2022-12-30,IAC,43.43,44.89,43.13,44.4,1106708.0
2023-01-03,IAC,45.39,46.05,44.32,44.76,866887.0
2023-01-04,IAC,45.75,48.88,45.71,48.8,1637323.0
2023-01-05,IAC,48.67,49.65,47.79,49.29,1171092.0
2023-01-06,IAC,49.74,50.135,48.055,49.41,1061631.0
2023-01-09,IAC,49.88,50.85,49.15,49.22,857284.0
2023-01-10,IAC,48.95,49.97,48.35,49.55,561396.0
2023-01-11,IAC,49.93,50.97,48.83,50.95,627041.0
2023-01-12,IAC,51.4,52.49,50.64,52.0,1492753.0
2023-01-13,IAC,51.07,52.89,51.07,52.11,884583.0
2023-01-17,IAC,52.15,53.225,51.56,52.54,1504388.0
2023-01-18,IAC,52.89,53.73,52.4301,52.59,1038075.0
2023-01-19,IAC,51.65,52.96,51.5,52.34,633779.0
2023-01-20,IAC,53.04,55.32,52.43,55.05,1006904.0
2023-01-23,IAC,55.34,56.17,55.01,55.41,770274.0
2023-01-24,IAC,54.63,56.275,54.28,54.53,581373.0
2023-01-25,IAC,53.5,54.6,52.75,54.3,575739.0
2023-01-26,IAC,55.49,55.93,54.82,55.92,757431.0
2023-01-27,IAC,55.61,56.565,54.86,56.09,1033057.0
2023-01-30,IAC,55.06,56.38,54.73,54.79,877989.0
2023-01-31,IAC,55.0,56.52,55.0,56.5,553055.0
2023-02-01,IAC,56.08,58.57,55.565,58.54,837841.0
2023-02-02,IAC,61.1,61.83,58.28,59.13,1038190.0
2023-02-03,IAC,57.28,58.83,55.93,56.26,802485.0
2023-02-06,IAC,55.05,55.36,53.21,53.41,778876.0
2023-02-07,IAC,53.22,54.82,51.96,54.69,1081438.0
2023-02-08,IAC,53.88,54.47,52.31,53.11,691382.0
2023-02-09,IAC,54.28,55.25,52.35,52.6,973271.0
2023-02-10,IAC,51.6,52.88,51.3,51.95,787324.0
2023-02-13,IAC,52.1,52.69,51.12,51.23,1401663.0
2023-02-14,IAC,50.86,55.185,49.02,53.82,1816715.0
2023-02-15,IAC,54.0,56.42,53.54,56.38,1186692.0
2023-02-16,IAC,55.12,56.8,54.52,54.93,960543.0
2023-02-17,IAC,54.56,54.565,51.46,52.45,1430769.0
2023-02-21,IAC,51.69,53.29,51.18,52.06,1099060.0
2023-02-22,IAC,52.45,53.35,51.73,53.22,785584.0
2023-02-23,IAC,54.02,54.02,52.23,52.76,607512.0
2023-02-24,IAC,51.39,52.16,50.8,51.07,686360.0
2023-02-27,IAC,51.99,52.27,51.52,52.15,689256.0
2023-02-28,IAC,52.16,53.06,51.52,51.94,723852.0
2023-03-01,IAC,51.99,52.46,51.47,51.55,592837.0
2023-03-02,IAC,50.97,52.67,50.88,52.58,498850.0
2023-03-03,IAC,53.08,53.51,52.9,53.38,611970.0
2023-03-06,IAC,53.88,54.47,53.4,53.98,1841525.0
2023-03-07,IAC,53.63,53.64,51.96,52.0,805185.0
2023-03-08,IAC,51.87,52.74,51.594,51.74,454313.0
2023-03-09,IAC,51.62,52.72,50.27,50.36,659452.0
2023-03-10,IAC,50.02,50.19,48.21,49.02,955618.0
2023-03-13,IAC,48.31,50.33,46.72,48.97,1047044.0
2023-03-14,IAC,50.19,51.42,50.19,50.94,663619.0
2023-03-15,IAC,49.88,50.98,49.2,50.71,654794.0
2023-03-16,IAC,50.47,51.48,49.735,51.24,700553.0
2023-03-17,IAC,51.12,51.21,49.53,50.02,1781267.0
2023-03-20,IAC,49.79,50.61,49.38,49.9,606175.0
2023-03-21,IAC,50.68,51.33,50.0,51.11,1582845.0
2023-03-22,IAC,51.23,51.24,49.29,49.34,633433.0
2023-03-23,IAC,49.68,50.895,49.6,50.41,803763.0
2023-03-24,IAC,49.98,50.22,48.98,49.74,394694.0
2023-03-27,IAC,50.0,50.405,49.125,50.07,748120.0
2023-03-28,IAC,49.7,49.7,48.68,48.74,608197.0
2023-03-29,IAC,49.46,50.725,49.305,50.63,516376.0
2023-03-30,IAC,51.28,51.5,50.21,50.41,453357.0
2023-03-31,IAC,50.31,52.02,49.8,51.6,721097.0
2023-04-03,IAC,50.87,51.6,50.5,50.98,496763.0
2023-04-04,IAC,51.17,51.35,49.4,50.03,504851.0
2023-04-05,IAC,49.98,49.98,48.875,49.4,691590.0
2023-04-06,IAC,49.42,49.99,49.0,49.93,458257.0
2023-04-10,IAC,49.46,50.22,49.085,49.93,428282.0
2023-04-11,IAC,50.06,50.85,49.64,50.54,431045.0
2023-04-12,IAC,51.32,51.38,48.73,48.87,533061.0
2023-04-13,IAC,49.27,50.66,49.17,49.46,515901.0
2023-04-14,IAC,49.11,49.7,48.3168,48.6,469426.0
2023-04-17,IAC,48.36,49.67,48.165,49.67,468621.0
2023-04-18,IAC,49.85,50.36,49.43,50.19,715343.0
2023-04-19,IAC,49.52,50.68,49.16,50.4,701756.0
2023-04-20,IAC,50.07,51.235,49.98,50.4,742914.0
2023-04-21,IAC,50.67,51.33,49.99,49.99,484565.0
2023-04-24,IAC,50.06,50.46,47.51,49.2,756385.0
2023-04-25,IAC,48.94,49.21,48.46,48.53,882854.0
2023-04-26,IAC,49.08,49.58,48.54,48.65,640858.0
2023-04-27,IAC,49.62,51.13,49.34,50.61,582532.0
2023-04-28,IAC,50.2,51.9,49.99,51.77,724675.0
2023-05-01,IAC,51.53,53.5,51.02,53.35,1026259.0
2023-05-02,IAC,53.2,53.315,51.32,51.75,982114.0
2023-05-03,IAC,51.99,53.21,51.99,52.3,969792.0
2023-05-04,IAC,52.0,52.64,50.8705,52.42,799534.0
2023-05-05,IAC,52.7,53.69,52.7,53.1,626144.0
2023-05-08,IAC,52.86,54.76,52.86,54.16,831757.0
2023-05-09,IAC,53.46,54.09,53.01,53.68,1153663.0
2023-05-10,IAC,60.93,62.74,59.71,60.08,2571193.0
2023-05-11,IAC,60.69,60.79,58.59,59.01,813722.0
2023-05-12,IAC,59.51,59.51,57.1,57.84,501359.0
2023-05-15,IAC,58.19,59.64,57.75,58.95,627070.0
2023-05-16,IAC,58.23,58.64,57.78,58.58,552478.0
2023-05-17,IAC,58.73,59.08,58.19,58.81,484910.0
2023-05-18,IAC,59.04,60.05,58.785,60.02,575434.0
2023-05-19,IAC,60.04,60.49,58.86,59.18,380924.0
2023-05-22,IAC,59.27,61.02,59.27,60.17,535911.0
2023-05-23,IAC,59.69,60.02,57.98,58.02,524975.0
2023-05-24,IAC,57.39,58.01,56.55,57.21,356342.0
2023-05-25,IAC,57.66,57.92,55.43,55.67,483113.0
