Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,IBN,22.96,23.365,22.92,23.31,8438359.0
2022-11-11,IBN,22.79,22.805,22.46,22.72,14072932.0
2022-11-14,IBN,22.26,22.56,22.22,22.45,14447304.0
2022-11-15,IBN,22.98,23.17,22.88,23.05,13063020.0
2022-11-16,IBN,22.79,22.86,22.67,22.76,11848427.0
2022-11-17,IBN,22.7,22.77,22.61,22.75,9054654.0
2022-11-18,IBN,22.86,22.89,22.67,22.73,8501465.0
2022-11-21,IBN,22.74,22.765,22.63,22.76,10499869.0
2022-11-22,IBN,22.82,22.9,22.74,22.86,5835670.0
2022-11-23,IBN,22.93,23.02,22.86,22.97,8014601.0
2022-11-25,IBN,22.98,23.06,22.96,23.0,4623783.0
2022-11-28,IBN,23.12,23.28,23.05,23.17,9557687.0
2022-11-29,IBN,23.33,23.585,23.3,23.48,7486426.0
2022-11-30,IBN,23.6,23.75,23.33,23.72,8627230.0
2022-12-01,IBN,23.45,23.49,23.045,23.2,9107962.0
2022-12-02,IBN,22.91,23.22,22.75,23.2,7031185.0
2022-12-05,IBN,23.07,23.13,22.785,22.86,8744070.0
2022-12-06,IBN,22.64,22.645,22.45,22.57,11523980.0
2022-12-07,IBN,22.58,22.905,22.56,22.69,7902347.0
2022-12-08,IBN,22.89,23.04,22.82,22.85,8900874.0
2022-12-09,IBN,22.73,22.93,22.625,22.72,8672270.0
2022-12-12,IBN,22.76,22.85,22.54,22.81,6606338.0
2022-12-13,IBN,23.05,23.05,22.595,22.67,4945686.0
2022-12-14,IBN,22.47,22.495,22.13,22.26,7961233.0
2022-12-15,IBN,21.9,21.94,21.67,21.81,6303693.0
2022-12-16,IBN,21.83,22.1,21.74,21.89,6710523.0
2022-12-19,IBN,21.93,22.075,21.91,21.97,4698818.0
2022-12-20,IBN,22.02,22.2069,21.995,22.19,5024867.0
2022-12-21,IBN,21.65,22.01,21.65,21.97,8067627.0
2022-12-22,IBN,21.7,21.74,21.5,21.7,8497854.0
2022-12-23,IBN,21.43,21.57,21.34,21.56,6963559.0
2022-12-27,IBN,21.81,21.925,21.79,21.89,5737923.0
2022-12-28,IBN,21.89,21.935,21.79,21.84,6197354.0
2022-12-29,IBN,21.99,22.105,21.96,22.1,4212605.0
2022-12-30,IBN,21.74,21.915,21.735,21.89,6125467.0
2023-01-03,IBN,22.1,22.135,21.84,21.94,6394473.0
2023-01-04,IBN,21.98,22.005,21.81,21.95,7385096.0
2023-01-05,IBN,21.48,21.58,21.08,21.2,11225684.0
2023-01-06,IBN,21.15,21.34,20.885,21.27,9134050.0
2023-01-09,IBN,21.29,21.44,21.21,21.36,6995120.0
2023-01-10,IBN,21.24,21.32,21.08,21.25,7955819.0
2023-01-11,IBN,21.35,21.52,21.275,21.45,7325025.0
2023-01-12,IBN,21.4,21.44,21.2,21.39,4398705.0
2023-01-13,IBN,21.44,21.72,21.43,21.67,6172730.0
2023-01-17,IBN,21.43,21.43,21.07,21.1,9126171.0
2023-01-18,IBN,21.3,21.375,21.19,21.23,9779160.0
2023-01-19,IBN,21.25,21.45,21.2,21.39,5370409.0
2023-01-20,IBN,21.44,21.615,21.43,21.52,8004438.0
2023-01-23,IBN,21.51,21.79,21.45,21.77,6264650.0
