Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,ICFI,107.57,109.73,106.86,109.72,122617
2022-11-11,ICFI,109.34,109.34,103.42,103.7,69105
2022-11-14,ICFI,103.7,108.48,102.455,104.3,195971
2022-11-15,ICFI,105.77,105.9,104.295,104.81,97491
2022-11-16,ICFI,104.63,106.95,104.24,106.83,93251
2022-11-17,ICFI,105.57,106.29,104.7766,106.23,63646
2022-11-18,ICFI,107.34,109.03,106.92,108.8,74107
2022-11-21,ICFI,108.97,109.46,108.2831,108.63,73645
2022-11-22,ICFI,109.58,111.09,108.0,111.0,88410
2022-11-23,ICFI,110.54,112.75,110.18,110.56,54451
2022-11-25,ICFI,109.96,112.12,109.96,110.93,22795
2022-11-28,ICFI,110.28,110.33,107.69,108.57,60619
2022-11-29,ICFI,107.93,108.04,105.43,105.5,52415
2022-11-30,ICFI,104.91,108.435,103.75,108.37,126725
2022-12-01,ICFI,109.29,110.77,107.76,110.21,75178
2022-12-02,ICFI,110.21,111.56,108.04,111.15,62894
2022-12-05,ICFI,110.61,111.435,109.64,110.76,87704
2022-12-06,ICFI,110.42,111.9,107.7525,109.33,80554
2022-12-07,ICFI,109.05,111.3,105.16,105.82,65625
2022-12-08,ICFI,105.57,106.66,104.03,105.01,69019
2022-12-09,ICFI,105.76,107.31,105.45,107.24,120813
2022-12-12,ICFI,107.24,107.68,105.13,105.13,61910
2022-12-13,ICFI,106.17,108.65,104.67,105.34,82868
2022-12-14,ICFI,105.2,106.15,103.65,104.21,79752
2022-12-15,ICFI,103.91,103.96,101.41,103.5,133341
2022-12-16,ICFI,102.63,103.53,99.82,100.24,150098
2022-12-19,ICFI,100.09,102.17,98.09,98.97,118684
2022-12-20,ICFI,99.0,100.51,98.835,99.42,71252
2022-12-21,ICFI,100.11,100.87,98.01,99.31,145888
2022-12-22,ICFI,98.87,99.51,96.09,97.0,148630
2022-12-23,ICFI,96.9,99.07,94.92,98.58,78103
2022-12-27,ICFI,98.88,99.78,97.56,99.08,66092
2022-12-28,ICFI,98.77,100.51,97.2,98.6,76856
2022-12-29,ICFI,98.89,100.32,98.69,99.38,63477
2022-12-30,ICFI,99.06,99.54,98.0091,99.05,69685
2023-01-03,ICFI,99.15,100.64,99.15,100.43,85620
2023-01-04,ICFI,100.14,101.34,99.56,99.96,65157
2023-01-05,ICFI,99.26,99.72,96.47,97.53,76545
2023-01-06,ICFI,98.81,100.745,98.81,99.93,83836
2023-01-09,ICFI,100.03,101.02,99.055,99.36,99032
2023-01-10,ICFI,98.88,101.5,98.26,101.03,114827
2023-01-11,ICFI,101.03,102.19,100.6,101.4,91899
2023-01-12,ICFI,101.26,103.97,100.01,101.99,62905
2023-01-13,ICFI,101.15,103.61,100.92,103.05,52221
2023-01-17,ICFI,102.47,103.11,102.145,102.65,58849
2023-01-18,ICFI,102.61,102.61,97.78,97.86,126385
2023-01-19,ICFI,97.34,97.395,95.81,96.16,134011
2023-01-20,ICFI,96.74,98.97,94.53,98.58,187398
2023-01-23,ICFI,98.58,99.75,97.43,98.78,73608
2023-01-24,ICFI,98.98,99.82,98.36,98.67,67725
2023-01-25,ICFI,98.0,99.48,97.06,99.35,83050
2023-01-26,ICFI,99.99,101.58,98.85,101.15,68527
2023-01-27,ICFI,101.18,101.53,98.77,98.9,56966
2023-01-30,ICFI,98.54,100.87,98.54,99.16,98390
2023-01-31,ICFI,100.0,102.3,99.99,102.19,131878
2023-02-01,ICFI,102.31,103.97,102.0,103.45,74859
2023-02-02,ICFI,103.5,106.06,100.3501,104.95,84041
2023-02-03,ICFI,104.14,105.02,103.31,104.48,74198
2023-02-06,ICFI,104.38,104.63,103.26,103.57,74081
2023-02-07,ICFI,102.78,104.92,101.72,104.75,100227
2023-02-08,ICFI,104.26,104.7,102.85,103.36,114577
2023-02-09,ICFI,104.01,105.11,103.1,103.2,86832
2023-02-10,ICFI,103.15,105.37,102.85,104.68,90487
2023-02-13,ICFI,104.57,106.09,104.01,104.94,59740
2023-02-14,ICFI,105.41,105.755,102.865,103.21,90156
2023-02-15,ICFI,102.59,104.47,102.25,104.19,51727
2023-02-16,ICFI,103.55,105.01,102.62,104.03,86987
2023-02-17,ICFI,104.27,105.26,103.85,105.21,96002
2023-02-21,ICFI,104.56,105.42,103.36,103.69,108972
2023-02-22,ICFI,103.79,103.87,100.49,101.52,197633
2023-02-23,ICFI,101.39,102.445,98.8375,101.23,91836
2023-02-24,ICFI,100.3,105.9599,99.89,102.04,98342
2023-02-27,ICFI,102.05,103.6,99.08,101.96,159799
2023-02-28,ICFI,101.32,102.51,99.23,99.49,172329
2023-03-01,ICFI,101.46,110.87,101.46,108.07,217103
2023-03-02,ICFI,107.7,110.97,107.01,110.96,86461
2023-03-03,ICFI,110.67,112.585,108.87,112.33,95621
2023-03-06,ICFI,112.19,114.41,112.18,114.24,111927
2023-03-07,ICFI,114.53,115.63,111.02,111.16,127474
2023-03-08,ICFI,110.67,110.76,107.53,108.41,75163
2023-03-09,ICFI,108.99,109.98,107.34,107.58,81711
2023-03-10,ICFI,107.11,107.58,105.02,106.22,70553
2023-03-13,ICFI,105.39,107.44,105.028,107.14,95711
2023-03-14,ICFI,108.91,112.7,108.5,109.48,138693
2023-03-15,ICFI,107.72,108.3,105.02,107.39,68238
2023-03-16,ICFI,106.67,109.15,105.7,108.54,56244
2023-03-17,ICFI,108.25,109.11,106.07,106.72,120915
2023-03-20,ICFI,106.8,109.15,106.8,107.28,63201
2023-03-21,ICFI,108.54,111.15,107.28,108.9,68464
2023-03-22,ICFI,108.69,109.17,106.05,106.36,54745
2023-03-23,ICFI,105.91,106.59,104.19,105.15,43428
2023-03-24,ICFI,104.48,106.23,104.48,106.23,47786
2023-03-27,ICFI,106.77,107.85,105.93,106.85,37358
2023-03-28,ICFI,106.42,107.3,105.87,106.84,47487
2023-03-29,ICFI,107.66,107.9,105.955,107.15,75465
2023-03-30,ICFI,107.47,108.6806,106.755,107.7,45113
2023-03-31,ICFI,107.84,110.185,107.84,109.7,141011
2023-04-03,ICFI,109.46,112.62,109.03,111.92,110913
2023-04-04,ICFI,111.47,111.68,109.37,109.97,50008
2023-04-05,ICFI,109.36,110.82,108.45,109.1,55190
2023-04-06,ICFI,109.1,111.735,107.63,108.94,29833
2023-04-10,ICFI,108.17,110.83,108.17,110.19,64477
2023-04-11,ICFI,110.28,111.39,109.47,109.87,47834
2023-04-12,ICFI,110.36,110.975,109.69,110.65,37281
2023-04-13,ICFI,110.65,111.95,110.0,111.8,45962
2023-04-14,ICFI,112.1,112.1,110.0706,110.41,33422
2023-04-17,ICFI,110.62,111.59,110.33,111.06,42165
2023-04-18,ICFI,111.41,111.5,109.49,110.37,60493
2023-04-19,ICFI,110.67,110.67,109.81,110.0,43689
2023-04-20,ICFI,109.74,110.36,108.31,109.03,66423
2023-04-21,ICFI,109.27,109.645,108.95,109.33,40081
2023-04-24,ICFI,109.01,109.81,107.89,108.02,49238
2023-04-25,ICFI,107.12,109.0,106.43,108.8,78310
2023-04-26,ICFI,108.22,109.07,105.18,108.99,168192
2023-04-27,ICFI,109.0,114.0,108.4,113.08,104316
2023-04-28,ICFI,113.0,114.66,111.88,114.0,109831
2023-05-01,ICFI,114.28,117.8,114.1001,117.65,161154
2023-05-02,ICFI,117.14,117.14,111.965,114.72,156631
2023-05-03,ICFI,114.53,115.64,113.12,113.12,69057
2023-05-04,ICFI,112.24,112.34,110.5,110.98,70677
2023-05-05,ICFI,112.26,113.235,111.92,112.68,75006
2023-05-08,ICFI,112.57,113.11,111.75,112.19,74861
2023-05-09,ICFI,111.91,113.22,111.01,111.65,70700
2023-05-10,ICFI,113.08,115.5,112.73,114.4,73580
2023-05-11,ICFI,113.51,115.08,112.195,114.95,72898
2023-05-12,ICFI,115.2,115.905,113.43,114.52,76967
2023-05-15,ICFI,115.09,115.26,114.26,114.65,61201
2023-05-16,ICFI,113.67,114.58,111.39,112.18,55777
2023-05-17,ICFI,112.64,113.45,111.29,113.07,68815
2023-05-18,ICFI,112.4,113.99,111.43,113.67,53582
2023-05-19,ICFI,114.75,115.975,113.46,113.71,67778
2023-05-22,ICFI,113.46,114.91,112.35,113.92,72751
2023-05-23,ICFI,113.46,115.13,112.9901,113.74,38625
2023-05-24,ICFI,113.67,113.67,111.47,111.48,55355
2023-05-25,ICFI,111.53,111.55,108.585,109.07,51622
2023-05-26,ICFI,109.48,110.9,109.48,110.29,53436
2023-05-30,ICFI,110.39,111.45,110.11,111.04,43097
2023-05-31,ICFI,111.1,112.8,110.9561,111.99,112623
2023-06-01,ICFI,112.24,114.8,111.65,114.65,117234
2023-06-02,ICFI,115.92,118.07,113.89,118.05,98433
2023-06-05,ICFI,117.67,118.27,115.46,118.03,72140
2023-06-06,ICFI,117.78,120.76,117.1,119.36,115459
2023-06-07,ICFI,119.93,124.56,119.93,123.34,118705
2023-06-08,ICFI,122.59,123.875,120.54,122.78,117408
2023-06-09,ICFI,122.27,124.0,122.12,123.1,60776
2023-06-12,ICFI,123.0,125.14,121.6369,124.74,104519
2023-06-13,ICFI,124.92,126.98,124.69,126.16,76126
2023-06-14,ICFI,126.16,128.7,125.16,125.8,145443
2023-06-15,ICFI,125.2,126.19,124.3,125.81,84481
2023-06-16,ICFI,126.69,126.69,123.74,124.1,183706
2023-06-20,ICFI,123.88,124.98,122.54,122.77,83602
2023-06-21,ICFI,122.25,124.89,122.25,124.33,69269
2023-06-22,ICFI,123.96,125.31,123.885,125.19,72995
2023-06-23,ICFI,123.87,125.67,121.27,121.89,334890
2023-06-26,ICFI,121.25,122.39,121.02,121.11,69987
2023-06-27,ICFI,121.68,123.78,121.525,122.18,90008
2023-06-28,ICFI,121.98,123.09,121.3975,123.09,114571
2023-06-29,ICFI,123.56,126.1,122.98,123.43,113036
2023-06-30,ICFI,123.98,125.335,123.65,124.39,139878
2023-07-03,ICFI,124.12,128.08,122.3359,127.81,75597
2023-07-05,ICFI,126.73,126.73,123.97,123.98,83033
2023-07-06,ICFI,122.48,123.49,119.9,121.07,84024
2023-07-07,ICFI,120.56,122.07,119.96,120.35,77645
2023-07-10,ICFI,119.78,123.31,119.78,120.96,113927
2023-07-11,ICFI,121.54,122.64,119.965,120.55,213229
2023-07-12,ICFI,122.01,122.01,115.64,115.8,183725
2023-07-13,ICFI,115.61,117.5031,114.51,115.43,110922
2023-07-14,ICFI,115.74,119.94,114.88,119.42,98473
2023-07-17,ICFI,119.25,120.87,118.54,119.35,54794
2023-07-18,ICFI,119.02,120.665,118.41,118.97,64962
2023-07-19,ICFI,118.98,119.7155,117.19,118.11,67810
2023-07-20,ICFI,118.55,119.2,117.71,118.13,43044
2023-07-21,ICFI,118.89,119.63,118.12,118.2,55097
2023-07-24,ICFI,118.02,118.98,115.98,117.68,57829
2023-07-25,ICFI,117.03,118.78,116.75,118.36,56519
2023-07-26,ICFI,118.46,118.86,117.4,117.4,41220
2023-07-27,ICFI,118.01,118.01,115.41,116.5,49692
2023-07-28,ICFI,117.02,118.2539,116.545,117.61,52363
2023-07-31,ICFI,117.52,118.86,117.18,117.59,79803
2023-08-01,ICFI,117.85,121.84,117.85,120.83,74335
2023-08-02,ICFI,121.28,124.42,121.28,122.13,78677
2023-08-03,ICFI,122.37,122.66,120.895,121.54,49475
2023-08-04,ICFI,120.56,128.33,119.55,127.57,101775
2023-08-07,ICFI,127.22,130.13,126.9,129.7,87422
2023-08-08,ICFI,128.65,130.8,128.44,130.47,90834
2023-08-09,ICFI,129.5,131.05,128.75,130.14,121714
2023-08-10,ICFI,130.03,130.75,128.44,129.59,107210
2023-08-11,ICFI,129.7,129.98,127.41,129.1,132562
2023-08-14,ICFI,129.39,131.24,129.39,131.12,69906
2023-08-15,ICFI,130.12,130.96,129.18,130.49,62439
2023-08-16,ICFI,130.3,131.37,128.49,128.52,58263
2023-08-17,ICFI,128.53,128.53,124.45,124.47,47534
2023-08-18,ICFI,124.11,126.02,124.11,125.38,56357
2023-08-21,ICFI,124.96,126.7,124.15,126.51,43380
2023-08-22,ICFI,126.54,126.98,124.9,125.18,66141
2023-08-23,ICFI,125.56,127.27,124.41,127.19,52108
2023-08-24,ICFI,126.8,131.74,126.8,130.86,98498
2023-08-25,ICFI,131.11,131.18,128.92,130.7,78115
2023-08-28,ICFI,130.71,133.69,130.71,133.1,85192
2023-08-29,ICFI,132.83,134.2,132.77,134.2,95404
2023-08-30,ICFI,133.94,136.51,133.165,136.04,142538
2023-08-31,ICFI,136.2,136.82,133.805,135.06,153401
2023-09-01,ICFI,135.46,136.74,135.21,135.58,95452
2023-09-05,ICFI,135.58,135.58,133.5,134.05,84211
2023-09-06,ICFI,133.89,134.56,131.95,132.55,58920
2023-09-07,ICFI,132.77,132.77,130.58,131.72,48276
2023-09-08,ICFI,131.81,132.3598,130.49,130.62,39142
2023-09-11,ICFI,131.13,131.6,128.98,129.24,45294
2023-09-12,ICFI,129.28,130.14,127.78,128.59,39278
2023-09-13,ICFI,127.75,128.08,125.43,125.81,60541
2023-09-14,ICFI,126.8,126.8935,125.45,126.56,70034
2023-09-15,ICFI,126.5,126.5,123.9805,124.78,116497
2023-09-18,ICFI,124.86,126.64,124.36,124.8,60027
2023-09-19,ICFI,125.05,125.83,123.72,123.86,64813
2023-09-20,ICFI,124.5,125.06,123.44,123.53,58125
2023-09-21,ICFI,123.41,123.41,120.49,120.74,50396
2023-09-22,ICFI,120.35,122.21,120.01,121.1,43997
2023-09-25,ICFI,120.93,122.53,120.93,121.89,36783
2023-09-26,ICFI,121.55,121.985,118.57,119.62,73842
2023-09-27,ICFI,119.62,121.335,119.42,120.19,52189
2023-09-28,ICFI,120.13,121.12,119.92,120.67,49802
2023-09-29,ICFI,122.63,122.63,119.795,120.81,58478
2023-10-02,ICFI,120.08,120.59,118.875,119.97,51024
2023-10-03,ICFI,119.61,120.585,118.265,120.31,59808
2023-10-04,ICFI,119.98,122.0166,119.84,120.99,46564
2023-10-05,ICFI,120.63,124.16,120.63,123.69,80820
2023-10-06,ICFI,122.66,125.51,122.63,125.49,65905
2023-10-09,ICFI,124.48,129.09,124.48,128.7,74843
2023-10-10,ICFI,129.23,130.47,127.15,128.3,141845
2023-10-11,ICFI,128.88,131.41,128.29,130.66,116086
2023-10-12,ICFI,130.67,131.972,129.19,130.5,94959
2023-10-13,ICFI,130.325,132.305,130.145,132.0,85448
2023-10-16,ICFI,133.36,133.6,130.755,132.01,69668
2023-10-17,ICFI,132.26,134.9,129.3158,133.82,82387
2023-10-18,ICFI,133.13,133.13,130.88,130.88,65189
2023-10-19,ICFI,130.3,130.415,127.05,127.95,140514
2023-10-20,ICFI,128.76,128.805,126.3,126.3,65314
2023-10-23,ICFI,126.0,126.65,122.98,123.11,68231
2023-10-24,ICFI,124.18,125.56,122.3,122.95,62633
2023-10-25,ICFI,122.96,123.5,121.31,121.86,74330
2023-10-26,ICFI,121.77,125.87,119.98,125.54,88355
2023-10-27,ICFI,125.39,125.8,123.64,124.0,90062
2023-10-30,ICFI,125.3,126.0,122.72,123.6,73089
2023-10-31,ICFI,123.57,127.05,123.57,126.73,93764
2023-11-01,ICFI,126.77,127.23,123.0501,125.77,65929
2023-11-02,ICFI,126.57,129.7699,123.505,124.89,108242
2023-11-03,ICFI,127.71,132.0,115.6715,125.48,154267
2023-11-06,ICFI,124.46,130.28,124.46,130.145,124774
2023-11-07,ICFI,130.31,134.85,130.16,131.87,112152
2023-11-08,ICFI,132.7,132.7,130.46,132.19,65146
2023-11-09,ICFI,133.43,135.34,132.84,133.07,74975
2023-11-10,ICFI,134.01,135.17,133.49,133.89,64289
2023-11-13,ICFI,132.86,136.15,132.86,135.1,60639
2023-11-14,ICFI,134.52,137.47,134.15,137.25,99275
2023-11-15,ICFI,137.31,137.34,130.61,131.58,257781
2023-11-16,ICFI,132.1,133.24,130.955,131.34,70629
2023-11-17,ICFI,132.13,133.575,129.1,129.89,109740
2023-11-20,ICFI,129.09,132.68,129.09,130.39,93969
2023-11-21,ICFI,129.26,130.22,128.835,128.95,52331
2023-11-22,ICFI,129.79,130.81,128.31,129.97,82200
2023-11-24,ICFI,130.25,131.975,129.65,131.93,59542
2023-11-27,ICFI,130.88,133.0149,130.22,132.94,88898
2023-11-28,ICFI,133.5,134.08,131.85,133.02,107321
2023-11-29,ICFI,134.31,136.66,132.11,136.0,126348
2023-11-30,ICFI,136.45,140.22,134.325,139.95,130154
2023-12-01,ICFI,140.05,142.24,138.69,142.11,139669
2023-12-04,ICFI,142.5,145.395,140.45,143.6,139923
2023-12-05,ICFI,143.16,143.75,141.04,141.73,165842
2023-12-06,ICFI,143.18,143.18,138.78,139.73,126096
2023-12-07,ICFI,138.98,141.43,137.63,139.0,81863
2023-12-08,ICFI,138.36,140.31,136.995,139.94,99956
2023-12-11,ICFI,139.9,140.65,138.19,138.25,82201
2023-12-12,ICFI,138.96,140.2361,138.31,138.98,82520
2023-12-13,ICFI,138.98,142.05,138.4,140.78,90236
2023-12-14,ICFI,142.41,142.41,133.55,135.05,213323
2023-12-15,ICFI,135.6,136.15,131.02,132.73,230199
2023-12-18,ICFI,132.56,134.56,132.12,133.14,86094
2023-12-19,ICFI,133.78,135.28,133.78,135.08,69458
2023-12-20,ICFI,135.22,137.45,133.5,133.61,109072
2023-12-21,ICFI,134.09,134.745,131.326,132.88,211675
2023-12-22,ICFI,133.77,134.75,132.58,133.83,98977
2023-12-26,ICFI,134.29,134.97,132.71,132.95,71041
2023-12-27,ICFI,132.6,134.3,131.83,132.5,88954
2023-12-28,ICFI,131.92,132.86,131.025,132.12,90588
2023-12-29,ICFI,132.08,134.35,131.165,134.09,110399
2024-01-02,ICFI,134.09,136.02,133.465,134.67,107091
2024-01-03,ICFI,134.72,136.04,132.63,132.69,101392
2024-01-04,ICFI,133.44,134.6496,131.88,132.14,74577
2024-01-05,ICFI,131.15,131.695,128.93,128.95,103920
2024-01-08,ICFI,129.12,130.27,128.96,130.27,62503
2024-01-09,ICFI,129.18,129.7401,128.38,129.0,55523
2024-01-10,ICFI,128.95,130.32,128.28,130.3,85824
2024-01-11,ICFI,130.3,131.72,129.42,131.56,71814
2024-01-12,ICFI,132.63,132.63,131.4,132.55,49824
2024-01-16,ICFI,132.03,132.935,131.47,132.0,84217
2024-01-17,ICFI,130.87,132.7578,130.02,130.85,118626
2024-01-18,ICFI,130.55,131.62,129.08,130.74,88378
2024-01-19,ICFI,131.5,131.695,129.62,130.66,85933
2024-01-22,ICFI,131.32,134.24,131.32,133.95,104384
2024-01-23,ICFI,134.87,135.19,132.37,134.56,124844
2024-01-24,ICFI,135.77,136.27,134.67,136.14,105228
2024-01-25,ICFI,137.28,138.215,136.56,138.07,110130
2024-01-26,ICFI,139.49,141.9,139.49,141.75,98554
2024-01-29,ICFI,140.97,142.8,140.92,142.56,117366
2024-01-30,ICFI,143.33,143.33,141.04,142.01,64052
2024-01-31,ICFI,142.37,142.64,138.795,139.04,148237
2024-02-01,ICFI,139.33,142.34,138.945,142.2,90915
2024-02-02,ICFI,140.93,141.72,139.76,141.2,56041
2024-02-05,ICFI,140.03,141.34,138.58,140.37,51742
2024-02-06,ICFI,140.66,141.9,140.23,140.93,58153
2024-02-07,ICFI,140.75,141.515,140.0,140.25,57836
2024-02-08,ICFI,140.8,142.25,139.99,141.75,59246
2024-02-09,ICFI,141.59,146.072,141.59,146.05,102127
2024-02-12,ICFI,145.41,149.11,145.41,148.31,138711
2024-02-13,ICFI,146.35,148.34,144.27,145.6,192691
2024-02-14,ICFI,146.9,150.11,146.9,149.87,151390
2024-02-15,ICFI,150.0,153.46,148.775,152.75,138225
2024-02-16,ICFI,152.69,154.945,151.73,151.79,167855
2024-02-20,ICFI,150.61,151.72,149.51,151.33,75717
2024-02-21,ICFI,150.61,151.65,149.03,151.29,102912
2024-02-22,ICFI,151.1,153.37,150.66,151.86,104260
2024-02-23,ICFI,151.94,153.51,151.66,153.31,38666
2024-02-26,ICFI,152.65,154.55,151.885,153.79,86286
2024-02-27,ICFI,154.53,155.935,153.8,155.43,105433
2024-02-28,ICFI,155.43,155.43,148.06,152.81,157485
2024-02-29,ICFI,154.74,155.26,152.03,154.85,103098
2024-03-01,ICFI,156.49,156.49,152.725,155.83,98738
2024-03-04,ICFI,155.38,158.0,155.38,157.01,98529
2024-03-05,ICFI,157.01,157.02,153.75,154.52,97521
2024-03-06,ICFI,155.55,156.18,153.38,153.99,108678
2024-03-07,ICFI,154.26,155.966,153.43,154.57,69740
2024-03-08,ICFI,155.42,156.255,154.08,154.95,79386
2024-03-11,ICFI,154.54,155.52,152.67,153.65,83736
2024-03-12,ICFI,153.73,153.86,151.51,152.61,66761
2024-03-13,ICFI,152.05,154.07,151.45,153.69,73345
2024-03-14,ICFI,153.7,153.7,151.39,152.41,79040
2024-03-15,ICFI,151.55,153.64,151.17,153.16,134703
2024-03-18,ICFI,152.56,153.705,151.34,151.7,74549
2024-03-19,ICFI,151.88,153.74,150.76,152.52,102621
2024-03-20,ICFI,151.61,153.76,151.39,152.59,111831
2024-03-21,ICFI,152.33,153.26,149.89,150.13,141585
2024-03-22,ICFI,150.97,151.51,149.47,149.99,88578
2024-03-25,ICFI,150.76,151.12,148.61,148.99,66235
2024-03-26,ICFI,148.96,150.52,148.82,150.29,163747
2024-03-27,ICFI,151.5,152.05,148.6,148.93,74099
2024-03-28,ICFI,149.69,151.67,149.145,150.63,114928
2024-04-01,ICFI,150.41,150.96,148.7,149.72,73570
2024-04-02,ICFI,149.23,150.055,146.73,146.94,105624
2024-04-03,ICFI,146.76,148.625,145.95,147.37,75810
2024-04-04,ICFI,147.86,148.535,145.46,146.32,84441
2024-04-05,ICFI,146.23,148.835,145.53,146.63,96337
2024-04-08,ICFI,146.57,147.3599,145.86,146.08,73900
2024-04-09,ICFI,146.81,146.81,143.31,143.89,63951
2024-04-10,ICFI,141.9,142.96,140.56,142.89,130317
2024-04-11,ICFI,143.61,147.19,143.09,145.74,90944
2024-04-12,ICFI,145.13,146.39,142.97,143.65,61240
2024-04-15,ICFI,144.36,146.64,140.11,140.22,75395
2024-04-16,ICFI,140.52,141.15,137.62,140.76,66668
