Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,IDAI,4.326,4.326,3.75,3.975,12861.0
2022-11-11,IDAI,4.25,4.2505,3.65,3.9,7843.4
2022-11-14,IDAI,4.35,4.4995,3.9,3.9,1928.4
2022-11-15,IDAI,4.0495,4.05,3.825,3.9135,1044.0
2022-11-16,IDAI,3.9135,4.05,3.8,3.875,821.8
2022-11-17,IDAI,3.7755,3.8995,3.7755,3.8995,151.2
2022-11-18,IDAI,3.825,3.825,3.825,3.825,365.0
2022-11-21,IDAI,3.85,4.05,3.75,3.75,2178.0
2022-11-22,IDAI,3.7,4.1915,3.5505,3.95,2811.4
2022-11-23,IDAI,3.915,4.4865,3.6,4.15,2311.6
2022-11-25,IDAI,3.9995,4.15,3.95,3.95,246.6
2022-11-28,IDAI,4.15,4.575,4.1,4.15,4863.0
2022-11-29,IDAI,4.4,4.4435,4.34,4.34,617.0
2022-11-30,IDAI,4.594,4.594,4.027,4.1,700.8
2022-12-01,IDAI,4.125,4.5,4.0565,4.1,523.6
2022-12-02,IDAI,3.95,3.9505,3.95,3.9505,201.6
2022-12-05,IDAI,3.85,4.225,3.65,3.651,5139.8
2022-12-06,IDAI,3.75,3.925,3.75,3.925,300.4
2022-12-07,IDAI,3.9025,3.9025,3.5,3.5203,4867.4
2022-12-08,IDAI,3.5525,3.5535,3.35,3.4995,2070.6
2022-12-09,IDAI,3.714,3.8525,3.669,3.75,963.0
2022-12-12,IDAI,3.7475,3.8,3.35,3.4995,8761.8
2022-12-13,IDAI,3.5,3.7295,3.35,3.651,2080.4
2022-12-14,IDAI,3.65,3.65,3.35,3.3505,866.8
2022-12-15,IDAI,3.35,3.65,3.35,3.3515,2789.0
2022-12-16,IDAI,3.65,3.65,3.05,3.05,3302.6
2022-12-19,IDAI,2.956,3.05,2.4788,2.4875,7400.0
2022-12-20,IDAI,2.612,2.9495,2.05,2.4515,7219.0
2022-12-21,IDAI,2.5745,2.577,2.225,2.4,3932.0
2022-12-22,IDAI,2.25,2.3825,2.0505,2.25,3743.0
2022-12-23,IDAI,2.2995,2.2995,2.0,2.0,4829.4
2022-12-27,IDAI,2.0,2.4,2.0,2.0525,3332.4
2022-12-28,IDAI,2.479,2.75,2.479,2.5495,3968.4
2022-12-29,IDAI,2.75,3.125,2.6765,2.677,7236.2
2022-12-30,IDAI,2.75,2.75,2.056,2.4055,3918.6
2023-01-03,IDAI,2.15,2.95,2.15,2.3585,2676.6
2023-01-04,IDAI,2.65,2.65,2.3365,2.6495,1376.6
2023-01-05,IDAI,2.65,2.65,2.35,2.6495,1599.2
2023-01-06,IDAI,2.6495,2.65,2.425,2.5975,670.2
2023-01-09,IDAI,3.0635,3.1,2.612,2.65,1063.0
2023-01-10,IDAI,2.8885,2.8885,2.8885,2.8885,81.0
2023-01-11,IDAI,2.888,2.888,2.7,2.888,2595.0
2023-01-12,IDAI,2.9,3.423,2.888,3.423,1804.8
2023-01-13,IDAI,3.65,3.675,2.95,3.4505,6084.4
2023-01-17,IDAI,3.75,3.875,3.55,3.7405,2515.4
2023-01-18,IDAI,3.9,4.4995,3.2995,3.775,2765.6
2023-01-19,IDAI,4.0,4.25,3.0455,3.255,4985.2
2023-01-20,IDAI,3.45,3.45,3.173,3.245,2432.8
2023-01-23,IDAI,3.35,8.7,3.35,4.8,4007378.0
2023-01-24,IDAI,4.6725,5.25,4.4,5.0,243177.0
2023-01-25,IDAI,4.65,6.05,4.5,5.3,181823.0
2023-01-26,IDAI,5.35,5.8,4.9,5.2,90098.0
